date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 16317654.77},{'peggedUSD': 0},{'peggedUSD': 16317654.77},{'peggedUSD': 0},{'peggedUSD': 16317654.77}
1652400000,{'peggedUSD': 14982318.99},{'peggedUSD': 0},{'peggedUSD': 14982318.99},{'peggedUSD': 0},{'peggedUSD': 14982318.99}
1652486400,{'peggedUSD': 15386349.11},{'peggedUSD': 0},{'peggedUSD': 15386349.11},{'peggedUSD': 0},{'peggedUSD': 15386349.11}
1652572800,{'peggedUSD': 15034009.22},{'peggedUSD': 0},{'peggedUSD': 15053553.44},{'peggedUSD': 0},{'peggedUSD': 15053553.44}
1652659200,{'peggedUSD': 16021265.96},{'peggedUSD': 0},{'peggedUSD': 16032354.12},{'peggedUSD': 0},{'peggedUSD': 16032354.12}
1652745600,{'peggedUSD': 12225323.45},{'peggedUSD': 0},{'peggedUSD': 12233784.47},{'peggedUSD': 0},{'peggedUSD': 12233784.47}
1652832000,{'peggedUSD': 13261494.66},{'peggedUSD': 0},{'peggedUSD': 13271533.88},{'peggedUSD': 0},{'peggedUSD': 13271533.88}
1652918400,{'peggedUSD': 13565881.69},{'peggedUSD': 0},{'peggedUSD': 13581802.06},{'peggedUSD': 0},{'peggedUSD': 13581802.06}
1653004800,{'peggedUSD': 14252573.4},{'peggedUSD': 0},{'peggedUSD': 14258039.41},{'peggedUSD': 0},{'peggedUSD': 14258039.41}
1653091200,{'peggedUSD': 15241805.65},{'peggedUSD': 0},{'peggedUSD': 15247651.03},{'peggedUSD': 0},{'peggedUSD': 15247651.03}
1653177600,{'peggedUSD': 15437656.73},{'peggedUSD': 0},{'peggedUSD': 15454907.38},{'peggedUSD': 0},{'peggedUSD': 15454907.38}
1653264000,{'peggedUSD': 15238668.19},{'peggedUSD': 0},{'peggedUSD': 15237623.73},{'peggedUSD': 0},{'peggedUSD': 15237623.73}
1653350400,{'peggedUSD': 16017857.28},{'peggedUSD': 0},{'peggedUSD': 16035587.44},{'peggedUSD': 0},{'peggedUSD': 16035587.44}
1653436800,{'peggedUSD': 15053271.12},{'peggedUSD': 0},{'peggedUSD': 15069933.59},{'peggedUSD': 0},{'peggedUSD': 15069933.59}
1653523200,{'peggedUSD': 16056962.75},{'peggedUSD': 0},{'peggedUSD': 16074050.57},{'peggedUSD': 0},{'peggedUSD': 16074050.57}
1653609600,{'peggedUSD': 15179385.6},{'peggedUSD': 0},{'peggedUSD': 15208983.88},{'peggedUSD': 0},{'peggedUSD': 15208983.88}
1653696000,{'peggedUSD': 14143853.07},{'peggedUSD': 0},{'peggedUSD': 14153504.98},{'peggedUSD': 0},{'peggedUSD': 14153504.98}
1653782400,{'peggedUSD': 14873250.77},{'peggedUSD': 0},{'peggedUSD': 14875499.75},{'peggedUSD': 0},{'peggedUSD': 14875499.75}
1653868800,{'peggedUSD': 14857748.21},{'peggedUSD': 0},{'peggedUSD': 14860090.83},{'peggedUSD': 0},{'peggedUSD': 14860090.83}
1653955200,{'peggedUSD': 13507137.74},{'peggedUSD': 0},{'peggedUSD': 13508711.05},{'peggedUSD': 0},{'peggedUSD': 13508711.05}
1654041600,{'peggedUSD': 13465212.41},{'peggedUSD': 0},{'peggedUSD': 13466780.84},{'peggedUSD': 0},{'peggedUSD': 13466780.84}
1654128000,{'peggedUSD': 13594606.41},{'peggedUSD': 0},{'peggedUSD': 13598675.28},{'peggedUSD': 0},{'peggedUSD': 13598675.28}
1654214400,{'peggedUSD': 14583240.82},{'peggedUSD': 0},{'peggedUSD': 14590516.98},{'peggedUSD': 0},{'peggedUSD': 14590516.98}
1654300800,{'peggedUSD': 14782258.19},{'peggedUSD': 0},{'peggedUSD': 14788162.22},{'peggedUSD': 0},{'peggedUSD': 14788162.22}
1654387200,{'peggedUSD': 14796287.07},{'peggedUSD': 0},{'peggedUSD': 14808215.54},{'peggedUSD': 0},{'peggedUSD': 14808215.54}
1654473600,{'peggedUSD': 14993759.77},{'peggedUSD': 0},{'peggedUSD': 14998403.64},{'peggedUSD': 0},{'peggedUSD': 14998403.64}
