date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 232055.94},{'peggedUSD': 0},{'peggedUSD': 232055.94},{'peggedUSD': 0},{'peggedUSD': 232055.94}
1652400000,{'peggedUSD': 189850.7},{'peggedUSD': 0},{'peggedUSD': 189850.7},{'peggedUSD': 0},{'peggedUSD': 189850.7}
1652486400,{'peggedUSD': 258694.26},{'peggedUSD': 0},{'peggedUSD': 258694.26},{'peggedUSD': 0},{'peggedUSD': 258694.26}
1652572800,{'peggedUSD': 212383.13},{'peggedUSD': 0},{'peggedUSD': 212659.23},{'peggedUSD': 0},{'peggedUSD': 212659.23}
1652659200,{'peggedUSD': 205154.63},{'peggedUSD': 0},{'peggedUSD': 205296.62},{'peggedUSD': 0},{'peggedUSD': 205296.62}
1652745600,{'peggedUSD': 207222.04},{'peggedUSD': 0},{'peggedUSD': 207365.45},{'peggedUSD': 0},{'peggedUSD': 207365.45}
1652832000,{'peggedUSD': 206261.01},{'peggedUSD': 0},{'peggedUSD': 206417.16},{'peggedUSD': 0},{'peggedUSD': 206417.16}
1652918400,{'peggedUSD': 215101.05},{'peggedUSD': 0},{'peggedUSD': 215353.49},{'peggedUSD': 0},{'peggedUSD': 215353.49}
1653004800,{'peggedUSD': 247230.55},{'peggedUSD': 0},{'peggedUSD': 247325.36},{'peggedUSD': 0},{'peggedUSD': 247325.36}
1653091200,{'peggedUSD': 233864.74},{'peggedUSD': 0},{'peggedUSD': 233954.43},{'peggedUSD': 0},{'peggedUSD': 233954.43}
1653177600,{'peggedUSD': 229699.56},{'peggedUSD': 0},{'peggedUSD': 229956.24},{'peggedUSD': 0},{'peggedUSD': 229956.24}
1653264000,{'peggedUSD': 201518.84},{'peggedUSD': 0},{'peggedUSD': 201505.03},{'peggedUSD': 0},{'peggedUSD': 201505.03}
1653350400,{'peggedUSD': 188320.6},{'peggedUSD': 0},{'peggedUSD': 188529.05},{'peggedUSD': 0},{'peggedUSD': 188529.05}
1653436800,{'peggedUSD': 188715.4},{'peggedUSD': 0},{'peggedUSD': 188924.29},{'peggedUSD': 0},{'peggedUSD': 188924.29}
1653523200,{'peggedUSD': 197197.52},{'peggedUSD': 0},{'peggedUSD': 197407.38},{'peggedUSD': 0},{'peggedUSD': 197407.38}
1653609600,{'peggedUSD': 194456.08},{'peggedUSD': 0},{'peggedUSD': 194835.25},{'peggedUSD': 0},{'peggedUSD': 194835.25}
1653696000,{'peggedUSD': 195511.09},{'peggedUSD': 0},{'peggedUSD': 195644.51},{'peggedUSD': 0},{'peggedUSD': 195644.51}
1653782400,{'peggedUSD': 197029.86},{'peggedUSD': 0},{'peggedUSD': 197059.65},{'peggedUSD': 0},{'peggedUSD': 197059.65}
1653868800,{'peggedUSD': 194855.62},{'peggedUSD': 0},{'peggedUSD': 194886.34},{'peggedUSD': 0},{'peggedUSD': 194886.34}
1653955200,{'peggedUSD': 201718.33},{'peggedUSD': 0},{'peggedUSD': 201741.83},{'peggedUSD': 0},{'peggedUSD': 201741.83}
