date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121138161.49},{'peggedUSD': 0},{'peggedUSD': 121138161.49}
1609459200,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121068513.92},{'peggedUSD': 0},{'peggedUSD': 121068513.92}
1609545600,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 120926639.47},{'peggedUSD': 0},{'peggedUSD': 120926639.47}
1609632000,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121329689.2},{'peggedUSD': 0},{'peggedUSD': 121329689.2}
1609718400,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 120835121.66},{'peggedUSD': 0},{'peggedUSD': 120835121.66}
1609804800,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 118608938.04},{'peggedUSD': 0},{'peggedUSD': 118608938.04}
1609891200,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 120931551.71},{'peggedUSD': 0},{'peggedUSD': 120931551.71}
1609977600,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121403104.47},{'peggedUSD': 0},{'peggedUSD': 121403104.47}
1610064000,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121158220.61},{'peggedUSD': 0},{'peggedUSD': 121158220.61}
1610150400,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121101848.28},{'peggedUSD': 0},{'peggedUSD': 121101848.28}
1610236800,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121095233.99},{'peggedUSD': 0},{'peggedUSD': 121095233.99}
1610323200,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121270394.58},{'peggedUSD': 0},{'peggedUSD': 121270394.58}
1610409600,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 120956570.83},{'peggedUSD': 0},{'peggedUSD': 120956570.83}
1610496000,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121248747.73},{'peggedUSD': 0},{'peggedUSD': 121248747.73}
1610582400,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121194463.16},{'peggedUSD': 0},{'peggedUSD': 121194463.16}
1610668800,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121146531.6},{'peggedUSD': 0},{'peggedUSD': 121146531.6}
1610755200,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121275052.71},{'peggedUSD': 0},{'peggedUSD': 121275052.71}
1610841600,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 120900835.25},{'peggedUSD': 0},{'peggedUSD': 120900835.25}
1610928000,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121064345.93},{'peggedUSD': 0},{'peggedUSD': 121064345.93}
1611014400,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 120834543.77},{'peggedUSD': 0},{'peggedUSD': 120834543.77}
1611100800,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121040495.61},{'peggedUSD': 0},{'peggedUSD': 121040495.61}
1611187200,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121102523.9},{'peggedUSD': 0},{'peggedUSD': 121102523.9}
1611273600,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121065590.64},{'peggedUSD': 0},{'peggedUSD': 121065590.64}
1611360000,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121065590.64},{'peggedUSD': 0},{'peggedUSD': 121065590.64}
1611446400,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121004676.83},{'peggedUSD': 0},{'peggedUSD': 121004676.83}
1611532800,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 120912108.41},{'peggedUSD': 0},{'peggedUSD': 120912108.41}
1611619200,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121164621.13},{'peggedUSD': 0},{'peggedUSD': 121164621.13}
1611705600,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 120977514.12},{'peggedUSD': 0},{'peggedUSD': 120977514.12}
1611792000,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 121256013.53},{'peggedUSD': 0},{'peggedUSD': 121256013.53}
1611878400,{'peggedUSD': 121000000},{'peggedUSD': 0},{'peggedUSD': 120401726.31},{'peggedUSD': 0},{'peggedUSD': 120401726.31}
