date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 407149.28},{'peggedUSD': 0},{'peggedUSD': 407149.28},{'peggedUSD': 0},{'peggedUSD': 407149.28}
1652400000,{'peggedUSD': 355184.28},{'peggedUSD': 0},{'peggedUSD': 355184.28},{'peggedUSD': 0},{'peggedUSD': 355184.28}
1652486400,{'peggedUSD': 342495.85},{'peggedUSD': 0},{'peggedUSD': 342495.85},{'peggedUSD': 0},{'peggedUSD': 342495.85}
1652572800,{'peggedUSD': 342708.89},{'peggedUSD': 0},{'peggedUSD': 343154.41},{'peggedUSD': 0},{'peggedUSD': 343154.41}
1652659200,{'peggedUSD': 341677.6},{'peggedUSD': 0},{'peggedUSD': 341914.07},{'peggedUSD': 0},{'peggedUSD': 341914.07}
1652745600,{'peggedUSD': 340287.19},{'peggedUSD': 0},{'peggedUSD': 340522.7},{'peggedUSD': 0},{'peggedUSD': 340522.7}
1652832000,{'peggedUSD': 340287.19},{'peggedUSD': 0},{'peggedUSD': 340544.79},{'peggedUSD': 0},{'peggedUSD': 340544.79}
1652918400,{'peggedUSD': 340287.19},{'peggedUSD': 0},{'peggedUSD': 340686.54},{'peggedUSD': 0},{'peggedUSD': 340686.54}
1653004800,{'peggedUSD': 340287.19},{'peggedUSD': 0},{'peggedUSD': 340417.69},{'peggedUSD': 0},{'peggedUSD': 340417.69}
1653091200,{'peggedUSD': 340287.19},{'peggedUSD': 0},{'peggedUSD': 340417.69},{'peggedUSD': 0},{'peggedUSD': 340417.69}
1653177600,{'peggedUSD': 340287.19},{'peggedUSD': 0},{'peggedUSD': 340667.44},{'peggedUSD': 0},{'peggedUSD': 340667.44}
1653264000,{'peggedUSD': 343485.6},{'peggedUSD': 0},{'peggedUSD': 343462.06},{'peggedUSD': 0},{'peggedUSD': 343462.06}
1653350400,{'peggedUSD': 341998.39},{'peggedUSD': 0},{'peggedUSD': 342376.95},{'peggedUSD': 0},{'peggedUSD': 342376.95}
1653436800,{'peggedUSD': 386364.9},{'peggedUSD': 0},{'peggedUSD': 386792.57},{'peggedUSD': 0},{'peggedUSD': 386792.57}
1653523200,{'peggedUSD': 383367.9},{'peggedUSD': 0},{'peggedUSD': 383775.88},{'peggedUSD': 0},{'peggedUSD': 383775.88}
1653609600,{'peggedUSD': 369608.97},{'peggedUSD': 0},{'peggedUSD': 370329.67},{'peggedUSD': 0},{'peggedUSD': 370329.67}
1653696000,{'peggedUSD': 369608.97},{'peggedUSD': 0},{'peggedUSD': 369861.19},{'peggedUSD': 0},{'peggedUSD': 369861.19}
1653782400,{'peggedUSD': 369608.97},{'peggedUSD': 0},{'peggedUSD': 369664.86},{'peggedUSD': 0},{'peggedUSD': 369664.86}
1653868800,{'peggedUSD': 369608.97},{'peggedUSD': 0},{'peggedUSD': 369667.25},{'peggedUSD': 0},{'peggedUSD': 369667.25}
1653955200,{'peggedUSD': 368309.71},{'peggedUSD': 0},{'peggedUSD': 368352.61},{'peggedUSD': 0},{'peggedUSD': 368352.61}
1654041600,{'peggedUSD': 372442.01},{'peggedUSD': 0},{'peggedUSD': 372485.39},{'peggedUSD': 0},{'peggedUSD': 372485.39}
1654128000,{'peggedUSD': 373444.51},{'peggedUSD': 0},{'peggedUSD': 373556.28},{'peggedUSD': 0},{'peggedUSD': 373556.28}
1654214400,{'peggedUSD': 373444.51},{'peggedUSD': 0},{'peggedUSD': 373630.84},{'peggedUSD': 0},{'peggedUSD': 373630.84}
1654300800,{'peggedUSD': 373444.51},{'peggedUSD': 0},{'peggedUSD': 373593.67},{'peggedUSD': 0},{'peggedUSD': 373593.67}
1654387200,{'peggedUSD': 373444.51},{'peggedUSD': 0},{'peggedUSD': 373745.58},{'peggedUSD': 0},{'peggedUSD': 373745.58}
