date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 796025603.72},{'peggedUSD': 0},{'peggedUSD': 796934530.04},{'peggedUSD': 918083562.47},{'peggedUSD': 0}
1609459200,{'peggedUSD': 925972035.94},{'peggedUSD': 0},{'peggedUSD': 926496349.79},{'peggedUSD': 1047575623.8},{'peggedUSD': 0}
1609545600,{'peggedUSD': 1004484993.93},{'peggedUSD': 0},{'peggedUSD': 1003875989.37},{'peggedUSD': 1124813376.31},{'peggedUSD': 0}
1609632000,{'peggedUSD': 1036402654.59},{'peggedUSD': 0},{'peggedUSD': 1039226545.15},{'peggedUSD': 1160567017.64},{'peggedUSD': 0}
1609718400,{'peggedUSD': 969097912.51},{'peggedUSD': 0},{'peggedUSD': 967777389.72},{'peggedUSD': 1088623250.72},{'peggedUSD': 0}
1609804800,{'peggedUSD': 915626337.01},{'peggedUSD': 0},{'peggedUSD': 897532789.07},{'peggedUSD': 1016152268.6},{'peggedUSD': 0}
1609891200,{'peggedUSD': 970863678.67},{'peggedUSD': 0},{'peggedUSD': 970314472.37},{'peggedUSD': 1091256771.99},{'peggedUSD': 0}
1609977600,{'peggedUSD': 983372430.97},{'peggedUSD': 0},{'peggedUSD': 986648479.1},{'peggedUSD': 1108062672.39},{'peggedUSD': 0}
1610064000,{'peggedUSD': 979842734.04},{'peggedUSD': 0},{'peggedUSD': 981123984.58},{'peggedUSD': 1102293671.16},{'peggedUSD': 0}
1610150400,{'peggedUSD': 1022181041.81},{'peggedUSD': 0},{'peggedUSD': 1023041433.37},{'peggedUSD': 1144155594},{'peggedUSD': 0}
1610236800,{'peggedUSD': 1060856973.02},{'peggedUSD': 0},{'peggedUSD': 1061691928.7},{'peggedUSD': 1182799881.69},{'peggedUSD': 0}
1610323200,{'peggedUSD': 972716722.48},{'peggedUSD': 0},{'peggedUSD': 974890419.44},{'peggedUSD': 1096173551.42},{'peggedUSD': 0}
1610409600,{'peggedUSD': 948055823.47},{'peggedUSD': 0},{'peggedUSD': 947715548.43},{'peggedUSD': 1068683456.73},{'peggedUSD': 0}
1610496000,{'peggedUSD': 927657073.7},{'peggedUSD': 0},{'peggedUSD': 929564119.93},{'peggedUSD': 1050824232.53},{'peggedUSD': 0}
1610582400,{'peggedUSD': 953054140.81},{'peggedUSD': 0},{'peggedUSD': 954585826.12},{'peggedUSD': 1075792209.48},{'peggedUSD': 0}
1610668800,{'peggedUSD': 974617962.55},{'peggedUSD': 0},{'peggedUSD': 975798229.75},{'peggedUSD': 1096956676.83},{'peggedUSD': 0}
1610755200,{'peggedUSD': 1034728071.7},{'peggedUSD': 0},{'peggedUSD': 1037080177.17},{'peggedUSD': 1158367019.01},{'peggedUSD': 0}
1610841600,{'peggedUSD': 1035814706.59},{'peggedUSD': 0},{'peggedUSD': 1034965811.5},{'peggedUSD': 1155878399.5},{'peggedUSD': 0}
1610928000,{'peggedUSD': 1035637031.78},{'peggedUSD': 0},{'peggedUSD': 1036187767.57},{'peggedUSD': 1157263882.15},{'peggedUSD': 0}
1611014400,{'peggedUSD': 1051636323.59},{'peggedUSD': 0},{'peggedUSD': 1050198308.88},{'peggedUSD': 1171044598.96},{'peggedUSD': 0}
1611100800,{'peggedUSD': 1033050204.73},{'peggedUSD': 0},{'peggedUSD': 1033395940.27},{'peggedUSD': 1154448202.21},{'peggedUSD': 0}
1611187200,{'peggedUSD': 1069587872.49},{'peggedUSD': 0},{'peggedUSD': 1070494139.58},{'peggedUSD': 1191608435.83},{'peggedUSD': 0}
1611273600,{'peggedUSD': 1036577872.42},{'peggedUSD': 0},{'peggedUSD': 1037139771.64},{'peggedUSD': 1158217131.04},{'peggedUSD': 0}
1611360000,{'peggedUSD': 1070803709.56},{'peggedUSD': 0},{'peggedUSD': 1071384161.62},{'peggedUSD': 1192461521.03},{'peggedUSD': 0}
1611446400,{'peggedUSD': 1061606534.73},{'peggedUSD': 0},{'peggedUSD': 1061647567.42},{'peggedUSD': 1182664007.09},{'peggedUSD': 0}
1611532800,{'peggedUSD': 1108053354.54},{'peggedUSD': 0},{'peggedUSD': 1107248490.33},{'peggedUSD': 1228172352.59},{'peggedUSD': 0}
1611619200,{'peggedUSD': 1078145702.02},{'peggedUSD': 0},{'peggedUSD': 1079612524.83},{'peggedUSD': 1200788924.35},{'peggedUSD': 0}
1611705600,{'peggedUSD': 1189334738.32},{'peggedUSD': 0},{'peggedUSD': 1189113719.84},{'peggedUSD': 1310102994.17},{'peggedUSD': 0}
1611792000,{'peggedUSD': 1292163200.51},{'peggedUSD': 0},{'peggedUSD': 1294897177.86},{'peggedUSD': 1416164823.69},{'peggedUSD': 0}
1611878400,{'peggedUSD': 1386986255.01},{'peggedUSD': 0},{'peggedUSD': 1380128425.37},{'peggedUSD': 1500542121.94},{'peggedUSD': 0}
1611964800,{'peggedUSD': 1364060194.46},{'peggedUSD': 0},{'peggedUSD': 1362197131.51},{'peggedUSD': 1483043880.4},{'peggedUSD': 0}
1612051200,{'peggedUSD': 1357547025.1},{'peggedUSD': 0},{'peggedUSD': 1350502910.46},{'peggedUSD': 1470887026.33},{'peggedUSD': 0}
1612137600,{'peggedUSD': 1380675127.69},{'peggedUSD': 0},{'peggedUSD': 1376671847.02},{'peggedUSD': 1497332717.06},{'peggedUSD': 0}
1612224000,{'peggedUSD': 1285557244.74},{'peggedUSD': 0},{'peggedUSD': 1282434795.37},{'peggedUSD': 1423104041.14},{'peggedUSD': 0}
1612310400,{'peggedUSD': 1284078070.25},{'peggedUSD': 0},{'peggedUSD': 1282937222.1},{'peggedUSD': 1423823683.97},{'peggedUSD': 0}
1612396800,{'peggedUSD': 1315135832.37},{'peggedUSD': 0},{'peggedUSD': 1315262855.27},{'peggedUSD': 1456289182},{'peggedUSD': 0}
1612483200,{'peggedUSD': 1414627643.74},{'peggedUSD': 0},{'peggedUSD': 1407304017.61},{'peggedUSD': 1567483150.55},{'peggedUSD': 0}
1612569600,{'peggedUSD': 1346387075.74},{'peggedUSD': 0},{'peggedUSD': 1347034040.46},{'peggedUSD': 1518128922.31},{'peggedUSD': 0}
1612656000,{'peggedUSD': 1373080228.38},{'peggedUSD': 0},{'peggedUSD': 1371714130.87},{'peggedUSD': 1552546745.66},{'peggedUSD': 0}
1612742400,{'peggedUSD': 1377708069.55},{'peggedUSD': 0},{'peggedUSD': 1372897944.6},{'peggedUSD': 1553279410.25},{'peggedUSD': 0}
1612828800,{'peggedUSD': 1438582307.05},{'peggedUSD': 0},{'peggedUSD': 1435086401.21},{'peggedUSD': 1645588877.36},{'peggedUSD': 0}
1612915200,{'peggedUSD': 1383443541.35},{'peggedUSD': 0},{'peggedUSD': 1382165062.56},{'peggedUSD': 1622958206.02},{'peggedUSD': 0}
