date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 5856.22},{'peggedUSD': 0},{'peggedUSD': 5856.22},{'peggedUSD': 0},{'peggedUSD': 5856.22}
1652400000,{'peggedUSD': 5615.7},{'peggedUSD': 0},{'peggedUSD': 5615.7},{'peggedUSD': 0},{'peggedUSD': 5615.7}
1652486400,{'peggedUSD': 5018.53},{'peggedUSD': 0},{'peggedUSD': 5018.53},{'peggedUSD': 0},{'peggedUSD': 5018.53}
1652572800,{'peggedUSD': 5015.82},{'peggedUSD': 0},{'peggedUSD': 5022.34},{'peggedUSD': 0},{'peggedUSD': 5022.34}
1652659200,{'peggedUSD': 4993.87},{'peggedUSD': 0},{'peggedUSD': 4997.33},{'peggedUSD': 0},{'peggedUSD': 4997.33}
1652745600,{'peggedUSD': 5103.29},{'peggedUSD': 0},{'peggedUSD': 5106.82},{'peggedUSD': 0},{'peggedUSD': 5106.82}
1652832000,{'peggedUSD': 5784.98},{'peggedUSD': 0},{'peggedUSD': 5789.36},{'peggedUSD': 0},{'peggedUSD': 5789.36}
1652918400,{'peggedUSD': 5137.99},{'peggedUSD': 0},{'peggedUSD': 5144.02},{'peggedUSD': 0},{'peggedUSD': 5144.02}
1653004800,{'peggedUSD': 5914.51},{'peggedUSD': 0},{'peggedUSD': 5916.78},{'peggedUSD': 0},{'peggedUSD': 5916.78}
1653091200,{'peggedUSD': 6157.13},{'peggedUSD': 0},{'peggedUSD': 6159.49},{'peggedUSD': 0},{'peggedUSD': 6159.49}
1653177600,{'peggedUSD': 5687.83},{'peggedUSD': 0},{'peggedUSD': 5694.18},{'peggedUSD': 0},{'peggedUSD': 5694.18}
1653264000,{'peggedUSD': 5673.05},{'peggedUSD': 0},{'peggedUSD': 5672.66},{'peggedUSD': 0},{'peggedUSD': 5672.66}
1653350400,{'peggedUSD': 6620.65},{'peggedUSD': 0},{'peggedUSD': 6627.98},{'peggedUSD': 0},{'peggedUSD': 6627.98}
1653436800,{'peggedUSD': 6003.03},{'peggedUSD': 0},{'peggedUSD': 6009.67},{'peggedUSD': 0},{'peggedUSD': 6009.67}
1653523200,{'peggedUSD': 6029.78},{'peggedUSD': 0},{'peggedUSD': 6036.2},{'peggedUSD': 0},{'peggedUSD': 6036.2}
1653609600,{'peggedUSD': 5971.13},{'peggedUSD': 0},{'peggedUSD': 5982.78},{'peggedUSD': 0},{'peggedUSD': 5982.78}
1653696000,{'peggedUSD': 6082.62},{'peggedUSD': 0},{'peggedUSD': 6086.78},{'peggedUSD': 0},{'peggedUSD': 6086.78}
1653782400,{'peggedUSD': 6042.68},{'peggedUSD': 0},{'peggedUSD': 6043.6},{'peggedUSD': 0},{'peggedUSD': 6043.6}
1653868800,{'peggedUSD': 6184.47},{'peggedUSD': 0},{'peggedUSD': 6185.44},{'peggedUSD': 0},{'peggedUSD': 6185.44}
1653955200,{'peggedUSD': 6221.23},{'peggedUSD': 0},{'peggedUSD': 6221.95},{'peggedUSD': 0},{'peggedUSD': 6221.95}
1654041600,{'peggedUSD': 2992.94},{'peggedUSD': 0},{'peggedUSD': 2993.29},{'peggedUSD': 0},{'peggedUSD': 2993.29}
1654128000,{'peggedUSD': 2932.75},{'peggedUSD': 0},{'peggedUSD': 2933.63},{'peggedUSD': 0},{'peggedUSD': 2933.63}
1654214400,{'peggedUSD': 3053},{'peggedUSD': 0},{'peggedUSD': 3054.53},{'peggedUSD': 0},{'peggedUSD': 3054.53}
1654300800,{'peggedUSD': 3008.58},{'peggedUSD': 0},{'peggedUSD': 3009.79},{'peggedUSD': 0},{'peggedUSD': 3009.79}
1654387200,{'peggedUSD': 3066.76},{'peggedUSD': 0},{'peggedUSD': 3069.23},{'peggedUSD': 0},{'peggedUSD': 3069.23}
1654473600,{'peggedUSD': 3177.6},{'peggedUSD': 0},{'peggedUSD': 3178.58},{'peggedUSD': 0},{'peggedUSD': 3178.58}
