date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 723383.47},{'peggedUSD': 0},{'peggedUSD': 723383.47},{'peggedUSD': 0},{'peggedUSD': 723383.47}
1652400000,{'peggedUSD': 724004.07},{'peggedUSD': 0},{'peggedUSD': 724004.07},{'peggedUSD': 0},{'peggedUSD': 724004.07}
1652486400,{'peggedUSD': 692479},{'peggedUSD': 0},{'peggedUSD': 692479},{'peggedUSD': 0},{'peggedUSD': 692479}
1652572800,{'peggedUSD': 699952.04},{'peggedUSD': 0},{'peggedUSD': 700861.97},{'peggedUSD': 0},{'peggedUSD': 700861.97}
1652659200,{'peggedUSD': 684702.48},{'peggedUSD': 0},{'peggedUSD': 685176.35},{'peggedUSD': 0},{'peggedUSD': 685176.35}
1652745600,{'peggedUSD': 687696.77},{'peggedUSD': 0},{'peggedUSD': 688172.72},{'peggedUSD': 0},{'peggedUSD': 688172.72}
1652832000,{'peggedUSD': 675991.58},{'peggedUSD': 0},{'peggedUSD': 676503.32},{'peggedUSD': 0},{'peggedUSD': 676503.32}
1652918400,{'peggedUSD': 631420.18},{'peggedUSD': 0},{'peggedUSD': 632161.19},{'peggedUSD': 0},{'peggedUSD': 632161.19}
1653004800,{'peggedUSD': 616868.94},{'peggedUSD': 0},{'peggedUSD': 617105.52},{'peggedUSD': 0},{'peggedUSD': 617105.52}
1653091200,{'peggedUSD': 600207.93},{'peggedUSD': 0},{'peggedUSD': 600438.12},{'peggedUSD': 0},{'peggedUSD': 600438.12}
1653177600,{'peggedUSD': 619228.4},{'peggedUSD': 0},{'peggedUSD': 619920.35},{'peggedUSD': 0},{'peggedUSD': 619920.35}
1653264000,{'peggedUSD': 617223.91},{'peggedUSD': 0},{'peggedUSD': 617181.6},{'peggedUSD': 0},{'peggedUSD': 617181.6}
1653350400,{'peggedUSD': 606802.19},{'peggedUSD': 0},{'peggedUSD': 607473.86},{'peggedUSD': 0},{'peggedUSD': 607473.86}
1653436800,{'peggedUSD': 602836.31},{'peggedUSD': 0},{'peggedUSD': 603503.59},{'peggedUSD': 0},{'peggedUSD': 603503.59}
1653523200,{'peggedUSD': 603519.74},{'peggedUSD': 0},{'peggedUSD': 604162},{'peggedUSD': 0},{'peggedUSD': 604162}
1653609600,{'peggedUSD': 587467.38},{'peggedUSD': 0},{'peggedUSD': 588612.89},{'peggedUSD': 0},{'peggedUSD': 588612.89}
1653696000,{'peggedUSD': 588937.36},{'peggedUSD': 0},{'peggedUSD': 589339.25},{'peggedUSD': 0},{'peggedUSD': 589339.25}
1653782400,{'peggedUSD': 588183.62},{'peggedUSD': 0},{'peggedUSD': 588272.56},{'peggedUSD': 0},{'peggedUSD': 588272.56}
1653868800,{'peggedUSD': 582775.32},{'peggedUSD': 0},{'peggedUSD': 582867.2},{'peggedUSD': 0},{'peggedUSD': 582867.2}
1653955200,{'peggedUSD': 574613.03},{'peggedUSD': 0},{'peggedUSD': 574679.96},{'peggedUSD': 0},{'peggedUSD': 574679.96}
1654041600,{'peggedUSD': 577222.05},{'peggedUSD': 0},{'peggedUSD': 577289.28},{'peggedUSD': 0},{'peggedUSD': 577289.28}
1654128000,{'peggedUSD': 569460.45},{'peggedUSD': 0},{'peggedUSD': 569630.89},{'peggedUSD': 0},{'peggedUSD': 569630.89}
1654214400,{'peggedUSD': 571035.08},{'peggedUSD': 0},{'peggedUSD': 571319.99},{'peggedUSD': 0},{'peggedUSD': 571319.99}
1654300800,{'peggedUSD': 576689.39},{'peggedUSD': 0},{'peggedUSD': 576919.72},{'peggedUSD': 0},{'peggedUSD': 576919.72}
1654387200,{'peggedUSD': 572907.74},{'peggedUSD': 0},{'peggedUSD': 573369.61},{'peggedUSD': 0},{'peggedUSD': 573369.61}
