date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 10858.55},{'peggedUSD': 0},{'peggedUSD': 10870.95},{'peggedUSD': 0},{'peggedUSD': 10870.95}
1609459200,{'peggedUSD': 10754},{'peggedUSD': 0},{'peggedUSD': 10760.09},{'peggedUSD': 0},{'peggedUSD': 10760.09}
1609545600,{'peggedUSD': 10754},{'peggedUSD': 0},{'peggedUSD': 10747.48},{'peggedUSD': 0},{'peggedUSD': 10747.48}
1609632000,{'peggedUSD': 10754},{'peggedUSD': 0},{'peggedUSD': 10783.3},{'peggedUSD': 0},{'peggedUSD': 10783.3}
1609718400,{'peggedUSD': 10754},{'peggedUSD': 0},{'peggedUSD': 10739.34},{'peggedUSD': 0},{'peggedUSD': 10739.34}
1609804800,{'peggedUSD': 10754},{'peggedUSD': 0},{'peggedUSD': 10541.49},{'peggedUSD': 0},{'peggedUSD': 10541.49}
1609891200,{'peggedUSD': 10754},{'peggedUSD': 0},{'peggedUSD': 10747.91},{'peggedUSD': 0},{'peggedUSD': 10747.91}
1609977600,{'peggedUSD': 11052},{'peggedUSD': 0},{'peggedUSD': 11088.82},{'peggedUSD': 0},{'peggedUSD': 11088.82}
1610064000,{'peggedUSD': 11451},{'peggedUSD': 0},{'peggedUSD': 11465.97},{'peggedUSD': 0},{'peggedUSD': 11465.97}
1610150400,{'peggedUSD': 12302},{'peggedUSD': 0},{'peggedUSD': 12312.35},{'peggedUSD': 0},{'peggedUSD': 12312.35}
1610236800,{'peggedUSD': 12709},{'peggedUSD': 0},{'peggedUSD': 12719},{'peggedUSD': 0},{'peggedUSD': 12719}
1610323200,{'peggedUSD': 12709},{'peggedUSD': 0},{'peggedUSD': 12737.4},{'peggedUSD': 0},{'peggedUSD': 12737.4}
1610409600,{'peggedUSD': 11341.55},{'peggedUSD': 0},{'peggedUSD': 11337.48},{'peggedUSD': 0},{'peggedUSD': 11337.48}
1610496000,{'peggedUSD': 11341.55},{'peggedUSD': 0},{'peggedUSD': 11364.87},{'peggedUSD': 0},{'peggedUSD': 11364.87}
1610582400,{'peggedUSD': 11901.07},{'peggedUSD': 0},{'peggedUSD': 11920.2},{'peggedUSD': 0},{'peggedUSD': 11920.2}
1610668800,{'peggedUSD': 11901.07},{'peggedUSD': 0},{'peggedUSD': 11915.48},{'peggedUSD': 0},{'peggedUSD': 11915.48}
1610755200,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11789.13},{'peggedUSD': 0},{'peggedUSD': 11789.13}
1610841600,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11752.75},{'peggedUSD': 0},{'peggedUSD': 11752.75}
1610928000,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11768.64},{'peggedUSD': 0},{'peggedUSD': 11768.64}
1611014400,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11746.31},{'peggedUSD': 0},{'peggedUSD': 11746.31}
1611100800,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11766.33},{'peggedUSD': 0},{'peggedUSD': 11766.33}
1611187200,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11772.36},{'peggedUSD': 0},{'peggedUSD': 11772.36}
1611273600,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11768.77},{'peggedUSD': 0},{'peggedUSD': 11768.77}
1611360000,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11768.77},{'peggedUSD': 0},{'peggedUSD': 11768.77}
1611446400,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11762.84},{'peggedUSD': 0},{'peggedUSD': 11762.84}
1611532800,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11753.85},{'peggedUSD': 0},{'peggedUSD': 11753.85}
1611619200,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11778.39},{'peggedUSD': 0},{'peggedUSD': 11778.39}
1611705600,{'peggedUSD': 11762.39},{'peggedUSD': 0},{'peggedUSD': 11760.2},{'peggedUSD': 0},{'peggedUSD': 11760.2}
1611792000,{'peggedUSD': 11607.74},{'peggedUSD': 0},{'peggedUSD': 11632.3},{'peggedUSD': 0},{'peggedUSD': 11632.3}
1611878400,{'peggedUSD': 12029.74},{'peggedUSD': 0},{'peggedUSD': 11970.26},{'peggedUSD': 0},{'peggedUSD': 11970.26}
1611964800,{'peggedUSD': 12029.74},{'peggedUSD': 0},{'peggedUSD': 12013.31},{'peggedUSD': 0},{'peggedUSD': 12013.31}
1612051200,{'peggedUSD': 12029.74},{'peggedUSD': 0},{'peggedUSD': 11967.32},{'peggedUSD': 0},{'peggedUSD': 11967.32}
1612137600,{'peggedUSD': 11744.74},{'peggedUSD': 0},{'peggedUSD': 11710.69},{'peggedUSD': 0},{'peggedUSD': 11710.69}
1612224000,{'peggedUSD': 11744.74},{'peggedUSD': 0},{'peggedUSD': 11716.21},{'peggedUSD': 0},{'peggedUSD': 11716.21}
1612310400,{'peggedUSD': 11744.74},{'peggedUSD': 0},{'peggedUSD': 11734.31},{'peggedUSD': 0},{'peggedUSD': 11734.31}
1612396800,{'peggedUSD': 12706.97},{'peggedUSD': 0},{'peggedUSD': 12708.2},{'peggedUSD': 0},{'peggedUSD': 12708.2}
1612483200,{'peggedUSD': 12706.97},{'peggedUSD': 0},{'peggedUSD': 12641.19},{'peggedUSD': 0},{'peggedUSD': 12641.19}
1612569600,{'peggedUSD': 12706.97},{'peggedUSD': 0},{'peggedUSD': 12713.08},{'peggedUSD': 0},{'peggedUSD': 12713.08}
1612656000,{'peggedUSD': 12706.97},{'peggedUSD': 0},{'peggedUSD': 12694.33},{'peggedUSD': 0},{'peggedUSD': 12694.33}
1612742400,{'peggedUSD': 13455.37},{'peggedUSD': 0},{'peggedUSD': 13408.39},{'peggedUSD': 0},{'peggedUSD': 13408.39}
1612828800,{'peggedUSD': 15265.37},{'peggedUSD': 0},{'peggedUSD': 15228.27},{'peggedUSD': 0},{'peggedUSD': 15228.27}
1612915200,{'peggedUSD': 15872.95},{'peggedUSD': 0},{'peggedUSD': 15858.28},{'peggedUSD': 0},{'peggedUSD': 15858.28}
1613001600,{'peggedUSD': 15872.95},{'peggedUSD': 0},{'peggedUSD': 15852.99},{'peggedUSD': 0},{'peggedUSD': 15852.99}
1613088000,{'peggedUSD': 36880.29},{'peggedUSD': 0},{'peggedUSD': 36771.73},{'peggedUSD': 0},{'peggedUSD': 36771.73}
1613174400,{'peggedUSD': 36880.29},{'peggedUSD': 0},{'peggedUSD': 36777.09},{'peggedUSD': 0},{'peggedUSD': 36777.09}
1613260800,{'peggedUSD': 51894.29},{'peggedUSD': 0},{'peggedUSD': 51680.22},{'peggedUSD': 0},{'peggedUSD': 51680.22}
1613347200,{'peggedUSD': 51894.29},{'peggedUSD': 0},{'peggedUSD': 51830.21},{'peggedUSD': 0},{'peggedUSD': 51830.21}
1613433600,{'peggedUSD': 51894.29},{'peggedUSD': 0},{'peggedUSD': 51857.95},{'peggedUSD': 0},{'peggedUSD': 51857.95}
1613520000,{'peggedUSD': 51894.29},{'peggedUSD': 0},{'peggedUSD': 51938.41},{'peggedUSD': 0},{'peggedUSD': 51938.41}
