date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 163571.91},{'peggedUSD': 0},{'peggedUSD': 163571.91},{'peggedUSD': 0},{'peggedUSD': 163571.91}
1652400000,{'peggedUSD': 163371.91},{'peggedUSD': 0},{'peggedUSD': 163371.91},{'peggedUSD': 0},{'peggedUSD': 163371.91}
1652486400,{'peggedUSD': 163379.81},{'peggedUSD': 0},{'peggedUSD': 163379.81},{'peggedUSD': 0},{'peggedUSD': 163379.81}
1652572800,{'peggedUSD': 158379.81},{'peggedUSD': 0},{'peggedUSD': 158585.7},{'peggedUSD': 0},{'peggedUSD': 158585.7}
1652659200,{'peggedUSD': 158379.81},{'peggedUSD': 0},{'peggedUSD': 158489.42},{'peggedUSD': 0},{'peggedUSD': 158489.42}
1652745600,{'peggedUSD': 158394.81},{'peggedUSD': 0},{'peggedUSD': 158504.43},{'peggedUSD': 0},{'peggedUSD': 158504.43}
1652832000,{'peggedUSD': 158394.81},{'peggedUSD': 0},{'peggedUSD': 158514.72},{'peggedUSD': 0},{'peggedUSD': 158514.72}
1652918400,{'peggedUSD': 158394.81},{'peggedUSD': 0},{'peggedUSD': 158580.69},{'peggedUSD': 0},{'peggedUSD': 158580.69}
1653004800,{'peggedUSD': 158394.81},{'peggedUSD': 0},{'peggedUSD': 158455.55},{'peggedUSD': 0},{'peggedUSD': 158455.55}
1653091200,{'peggedUSD': 168250.25},{'peggedUSD': 0},{'peggedUSD': 168314.78},{'peggedUSD': 0},{'peggedUSD': 168314.78}
1653177600,{'peggedUSD': 168250.25},{'peggedUSD': 0},{'peggedUSD': 168438.26},{'peggedUSD': 0},{'peggedUSD': 168438.26}
1653264000,{'peggedUSD': 166878.35},{'peggedUSD': 0},{'peggedUSD': 166866.92},{'peggedUSD': 0},{'peggedUSD': 166866.92}
1653350400,{'peggedUSD': 166878.35},{'peggedUSD': 0},{'peggedUSD': 167063.07},{'peggedUSD': 0},{'peggedUSD': 167063.07}
1653436800,{'peggedUSD': 166627.35},{'peggedUSD': 0},{'peggedUSD': 166811.79},{'peggedUSD': 0},{'peggedUSD': 166811.79}
1653523200,{'peggedUSD': 165828.96},{'peggedUSD': 0},{'peggedUSD': 166005.44},{'peggedUSD': 0},{'peggedUSD': 166005.44}
1653609600,{'peggedUSD': 165265.59},{'peggedUSD': 0},{'peggedUSD': 165587.84},{'peggedUSD': 0},{'peggedUSD': 165587.84}
1653696000,{'peggedUSD': 164322.33},{'peggedUSD': 0},{'peggedUSD': 164434.46},{'peggedUSD': 0},{'peggedUSD': 164434.46}
1653782400,{'peggedUSD': 164322.33},{'peggedUSD': 0},{'peggedUSD': 164347.17},{'peggedUSD': 0},{'peggedUSD': 164347.17}
1653868800,{'peggedUSD': 164322.33},{'peggedUSD': 0},{'peggedUSD': 164348.23},{'peggedUSD': 0},{'peggedUSD': 164348.23}
1653955200,{'peggedUSD': 164322.33},{'peggedUSD': 0},{'peggedUSD': 164341.47},{'peggedUSD': 0},{'peggedUSD': 164341.47}
1654041600,{'peggedUSD': 172168.32},{'peggedUSD': 0},{'peggedUSD': 172188.37},{'peggedUSD': 0},{'peggedUSD': 172188.37}
1654128000,{'peggedUSD': 172168.32},{'peggedUSD': 0},{'peggedUSD': 172219.85},{'peggedUSD': 0},{'peggedUSD': 172219.85}
1654214400,{'peggedUSD': 172014.47},{'peggedUSD': 0},{'peggedUSD': 172100.29},{'peggedUSD': 0},{'peggedUSD': 172100.29}
