date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1123916.35},{'peggedUSD': 0},{'peggedUSD': 1123916.35},{'peggedUSD': 0},{'peggedUSD': 1123916.35}
1652400000,{'peggedUSD': 1126945.15},{'peggedUSD': 0},{'peggedUSD': 1126945.15},{'peggedUSD': 0},{'peggedUSD': 1126945.15}
1652486400,{'peggedUSD': 1136212.66},{'peggedUSD': 0},{'peggedUSD': 1136212.66},{'peggedUSD': 0},{'peggedUSD': 1136212.66}
1652572800,{'peggedUSD': 1133869.01},{'peggedUSD': 0},{'peggedUSD': 1135343.04},{'peggedUSD': 0},{'peggedUSD': 1135343.04}
1652659200,{'peggedUSD': 1136824.95},{'peggedUSD': 0},{'peggedUSD': 1137611.74},{'peggedUSD': 0},{'peggedUSD': 1137611.74}
1652745600,{'peggedUSD': 1136852.85},{'peggedUSD': 0},{'peggedUSD': 1137639.66},{'peggedUSD': 0},{'peggedUSD': 1137639.66}
1652832000,{'peggedUSD': 1136597.57},{'peggedUSD': 0},{'peggedUSD': 1137458},{'peggedUSD': 0},{'peggedUSD': 1137458}
1652918400,{'peggedUSD': 1128453.98},{'peggedUSD': 0},{'peggedUSD': 1129778.29},{'peggedUSD': 0},{'peggedUSD': 1129778.29}
1653004800,{'peggedUSD': 1126150.77},{'peggedUSD': 0},{'peggedUSD': 1126582.66},{'peggedUSD': 0},{'peggedUSD': 1126582.66}
1653091200,{'peggedUSD': 1126132.1},{'peggedUSD': 0},{'peggedUSD': 1126563.98},{'peggedUSD': 0},{'peggedUSD': 1126563.98}
1653177600,{'peggedUSD': 1083794.34},{'peggedUSD': 0},{'peggedUSD': 1085005.42},{'peggedUSD': 0},{'peggedUSD': 1085005.42}
1653264000,{'peggedUSD': 1084735.85},{'peggedUSD': 0},{'peggedUSD': 1084661.5},{'peggedUSD': 0},{'peggedUSD': 1084661.5}
1653350400,{'peggedUSD': 1105575.12},{'peggedUSD': 0},{'peggedUSD': 1106798.88},{'peggedUSD': 0},{'peggedUSD': 1106798.88}
1653436800,{'peggedUSD': 1094182.63},{'peggedUSD': 0},{'peggedUSD': 1095393.78},{'peggedUSD': 0},{'peggedUSD': 1095393.78}
1653523200,{'peggedUSD': 1094182.63},{'peggedUSD': 0},{'peggedUSD': 1095347.06},{'peggedUSD': 0},{'peggedUSD': 1095347.06}
1653609600,{'peggedUSD': 1091837.68},{'peggedUSD': 0},{'peggedUSD': 1093966.65},{'peggedUSD': 0},{'peggedUSD': 1093966.65}
1653696000,{'peggedUSD': 1095986.33},{'peggedUSD': 0},{'peggedUSD': 1096734.25},{'peggedUSD': 0},{'peggedUSD': 1096734.25}
1653782400,{'peggedUSD': 1097603.28},{'peggedUSD': 0},{'peggedUSD': 1097769.25},{'peggedUSD': 0},{'peggedUSD': 1097769.25}
1653868800,{'peggedUSD': 1097603.28},{'peggedUSD': 0},{'peggedUSD': 1097776.34},{'peggedUSD': 0},{'peggedUSD': 1097776.34}
1653955200,{'peggedUSD': 1099823.5},{'peggedUSD': 0},{'peggedUSD': 1099951.61},{'peggedUSD': 0},{'peggedUSD': 1099951.61}
1654041600,{'peggedUSD': 1085673.85},{'peggedUSD': 0},{'peggedUSD': 1085800.31},{'peggedUSD': 0},{'peggedUSD': 1085800.31}
1654128000,{'peggedUSD': 1037250.12},{'peggedUSD': 0},{'peggedUSD': 1037560.57},{'peggedUSD': 0},{'peggedUSD': 1037560.57}
1654214400,{'peggedUSD': 1037242.1},{'peggedUSD': 0},{'peggedUSD': 1037759.62},{'peggedUSD': 0},{'peggedUSD': 1037759.62}
1654300800,{'peggedUSD': 1031168.16},{'peggedUSD': 0},{'peggedUSD': 1031580.01},{'peggedUSD': 0},{'peggedUSD': 1031580.01}
1654387200,{'peggedUSD': 1031368.16},{'peggedUSD': 0},{'peggedUSD': 1032199.63},{'peggedUSD': 0},{'peggedUSD': 1032199.63}
1654473600,{'peggedUSD': 1031255.73},{'peggedUSD': 0},{'peggedUSD': 1031575.13},{'peggedUSD': 0},{'peggedUSD': 1031575.13}
1654560000,{'peggedUSD': 1027423},{'peggedUSD': 0},{'peggedUSD': 1027632.1},{'peggedUSD': 0},{'peggedUSD': 1027632.1}
1654646400,{'peggedUSD': 1027272.94},{'peggedUSD': 0},{'peggedUSD': 1027482},{'peggedUSD': 0},{'peggedUSD': 1027482}
1654732800,{'peggedUSD': 1028520},{'peggedUSD': 0},{'peggedUSD': 1028860.08},{'peggedUSD': 0},{'peggedUSD': 1028860.08}
1654819200,{'peggedUSD': 1027064.9},{'peggedUSD': 0},{'peggedUSD': 1027832.27},{'peggedUSD': 0},{'peggedUSD': 1027832.27}
1654905600,{'peggedUSD': 1023522.78},{'peggedUSD': 0},{'peggedUSD': 1024507.46},{'peggedUSD': 0},{'peggedUSD': 1024507.46}
1654992000,{'peggedUSD': 1023735.87},{'peggedUSD': 0},{'peggedUSD': 1024247.14},{'peggedUSD': 0},{'peggedUSD': 1024247.14}
1655078400,{'peggedUSD': 1023681.51},{'peggedUSD': 0},{'peggedUSD': 1024705.19},{'peggedUSD': 0},{'peggedUSD': 1024705.19}
1655164800,{'peggedUSD': 1018341.23},{'peggedUSD': 0},{'peggedUSD': 1018843.13},{'peggedUSD': 0},{'peggedUSD': 1018843.13}
1655251200,{'peggedUSD': 1018407.81},{'peggedUSD': 0},{'peggedUSD': 1019117.91},{'peggedUSD': 0},{'peggedUSD': 1019117.91}
1655337600,{'peggedUSD': 1020372.57},{'peggedUSD': 0},{'peggedUSD': 1020716.88},{'peggedUSD': 0},{'peggedUSD': 1020716.88}
1655424000,{'peggedUSD': 1017850.13},{'peggedUSD': 0},{'peggedUSD': 1018644.53},{'peggedUSD': 0},{'peggedUSD': 1018644.53}
1655510400,{'peggedUSD': 1017025.65},{'peggedUSD': 0},{'peggedUSD': 1018042.67},{'peggedUSD': 0},{'peggedUSD': 1018042.67}
1655596800,{'peggedUSD': 1010841.58},{'peggedUSD': 0},{'peggedUSD': 1011628.5},{'peggedUSD': 0},{'peggedUSD': 1011628.5}
1655683200,{'peggedUSD': 1035865.03},{'peggedUSD': 0},{'peggedUSD': 1036558.98},{'peggedUSD': 0},{'peggedUSD': 1036558.98}
1655769600,{'peggedUSD': 1037134.26},{'peggedUSD': 0},{'peggedUSD': 1037310.86},{'peggedUSD': 0},{'peggedUSD': 1037310.86}
1655856000,{'peggedUSD': 1035929.33},{'peggedUSD': 0},{'peggedUSD': 1036031.85},{'peggedUSD': 0},{'peggedUSD': 1036031.85}
1655942400,{'peggedUSD': 1036380.6},{'peggedUSD': 0},{'peggedUSD': 1037032.47},{'peggedUSD': 0},{'peggedUSD': 1037032.47}
1656028800,{'peggedUSD': 1036834.86},{'peggedUSD': 0},{'peggedUSD': 1037100.61},{'peggedUSD': 0},{'peggedUSD': 1037100.61}
1656115200,{'peggedUSD': 1036834.86},{'peggedUSD': 0},{'peggedUSD': 1036929.43},{'peggedUSD': 0},{'peggedUSD': 1036929.43}
1656201600,{'peggedUSD': 1036683.06},{'peggedUSD': 0},{'peggedUSD': 1037142.78},{'peggedUSD': 0},{'peggedUSD': 1037142.78}
1656288000,{'peggedUSD': 1035555.13},{'peggedUSD': 0},{'peggedUSD': 1035968.73},{'peggedUSD': 0},{'peggedUSD': 1035968.73}
1656374400,{'peggedUSD': 1035291.62},{'peggedUSD': 0},{'peggedUSD': 1035705.12},{'peggedUSD': 0},{'peggedUSD': 1035705.12}
1656460800,{'peggedUSD': 1033626.21},{'peggedUSD': 0},{'peggedUSD': 1034059.85},{'peggedUSD': 0},{'peggedUSD': 1034059.85}
1656547200,{'peggedUSD': 1033989.41},{'peggedUSD': 0},{'peggedUSD': 1034033.81},{'peggedUSD': 0},{'peggedUSD': 1034033.81}
1656633600,{'peggedUSD': 1033586.84},{'peggedUSD': 0},{'peggedUSD': 1035715.88},{'peggedUSD': 0},{'peggedUSD': 1035715.88}
1656720000,{'peggedUSD': 1034763.32},{'peggedUSD': 0},{'peggedUSD': 1035689.5},{'peggedUSD': 0},{'peggedUSD': 1035689.5}
1656806400,{'peggedUSD': 1035261.02},{'peggedUSD': 0},{'peggedUSD': 1035634.62},{'peggedUSD': 0},{'peggedUSD': 1035634.62}
1656892800,{'peggedUSD': 1033503.64},{'peggedUSD': 0},{'peggedUSD': 1034206.82},{'peggedUSD': 0},{'peggedUSD': 1034206.82}
1656979200,{'peggedUSD': 1033503.64},{'peggedUSD': 0},{'peggedUSD': 1033538.74},{'peggedUSD': 0},{'peggedUSD': 1033538.74}
1657065600,{'peggedUSD': 1033583.64},{'peggedUSD': 0},{'peggedUSD': 1034962.5},{'peggedUSD': 0},{'peggedUSD': 1034962.5}
1657152000,{'peggedUSD': 1032155.21},{'peggedUSD': 0},{'peggedUSD': 1032370.83},{'peggedUSD': 0},{'peggedUSD': 1032370.83}
1657238400,{'peggedUSD': 1037663.38},{'peggedUSD': 0},{'peggedUSD': 1038171.15},{'peggedUSD': 0},{'peggedUSD': 1038171.15}
1657324800,{'peggedUSD': 1033204.28},{'peggedUSD': 0},{'peggedUSD': 1033616.94},{'peggedUSD': 0},{'peggedUSD': 1033616.94}
1657411200,{'peggedUSD': 1033704.28},{'peggedUSD': 0},{'peggedUSD': 1034117.14},{'peggedUSD': 0},{'peggedUSD': 1034117.14}
1657497600,{'peggedUSD': 1033704.28},{'peggedUSD': 0},{'peggedUSD': 1035089.68},{'peggedUSD': 0},{'peggedUSD': 1035089.68}
1657584000,{'peggedUSD': 1032725.35},{'peggedUSD': 0},{'peggedUSD': 1034109.44},{'peggedUSD': 0},{'peggedUSD': 1034109.44}
1657670400,{'peggedUSD': 1032382.35},{'peggedUSD': 0},{'peggedUSD': 1033449.86},{'peggedUSD': 0},{'peggedUSD': 1033449.86}
1657756800,{'peggedUSD': 1030937.13},{'peggedUSD': 0},{'peggedUSD': 1031252.35},{'peggedUSD': 0},{'peggedUSD': 1031252.35}
1657843200,{'peggedUSD': 1030816.74},{'peggedUSD': 0},{'peggedUSD': 1031065.87},{'peggedUSD': 0},{'peggedUSD': 1031065.87}
1657929600,{'peggedUSD': 1032015.88},{'peggedUSD': 0},{'peggedUSD': 1032265.3},{'peggedUSD': 0},{'peggedUSD': 1032265.3}
1658016000,{'peggedUSD': 1031926.58},{'peggedUSD': 0},{'peggedUSD': 1032078.08},{'peggedUSD': 0},{'peggedUSD': 1032078.08}
1658102400,{'peggedUSD': 1033350.27},{'peggedUSD': 0},{'peggedUSD': 1033356.42},{'peggedUSD': 0},{'peggedUSD': 1033356.42}
1658188800,{'peggedUSD': 1034412.83},{'peggedUSD': 0},{'peggedUSD': 1034205.95},{'peggedUSD': 0},{'peggedUSD': 1034205.95}
1658275200,{'peggedUSD': 1032038.71},{'peggedUSD': 0},{'peggedUSD': 1031935.51},{'peggedUSD': 0},{'peggedUSD': 1031935.51}
1658361600,{'peggedUSD': 1034664.32},{'peggedUSD': 0},{'peggedUSD': 1034607.61},{'peggedUSD': 0},{'peggedUSD': 1034607.61}
1658448000,{'peggedUSD': 1052782.11},{'peggedUSD': 0},{'peggedUSD': 1052809.65},{'peggedUSD': 0},{'peggedUSD': 1052809.65}
1658534400,{'peggedUSD': 1079765.36},{'peggedUSD': 0},{'peggedUSD': 1079765.36},{'peggedUSD': 0},{'peggedUSD': 1079765.36}
1658620800,{'peggedUSD': 1087411.5},{'peggedUSD': 0},{'peggedUSD': 1087823.44},{'peggedUSD': 0},{'peggedUSD': 1087823.44}
1658707200,{'peggedUSD': 1062929.36},{'peggedUSD': 0},{'peggedUSD': 1063017.05},{'peggedUSD': 0},{'peggedUSD': 1063017.05}
1658793600,{'peggedUSD': 1066941.82},{'peggedUSD': 0},{'peggedUSD': 1066884.85},{'peggedUSD': 0},{'peggedUSD': 1066884.85}
1658880000,{'peggedUSD': 1066245.35},{'peggedUSD': 0},{'peggedUSD': 1066751.77},{'peggedUSD': 0},{'peggedUSD': 1066751.77}
1658966400,{'peggedUSD': 1063907.77},{'peggedUSD': 0},{'peggedUSD': 1063901.84},{'peggedUSD': 0},{'peggedUSD': 1063901.84}
1659052800,{'peggedUSD': 1061887.38},{'peggedUSD': 0},{'peggedUSD': 1062104.59},{'peggedUSD': 0},{'peggedUSD': 1062104.59}
1659139200,{'peggedUSD': 1062115.23},{'peggedUSD': 0},{'peggedUSD': 1062041.28},{'peggedUSD': 0},{'peggedUSD': 1062041.28}
1659225600,{'peggedUSD': 1065392.44},{'peggedUSD': 0},{'peggedUSD': 1065192.76},{'peggedUSD': 0},{'peggedUSD': 1065192.76}
1659312000,{'peggedUSD': 1064661.99},{'peggedUSD': 0},{'peggedUSD': 1064552.81},{'peggedUSD': 0},{'peggedUSD': 1064552.81}
1659398400,{'peggedUSD': 1064783.92},{'peggedUSD': 0},{'peggedUSD': 1064671.49},{'peggedUSD': 0},{'peggedUSD': 1064671.49}
1659484800,{'peggedUSD': 1063783.92},{'peggedUSD': 0},{'peggedUSD': 1064015.96},{'peggedUSD': 0},{'peggedUSD': 1064015.96}
1659571200,{'peggedUSD': 1065001.54},{'peggedUSD': 0},{'peggedUSD': 1065377.38},{'peggedUSD': 0},{'peggedUSD': 1065377.38}
1659657600,{'peggedUSD': 1067015.16},{'peggedUSD': 0},{'peggedUSD': 1066967.43},{'peggedUSD': 0},{'peggedUSD': 1066967.43}
1659744000,{'peggedUSD': 1070479.48},{'peggedUSD': 0},{'peggedUSD': 1070540.32},{'peggedUSD': 0},{'peggedUSD': 1070540.32}
1659830400,{'peggedUSD': 1072156.09},{'peggedUSD': 0},{'peggedUSD': 1072217.03},{'peggedUSD': 0},{'peggedUSD': 1072217.03}
1659916800,{'peggedUSD': 1104005.46},{'peggedUSD': 0},{'peggedUSD': 1104182.9},{'peggedUSD': 0},{'peggedUSD': 1104182.9}
1660003200,{'peggedUSD': 1106310.93},{'peggedUSD': 0},{'peggedUSD': 1106247},{'peggedUSD': 0},{'peggedUSD': 1106247}
1660089600,{'peggedUSD': 1095758.03},{'peggedUSD': 0},{'peggedUSD': 1095648.46},{'peggedUSD': 0},{'peggedUSD': 1095648.46}
1660176000,{'peggedUSD': 1099715.74},{'peggedUSD': 0},{'peggedUSD': 1099699.54},{'peggedUSD': 0},{'peggedUSD': 1099699.54}
