date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1362853.3},{'peggedUSD': 0},{'peggedUSD': 1362853.3},{'peggedUSD': 0},{'peggedUSD': 1362853.3}
1652400000,{'peggedUSD': 1198486.07},{'peggedUSD': 0},{'peggedUSD': 1198486.07},{'peggedUSD': 0},{'peggedUSD': 1198486.07}
1652486400,{'peggedUSD': 1204096.92},{'peggedUSD': 0},{'peggedUSD': 1204096.92},{'peggedUSD': 0},{'peggedUSD': 1204096.92}
1652572800,{'peggedUSD': 1201139.73},{'peggedUSD': 0},{'peggedUSD': 1202701.21},{'peggedUSD': 0},{'peggedUSD': 1202701.21}
1652659200,{'peggedUSD': 1195108.6},{'peggedUSD': 0},{'peggedUSD': 1195935.72},{'peggedUSD': 0},{'peggedUSD': 1195935.72}
1652745600,{'peggedUSD': 1194104.25},{'peggedUSD': 0},{'peggedUSD': 1194930.68},{'peggedUSD': 0},{'peggedUSD': 1194930.68}
1652832000,{'peggedUSD': 1193794.3},{'peggedUSD': 0},{'peggedUSD': 1194698.02},{'peggedUSD': 0},{'peggedUSD': 1194698.02}
1652918400,{'peggedUSD': 1193339.64},{'peggedUSD': 0},{'peggedUSD': 1194740.1},{'peggedUSD': 0},{'peggedUSD': 1194740.1}
1653004800,{'peggedUSD': 1193666.97},{'peggedUSD': 0},{'peggedUSD': 1194124.75},{'peggedUSD': 0},{'peggedUSD': 1194124.75}
1653091200,{'peggedUSD': 1204264.8},{'peggedUSD': 0},{'peggedUSD': 1204726.65},{'peggedUSD': 0},{'peggedUSD': 1204726.65}
1653177600,{'peggedUSD': 1205715.13},{'peggedUSD': 0},{'peggedUSD': 1207062.45},{'peggedUSD': 0},{'peggedUSD': 1207062.45}
1653264000,{'peggedUSD': 1204139.8},{'peggedUSD': 0},{'peggedUSD': 1204057.27},{'peggedUSD': 0},{'peggedUSD': 1204057.27}
1653350400,{'peggedUSD': 1202965.37},{'peggedUSD': 0},{'peggedUSD': 1204296.93},{'peggedUSD': 0},{'peggedUSD': 1204296.93}
1653436800,{'peggedUSD': 1206822.07},{'peggedUSD': 0},{'peggedUSD': 1208157.9},{'peggedUSD': 0},{'peggedUSD': 1208157.9}
1653523200,{'peggedUSD': 1236990.83},{'peggedUSD': 0},{'peggedUSD': 1238307.24},{'peggedUSD': 0},{'peggedUSD': 1238307.24}
1653609600,{'peggedUSD': 1205577.4},{'peggedUSD': 0},{'peggedUSD': 1207928.16},{'peggedUSD': 0},{'peggedUSD': 1207928.16}
1653696000,{'peggedUSD': 1204756.29},{'peggedUSD': 0},{'peggedUSD': 1205578.43},{'peggedUSD': 0},{'peggedUSD': 1205578.43}
1653782400,{'peggedUSD': 1152653.36},{'peggedUSD': 0},{'peggedUSD': 1152827.65},{'peggedUSD': 0},{'peggedUSD': 1152827.65}
1653868800,{'peggedUSD': 1152321.91},{'peggedUSD': 0},{'peggedUSD': 1152503.6},{'peggedUSD': 0},{'peggedUSD': 1152503.6}
1653955200,{'peggedUSD': 1162830.05},{'peggedUSD': 0},{'peggedUSD': 1162965.49},{'peggedUSD': 0},{'peggedUSD': 1162965.49}
1654041600,{'peggedUSD': 1161965.11},{'peggedUSD': 0},{'peggedUSD': 1162100.46},{'peggedUSD': 0},{'peggedUSD': 1162100.46}
1654128000,{'peggedUSD': 1160146.26},{'peggedUSD': 0},{'peggedUSD': 1160493.49},{'peggedUSD': 0},{'peggedUSD': 1160493.49}
1654214400,{'peggedUSD': 1159033.57},{'peggedUSD': 0},{'peggedUSD': 1159611.86},{'peggedUSD': 0},{'peggedUSD': 1159611.86}
1654300800,{'peggedUSD': 1157481.29},{'peggedUSD': 0},{'peggedUSD': 1157943.58},{'peggedUSD': 0},{'peggedUSD': 1157943.58}
1654387200,{'peggedUSD': 1156637.44},{'peggedUSD': 0},{'peggedUSD': 1157569.89},{'peggedUSD': 0},{'peggedUSD': 1157569.89}
1654473600,{'peggedUSD': 1156113.14},{'peggedUSD': 0},{'peggedUSD': 1156471.21},{'peggedUSD': 0},{'peggedUSD': 1156471.21}
1654560000,{'peggedUSD': 1156582.03},{'peggedUSD': 0},{'peggedUSD': 1156817.4},{'peggedUSD': 0},{'peggedUSD': 1156817.4}
1654646400,{'peggedUSD': 1157374.24},{'peggedUSD': 0},{'peggedUSD': 1157609.78},{'peggedUSD': 0},{'peggedUSD': 1157609.78}
1654732800,{'peggedUSD': 1157199.67},{'peggedUSD': 0},{'peggedUSD': 1157582.3},{'peggedUSD': 0},{'peggedUSD': 1157582.3}
1654819200,{'peggedUSD': 1141335.33},{'peggedUSD': 0},{'peggedUSD': 1142188.08},{'peggedUSD': 0},{'peggedUSD': 1142188.08}
1654905600,{'peggedUSD': 1140654.38},{'peggedUSD': 0},{'peggedUSD': 1141751.75},{'peggedUSD': 0},{'peggedUSD': 1141751.75}
1654992000,{'peggedUSD': 1128042.77},{'peggedUSD': 0},{'peggedUSD': 1128606.13},{'peggedUSD': 0},{'peggedUSD': 1128606.13}
1655078400,{'peggedUSD': 1129489.18},{'peggedUSD': 0},{'peggedUSD': 1130618.67},{'peggedUSD': 0},{'peggedUSD': 1130618.67}
1655164800,{'peggedUSD': 1105615.87},{'peggedUSD': 0},{'peggedUSD': 1106160.78},{'peggedUSD': 0},{'peggedUSD': 1106160.78}
1655251200,{'peggedUSD': 1094974.09},{'peggedUSD': 0},{'peggedUSD': 1095737.57},{'peggedUSD': 0},{'peggedUSD': 1095737.57}
1655337600,{'peggedUSD': 1103799.14},{'peggedUSD': 0},{'peggedUSD': 1104171.61},{'peggedUSD': 0},{'peggedUSD': 1104171.61}
1655424000,{'peggedUSD': 1102219.6},{'peggedUSD': 0},{'peggedUSD': 1103079.85},{'peggedUSD': 0},{'peggedUSD': 1103079.85}
1655510400,{'peggedUSD': 1105800.36},{'peggedUSD': 0},{'peggedUSD': 1106906.16},{'peggedUSD': 0},{'peggedUSD': 1106906.16}
1655596800,{'peggedUSD': 1105994.36},{'peggedUSD': 0},{'peggedUSD': 1106855.35},{'peggedUSD': 0},{'peggedUSD': 1106855.35}
