date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 3287.13},{'peggedUSD': 0},{'peggedUSD': 3287.13},{'peggedUSD': 0},{'peggedUSD': 3287.13}
1652400000,{'peggedUSD': 3261.31},{'peggedUSD': 0},{'peggedUSD': 3261.31},{'peggedUSD': 0},{'peggedUSD': 3261.31}
1652486400,{'peggedUSD': 3261.31},{'peggedUSD': 0},{'peggedUSD': 3261.31},{'peggedUSD': 0},{'peggedUSD': 3261.31}
1652572800,{'peggedUSD': 3261.31},{'peggedUSD': 0},{'peggedUSD': 3265.55},{'peggedUSD': 0},{'peggedUSD': 3265.55}
1652659200,{'peggedUSD': 3261.31},{'peggedUSD': 0},{'peggedUSD': 3263.57},{'peggedUSD': 0},{'peggedUSD': 3263.57}
1652745600,{'peggedUSD': 3261.31},{'peggedUSD': 0},{'peggedUSD': 3263.57},{'peggedUSD': 0},{'peggedUSD': 3263.57}
1652832000,{'peggedUSD': 3261.31},{'peggedUSD': 0},{'peggedUSD': 3263.78},{'peggedUSD': 0},{'peggedUSD': 3263.78}
1652918400,{'peggedUSD': 3271.31},{'peggedUSD': 0},{'peggedUSD': 3275.15},{'peggedUSD': 0},{'peggedUSD': 3275.15}
1653004800,{'peggedUSD': 3346.31},{'peggedUSD': 0},{'peggedUSD': 3347.6},{'peggedUSD': 0},{'peggedUSD': 3347.6}
1653091200,{'peggedUSD': 3595.81},{'peggedUSD': 0},{'peggedUSD': 3597.19},{'peggedUSD': 0},{'peggedUSD': 3597.19}
1653177600,{'peggedUSD': 3595.81},{'peggedUSD': 0},{'peggedUSD': 3599.83},{'peggedUSD': 0},{'peggedUSD': 3599.83}
1653264000,{'peggedUSD': 3595.81},{'peggedUSD': 0},{'peggedUSD': 3595.57},{'peggedUSD': 0},{'peggedUSD': 3595.57}
1653350400,{'peggedUSD': 3595.81},{'peggedUSD': 0},{'peggedUSD': 3599.79},{'peggedUSD': 0},{'peggedUSD': 3599.79}
1653436800,{'peggedUSD': 3595.81},{'peggedUSD': 0},{'peggedUSD': 3599.79},{'peggedUSD': 0},{'peggedUSD': 3599.79}
1653523200,{'peggedUSD': 3595.81},{'peggedUSD': 0},{'peggedUSD': 3599.64},{'peggedUSD': 0},{'peggedUSD': 3599.64}
1653609600,{'peggedUSD': 3596.62},{'peggedUSD': 0},{'peggedUSD': 3603.63},{'peggedUSD': 0},{'peggedUSD': 3603.63}
1653696000,{'peggedUSD': 3596.62},{'peggedUSD': 0},{'peggedUSD': 3599.07},{'peggedUSD': 0},{'peggedUSD': 3599.07}
1653782400,{'peggedUSD': 1419.33},{'peggedUSD': 0},{'peggedUSD': 1419.54},{'peggedUSD': 0},{'peggedUSD': 1419.54}
1653868800,{'peggedUSD': 1462.83},{'peggedUSD': 0},{'peggedUSD': 1463.06},{'peggedUSD': 0},{'peggedUSD': 1463.06}
1653955200,{'peggedUSD': 1462.83},{'peggedUSD': 0},{'peggedUSD': 1463},{'peggedUSD': 0},{'peggedUSD': 1463}
1654041600,{'peggedUSD': 1381.15},{'peggedUSD': 0},{'peggedUSD': 1381.31},{'peggedUSD': 0},{'peggedUSD': 1381.31}
1654128000,{'peggedUSD': 1381.15},{'peggedUSD': 0},{'peggedUSD': 1381.57},{'peggedUSD': 0},{'peggedUSD': 1381.57}
1654214400,{'peggedUSD': 1381.15},{'peggedUSD': 0},{'peggedUSD': 1381.84},{'peggedUSD': 0},{'peggedUSD': 1381.84}
1654300800,{'peggedUSD': 1435.15},{'peggedUSD': 0},{'peggedUSD': 1435.73},{'peggedUSD': 0},{'peggedUSD': 1435.73}
1654387200,{'peggedUSD': 1435.15},{'peggedUSD': 0},{'peggedUSD': 1436.31},{'peggedUSD': 0},{'peggedUSD': 1436.31}
1654473600,{'peggedUSD': 1435.15},{'peggedUSD': 0},{'peggedUSD': 1435.6},{'peggedUSD': 0},{'peggedUSD': 1435.6}
1654560000,{'peggedUSD': 868.89},{'peggedUSD': 0},{'peggedUSD': 869.07},{'peggedUSD': 0},{'peggedUSD': 869.07}
1654646400,{'peggedUSD': 618.89},{'peggedUSD': 0},{'peggedUSD': 619.02},{'peggedUSD': 0},{'peggedUSD': 619.02}
1654732800,{'peggedUSD': 618.89},{'peggedUSD': 0},{'peggedUSD': 619.1},{'peggedUSD': 0},{'peggedUSD': 619.1}
1654819200,{'peggedUSD': 618.89},{'peggedUSD': 0},{'peggedUSD': 619.36},{'peggedUSD': 0},{'peggedUSD': 619.36}
1654905600,{'peggedUSD': 618.89},{'peggedUSD': 0},{'peggedUSD': 619.49},{'peggedUSD': 0},{'peggedUSD': 619.49}
1654992000,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.88},{'peggedUSD': 0},{'peggedUSD': 618.88}
1655078400,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 619.19},{'peggedUSD': 0},{'peggedUSD': 619.19}
1655164800,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.88},{'peggedUSD': 0},{'peggedUSD': 618.88}
1655251200,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 619.01},{'peggedUSD': 0},{'peggedUSD': 619.01}
1655337600,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.78},{'peggedUSD': 0},{'peggedUSD': 618.78}
1655424000,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 619.06},{'peggedUSD': 0},{'peggedUSD': 619.06}
1655510400,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 619.19},{'peggedUSD': 0},{'peggedUSD': 619.19}
1655596800,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 619.06},{'peggedUSD': 0},{'peggedUSD': 619.06}
1655683200,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.99},{'peggedUSD': 0},{'peggedUSD': 618.99}
1655769600,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.68},{'peggedUSD': 0},{'peggedUSD': 618.68}
1655856000,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.64},{'peggedUSD': 0},{'peggedUSD': 618.64}
1655942400,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.96},{'peggedUSD': 0},{'peggedUSD': 618.96}
1656028800,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.73},{'peggedUSD': 0},{'peggedUSD': 618.73}
1656115200,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.63},{'peggedUSD': 0},{'peggedUSD': 618.63}
1656201600,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.85},{'peggedUSD': 0},{'peggedUSD': 618.85}
1656288000,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.82},{'peggedUSD': 0},{'peggedUSD': 618.82}
1656374400,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.82},{'peggedUSD': 0},{'peggedUSD': 618.82}
1656460800,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.83},{'peggedUSD': 0},{'peggedUSD': 618.83}
1656547200,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.6},{'peggedUSD': 0},{'peggedUSD': 618.6}
1656633600,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 619.85},{'peggedUSD': 0},{'peggedUSD': 619.85}
1656720000,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 619.13},{'peggedUSD': 0},{'peggedUSD': 619.13}
1656806400,{'peggedUSD': 618.57},{'peggedUSD': 0},{'peggedUSD': 618.8},{'peggedUSD': 0},{'peggedUSD': 618.8}
1656892800,{'peggedUSD': 582.57},{'peggedUSD': 0},{'peggedUSD': 582.97},{'peggedUSD': 0},{'peggedUSD': 582.97}
1656979200,{'peggedUSD': 582.57},{'peggedUSD': 0},{'peggedUSD': 582.59},{'peggedUSD': 0},{'peggedUSD': 582.59}
1657065600,{'peggedUSD': 582.57},{'peggedUSD': 0},{'peggedUSD': 583.35},{'peggedUSD': 0},{'peggedUSD': 583.35}
1657152000,{'peggedUSD': 582.57},{'peggedUSD': 0},{'peggedUSD': 582.7},{'peggedUSD': 0},{'peggedUSD': 582.7}
1657238400,{'peggedUSD': 582.57},{'peggedUSD': 0},{'peggedUSD': 582.86},{'peggedUSD': 0},{'peggedUSD': 582.86}
1657324800,{'peggedUSD': 582.57},{'peggedUSD': 0},{'peggedUSD': 582.81},{'peggedUSD': 0},{'peggedUSD': 582.81}
1657411200,{'peggedUSD': 582.57},{'peggedUSD': 0},{'peggedUSD': 582.81},{'peggedUSD': 0},{'peggedUSD': 582.81}
1657497600,{'peggedUSD': 582.57},{'peggedUSD': 0},{'peggedUSD': 583.36},{'peggedUSD': 0},{'peggedUSD': 583.36}
1657584000,{'peggedUSD': 582.57},{'peggedUSD': 0},{'peggedUSD': 583.36},{'peggedUSD': 0},{'peggedUSD': 583.36}
1657670400,{'peggedUSD': 582.57},{'peggedUSD': 0},{'peggedUSD': 583.18},{'peggedUSD': 0},{'peggedUSD': 583.18}
1657756800,{'peggedUSD': 582.57},{'peggedUSD': 0},{'peggedUSD': 582.75},{'peggedUSD': 0},{'peggedUSD': 582.75}
