date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1298.92}
1652400000,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1298.92}
1652486400,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1298.92}
1652572800,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1300.61},{'peggedUSD': 0},{'peggedUSD': 1300.61}
1652659200,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.82},{'peggedUSD': 0},{'peggedUSD': 1299.82}
1652745600,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.82},{'peggedUSD': 0},{'peggedUSD': 1299.82}
1652832000,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.9},{'peggedUSD': 0},{'peggedUSD': 1299.9}
1652918400,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1300.44},{'peggedUSD': 0},{'peggedUSD': 1300.44}
1653004800,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.42},{'peggedUSD': 0},{'peggedUSD': 1299.42}
1653091200,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.42},{'peggedUSD': 0},{'peggedUSD': 1299.42}
1653177600,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1300.37},{'peggedUSD': 0},{'peggedUSD': 1300.37}
1653264000,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1298.83},{'peggedUSD': 0},{'peggedUSD': 1298.83}
1653350400,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1300.36},{'peggedUSD': 0},{'peggedUSD': 1300.36}
1653436800,{'peggedUSD': 4298.92},{'peggedUSD': 0},{'peggedUSD': 4303.68},{'peggedUSD': 0},{'peggedUSD': 4303.68}
1653523200,{'peggedUSD': 4246.92},{'peggedUSD': 0},{'peggedUSD': 4251.44},{'peggedUSD': 0},{'peggedUSD': 4251.44}
1653609600,{'peggedUSD': 4246.92},{'peggedUSD': 0},{'peggedUSD': 4255.2},{'peggedUSD': 0},{'peggedUSD': 4255.2}
1653696000,{'peggedUSD': 4246.92},{'peggedUSD': 0},{'peggedUSD': 4249.82},{'peggedUSD': 0},{'peggedUSD': 4249.82}
1653782400,{'peggedUSD': 4246.92},{'peggedUSD': 0},{'peggedUSD': 4247.56},{'peggedUSD': 0},{'peggedUSD': 4247.56}
1653868800,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.12},{'peggedUSD': 0},{'peggedUSD': 1299.12}
1653955200,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.07},{'peggedUSD': 0},{'peggedUSD': 1299.07}
1654041600,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.07},{'peggedUSD': 0},{'peggedUSD': 1299.07}
1654128000,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.31},{'peggedUSD': 0},{'peggedUSD': 1299.31}
1654214400,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.57},{'peggedUSD': 0},{'peggedUSD': 1299.57}
1654300800,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.44},{'peggedUSD': 0},{'peggedUSD': 1299.44}
1654387200,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.97},{'peggedUSD': 0},{'peggedUSD': 1299.97}
1654473600,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.32},{'peggedUSD': 0},{'peggedUSD': 1299.32}
1654560000,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.18},{'peggedUSD': 0},{'peggedUSD': 1299.18}
1654646400,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.18},{'peggedUSD': 0},{'peggedUSD': 1299.18}
1654732800,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.35},{'peggedUSD': 0},{'peggedUSD': 1299.35}
1654819200,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.89},{'peggedUSD': 0},{'peggedUSD': 1299.89}
1654905600,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1300.17},{'peggedUSD': 0},{'peggedUSD': 1300.17}
1654992000,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.57},{'peggedUSD': 0},{'peggedUSD': 1299.57}
1655078400,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1300.22},{'peggedUSD': 0},{'peggedUSD': 1300.22}
1655164800,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.56},{'peggedUSD': 0},{'peggedUSD': 1299.56}
1655251200,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.82},{'peggedUSD': 0},{'peggedUSD': 1299.82}
1655337600,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.36},{'peggedUSD': 0},{'peggedUSD': 1299.36}
1655424000,{'peggedUSD': 1298.92},{'peggedUSD': 0},{'peggedUSD': 1299.93},{'peggedUSD': 0},{'peggedUSD': 1299.93}
