date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 39171.4},{'peggedUSD': 0},{'peggedUSD': 39171.4},{'peggedUSD': 0},{'peggedUSD': 39171.4}
1652400000,{'peggedUSD': 40065.75},{'peggedUSD': 0},{'peggedUSD': 40065.75},{'peggedUSD': 0},{'peggedUSD': 40065.75}
1652486400,{'peggedUSD': 40065.75},{'peggedUSD': 0},{'peggedUSD': 40065.75},{'peggedUSD': 0},{'peggedUSD': 40065.75}
1652572800,{'peggedUSD': 40065.75},{'peggedUSD': 0},{'peggedUSD': 40117.84},{'peggedUSD': 0},{'peggedUSD': 40117.84}
1652659200,{'peggedUSD': 40065.75},{'peggedUSD': 0},{'peggedUSD': 40093.48},{'peggedUSD': 0},{'peggedUSD': 40093.48}
1652745600,{'peggedUSD': 40065.75},{'peggedUSD': 0},{'peggedUSD': 40093.48},{'peggedUSD': 0},{'peggedUSD': 40093.48}
1652832000,{'peggedUSD': 40265.75},{'peggedUSD': 0},{'peggedUSD': 40296.23},{'peggedUSD': 0},{'peggedUSD': 40296.23}
1652918400,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40513.24},{'peggedUSD': 0},{'peggedUSD': 40513.24}
1653004800,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40481.27},{'peggedUSD': 0},{'peggedUSD': 40481.27}
1653091200,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40481.27},{'peggedUSD': 0},{'peggedUSD': 40481.27}
1653177600,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40510.97},{'peggedUSD': 0},{'peggedUSD': 40510.97}
1653264000,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40462.98},{'peggedUSD': 0},{'peggedUSD': 40462.98}
1653350400,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40510.54},{'peggedUSD': 0},{'peggedUSD': 40510.54}
1653436800,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40510.54},{'peggedUSD': 0},{'peggedUSD': 40510.54}
1653523200,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40508.81},{'peggedUSD': 0},{'peggedUSD': 40508.81}
1653609600,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40544.66},{'peggedUSD': 0},{'peggedUSD': 40544.66}
1653696000,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40493.37},{'peggedUSD': 0},{'peggedUSD': 40493.37}
1653782400,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40471.87},{'peggedUSD': 0},{'peggedUSD': 40471.87}
1653868800,{'peggedUSD': 40465.75},{'peggedUSD': 0},{'peggedUSD': 40472.13},{'peggedUSD': 0},{'peggedUSD': 40472.13}
1653955200,{'peggedUSD': 40365.75},{'peggedUSD': 0},{'peggedUSD': 40370.45},{'peggedUSD': 0},{'peggedUSD': 40370.45}
1654041600,{'peggedUSD': 40365.75},{'peggedUSD': 0},{'peggedUSD': 40370.45},{'peggedUSD': 0},{'peggedUSD': 40370.45}
1654128000,{'peggedUSD': 40365.75},{'peggedUSD': 0},{'peggedUSD': 40377.83},{'peggedUSD': 0},{'peggedUSD': 40377.83}
1654214400,{'peggedUSD': 40365.75},{'peggedUSD': 0},{'peggedUSD': 40385.89},{'peggedUSD': 0},{'peggedUSD': 40385.89}
1654300800,{'peggedUSD': 40365.75},{'peggedUSD': 0},{'peggedUSD': 40381.87},{'peggedUSD': 0},{'peggedUSD': 40381.87}
1654387200,{'peggedUSD': 40365.75},{'peggedUSD': 0},{'peggedUSD': 40398.29},{'peggedUSD': 0},{'peggedUSD': 40398.29}
1654473600,{'peggedUSD': 38179.13},{'peggedUSD': 0},{'peggedUSD': 38190.96},{'peggedUSD': 0},{'peggedUSD': 38190.96}
1654560000,{'peggedUSD': 37583.01},{'peggedUSD': 0},{'peggedUSD': 37590.66},{'peggedUSD': 0},{'peggedUSD': 37590.66}
1654646400,{'peggedUSD': 37583.01},{'peggedUSD': 0},{'peggedUSD': 37590.66},{'peggedUSD': 0},{'peggedUSD': 37590.66}
1654732800,{'peggedUSD': 37583.01},{'peggedUSD': 0},{'peggedUSD': 37595.44},{'peggedUSD': 0},{'peggedUSD': 37595.44}
1654819200,{'peggedUSD': 37485.36},{'peggedUSD': 0},{'peggedUSD': 37513.36},{'peggedUSD': 0},{'peggedUSD': 37513.36}
1654905600,{'peggedUSD': 37485.36},{'peggedUSD': 0},{'peggedUSD': 37521.42},{'peggedUSD': 0},{'peggedUSD': 37521.42}
1654992000,{'peggedUSD': 32485.36},{'peggedUSD': 0},{'peggedUSD': 32501.58},{'peggedUSD': 0},{'peggedUSD': 32501.58}
1655078400,{'peggedUSD': 32485.36},{'peggedUSD': 0},{'peggedUSD': 32517.84},{'peggedUSD': 0},{'peggedUSD': 32517.84}
