date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 12675923.33},{'peggedUSD': 0},{'peggedUSD': 12675923.33},{'peggedUSD': 0},{'peggedUSD': 12675923.33}
1652400000,{'peggedUSD': 13617978.69},{'peggedUSD': 0},{'peggedUSD': 13617978.69},{'peggedUSD': 0},{'peggedUSD': 13617978.69}
1652486400,{'peggedUSD': 13566805},{'peggedUSD': 0},{'peggedUSD': 13566805},{'peggedUSD': 0},{'peggedUSD': 13566805}
1652572800,{'peggedUSD': 13567323.35},{'peggedUSD': 0},{'peggedUSD': 13584960.87},{'peggedUSD': 0},{'peggedUSD': 13584960.87}
1652659200,{'peggedUSD': 13562654.37},{'peggedUSD': 0},{'peggedUSD': 13572040.95},{'peggedUSD': 0},{'peggedUSD': 13572040.95}
1652745600,{'peggedUSD': 13524781.76},{'peggedUSD': 0},{'peggedUSD': 13534142.13},{'peggedUSD': 0},{'peggedUSD': 13534142.13}
1652832000,{'peggedUSD': 13508772.57},{'peggedUSD': 0},{'peggedUSD': 13518998.99},{'peggedUSD': 0},{'peggedUSD': 13518998.99}
1652918400,{'peggedUSD': 13551103.97},{'peggedUSD': 0},{'peggedUSD': 13567007.01},{'peggedUSD': 0},{'peggedUSD': 13567007.01}
1653004800,{'peggedUSD': 14350273.23},{'peggedUSD': 0},{'peggedUSD': 14355776.71},{'peggedUSD': 0},{'peggedUSD': 14355776.71}
1653091200,{'peggedUSD': 15105630.12},{'peggedUSD': 0},{'peggedUSD': 15111423.28},{'peggedUSD': 0},{'peggedUSD': 15111423.28}
1653177600,{'peggedUSD': 14927551.85},{'peggedUSD': 0},{'peggedUSD': 14944232.5},{'peggedUSD': 0},{'peggedUSD': 14944232.5}
1653264000,{'peggedUSD': 14985589.71},{'peggedUSD': 0},{'peggedUSD': 14984562.59},{'peggedUSD': 0},{'peggedUSD': 14984562.59}
1653350400,{'peggedUSD': 14955777.67},{'peggedUSD': 0},{'peggedUSD': 14972332.22},{'peggedUSD': 0},{'peggedUSD': 14972332.22}
1653436800,{'peggedUSD': 14994789.97},{'peggedUSD': 0},{'peggedUSD': 15011387.7},{'peggedUSD': 0},{'peggedUSD': 15011387.7}
1653523200,{'peggedUSD': 14969963.4},{'peggedUSD': 0},{'peggedUSD': 14985894.44},{'peggedUSD': 0},{'peggedUSD': 14985894.44}
1653609600,{'peggedUSD': 14984430.38},{'peggedUSD': 0},{'peggedUSD': 15013648.52},{'peggedUSD': 0},{'peggedUSD': 15013648.52}
1653696000,{'peggedUSD': 14961388.12},{'peggedUSD': 0},{'peggedUSD': 14971597.92},{'peggedUSD': 0},{'peggedUSD': 14971597.92}
1653782400,{'peggedUSD': 14968381.21},{'peggedUSD': 0},{'peggedUSD': 14970644.58},{'peggedUSD': 0},{'peggedUSD': 14970644.58}
1653868800,{'peggedUSD': 15073997.01},{'peggedUSD': 0},{'peggedUSD': 15076373.73},{'peggedUSD': 0},{'peggedUSD': 15076373.73}
1653955200,{'peggedUSD': 15018483.54},{'peggedUSD': 0},{'peggedUSD': 15020232.89},{'peggedUSD': 0},{'peggedUSD': 15020232.89}
1654041600,{'peggedUSD': 15036603.52},{'peggedUSD': 0},{'peggedUSD': 15038354.99},{'peggedUSD': 0},{'peggedUSD': 15038354.99}
1654128000,{'peggedUSD': 15130037.7},{'peggedUSD': 0},{'peggedUSD': 15134566.12},{'peggedUSD': 0},{'peggedUSD': 15134566.12}
1654214400,{'peggedUSD': 15130342.44},{'peggedUSD': 0},{'peggedUSD': 15137891.57},{'peggedUSD': 0},{'peggedUSD': 15137891.57}
1654300800,{'peggedUSD': 15221885.84},{'peggedUSD': 0},{'peggedUSD': 15227965.46},{'peggedUSD': 0},{'peggedUSD': 15227965.46}
1654387200,{'peggedUSD': 15328527.18},{'peggedUSD': 0},{'peggedUSD': 15340884.73},{'peggedUSD': 0},{'peggedUSD': 15340884.73}
1654473600,{'peggedUSD': 15316622.01},{'peggedUSD': 0},{'peggedUSD': 15321365.88},{'peggedUSD': 0},{'peggedUSD': 15321365.88}
1654560000,{'peggedUSD': 15275598.93},{'peggedUSD': 0},{'peggedUSD': 15278707.66},{'peggedUSD': 0},{'peggedUSD': 15278707.66}
1654646400,{'peggedUSD': 15375906.83},{'peggedUSD': 0},{'peggedUSD': 15379035.98},{'peggedUSD': 0},{'peggedUSD': 15379035.98}
1654732800,{'peggedUSD': 15352726.48},{'peggedUSD': 0},{'peggedUSD': 15357802.85},{'peggedUSD': 0},{'peggedUSD': 15357802.85}
1654819200,{'peggedUSD': 15310839.75},{'peggedUSD': 0},{'peggedUSD': 15322279.24},{'peggedUSD': 0},{'peggedUSD': 15322279.24}
1654905600,{'peggedUSD': 15339512.48},{'peggedUSD': 0},{'peggedUSD': 15354269.86},{'peggedUSD': 0},{'peggedUSD': 15354269.86}
1654992000,{'peggedUSD': 15322964.47},{'peggedUSD': 0},{'peggedUSD': 15330616.91},{'peggedUSD': 0},{'peggedUSD': 15330616.91}
1655078400,{'peggedUSD': 15338291.18},{'peggedUSD': 0},{'peggedUSD': 15353629.47},{'peggedUSD': 0},{'peggedUSD': 15353629.47}
1655164800,{'peggedUSD': 15124052.83},{'peggedUSD': 0},{'peggedUSD': 15131506.87},{'peggedUSD': 0},{'peggedUSD': 15131506.87}
1655251200,{'peggedUSD': 14986880.87},{'peggedUSD': 0},{'peggedUSD': 14997330.62},{'peggedUSD': 0},{'peggedUSD': 14997330.62}
1655337600,{'peggedUSD': 14970123.37},{'peggedUSD': 0},{'peggedUSD': 14975174.89},{'peggedUSD': 0},{'peggedUSD': 14975174.89}
1655424000,{'peggedUSD': 14581001.23},{'peggedUSD': 0},{'peggedUSD': 14592381.26},{'peggedUSD': 0},{'peggedUSD': 14592381.26}
1655510400,{'peggedUSD': 14560226.62},{'peggedUSD': 0},{'peggedUSD': 14574786.84},{'peggedUSD': 0},{'peggedUSD': 14574786.84}
1655596800,{'peggedUSD': 14347733.48},{'peggedUSD': 0},{'peggedUSD': 14358902.9},{'peggedUSD': 0},{'peggedUSD': 14358902.9}
1655683200,{'peggedUSD': 14285892.77},{'peggedUSD': 0},{'peggedUSD': 14295463.18},{'peggedUSD': 0},{'peggedUSD': 14295463.18}
