date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1409253.23},{'peggedUSD': 0},{'peggedUSD': 1409253.23},{'peggedUSD': 0},{'peggedUSD': 1409253.23}
1652400000,{'peggedUSD': 1008962.89},{'peggedUSD': 0},{'peggedUSD': 1008962.89},{'peggedUSD': 0},{'peggedUSD': 1008962.89}
1652486400,{'peggedUSD': 218684.72},{'peggedUSD': 0},{'peggedUSD': 218684.72},{'peggedUSD': 0},{'peggedUSD': 218684.72}
1652572800,{'peggedUSD': 161263.72},{'peggedUSD': 0},{'peggedUSD': 161473.36},{'peggedUSD': 0},{'peggedUSD': 161473.36}
1652659200,{'peggedUSD': 71891.28},{'peggedUSD': 0},{'peggedUSD': 71941.04},{'peggedUSD': 0},{'peggedUSD': 71941.04}
1652745600,{'peggedUSD': 70613.06},{'peggedUSD': 0},{'peggedUSD': 70661.93},{'peggedUSD': 0},{'peggedUSD': 70661.93}
1652832000,{'peggedUSD': 70200.71},{'peggedUSD': 0},{'peggedUSD': 70253.86},{'peggedUSD': 0},{'peggedUSD': 70253.86}
1652918400,{'peggedUSD': 70198.71},{'peggedUSD': 0},{'peggedUSD': 70281.09},{'peggedUSD': 0},{'peggedUSD': 70281.09}
1653004800,{'peggedUSD': 63785.04},{'peggedUSD': 0},{'peggedUSD': 63809.5},{'peggedUSD': 0},{'peggedUSD': 63809.5}
1653091200,{'peggedUSD': 63755.58},{'peggedUSD': 0},{'peggedUSD': 63780.03},{'peggedUSD': 0},{'peggedUSD': 63780.03}
1653177600,{'peggedUSD': 63179.62},{'peggedUSD': 0},{'peggedUSD': 63250.22},{'peggedUSD': 0},{'peggedUSD': 63250.22}
1653264000,{'peggedUSD': 62188.24},{'peggedUSD': 0},{'peggedUSD': 62183.98},{'peggedUSD': 0},{'peggedUSD': 62183.98}
1653350400,{'peggedUSD': 62141.98},{'peggedUSD': 0},{'peggedUSD': 62210.76},{'peggedUSD': 0},{'peggedUSD': 62210.76}
