date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 197401.2},{'peggedUSD': 0},{'peggedUSD': 197401.2},{'peggedUSD': 0},{'peggedUSD': 197401.2}
1652400000,{'peggedUSD': 197401.2},{'peggedUSD': 0},{'peggedUSD': 197401.2},{'peggedUSD': 0},{'peggedUSD': 197401.2}
1652486400,{'peggedUSD': 212400.7},{'peggedUSD': 0},{'peggedUSD': 212400.7},{'peggedUSD': 0},{'peggedUSD': 212400.7}
1652572800,{'peggedUSD': 231697.09},{'peggedUSD': 0},{'peggedUSD': 231998.3},{'peggedUSD': 0},{'peggedUSD': 231998.3}
1652659200,{'peggedUSD': 231800.73},{'peggedUSD': 0},{'peggedUSD': 231961.16},{'peggedUSD': 0},{'peggedUSD': 231961.16}
1652745600,{'peggedUSD': 230176.88},{'peggedUSD': 0},{'peggedUSD': 230336.19},{'peggedUSD': 0},{'peggedUSD': 230336.19}
1652832000,{'peggedUSD': 230176.88},{'peggedUSD': 0},{'peggedUSD': 230351.13},{'peggedUSD': 0},{'peggedUSD': 230351.13}
1652918400,{'peggedUSD': 225756.48},{'peggedUSD': 0},{'peggedUSD': 226021.42},{'peggedUSD': 0},{'peggedUSD': 226021.42}
1653004800,{'peggedUSD': 215507.47},{'peggedUSD': 0},{'peggedUSD': 215590.12},{'peggedUSD': 0},{'peggedUSD': 215590.12}
1653091200,{'peggedUSD': 215822.54},{'peggedUSD': 0},{'peggedUSD': 215905.31},{'peggedUSD': 0},{'peggedUSD': 215905.31}
1653177600,{'peggedUSD': 205053.2},{'peggedUSD': 0},{'peggedUSD': 205282.34},{'peggedUSD': 0},{'peggedUSD': 205282.34}
1653264000,{'peggedUSD': 205053.2},{'peggedUSD': 0},{'peggedUSD': 205039.15},{'peggedUSD': 0},{'peggedUSD': 205039.15}
1653350400,{'peggedUSD': 190998.34},{'peggedUSD': 0},{'peggedUSD': 191209.75},{'peggedUSD': 0},{'peggedUSD': 191209.75}
1653436800,{'peggedUSD': 155707.99},{'peggedUSD': 0},{'peggedUSD': 155880.34},{'peggedUSD': 0},{'peggedUSD': 155880.34}
