date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 20734841},{'peggedUSD': 0},{'peggedUSD': 20734841},{'peggedUSD': 0},{'peggedUSD': 20734841}
1652400000,{'peggedUSD': 14311621.2},{'peggedUSD': 0},{'peggedUSD': 14311621.2},{'peggedUSD': 0},{'peggedUSD': 14311621.2}
1652486400,{'peggedUSD': 14999248.18},{'peggedUSD': 0},{'peggedUSD': 14999248.18},{'peggedUSD': 0},{'peggedUSD': 14999248.18}
1652572800,{'peggedUSD': 14887417.64},{'peggedUSD': 0},{'peggedUSD': 14929102.41},{'peggedUSD': 0},{'peggedUSD': 14929102.41}
1652659200,{'peggedUSD': 14329732.08},{'peggedUSD': 0},{'peggedUSD': 14341387.03},{'peggedUSD': 0},{'peggedUSD': 14341387.03}
1652745600,{'peggedUSD': 12871675.87},{'peggedUSD': 0},{'peggedUSD': 12879258.83},{'peggedUSD': 0},{'peggedUSD': 12879258.83}
1652832000,{'peggedUSD': 13570057.24},{'peggedUSD': 0},{'peggedUSD': 13582929.11},{'peggedUSD': 0},{'peggedUSD': 13582929.11}
1652918400,{'peggedUSD': 13866641.9},{'peggedUSD': 0},{'peggedUSD': 13874509.98},{'peggedUSD': 0},{'peggedUSD': 13874509.98}
1653004800,{'peggedUSD': 12413824.17},{'peggedUSD': 0},{'peggedUSD': 12418130.4},{'peggedUSD': 0},{'peggedUSD': 12418130.4}
1653091200,{'peggedUSD': 11413180.55},{'peggedUSD': 0},{'peggedUSD': 11420333.88},{'peggedUSD': 0},{'peggedUSD': 11420333.88}
1653177600,{'peggedUSD': 11408021.3},{'peggedUSD': 0},{'peggedUSD': 11424149.16},{'peggedUSD': 0},{'peggedUSD': 11424149.16}
1653264000,{'peggedUSD': 11378936.12},{'peggedUSD': 0},{'peggedUSD': 11379859.75},{'peggedUSD': 0},{'peggedUSD': 11379859.75}
1653350400,{'peggedUSD': 11379136.96},{'peggedUSD': 0},{'peggedUSD': 11378418.6},{'peggedUSD': 0},{'peggedUSD': 11378418.6}
1653436800,{'peggedUSD': 11379136.96},{'peggedUSD': 0},{'peggedUSD': 11386077.21},{'peggedUSD': 0},{'peggedUSD': 11386077.21}
1653523200,{'peggedUSD': 10183710.4},{'peggedUSD': 0},{'peggedUSD': 10187564.33},{'peggedUSD': 0},{'peggedUSD': 10187564.33}
1653609600,{'peggedUSD': 8840103.98},{'peggedUSD': 0},{'peggedUSD': 8857784.19},{'peggedUSD': 0},{'peggedUSD': 8857784.19}
1653696000,{'peggedUSD': 8485338.8},{'peggedUSD': 0},{'peggedUSD': 8496881.58},{'peggedUSD': 0},{'peggedUSD': 8496881.58}
1653782400,{'peggedUSD': 8442199.03},{'peggedUSD': 0},{'peggedUSD': 8451693.97},{'peggedUSD': 0},{'peggedUSD': 8451693.97}
1653868800,{'peggedUSD': 8292339.73},{'peggedUSD': 0},{'peggedUSD': 8292339.73},{'peggedUSD': 0},{'peggedUSD': 8292339.73}
1653955200,{'peggedUSD': 8611282.22},{'peggedUSD': 0},{'peggedUSD': 8612062.74},{'peggedUSD': 0},{'peggedUSD': 8612062.74}
1654041600,{'peggedUSD': 8757589.27},{'peggedUSD': 0},{'peggedUSD': 8765562.09},{'peggedUSD': 0},{'peggedUSD': 8765562.09}
1654128000,{'peggedUSD': 9503662.98},{'peggedUSD': 0},{'peggedUSD': 9508578.56},{'peggedUSD': 0},{'peggedUSD': 9508578.56}
1654214400,{'peggedUSD': 8287590.24},{'peggedUSD': 0},{'peggedUSD': 8286695.18},{'peggedUSD': 0},{'peggedUSD': 8286695.18}
1654300800,{'peggedUSD': 8224885.93},{'peggedUSD': 0},{'peggedUSD': 8237406.42},{'peggedUSD': 0},{'peggedUSD': 8237406.42}
1654387200,{'peggedUSD': 8224885.93},{'peggedUSD': 0},{'peggedUSD': 8227100.23},{'peggedUSD': 0},{'peggedUSD': 8227100.23}
1654473600,{'peggedUSD': 8199893.79},{'peggedUSD': 0},{'peggedUSD': 8201429.06},{'peggedUSD': 0},{'peggedUSD': 8201429.06}
1654560000,{'peggedUSD': 8199993.82},{'peggedUSD': 0},{'peggedUSD': 8206128.64},{'peggedUSD': 0},{'peggedUSD': 8206128.64}
1654646400,{'peggedUSD': 8152665.2},{'peggedUSD': 0},{'peggedUSD': 8154312.53},{'peggedUSD': 0},{'peggedUSD': 8154312.53}
1654732800,{'peggedUSD': 8009876.69},{'peggedUSD': 0},{'peggedUSD': 8020135.26},{'peggedUSD': 0},{'peggedUSD': 8020135.26}
1654819200,{'peggedUSD': 8071018.16},{'peggedUSD': 0},{'peggedUSD': 8071018.16},{'peggedUSD': 0},{'peggedUSD': 8071018.16}
1654905600,{'peggedUSD': 8071018.16},{'peggedUSD': 0},{'peggedUSD': 8082303.62},{'peggedUSD': 0},{'peggedUSD': 8082303.62}
1654992000,{'peggedUSD': 8067211.2},{'peggedUSD': 0},{'peggedUSD': 8083345.62},{'peggedUSD': 0},{'peggedUSD': 8083345.62}
1655078400,{'peggedUSD': 7887491.89},{'peggedUSD': 0},{'peggedUSD': 7903266.87},{'peggedUSD': 0},{'peggedUSD': 7903266.87}
1655164800,{'peggedUSD': 7520730.49},{'peggedUSD': 0},{'peggedUSD': 7531922.39},{'peggedUSD': 0},{'peggedUSD': 7531922.39}
1655251200,{'peggedUSD': 7520730.49},{'peggedUSD': 0},{'peggedUSD': 7528251.22},{'peggedUSD': 0},{'peggedUSD': 7528251.22}
1655337600,{'peggedUSD': 7525730.91},{'peggedUSD': 0},{'peggedUSD': 7525897.16},{'peggedUSD': 0},{'peggedUSD': 7525897.16}
1655424000,{'peggedUSD': 7562308.42},{'peggedUSD': 0},{'peggedUSD': 7573989.91},{'peggedUSD': 0},{'peggedUSD': 7573989.91}
1655510400,{'peggedUSD': 6930818.78},{'peggedUSD': 0},{'peggedUSD': 6936509.68},{'peggedUSD': 0},{'peggedUSD': 6936509.68}
1655596800,{'peggedUSD': 6930417.24},{'peggedUSD': 0},{'peggedUSD': 6931953.85},{'peggedUSD': 0},{'peggedUSD': 6931953.85}
1655683200,{'peggedUSD': 6830224.94},{'peggedUSD': 0},{'peggedUSD': 6834061.75},{'peggedUSD': 0},{'peggedUSD': 6834061.75}
1655769600,{'peggedUSD': 6830224.94},{'peggedUSD': 0},{'peggedUSD': 6836768.09},{'peggedUSD': 0},{'peggedUSD': 6836768.09}
1655856000,{'peggedUSD': 6405207.12},{'peggedUSD': 0},{'peggedUSD': 6411612.33},{'peggedUSD': 0},{'peggedUSD': 6411612.33}
1655942400,{'peggedUSD': 6405207.12},{'peggedUSD': 0},{'peggedUSD': 6403539.46},{'peggedUSD': 0},{'peggedUSD': 6403539.46}
1656028800,{'peggedUSD': 6406174.55},{'peggedUSD': 0},{'peggedUSD': 6406174.55},{'peggedUSD': 0},{'peggedUSD': 6406174.55}
1656115200,{'peggedUSD': 6283337.88},{'peggedUSD': 0},{'peggedUSD': 6287046.81},{'peggedUSD': 0},{'peggedUSD': 6287046.81}
1656201600,{'peggedUSD': 6280003.22},{'peggedUSD': 0},{'peggedUSD': 6283519.9},{'peggedUSD': 0},{'peggedUSD': 6283519.9}
1656288000,{'peggedUSD': 6280003.22},{'peggedUSD': 0},{'peggedUSD': 6286259.36},{'peggedUSD': 0},{'peggedUSD': 6286259.36}
1656374400,{'peggedUSD': 6285002.56},{'peggedUSD': 0},{'peggedUSD': 6289580.87},{'peggedUSD': 0},{'peggedUSD': 6289580.87}
1656460800,{'peggedUSD': 4750148.55},{'peggedUSD': 0},{'peggedUSD': 4750148.55},{'peggedUSD': 0},{'peggedUSD': 4750148.55}
1656547200,{'peggedUSD': 4422743.34},{'peggedUSD': 0},{'peggedUSD': 4425213.17},{'peggedUSD': 0},{'peggedUSD': 4425213.17}
1656633600,{'peggedUSD': 2622658.79},{'peggedUSD': 0},{'peggedUSD': 2623171.49},{'peggedUSD': 0},{'peggedUSD': 2623171.49}
1656720000,{'peggedUSD': 2579211.54},{'peggedUSD': 0},{'peggedUSD': 2581259.74},{'peggedUSD': 0},{'peggedUSD': 2581259.74}
1656806400,{'peggedUSD': 2579211.54},{'peggedUSD': 0},{'peggedUSD': 2581790.75},{'peggedUSD': 0},{'peggedUSD': 2581790.75}
1656892800,{'peggedUSD': 2573176.2},{'peggedUSD': 0},{'peggedUSD': 2573176.2},{'peggedUSD': 0},{'peggedUSD': 2573176.2}
1656979200,{'peggedUSD': 2573176.2},{'peggedUSD': 0},{'peggedUSD': 2574586.74},{'peggedUSD': 0},{'peggedUSD': 2574586.74}
1657065600,{'peggedUSD': 2568281.83},{'peggedUSD': 0},{'peggedUSD': 2567661.72},{'peggedUSD': 0},{'peggedUSD': 2567661.72}
1657152000,{'peggedUSD': 2568281.83},{'peggedUSD': 0},{'peggedUSD': 2570850.11},{'peggedUSD': 0},{'peggedUSD': 2570850.11}
1657238400,{'peggedUSD': 2565649.15},{'peggedUSD': 0},{'peggedUSD': 2569209.12},{'peggedUSD': 0},{'peggedUSD': 2569209.12}
1657324800,{'peggedUSD': 2565649.15},{'peggedUSD': 0},{'peggedUSD': 2566606.06},{'peggedUSD': 0},{'peggedUSD': 2566606.06}
1657411200,{'peggedUSD': 2565649.15},{'peggedUSD': 0},{'peggedUSD': 2565351.95},{'peggedUSD': 0},{'peggedUSD': 2565351.95}
