date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1809860.47},{'peggedUSD': 0},{'peggedUSD': 1809860.47},{'peggedUSD': 0},{'peggedUSD': 1809860.47}
1652400000,{'peggedUSD': 1871103.65},{'peggedUSD': 0},{'peggedUSD': 1871103.65},{'peggedUSD': 0},{'peggedUSD': 1871103.65}
1652486400,{'peggedUSD': 1086253.39},{'peggedUSD': 0},{'peggedUSD': 1086253.39},{'peggedUSD': 0},{'peggedUSD': 1086253.39}
1652572800,{'peggedUSD': 1101725.68},{'peggedUSD': 0},{'peggedUSD': 1104810.51},{'peggedUSD': 0},{'peggedUSD': 1104810.51}
1652659200,{'peggedUSD': 1112262.59},{'peggedUSD': 0},{'peggedUSD': 1113167.24},{'peggedUSD': 0},{'peggedUSD': 1113167.24}
1652745600,{'peggedUSD': 1112196.39},{'peggedUSD': 0},{'peggedUSD': 1112851.6},{'peggedUSD': 0},{'peggedUSD': 1112851.6}
1652832000,{'peggedUSD': 931855.31},{'peggedUSD': 0},{'peggedUSD': 932739.22},{'peggedUSD': 0},{'peggedUSD': 932739.22}
1652918400,{'peggedUSD': 981131.36},{'peggedUSD': 0},{'peggedUSD': 981688.07},{'peggedUSD': 0},{'peggedUSD': 981688.07}
1653004800,{'peggedUSD': 986196.23},{'peggedUSD': 0},{'peggedUSD': 986538.33},{'peggedUSD': 0},{'peggedUSD': 986538.33}
1653091200,{'peggedUSD': 924742.49},{'peggedUSD': 0},{'peggedUSD': 925322.08},{'peggedUSD': 0},{'peggedUSD': 925322.08}
1653177600,{'peggedUSD': 896753.06},{'peggedUSD': 0},{'peggedUSD': 898020.82},{'peggedUSD': 0},{'peggedUSD': 898020.82}
1653264000,{'peggedUSD': 904704.89},{'peggedUSD': 0},{'peggedUSD': 904778.33},{'peggedUSD': 0},{'peggedUSD': 904778.33}
1653350400,{'peggedUSD': 907028.17},{'peggedUSD': 0},{'peggedUSD': 906970.91},{'peggedUSD': 0},{'peggedUSD': 906970.91}
1653436800,{'peggedUSD': 906791.41},{'peggedUSD': 0},{'peggedUSD': 907344.47},{'peggedUSD': 0},{'peggedUSD': 907344.47}
1653523200,{'peggedUSD': 906859.35},{'peggedUSD': 0},{'peggedUSD': 907202.55},{'peggedUSD': 0},{'peggedUSD': 907202.55}
1653609600,{'peggedUSD': 907206.22},{'peggedUSD': 0},{'peggedUSD': 909020.63},{'peggedUSD': 0},{'peggedUSD': 909020.63}
1653696000,{'peggedUSD': 907221.22},{'peggedUSD': 0},{'peggedUSD': 908455.33},{'peggedUSD': 0},{'peggedUSD': 908455.33}
1653782400,{'peggedUSD': 907342.08},{'peggedUSD': 0},{'peggedUSD': 908362.57},{'peggedUSD': 0},{'peggedUSD': 908362.57}
1653868800,{'peggedUSD': 892945.31},{'peggedUSD': 0},{'peggedUSD': 892945.31},{'peggedUSD': 0},{'peggedUSD': 892945.31}
1653955200,{'peggedUSD': 892745.31},{'peggedUSD': 0},{'peggedUSD': 892826.23},{'peggedUSD': 0},{'peggedUSD': 892826.23}
1654041600,{'peggedUSD': 886799.8},{'peggedUSD': 0},{'peggedUSD': 887607.13},{'peggedUSD': 0},{'peggedUSD': 887607.13}
1654128000,{'peggedUSD': 884802.23},{'peggedUSD': 0},{'peggedUSD': 885259.87},{'peggedUSD': 0},{'peggedUSD': 885259.87}
1654214400,{'peggedUSD': 884740.49},{'peggedUSD': 0},{'peggedUSD': 884644.94},{'peggedUSD': 0},{'peggedUSD': 884644.94}
1654300800,{'peggedUSD': 878684.71},{'peggedUSD': 0},{'peggedUSD': 880022.31},{'peggedUSD': 0},{'peggedUSD': 880022.31}
1654387200,{'peggedUSD': 874860.41},{'peggedUSD': 0},{'peggedUSD': 875095.94},{'peggedUSD': 0},{'peggedUSD': 875095.94}
1654473600,{'peggedUSD': 884909.25},{'peggedUSD': 0},{'peggedUSD': 885074.93},{'peggedUSD': 0},{'peggedUSD': 885074.93}
1654560000,{'peggedUSD': 884909.25},{'peggedUSD': 0},{'peggedUSD': 885571.29},{'peggedUSD': 0},{'peggedUSD': 885571.29}
1654646400,{'peggedUSD': 884919.96},{'peggedUSD': 0},{'peggedUSD': 885098.77},{'peggedUSD': 0},{'peggedUSD': 885098.77}
1654732800,{'peggedUSD': 884925.19},{'peggedUSD': 0},{'peggedUSD': 886058.55},{'peggedUSD': 0},{'peggedUSD': 886058.55}
1654819200,{'peggedUSD': 854644.83},{'peggedUSD': 0},{'peggedUSD': 854644.83},{'peggedUSD': 0},{'peggedUSD': 854644.83}
1654905600,{'peggedUSD': 839081.82},{'peggedUSD': 0},{'peggedUSD': 840255.09},{'peggedUSD': 0},{'peggedUSD': 840255.09}
1654992000,{'peggedUSD': 817540.42},{'peggedUSD': 0},{'peggedUSD': 819175.5},{'peggedUSD': 0},{'peggedUSD': 819175.5}
1655078400,{'peggedUSD': 766493.37},{'peggedUSD': 0},{'peggedUSD': 768026.36},{'peggedUSD': 0},{'peggedUSD': 768026.36}
1655164800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655251200,{'peggedUSD': 728869.85},{'peggedUSD': 0},{'peggedUSD': 729598.72},{'peggedUSD': 0},{'peggedUSD': 729598.72}
1655337600,{'peggedUSD': 680425.99},{'peggedUSD': 0},{'peggedUSD': 680441.02},{'peggedUSD': 0},{'peggedUSD': 680441.02}
1655424000,{'peggedUSD': 680425.99},{'peggedUSD': 0},{'peggedUSD': 681477.04},{'peggedUSD': 0},{'peggedUSD': 681477.04}
1655510400,{'peggedUSD': 681036.57},{'peggedUSD': 0},{'peggedUSD': 681595.77},{'peggedUSD': 0},{'peggedUSD': 681595.77}
1655596800,{'peggedUSD': 681067.76},{'peggedUSD': 0},{'peggedUSD': 681218.77},{'peggedUSD': 0},{'peggedUSD': 681218.77}
1655683200,{'peggedUSD': 686016.24},{'peggedUSD': 0},{'peggedUSD': 686401.6},{'peggedUSD': 0},{'peggedUSD': 686401.6}
1655769600,{'peggedUSD': 686019.92},{'peggedUSD': 0},{'peggedUSD': 686677.11},{'peggedUSD': 0},{'peggedUSD': 686677.11}
1655856000,{'peggedUSD': 686239.73},{'peggedUSD': 0},{'peggedUSD': 686925.97},{'peggedUSD': 0},{'peggedUSD': 686925.97}
1655942400,{'peggedUSD': 686187.07},{'peggedUSD': 0},{'peggedUSD': 686008.42},{'peggedUSD': 0},{'peggedUSD': 686008.42}
1656028800,{'peggedUSD': 686292.69},{'peggedUSD': 0},{'peggedUSD': 686292.69},{'peggedUSD': 0},{'peggedUSD': 686292.69}
1656115200,{'peggedUSD': 685285.49},{'peggedUSD': 0},{'peggedUSD': 685690},{'peggedUSD': 0},{'peggedUSD': 685690}
1656201600,{'peggedUSD': 685348.71},{'peggedUSD': 0},{'peggedUSD': 685732.49},{'peggedUSD': 0},{'peggedUSD': 685732.49}
1656288000,{'peggedUSD': 685624.16},{'peggedUSD': 0},{'peggedUSD': 686307.18},{'peggedUSD': 0},{'peggedUSD': 686307.18}
