date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19093221.95},{'peggedUSD': 0},{'peggedUSD': 19093221.95}
1609459200,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19049820.75},{'peggedUSD': 0},{'peggedUSD': 19049820.75}
1609545600,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19076673.31},{'peggedUSD': 0},{'peggedUSD': 19076673.31}
1609632000,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19104362.81},{'peggedUSD': 0},{'peggedUSD': 19104362.81}
1609718400,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19149177.85},{'peggedUSD': 0},{'peggedUSD': 19149177.85}
1609804800,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19038091.22},{'peggedUSD': 0},{'peggedUSD': 19038091.22}
1609891200,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19009385.86},{'peggedUSD': 0},{'peggedUSD': 19009385.86}
1609977600,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19114719.91},{'peggedUSD': 0},{'peggedUSD': 19114719.91}
1610064000,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19006785.45},{'peggedUSD': 0},{'peggedUSD': 19006785.45}
1610150400,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18972818.58},{'peggedUSD': 0},{'peggedUSD': 18972818.58}
1610236800,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19113086.46},{'peggedUSD': 0},{'peggedUSD': 19113086.46}
1610323200,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19006957.56},{'peggedUSD': 0},{'peggedUSD': 19006957.56}
1610409600,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19187429.89},{'peggedUSD': 0},{'peggedUSD': 19187429.89}
1610496000,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19060711.02},{'peggedUSD': 0},{'peggedUSD': 19060711.02}
1610582400,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19027012.03},{'peggedUSD': 0},{'peggedUSD': 19027012.03}
1610668800,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19030037.06},{'peggedUSD': 0},{'peggedUSD': 19030037.06}
1610755200,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18989891.62},{'peggedUSD': 0},{'peggedUSD': 18989891.62}
1610841600,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19029104.85},{'peggedUSD': 0},{'peggedUSD': 19029104.85}
1610928000,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18986882.86},{'peggedUSD': 0},{'peggedUSD': 18986882.86}
1611014400,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19019421.36},{'peggedUSD': 0},{'peggedUSD': 19019421.36}
1611100800,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18983895.39},{'peggedUSD': 0},{'peggedUSD': 18983895.39}
1611187200,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18965087.85},{'peggedUSD': 0},{'peggedUSD': 18965087.85}
1611273600,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19022085.96},{'peggedUSD': 0},{'peggedUSD': 19022085.96}
1611360000,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19022085.96},{'peggedUSD': 0},{'peggedUSD': 19022085.96}
1611446400,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18977755.12},{'peggedUSD': 0},{'peggedUSD': 18977755.12}
1611532800,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19017573.69},{'peggedUSD': 0},{'peggedUSD': 19017573.69}
1611619200,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19033988.21},{'peggedUSD': 0},{'peggedUSD': 19033988.21}
1611705600,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19037530.03},{'peggedUSD': 0},{'peggedUSD': 19037530.03}
1611792000,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19008478.02},{'peggedUSD': 0},{'peggedUSD': 19008478.02}
1611878400,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18933033.73},{'peggedUSD': 0},{'peggedUSD': 18933033.73}
1611964800,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18890741.14},{'peggedUSD': 0},{'peggedUSD': 18890741.14}
1612051200,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18921096.02},{'peggedUSD': 0},{'peggedUSD': 18921096.02}
1612137600,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19001098.66},{'peggedUSD': 0},{'peggedUSD': 19001098.66}
1612224000,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18979274.11},{'peggedUSD': 0},{'peggedUSD': 18979274.11}
1612310400,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19011001.27},{'peggedUSD': 0},{'peggedUSD': 19011001.27}
1612396800,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18987466.26},{'peggedUSD': 0},{'peggedUSD': 18987466.26}
1612483200,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19024549},{'peggedUSD': 0},{'peggedUSD': 19024549}
1612569600,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19031449.26},{'peggedUSD': 0},{'peggedUSD': 19031449.26}
1612656000,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18976295.27},{'peggedUSD': 0},{'peggedUSD': 18976295.27}
1612742400,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 19011308.68},{'peggedUSD': 0},{'peggedUSD': 19011308.68}
1612828800,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18996573.03},{'peggedUSD': 0},{'peggedUSD': 18996573.03}
1612915200,{'peggedUSD': 19000000},{'peggedUSD': 0},{'peggedUSD': 18948402.31},{'peggedUSD': 0},{'peggedUSD': 18948402.31}
1613001600,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24007385.53},{'peggedUSD': 0},{'peggedUSD': 24007385.53}
1613088000,{'peggedUSD': 34000000},{'peggedUSD': 0},{'peggedUSD': 34001325.02},{'peggedUSD': 0},{'peggedUSD': 34001325.02}
1613174400,{'peggedUSD': 34000000},{'peggedUSD': 0},{'peggedUSD': 33933727.93},{'peggedUSD': 0},{'peggedUSD': 33933727.93}
1613260800,{'peggedUSD': 34000000},{'peggedUSD': 0},{'peggedUSD': 33988332.82},{'peggedUSD': 0},{'peggedUSD': 33988332.82}
1613347200,{'peggedUSD': 34000000},{'peggedUSD': 0},{'peggedUSD': 33942130.11},{'peggedUSD': 0},{'peggedUSD': 33942130.11}
1613433600,{'peggedUSD': 33999999},{'peggedUSD': 0},{'peggedUSD': 34071463.86},{'peggedUSD': 0},{'peggedUSD': 34071464.86}
1613520000,{'peggedUSD': 33969609.77},{'peggedUSD': 0},{'peggedUSD': 34009567.89},{'peggedUSD': 0},{'peggedUSD': 34039993.86}
1613606400,{'peggedUSD': 33969601},{'peggedUSD': 0},{'peggedUSD': 34007439.65},{'peggedUSD': 0},{'peggedUSD': 34037872.51}
1613692800,{'peggedUSD': 41969618.81},{'peggedUSD': 0},{'peggedUSD': 42024544.92},{'peggedUSD': 0},{'peggedUSD': 42054965.87}
