date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 1064910057.11},{'peggedUSD': 0},{'peggedUSD': 1070134951.16},{'peggedUSD': 1151393978.2},{'peggedUSD': 0}
1609459200,{'peggedUSD': 1085075642.25},{'peggedUSD': 0},{'peggedUSD': 1087920867.42},{'peggedUSD': 1168992061.1},{'peggedUSD': 0}
1609545600,{'peggedUSD': 1122584710.35},{'peggedUSD': 0},{'peggedUSD': 1127114830.43},{'peggedUSD': 1208307536.75},{'peggedUSD': 0}
1609632000,{'peggedUSD': 1087689860.97},{'peggedUSD': 0},{'peggedUSD': 1093664301.64},{'peggedUSD': 1174975170.58},{'peggedUSD': 0}
1609718400,{'peggedUSD': 1186307406.69},{'peggedUSD': 0},{'peggedUSD': 1195621659},{'peggedUSD': 1277143498.76},{'peggedUSD': 0}
1609804800,{'peggedUSD': 1226979721.36},{'peggedUSD': 0},{'peggedUSD': 1229439571.38},{'peggedUSD': 1310560581.63},{'peggedUSD': 0}
1609891200,{'peggedUSD': 1218916722.2},{'peggedUSD': 0},{'peggedUSD': 1219518858.07},{'peggedUSD': 1300517576.61},{'peggedUSD': 0}
1609977600,{'peggedUSD': 1235031074.67},{'peggedUSD': 0},{'peggedUSD': 1242488056.35},{'peggedUSD': 1324208257.08},{'peggedUSD': 0}
1610064000,{'peggedUSD': 1269297847.6},{'peggedUSD': 0},{'peggedUSD': 1269751150.81},{'peggedUSD': 1350985969.08},{'peggedUSD': 0}
1610150400,{'peggedUSD': 1295153924.77},{'peggedUSD': 0},{'peggedUSD': 1293301076.27},{'peggedUSD': 1374397462.86},{'peggedUSD': 0}
1610236800,{'peggedUSD': 1321354072.19},{'peggedUSD': 0},{'peggedUSD': 1329218664.83},{'peggedUSD': 1410929257.03},{'peggedUSD': 0}
1610323200,{'peggedUSD': 1236021578.81},{'peggedUSD': 0},{'peggedUSD': 1236474194.25},{'peggedUSD': 1317701893.69},{'peggedUSD': 0}
1610409600,{'peggedUSD': 1267641342},{'peggedUSD': 0},{'peggedUSD': 1280146283.07},{'peggedUSD': 1362711699.06},{'peggedUSD': 0}
1610496000,{'peggedUSD': 1250205673.78},{'peggedUSD': 0},{'peggedUSD': 1254200476.93},{'peggedUSD': 1336249054.98},{'peggedUSD': 0}
1610582400,{'peggedUSD': 1297929799.01},{'peggedUSD': 0},{'peggedUSD': 1299775047.13},{'peggedUSD': 1381739551.38},{'peggedUSD': 0}
1610668800,{'peggedUSD': 1316031174.37},{'peggedUSD': 0},{'peggedUSD': 1318111685.51},{'peggedUSD': 1400102339.95},{'peggedUSD': 0}
1610755200,{'peggedUSD': 1231357969.98},{'peggedUSD': 0},{'peggedUSD': 1230702862.85},{'peggedUSD': 1312543258.35},{'peggedUSD': 0}
1610841600,{'peggedUSD': 1271248764.77},{'peggedUSD': 0},{'peggedUSD': 1273196106.92},{'peggedUSD': 1355290607.2},{'peggedUSD': 0}
1610928000,{'peggedUSD': 1278659465.04},{'peggedUSD': 0},{'peggedUSD': 1277776709.42},{'peggedUSD': 1359711809.95},{'peggedUSD': 0}
1611014400,{'peggedUSD': 1305108620.37},{'peggedUSD': 0},{'peggedUSD': 1306442672.23},{'peggedUSD': 1388586117.95},{'peggedUSD': 0}
1611100800,{'peggedUSD': 1301866008.24},{'peggedUSD': 0},{'peggedUSD': 1300762532.23},{'peggedUSD': 1382801735.73},{'peggedUSD': 0}
