date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 165898.79},{'peggedUSD': 0},{'peggedUSD': 165898.79},{'peggedUSD': 0},{'peggedUSD': 165898.79}
1652400000,{'peggedUSD': 165898.79},{'peggedUSD': 0},{'peggedUSD': 165898.79},{'peggedUSD': 0},{'peggedUSD': 165898.79}
1652486400,{'peggedUSD': 165898.79},{'peggedUSD': 0},{'peggedUSD': 165898.79},{'peggedUSD': 0},{'peggedUSD': 165898.79}
1652572800,{'peggedUSD': 165898.79},{'peggedUSD': 0},{'peggedUSD': 166363.31},{'peggedUSD': 0},{'peggedUSD': 166363.31}
1652659200,{'peggedUSD': 165995.38},{'peggedUSD': 0},{'peggedUSD': 166130.39},{'peggedUSD': 0},{'peggedUSD': 166130.39}
1652745600,{'peggedUSD': 165995.38},{'peggedUSD': 0},{'peggedUSD': 166093.17},{'peggedUSD': 0},{'peggedUSD': 166093.17}
1652832000,{'peggedUSD': 165990.4},{'peggedUSD': 0},{'peggedUSD': 166147.85},{'peggedUSD': 0},{'peggedUSD': 166147.85}
1652918400,{'peggedUSD': 165993.35},{'peggedUSD': 0},{'peggedUSD': 166087.53},{'peggedUSD': 0},{'peggedUSD': 166087.53}
1653004800,{'peggedUSD': 164093.81},{'peggedUSD': 0},{'peggedUSD': 164150.73},{'peggedUSD': 0},{'peggedUSD': 164150.73}
1653091200,{'peggedUSD': 367062.61},{'peggedUSD': 0},{'peggedUSD': 367292.67},{'peggedUSD': 0},{'peggedUSD': 367292.67}
1653177600,{'peggedUSD': 417100.53},{'peggedUSD': 0},{'peggedUSD': 417690.2},{'peggedUSD': 0},{'peggedUSD': 417690.2}
1653264000,{'peggedUSD': 417100.53},{'peggedUSD': 0},{'peggedUSD': 417134.39},{'peggedUSD': 0},{'peggedUSD': 417134.39}
1653350400,{'peggedUSD': 416870.55},{'peggedUSD': 0},{'peggedUSD': 416844.24},{'peggedUSD': 0},{'peggedUSD': 416844.24}
1653436800,{'peggedUSD': 416869.55},{'peggedUSD': 0},{'peggedUSD': 417123.81},{'peggedUSD': 0},{'peggedUSD': 417123.81}
1653523200,{'peggedUSD': 416869.55},{'peggedUSD': 0},{'peggedUSD': 417027.31},{'peggedUSD': 0},{'peggedUSD': 417027.31}
