date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 89924981.3},{'peggedUSD': 0},{'peggedUSD': 89924981.3},{'peggedUSD': 0},{'peggedUSD': 89924981.3}
1652400000,{'peggedUSD': 82171104.3},{'peggedUSD': 0},{'peggedUSD': 82171104.3},{'peggedUSD': 0},{'peggedUSD': 82171104.3}
1652486400,{'peggedUSD': 74696931.46},{'peggedUSD': 0},{'peggedUSD': 74696931.46},{'peggedUSD': 0},{'peggedUSD': 74696931.46}
1652572800,{'peggedUSD': 69160101.86},{'peggedUSD': 0},{'peggedUSD': 69353750.15},{'peggedUSD': 0},{'peggedUSD': 69353750.15}
1652659200,{'peggedUSD': 64368033.86},{'peggedUSD': 0},{'peggedUSD': 64420386.96},{'peggedUSD': 0},{'peggedUSD': 64420386.96}
1652745600,{'peggedUSD': 67494300.23},{'peggedUSD': 0},{'peggedUSD': 67534062.47},{'peggedUSD': 0},{'peggedUSD': 67534062.47}
1652832000,{'peggedUSD': 67618943.23},{'peggedUSD': 0},{'peggedUSD': 67683083.18},{'peggedUSD': 0},{'peggedUSD': 67683083.18}
1652918400,{'peggedUSD': 60827901.23},{'peggedUSD': 0},{'peggedUSD': 60862415.59},{'peggedUSD': 0},{'peggedUSD': 60862415.59}
1653004800,{'peggedUSD': 59801460.23},{'peggedUSD': 0},{'peggedUSD': 59822204.76},{'peggedUSD': 0},{'peggedUSD': 59822204.76}
1653091200,{'peggedUSD': 59549561.23},{'peggedUSD': 0},{'peggedUSD': 59586884.51},{'peggedUSD': 0},{'peggedUSD': 59586884.51}
1653177600,{'peggedUSD': 59489516.23},{'peggedUSD': 0},{'peggedUSD': 59573618.34},{'peggedUSD': 0},{'peggedUSD': 59573618.34}
1653264000,{'peggedUSD': 59504866.23},{'peggedUSD': 0},{'peggedUSD': 59509696.24},{'peggedUSD': 0},{'peggedUSD': 59509696.24}
1653350400,{'peggedUSD': 59770731.23},{'peggedUSD': 0},{'peggedUSD': 59766957.91},{'peggedUSD': 0},{'peggedUSD': 59766957.91}
1653436800,{'peggedUSD': 53444702.95},{'peggedUSD': 0},{'peggedUSD': 53477299.41},{'peggedUSD': 0},{'peggedUSD': 53477299.41}
1653523200,{'peggedUSD': 53889580.63},{'peggedUSD': 0},{'peggedUSD': 53909974.6},{'peggedUSD': 0},{'peggedUSD': 53909974.6}
1653609600,{'peggedUSD': 54240723.63},{'peggedUSD': 0},{'peggedUSD': 54349205.07},{'peggedUSD': 0},{'peggedUSD': 54349205.07}
1653696000,{'peggedUSD': 54883679.38},{'peggedUSD': 0},{'peggedUSD': 54958338.75},{'peggedUSD': 0},{'peggedUSD': 54958338.75}
1653782400,{'peggedUSD': 55268990.38},{'peggedUSD': 0},{'peggedUSD': 55331151.41},{'peggedUSD': 0},{'peggedUSD': 55331151.41}
1653868800,{'peggedUSD': 57078850.38},{'peggedUSD': 0},{'peggedUSD': 57078850.38},{'peggedUSD': 0},{'peggedUSD': 57078850.38}
1653955200,{'peggedUSD': 60120530.38},{'peggedUSD': 0},{'peggedUSD': 60125979.71},{'peggedUSD': 0},{'peggedUSD': 60125979.71}
1654041600,{'peggedUSD': 60284275.4},{'peggedUSD': 0},{'peggedUSD': 60339157.6},{'peggedUSD': 0},{'peggedUSD': 60339157.6}
1654128000,{'peggedUSD': 60022822.62},{'peggedUSD': 0},{'peggedUSD': 60053868.22},{'peggedUSD': 0},{'peggedUSD': 60053868.22}
1654214400,{'peggedUSD': 60073491.62},{'peggedUSD': 0},{'peggedUSD': 60067003.68},{'peggedUSD': 0},{'peggedUSD': 60067003.68}
1654300800,{'peggedUSD': 60834355.67},{'peggedUSD': 0},{'peggedUSD': 60926961.98},{'peggedUSD': 0},{'peggedUSD': 60926961.98}
1654387200,{'peggedUSD': 61507264.67},{'peggedUSD': 0},{'peggedUSD': 61523823.66},{'peggedUSD': 0},{'peggedUSD': 61523823.66}
1654473600,{'peggedUSD': 61600179.39},{'peggedUSD': 0},{'peggedUSD': 61611712.79},{'peggedUSD': 0},{'peggedUSD': 61611712.79}
1654560000,{'peggedUSD': 63039473.39},{'peggedUSD': 0},{'peggedUSD': 63086636.37},{'peggedUSD': 0},{'peggedUSD': 63086636.37}
1654646400,{'peggedUSD': 63046670.39},{'peggedUSD': 0},{'peggedUSD': 63059409.6},{'peggedUSD': 0},{'peggedUSD': 63059409.6}
1654732800,{'peggedUSD': 63537867.39},{'peggedUSD': 0},{'peggedUSD': 63619242.88},{'peggedUSD': 0},{'peggedUSD': 63619242.88}
1654819200,{'peggedUSD': 63549304.32},{'peggedUSD': 0},{'peggedUSD': 63549304.32},{'peggedUSD': 0},{'peggedUSD': 63549304.32}
1654905600,{'peggedUSD': 63544321.32},{'peggedUSD': 0},{'peggedUSD': 63633173.43},{'peggedUSD': 0},{'peggedUSD': 63633173.43}
1654992000,{'peggedUSD': 61300806.32},{'peggedUSD': 0},{'peggedUSD': 61423407.93},{'peggedUSD': 0},{'peggedUSD': 61423407.93}
1655078400,{'peggedUSD': 60728153.32},{'peggedUSD': 0},{'peggedUSD': 60849609.62},{'peggedUSD': 0},{'peggedUSD': 60849609.62}
1655164800,{'peggedUSD': 52791748.32},{'peggedUSD': 0},{'peggedUSD': 52870309.83},{'peggedUSD': 0},{'peggedUSD': 52870309.83}
1655251200,{'peggedUSD': 52335439.32},{'peggedUSD': 0},{'peggedUSD': 52387774.76},{'peggedUSD': 0},{'peggedUSD': 52387774.76}
1655337600,{'peggedUSD': 51128757.32},{'peggedUSD': 0},{'peggedUSD': 51129886.75},{'peggedUSD': 0},{'peggedUSD': 51129886.75}
1655424000,{'peggedUSD': 51617700.3},{'peggedUSD': 0},{'peggedUSD': 51697434.16},{'peggedUSD': 0},{'peggedUSD': 51697434.16}
