date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 247027.88},{'peggedUSD': 0},{'peggedUSD': 248239.9},{'peggedUSD': 0},{'peggedUSD': 248239.9}
1609459200,{'peggedUSD': 243929.52},{'peggedUSD': 0},{'peggedUSD': 244569.14},{'peggedUSD': 0},{'peggedUSD': 244569.14}
1609545600,{'peggedUSD': 246726.44},{'peggedUSD': 0},{'peggedUSD': 247722.09},{'peggedUSD': 0},{'peggedUSD': 247722.09}
1609632000,{'peggedUSD': 243015.72},{'peggedUSD': 0},{'peggedUSD': 244350.55},{'peggedUSD': 0},{'peggedUSD': 244350.55}
1609718400,{'peggedUSD': 263217.59},{'peggedUSD': 0},{'peggedUSD': 265284.23},{'peggedUSD': 0},{'peggedUSD': 265284.23}
1609804800,{'peggedUSD': 332797.12},{'peggedUSD': 0},{'peggedUSD': 333464.31},{'peggedUSD': 0},{'peggedUSD': 333464.31}
1609891200,{'peggedUSD': 331118.03},{'peggedUSD': 0},{'peggedUSD': 331281.6},{'peggedUSD': 0},{'peggedUSD': 331281.6}
1609977600,{'peggedUSD': 592987.75},{'peggedUSD': 0},{'peggedUSD': 596568.14},{'peggedUSD': 0},{'peggedUSD': 596568.14}
1610064000,{'peggedUSD': 605051.24},{'peggedUSD': 0},{'peggedUSD': 605267.32},{'peggedUSD': 0},{'peggedUSD': 605267.32}
1610150400,{'peggedUSD': 611505.61},{'peggedUSD': 0},{'peggedUSD': 610630.79},{'peggedUSD': 0},{'peggedUSD': 610630.79}
1610236800,{'peggedUSD': 601218.48},{'peggedUSD': 0},{'peggedUSD': 604796.88},{'peggedUSD': 0},{'peggedUSD': 604796.88}
1610323200,{'peggedUSD': 564769.5},{'peggedUSD': 0},{'peggedUSD': 564976.31},{'peggedUSD': 0},{'peggedUSD': 564976.31}
1610409600,{'peggedUSD': 1124963.2},{'peggedUSD': 0},{'peggedUSD': 1136060.66},{'peggedUSD': 0},{'peggedUSD': 1136060.66}
1610496000,{'peggedUSD': 1138859.57},{'peggedUSD': 0},{'peggedUSD': 1142498.59},{'peggedUSD': 0},{'peggedUSD': 1142498.59}
1610582400,{'peggedUSD': 1189397.17},{'peggedUSD': 0},{'peggedUSD': 1191088.12},{'peggedUSD': 0},{'peggedUSD': 1191088.12}
1610668800,{'peggedUSD': 1194984.77},{'peggedUSD': 0},{'peggedUSD': 1196873.92},{'peggedUSD': 0},{'peggedUSD': 1196873.92}
1610755200,{'peggedUSD': 1197936.43},{'peggedUSD': 0},{'peggedUSD': 1197299.1},{'peggedUSD': 0},{'peggedUSD': 1197299.1}
1610841600,{'peggedUSD': 1268998.43},{'peggedUSD': 0},{'peggedUSD': 1270942.33},{'peggedUSD': 0},{'peggedUSD': 1270942.33}
1610928000,{'peggedUSD': 1288932.26},{'peggedUSD': 0},{'peggedUSD': 1288042.41},{'peggedUSD': 0},{'peggedUSD': 1288042.41}
