date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1942363.21},{'peggedUSD': 0},{'peggedUSD': 1942363.21},{'peggedUSD': 0},{'peggedUSD': 1942363.21}
1652400000,{'peggedUSD': 1877321.81},{'peggedUSD': 0},{'peggedUSD': 1877321.81},{'peggedUSD': 0},{'peggedUSD': 1877321.81}
1652486400,{'peggedUSD': 892810.76},{'peggedUSD': 0},{'peggedUSD': 892810.76},{'peggedUSD': 0},{'peggedUSD': 892810.76}
1652572800,{'peggedUSD': 762322.84},{'peggedUSD': 0},{'peggedUSD': 764457.34},{'peggedUSD': 0},{'peggedUSD': 764457.34}
1652659200,{'peggedUSD': 762322.84},{'peggedUSD': 0},{'peggedUSD': 762942.87},{'peggedUSD': 0},{'peggedUSD': 762942.87}
1652745600,{'peggedUSD': 760071.03},{'peggedUSD': 0},{'peggedUSD': 760518.81},{'peggedUSD': 0},{'peggedUSD': 760518.81}
1652832000,{'peggedUSD': 760071.03},{'peggedUSD': 0},{'peggedUSD': 760792},{'peggedUSD': 0},{'peggedUSD': 760792}
1652918400,{'peggedUSD': 760071.03},{'peggedUSD': 0},{'peggedUSD': 760502.3},{'peggedUSD': 0},{'peggedUSD': 760502.3}
1653004800,{'peggedUSD': 760071.03},{'peggedUSD': 0},{'peggedUSD': 760334.69},{'peggedUSD': 0},{'peggedUSD': 760334.69}
1653091200,{'peggedUSD': 760071.03},{'peggedUSD': 0},{'peggedUSD': 760547.41},{'peggedUSD': 0},{'peggedUSD': 760547.41}
1653177600,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 846543.99},{'peggedUSD': 0},{'peggedUSD': 846543.99}
1653264000,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845417.51},{'peggedUSD': 0},{'peggedUSD': 845417.51}
1653350400,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845295.53},{'peggedUSD': 0},{'peggedUSD': 845295.53}
1653436800,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845864.48},{'peggedUSD': 0},{'peggedUSD': 845864.48}
1653523200,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845668.81},{'peggedUSD': 0},{'peggedUSD': 845668.81}
1653609600,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 847039.59},{'peggedUSD': 0},{'peggedUSD': 847039.59}
1653696000,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 846498.84},{'peggedUSD': 0},{'peggedUSD': 846498.84}
1653782400,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 846299.66},{'peggedUSD': 0},{'peggedUSD': 846299.66}
1653868800,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845348.89}
1653955200,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845425.52},{'peggedUSD': 0},{'peggedUSD': 845425.52}
1654041600,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 846118.49},{'peggedUSD': 0},{'peggedUSD': 846118.49}
1654128000,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845786.13},{'peggedUSD': 0},{'peggedUSD': 845786.13}
1654214400,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845257.6},{'peggedUSD': 0},{'peggedUSD': 845257.6}
1654300800,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 846635.74},{'peggedUSD': 0},{'peggedUSD': 846635.74}
1654387200,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845576.48},{'peggedUSD': 0},{'peggedUSD': 845576.48}
1654473600,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845507.17},{'peggedUSD': 0},{'peggedUSD': 845507.17}
1654560000,{'peggedUSD': 845348.89},{'peggedUSD': 0},{'peggedUSD': 845981.34},{'peggedUSD': 0},{'peggedUSD': 845981.34}
1654646400,{'peggedUSD': 830671.45},{'peggedUSD': 0},{'peggedUSD': 830839.3},{'peggedUSD': 0},{'peggedUSD': 830839.3}
1654732800,{'peggedUSD': 830671.45},{'peggedUSD': 0},{'peggedUSD': 831735.33},{'peggedUSD': 0},{'peggedUSD': 831735.33}
1654819200,{'peggedUSD': 830671.45},{'peggedUSD': 0},{'peggedUSD': 830671.45},{'peggedUSD': 0},{'peggedUSD': 830671.45}
1654905600,{'peggedUSD': 780567.66},{'peggedUSD': 0},{'peggedUSD': 781659.11},{'peggedUSD': 0},{'peggedUSD': 781659.11}
1654992000,{'peggedUSD': 780567.66},{'peggedUSD': 0},{'peggedUSD': 782128.8},{'peggedUSD': 0},{'peggedUSD': 782128.8}
1655078400,{'peggedUSD': 676994.57},{'peggedUSD': 0},{'peggedUSD': 678348.56},{'peggedUSD': 0},{'peggedUSD': 678348.56}
1655164800,{'peggedUSD': 675305.92},{'peggedUSD': 0},{'peggedUSD': 676310.87},{'peggedUSD': 0},{'peggedUSD': 676310.87}
1655251200,{'peggedUSD': 675305.92},{'peggedUSD': 0},{'peggedUSD': 675981.22},{'peggedUSD': 0},{'peggedUSD': 675981.22}
1655337600,{'peggedUSD': 675305.92},{'peggedUSD': 0},{'peggedUSD': 675320.83},{'peggedUSD': 0},{'peggedUSD': 675320.83}
1655424000,{'peggedUSD': 675305.92},{'peggedUSD': 0},{'peggedUSD': 676349.06},{'peggedUSD': 0},{'peggedUSD': 676349.06}
1655510400,{'peggedUSD': 674391.29},{'peggedUSD': 0},{'peggedUSD': 674945.04},{'peggedUSD': 0},{'peggedUSD': 674945.04}
1655596800,{'peggedUSD': 674391.29},{'peggedUSD': 0},{'peggedUSD': 674540.82},{'peggedUSD': 0},{'peggedUSD': 674540.82}
1655683200,{'peggedUSD': 587195.96},{'peggedUSD': 0},{'peggedUSD': 587525.81},{'peggedUSD': 0},{'peggedUSD': 587525.81}
1655769600,{'peggedUSD': 585684.01},{'peggedUSD': 0},{'peggedUSD': 586245.08},{'peggedUSD': 0},{'peggedUSD': 586245.08}
1655856000,{'peggedUSD': 585684.01},{'peggedUSD': 0},{'peggedUSD': 586269.69},{'peggedUSD': 0},{'peggedUSD': 586269.69}
1655942400,{'peggedUSD': 585684.01},{'peggedUSD': 0},{'peggedUSD': 585531.52},{'peggedUSD': 0},{'peggedUSD': 585531.52}
1656028800,{'peggedUSD': 585684.01},{'peggedUSD': 0},{'peggedUSD': 585684.01},{'peggedUSD': 0},{'peggedUSD': 585684.01}
1656115200,{'peggedUSD': 565299.69},{'peggedUSD': 0},{'peggedUSD': 565633.38},{'peggedUSD': 0},{'peggedUSD': 565633.38}
1656201600,{'peggedUSD': 565299.69},{'peggedUSD': 0},{'peggedUSD': 565616.25},{'peggedUSD': 0},{'peggedUSD': 565616.25}
1656288000,{'peggedUSD': 565299.69},{'peggedUSD': 0},{'peggedUSD': 565862.84},{'peggedUSD': 0},{'peggedUSD': 565862.84}
1656374400,{'peggedUSD': 565299.69},{'peggedUSD': 0},{'peggedUSD': 565711.48},{'peggedUSD': 0},{'peggedUSD': 565711.48}
1656460800,{'peggedUSD': 626568.16},{'peggedUSD': 0},{'peggedUSD': 626568.16},{'peggedUSD': 0},{'peggedUSD': 626568.16}
1656547200,{'peggedUSD': 626568.16},{'peggedUSD': 0},{'peggedUSD': 626918.06},{'peggedUSD': 0},{'peggedUSD': 626918.06}
1656633600,{'peggedUSD': 626568.16},{'peggedUSD': 0},{'peggedUSD': 626690.65},{'peggedUSD': 0},{'peggedUSD': 626690.65}
1656720000,{'peggedUSD': 626568.16},{'peggedUSD': 0},{'peggedUSD': 627065.73},{'peggedUSD': 0},{'peggedUSD': 627065.73}
1656806400,{'peggedUSD': 564723.05},{'peggedUSD': 0},{'peggedUSD': 565287.78},{'peggedUSD': 0},{'peggedUSD': 565287.78}
1656892800,{'peggedUSD': 581512.37},{'peggedUSD': 0},{'peggedUSD': 581512.37},{'peggedUSD': 0},{'peggedUSD': 581512.37}
1656979200,{'peggedUSD': 581512.37},{'peggedUSD': 0},{'peggedUSD': 581831.14},{'peggedUSD': 0},{'peggedUSD': 581831.14}
1657065600,{'peggedUSD': 581512.37},{'peggedUSD': 0},{'peggedUSD': 581371.96},{'peggedUSD': 0},{'peggedUSD': 581371.96}
1657152000,{'peggedUSD': 611935.65},{'peggedUSD': 0},{'peggedUSD': 612547.58},{'peggedUSD': 0},{'peggedUSD': 612547.58}
1657238400,{'peggedUSD': 611935.65},{'peggedUSD': 0},{'peggedUSD': 612784.74},{'peggedUSD': 0},{'peggedUSD': 612784.74}
1657324800,{'peggedUSD': 611935.65},{'peggedUSD': 0},{'peggedUSD': 612163.88},{'peggedUSD': 0},{'peggedUSD': 612163.88}
1657411200,{'peggedUSD': 611935.65},{'peggedUSD': 0},{'peggedUSD': 611864.76},{'peggedUSD': 0},{'peggedUSD': 611864.76}
1657497600,{'peggedUSD': 612194.27},{'peggedUSD': 0},{'peggedUSD': 612806.47},{'peggedUSD': 0},{'peggedUSD': 612806.47}
1657584000,{'peggedUSD': 612194.27},{'peggedUSD': 0},{'peggedUSD': 612806.47},{'peggedUSD': 0},{'peggedUSD': 612806.47}
1657670400,{'peggedUSD': 612194.27},{'peggedUSD': 0},{'peggedUSD': 612806.47},{'peggedUSD': 0},{'peggedUSD': 612806.47}
1657756800,{'peggedUSD': 622193.79},{'peggedUSD': 0},{'peggedUSD': 622472.33},{'peggedUSD': 0},{'peggedUSD': 622472.33}
1657843200,{'peggedUSD': 622193.79},{'peggedUSD': 0},{'peggedUSD': 622345.72},{'peggedUSD': 0},{'peggedUSD': 622345.72}
1657929600,{'peggedUSD': 621691.5},{'peggedUSD': 0},{'peggedUSD': 621780.25},{'peggedUSD': 0},{'peggedUSD': 621780.25}
1658016000,{'peggedUSD': 621691.5},{'peggedUSD': 0},{'peggedUSD': 621883.93},{'peggedUSD': 0},{'peggedUSD': 621883.93}
1658102400,{'peggedUSD': 621691.5},{'peggedUSD': 0},{'peggedUSD': 621671.84},{'peggedUSD': 0},{'peggedUSD': 621671.84}
1658188800,{'peggedUSD': 621691.5},{'peggedUSD': 0},{'peggedUSD': 621480.48},{'peggedUSD': 0},{'peggedUSD': 621480.48}
