date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.8}
1652400000,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.8}
1652486400,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.8}
1652572800,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.89},{'peggedUSD': 0},{'peggedUSD': 31.89}
1652659200,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.82},{'peggedUSD': 0},{'peggedUSD': 31.82}
1652745600,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.82},{'peggedUSD': 0},{'peggedUSD': 31.82}
1652832000,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.83},{'peggedUSD': 0},{'peggedUSD': 31.83}
1652918400,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.82},{'peggedUSD': 0},{'peggedUSD': 31.82}
1653004800,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.81},{'peggedUSD': 0},{'peggedUSD': 31.81}
1653091200,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.82},{'peggedUSD': 0},{'peggedUSD': 31.82}
1653177600,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.84},{'peggedUSD': 0},{'peggedUSD': 31.84}
1653264000,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.8}
1653350400,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.8}
1653436800,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.82},{'peggedUSD': 0},{'peggedUSD': 31.82}
1653523200,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.81},{'peggedUSD': 0},{'peggedUSD': 31.81}
1653609600,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.86},{'peggedUSD': 0},{'peggedUSD': 31.86}
1653696000,{'peggedUSD': 31.8},{'peggedUSD': 0},{'peggedUSD': 31.84},{'peggedUSD': 0},{'peggedUSD': 31.84}
