date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 281142.76},{'peggedUSD': 0},{'peggedUSD': 282522.16},{'peggedUSD': 0},{'peggedUSD': 282522.16}
1609459200,{'peggedUSD': 281157.82},{'peggedUSD': 0},{'peggedUSD': 281895.06},{'peggedUSD': 0},{'peggedUSD': 281895.06}
1609545600,{'peggedUSD': 285475.12},{'peggedUSD': 0},{'peggedUSD': 286627.14},{'peggedUSD': 0},{'peggedUSD': 286627.14}
1609632000,{'peggedUSD': 289472.84},{'peggedUSD': 0},{'peggedUSD': 291062.85},{'peggedUSD': 0},{'peggedUSD': 291062.85}
1609718400,{'peggedUSD': 289345.03},{'peggedUSD': 0},{'peggedUSD': 291616.81},{'peggedUSD': 0},{'peggedUSD': 291616.81}
1609804800,{'peggedUSD': 291709.55},{'peggedUSD': 0},{'peggedUSD': 292294.37},{'peggedUSD': 0},{'peggedUSD': 292294.37}
1609891200,{'peggedUSD': 293410.01},{'peggedUSD': 0},{'peggedUSD': 293554.95},{'peggedUSD': 0},{'peggedUSD': 293554.95}
1609977600,{'peggedUSD': 301359.23},{'peggedUSD': 0},{'peggedUSD': 303178.81},{'peggedUSD': 0},{'peggedUSD': 303178.81}
1610064000,{'peggedUSD': 305002.2},{'peggedUSD': 0},{'peggedUSD': 305111.12},{'peggedUSD': 0},{'peggedUSD': 305111.12}
1610150400,{'peggedUSD': 305260.88},{'peggedUSD': 0},{'peggedUSD': 304824.18},{'peggedUSD': 0},{'peggedUSD': 304824.18}
1610236800,{'peggedUSD': 329984.82},{'peggedUSD': 0},{'peggedUSD': 331948.87},{'peggedUSD': 0},{'peggedUSD': 331948.87}
1610323200,{'peggedUSD': 337264.71},{'peggedUSD': 0},{'peggedUSD': 337388.21},{'peggedUSD': 0},{'peggedUSD': 337388.21}
1610409600,{'peggedUSD': 337941.79},{'peggedUSD': 0},{'peggedUSD': 341275.5},{'peggedUSD': 0},{'peggedUSD': 341275.5}
1610496000,{'peggedUSD': 352094.76},{'peggedUSD': 0},{'peggedUSD': 353219.82},{'peggedUSD': 0},{'peggedUSD': 353219.82}
1610582400,{'peggedUSD': 362691.16},{'peggedUSD': 0},{'peggedUSD': 363206.8},{'peggedUSD': 0},{'peggedUSD': 363206.8}
1610668800,{'peggedUSD': 370201.8},{'peggedUSD': 0},{'peggedUSD': 370787.06},{'peggedUSD': 0},{'peggedUSD': 370787.06}
1610755200,{'peggedUSD': 389869.39},{'peggedUSD': 0},{'peggedUSD': 389661.98},{'peggedUSD': 0},{'peggedUSD': 389661.98}
1610841600,{'peggedUSD': 403755.45},{'peggedUSD': 0},{'peggedUSD': 404373.93},{'peggedUSD': 0},{'peggedUSD': 404373.93}
1610928000,{'peggedUSD': 406589.77},{'peggedUSD': 0},{'peggedUSD': 406309.07},{'peggedUSD': 0},{'peggedUSD': 406309.07}
1611014400,{'peggedUSD': 450689.49},{'peggedUSD': 0},{'peggedUSD': 451150.17},{'peggedUSD': 0},{'peggedUSD': 451150.17}
1611100800,{'peggedUSD': 516927.97},{'peggedUSD': 0},{'peggedUSD': 516489.82},{'peggedUSD': 0},{'peggedUSD': 516489.82}
1611187200,{'peggedUSD': 556768.47},{'peggedUSD': 0},{'peggedUSD': 555745.42},{'peggedUSD': 0},{'peggedUSD': 555745.42}
1611273600,{'peggedUSD': 577680.84},{'peggedUSD': 0},{'peggedUSD': 578352.34},{'peggedUSD': 0},{'peggedUSD': 578352.34}
1611360000,{'peggedUSD': 679583.19},{'peggedUSD': 0},{'peggedUSD': 680373.15},{'peggedUSD': 0},{'peggedUSD': 680373.15}
1611446400,{'peggedUSD': 704757.38},{'peggedUSD': 0},{'peggedUSD': 703932.26},{'peggedUSD': 0},{'peggedUSD': 703932.26}
1611532800,{'peggedUSD': 697160.98},{'peggedUSD': 0},{'peggedUSD': 697805.8},{'peggedUSD': 0},{'peggedUSD': 697805.8}
1611619200,{'peggedUSD': 718394.95},{'peggedUSD': 0},{'peggedUSD': 719680.06},{'peggedUSD': 0},{'peggedUSD': 719680.06}
1611705600,{'peggedUSD': 742532.06},{'peggedUSD': 0},{'peggedUSD': 743998.76},{'peggedUSD': 0},{'peggedUSD': 743998.76}
1611792000,{'peggedUSD': 810188.73},{'peggedUSD': 0},{'peggedUSD': 810550.24},{'peggedUSD': 0},{'peggedUSD': 810550.24}
1611878400,{'peggedUSD': 872350.89},{'peggedUSD': 0},{'peggedUSD': 869276.25},{'peggedUSD': 0},{'peggedUSD': 869276.25}
1611964800,{'peggedUSD': 953282.3},{'peggedUSD': 0},{'peggedUSD': 947800.48},{'peggedUSD': 0},{'peggedUSD': 947800.48}
1612051200,{'peggedUSD': 935825.25},{'peggedUSD': 0},{'peggedUSD': 931938.91},{'peggedUSD': 0},{'peggedUSD': 931938.91}
1612137600,{'peggedUSD': 943551.42},{'peggedUSD': 0},{'peggedUSD': 943605.98},{'peggedUSD': 0},{'peggedUSD': 943605.98}
1612224000,{'peggedUSD': 970351.61},{'peggedUSD': 0},{'peggedUSD': 969293.11},{'peggedUSD': 0},{'peggedUSD': 969293.11}
1612310400,{'peggedUSD': 994044.75},{'peggedUSD': 0},{'peggedUSD': 994620.32},{'peggedUSD': 0},{'peggedUSD': 994620.32}
1612396800,{'peggedUSD': 994790.69},{'peggedUSD': 0},{'peggedUSD': 994134.46},{'peggedUSD': 0},{'peggedUSD': 994134.46}
1612483200,{'peggedUSD': 993704.34},{'peggedUSD': 0},{'peggedUSD': 994988.25},{'peggedUSD': 0},{'peggedUSD': 994988.25}
1612569600,{'peggedUSD': 1046007.82},{'peggedUSD': 0},{'peggedUSD': 1047739.2},{'peggedUSD': 0},{'peggedUSD': 1047739.2}
1612656000,{'peggedUSD': 1101551.45},{'peggedUSD': 0},{'peggedUSD': 1100177.14},{'peggedUSD': 0},{'peggedUSD': 1100177.14}
1612742400,{'peggedUSD': 1101606.08},{'peggedUSD': 0},{'peggedUSD': 1102261.75},{'peggedUSD': 0},{'peggedUSD': 1102261.75}
1612828800,{'peggedUSD': 1120578.68},{'peggedUSD': 0},{'peggedUSD': 1120376.57},{'peggedUSD': 0},{'peggedUSD': 1120376.57}
1612915200,{'peggedUSD': 1129380.17},{'peggedUSD': 0},{'peggedUSD': 1126313.15},{'peggedUSD': 0},{'peggedUSD': 1126313.15}
1613001600,{'peggedUSD': 1165811.96},{'peggedUSD': 0},{'peggedUSD': 1166170.71},{'peggedUSD': 0},{'peggedUSD': 1166170.71}
1613088000,{'peggedUSD': 1175351.81},{'peggedUSD': 0},{'peggedUSD': 1175397.62},{'peggedUSD': 0},{'peggedUSD': 1175397.62}
1613174400,{'peggedUSD': 1026028.97},{'peggedUSD': 0},{'peggedUSD': 1024029.06},{'peggedUSD': 0},{'peggedUSD': 1024029.06}
1613260800,{'peggedUSD': 1020760.67},{'peggedUSD': 0},{'peggedUSD': 1020410.39},{'peggedUSD': 0},{'peggedUSD': 1020410.39}
1613347200,{'peggedUSD': 1015711.71},{'peggedUSD': 0},{'peggedUSD': 1013982.91},{'peggedUSD': 0},{'peggedUSD': 1013982.91}
1613433600,{'peggedUSD': 1023578.34},{'peggedUSD': 0},{'peggedUSD': 1025729.8},{'peggedUSD': 0},{'peggedUSD': 1025729.8}
1613520000,{'peggedUSD': 883163.69},{'peggedUSD': 0},{'peggedUSD': 884202.55},{'peggedUSD': 0},{'peggedUSD': 884202.55}
1613606400,{'peggedUSD': 900617.25},{'peggedUSD': 0},{'peggedUSD': 901620.45},{'peggedUSD': 0},{'peggedUSD': 901620.45}
1613692800,{'peggedUSD': 906932.62},{'peggedUSD': 0},{'peggedUSD': 908119.53},{'peggedUSD': 0},{'peggedUSD': 908119.53}
1613779200,{'peggedUSD': 917164.43},{'peggedUSD': 0},{'peggedUSD': 921494},{'peggedUSD': 0},{'peggedUSD': 921494}
1613865600,{'peggedUSD': 956041.09},{'peggedUSD': 0},{'peggedUSD': 958261.11},{'peggedUSD': 0},{'peggedUSD': 958261.11}
1613952000,{'peggedUSD': 968386.18},{'peggedUSD': 0},{'peggedUSD': 972476.01},{'peggedUSD': 0},{'peggedUSD': 972476.01}
1614038400,{'peggedUSD': 972628.45},{'peggedUSD': 0},{'peggedUSD': 976211.09},{'peggedUSD': 0},{'peggedUSD': 976211.09}
1614124800,{'peggedUSD': 995924.08},{'peggedUSD': 0},{'peggedUSD': 1002635.79},{'peggedUSD': 0},{'peggedUSD': 1002635.79}
1614211200,{'peggedUSD': 1057641.14},{'peggedUSD': 0},{'peggedUSD': 1068197.3},{'peggedUSD': 0},{'peggedUSD': 1068197.3}
