date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 330707.14},{'peggedUSD': 0},{'peggedUSD': 330707.14},{'peggedUSD': 0},{'peggedUSD': 330707.14}
1652400000,{'peggedUSD': 330707.14},{'peggedUSD': 0},{'peggedUSD': 330707.14},{'peggedUSD': 0},{'peggedUSD': 330707.14}
1652486400,{'peggedUSD': 330707.14},{'peggedUSD': 0},{'peggedUSD': 330707.14},{'peggedUSD': 0},{'peggedUSD': 330707.14}
1652572800,{'peggedUSD': 330707.14},{'peggedUSD': 0},{'peggedUSD': 331633.12},{'peggedUSD': 0},{'peggedUSD': 331633.12}
1652659200,{'peggedUSD': 330707.14},{'peggedUSD': 0},{'peggedUSD': 330976.11},{'peggedUSD': 0},{'peggedUSD': 330976.11}
1652745600,{'peggedUSD': 330707.14},{'peggedUSD': 0},{'peggedUSD': 330901.96},{'peggedUSD': 0},{'peggedUSD': 330901.96}
1652832000,{'peggedUSD': 330707.14},{'peggedUSD': 0},{'peggedUSD': 331020.83},{'peggedUSD': 0},{'peggedUSD': 331020.83}
1652918400,{'peggedUSD': 322254.31},{'peggedUSD': 0},{'peggedUSD': 322437.16},{'peggedUSD': 0},{'peggedUSD': 322437.16}
1653004800,{'peggedUSD': 322254.31},{'peggedUSD': 0},{'peggedUSD': 322366.1},{'peggedUSD': 0},{'peggedUSD': 322366.1}
1653091200,{'peggedUSD': 322254.31},{'peggedUSD': 0},{'peggedUSD': 322456.29},{'peggedUSD': 0},{'peggedUSD': 322456.29}
1653177600,{'peggedUSD': 322254.31},{'peggedUSD': 0},{'peggedUSD': 322709.89},{'peggedUSD': 0},{'peggedUSD': 322709.89}
1653264000,{'peggedUSD': 322254.31},{'peggedUSD': 0},{'peggedUSD': 322280.47},{'peggedUSD': 0},{'peggedUSD': 322280.47}
1653350400,{'peggedUSD': 322254.31},{'peggedUSD': 0},{'peggedUSD': 322233.96},{'peggedUSD': 0},{'peggedUSD': 322233.96}
1653436800,{'peggedUSD': 322254.31},{'peggedUSD': 0},{'peggedUSD': 322450.86},{'peggedUSD': 0},{'peggedUSD': 322450.86}
1653523200,{'peggedUSD': 322254.31},{'peggedUSD': 0},{'peggedUSD': 322376.26},{'peggedUSD': 0},{'peggedUSD': 322376.26}
1653609600,{'peggedUSD': 322254.31},{'peggedUSD': 0},{'peggedUSD': 322898.82},{'peggedUSD': 0},{'peggedUSD': 322898.82}
1653696000,{'peggedUSD': 322264.29},{'peggedUSD': 0},{'peggedUSD': 322702.67},{'peggedUSD': 0},{'peggedUSD': 322702.67}
1653782400,{'peggedUSD': 322264.29},{'peggedUSD': 0},{'peggedUSD': 322626.74},{'peggedUSD': 0},{'peggedUSD': 322626.74}
1653868800,{'peggedUSD': 322264.29},{'peggedUSD': 0},{'peggedUSD': 322264.29},{'peggedUSD': 0},{'peggedUSD': 322264.29}
1653955200,{'peggedUSD': 322264.29},{'peggedUSD': 0},{'peggedUSD': 322293.5},{'peggedUSD': 0},{'peggedUSD': 322293.5}
1654041600,{'peggedUSD': 322264.29},{'peggedUSD': 0},{'peggedUSD': 322557.68},{'peggedUSD': 0},{'peggedUSD': 322557.68}
1654128000,{'peggedUSD': 322264.29},{'peggedUSD': 0},{'peggedUSD': 322430.97},{'peggedUSD': 0},{'peggedUSD': 322430.97}
1654214400,{'peggedUSD': 322264.29},{'peggedUSD': 0},{'peggedUSD': 322229.48},{'peggedUSD': 0},{'peggedUSD': 322229.48}
1654300800,{'peggedUSD': 322264.29},{'peggedUSD': 0},{'peggedUSD': 322754.86},{'peggedUSD': 0},{'peggedUSD': 322754.86}
1654387200,{'peggedUSD': 322264.29},{'peggedUSD': 0},{'peggedUSD': 322351.05},{'peggedUSD': 0},{'peggedUSD': 322351.05}
1654473600,{'peggedUSD': 322264.29},{'peggedUSD': 0},{'peggedUSD': 322324.63},{'peggedUSD': 0},{'peggedUSD': 322324.63}
1654560000,{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322440.47},{'peggedUSD': 0},{'peggedUSD': 322440.47}
1654646400,{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322264.52},{'peggedUSD': 0},{'peggedUSD': 322264.52}
1654732800,{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322612.07},{'peggedUSD': 0},{'peggedUSD': 322612.07}
1654819200,{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322199.42}
1654905600,{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322649.94},{'peggedUSD': 0},{'peggedUSD': 322649.94}
1654992000,{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322843.82},{'peggedUSD': 0},{'peggedUSD': 322843.82}
1655078400,{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322843.82},{'peggedUSD': 0},{'peggedUSD': 322843.82}
1655164800,{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322678.9},{'peggedUSD': 0},{'peggedUSD': 322678.9}
1655251200,{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322521.62},{'peggedUSD': 0},{'peggedUSD': 322521.62}
1655337600,{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322206.54},{'peggedUSD': 0},{'peggedUSD': 322206.54}
1655424000,{'peggedUSD': 322199.42},{'peggedUSD': 0},{'peggedUSD': 322697.12},{'peggedUSD': 0},{'peggedUSD': 322697.12}
