date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12689.23}
1652400000,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12689.23}
1652486400,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12689.23}
1652572800,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12724.76},{'peggedUSD': 0},{'peggedUSD': 12724.76}
1652659200,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12699.55},{'peggedUSD': 0},{'peggedUSD': 12699.55}
1652745600,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12696.71},{'peggedUSD': 0},{'peggedUSD': 12696.71}
1652832000,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12701.27},{'peggedUSD': 0},{'peggedUSD': 12701.27}
1652918400,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12696.43},{'peggedUSD': 0},{'peggedUSD': 12696.43}
1653004800,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12693.63},{'peggedUSD': 0},{'peggedUSD': 12693.63}
1653091200,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12697.18},{'peggedUSD': 0},{'peggedUSD': 12697.18}
1653177600,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12707.17},{'peggedUSD': 0},{'peggedUSD': 12707.17}
1653264000,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12690.26},{'peggedUSD': 0},{'peggedUSD': 12690.26}
1653350400,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12688.43},{'peggedUSD': 0},{'peggedUSD': 12688.43}
1653436800,{'peggedUSD': 12689.23},{'peggedUSD': 0},{'peggedUSD': 12696.97},{'peggedUSD': 0},{'peggedUSD': 12696.97}
