date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 3008501.98},{'peggedUSD': 0},{'peggedUSD': 3008501.98},{'peggedUSD': 0},{'peggedUSD': 3008501.98}
1652400000,{'peggedUSD': 2492733.03},{'peggedUSD': 0},{'peggedUSD': 2492733.03},{'peggedUSD': 0},{'peggedUSD': 2492733.03}
1652486400,{'peggedUSD': 2463347.86},{'peggedUSD': 0},{'peggedUSD': 2463347.86},{'peggedUSD': 0},{'peggedUSD': 2463347.86}
1652572800,{'peggedUSD': 2463347.86},{'peggedUSD': 0},{'peggedUSD': 2470245.23},{'peggedUSD': 0},{'peggedUSD': 2470245.23}
1652659200,{'peggedUSD': 2432316.3},{'peggedUSD': 0},{'peggedUSD': 2434294.6},{'peggedUSD': 0},{'peggedUSD': 2434294.6}
1652745600,{'peggedUSD': 2443371.98},{'peggedUSD': 0},{'peggedUSD': 2444811.41},{'peggedUSD': 0},{'peggedUSD': 2444811.41}
1652832000,{'peggedUSD': 2647149.35},{'peggedUSD': 0},{'peggedUSD': 2649660.31},{'peggedUSD': 0},{'peggedUSD': 2649660.31}
1652918400,{'peggedUSD': 2669071.61},{'peggedUSD': 0},{'peggedUSD': 2670586.07},{'peggedUSD': 0},{'peggedUSD': 2670586.07}
1653004800,{'peggedUSD': 2548581.86},{'peggedUSD': 0},{'peggedUSD': 2549465.93},{'peggedUSD': 0},{'peggedUSD': 2549465.93}
1653091200,{'peggedUSD': 2444399.44},{'peggedUSD': 0},{'peggedUSD': 2445931.49},{'peggedUSD': 0},{'peggedUSD': 2445931.49}
1653177600,{'peggedUSD': 2445218.4},{'peggedUSD': 0},{'peggedUSD': 2448675.28},{'peggedUSD': 0},{'peggedUSD': 2448675.28}
1653264000,{'peggedUSD': 2420574.43},{'peggedUSD': 0},{'peggedUSD': 2420770.91},{'peggedUSD': 0},{'peggedUSD': 2420770.91}
1653350400,{'peggedUSD': 2436453.64},{'peggedUSD': 0},{'peggedUSD': 2436299.82},{'peggedUSD': 0},{'peggedUSD': 2436299.82}
1653436800,{'peggedUSD': 2436453.64},{'peggedUSD': 0},{'peggedUSD': 2437939.65},{'peggedUSD': 0},{'peggedUSD': 2437939.65}
1653523200,{'peggedUSD': 2416504.35},{'peggedUSD': 0},{'peggedUSD': 2417418.85},{'peggedUSD': 0},{'peggedUSD': 2417418.85}
1653609600,{'peggedUSD': 2416504.35},{'peggedUSD': 0},{'peggedUSD': 2421337.36},{'peggedUSD': 0},{'peggedUSD': 2421337.36}
1653696000,{'peggedUSD': 2416504.35},{'peggedUSD': 0},{'peggedUSD': 2419791.57},{'peggedUSD': 0},{'peggedUSD': 2419791.57}
1653782400,{'peggedUSD': 2414500.17},{'peggedUSD': 0},{'peggedUSD': 2417215.76},{'peggedUSD': 0},{'peggedUSD': 2417215.76}
1653868800,{'peggedUSD': 2584703.78},{'peggedUSD': 0},{'peggedUSD': 2584703.78},{'peggedUSD': 0},{'peggedUSD': 2584703.78}
1653955200,{'peggedUSD': 2573809.25},{'peggedUSD': 0},{'peggedUSD': 2574042.54},{'peggedUSD': 0},{'peggedUSD': 2574042.54}
1654041600,{'peggedUSD': 2573809.36},{'peggedUSD': 0},{'peggedUSD': 2576152.53},{'peggedUSD': 0},{'peggedUSD': 2576152.53}
1654128000,{'peggedUSD': 2573809.36},{'peggedUSD': 0},{'peggedUSD': 2575140.61},{'peggedUSD': 0},{'peggedUSD': 2575140.61}
1654214400,{'peggedUSD': 2578117.69},{'peggedUSD': 0},{'peggedUSD': 2577839.25},{'peggedUSD': 0},{'peggedUSD': 2577839.25}
1654300800,{'peggedUSD': 2578117.69},{'peggedUSD': 0},{'peggedUSD': 2582042.28},{'peggedUSD': 0},{'peggedUSD': 2582042.28}
1654387200,{'peggedUSD': 2580965.22},{'peggedUSD': 0},{'peggedUSD': 2581660.07},{'peggedUSD': 0},{'peggedUSD': 2581660.07}
1654473600,{'peggedUSD': 2683970.07},{'peggedUSD': 0},{'peggedUSD': 2684472.59},{'peggedUSD': 0},{'peggedUSD': 2684472.59}
1654560000,{'peggedUSD': 2668820.44},{'peggedUSD': 0},{'peggedUSD': 2670817.12},{'peggedUSD': 0},{'peggedUSD': 2670817.12}
1654646400,{'peggedUSD': 2653921.92},{'peggedUSD': 0},{'peggedUSD': 2654458.17},{'peggedUSD': 0},{'peggedUSD': 2654458.17}
1654732800,{'peggedUSD': 2359347.81},{'peggedUSD': 0},{'peggedUSD': 2362369.52},{'peggedUSD': 0},{'peggedUSD': 2362369.52}
