date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1109.84},{'peggedUSD': 0},{'peggedUSD': 1109.84},{'peggedUSD': 0},{'peggedUSD': 1109.84}
1652400000,{'peggedUSD': 1109.84},{'peggedUSD': 0},{'peggedUSD': 1109.84},{'peggedUSD': 0},{'peggedUSD': 1109.84}
1652486400,{'peggedUSD': 1109.84},{'peggedUSD': 0},{'peggedUSD': 1109.84},{'peggedUSD': 0},{'peggedUSD': 1109.84}
1652572800,{'peggedUSD': 1109.84},{'peggedUSD': 0},{'peggedUSD': 1112.95},{'peggedUSD': 0},{'peggedUSD': 1112.95}
1652659200,{'peggedUSD': 1109.84},{'peggedUSD': 0},{'peggedUSD': 1110.75},{'peggedUSD': 0},{'peggedUSD': 1110.75}
1652745600,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.51},{'peggedUSD': 0},{'peggedUSD': 1130.51}
1652832000,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.92},{'peggedUSD': 0},{'peggedUSD': 1130.92}
1652918400,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.49},{'peggedUSD': 0},{'peggedUSD': 1130.49}
1653004800,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.24},{'peggedUSD': 0},{'peggedUSD': 1130.24}
1653091200,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.55},{'peggedUSD': 0},{'peggedUSD': 1130.55}
1653177600,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1131.44},{'peggedUSD': 0},{'peggedUSD': 1131.44}
1653264000,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1129.94},{'peggedUSD': 0},{'peggedUSD': 1129.94}
1653350400,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1129.77},{'peggedUSD': 0},{'peggedUSD': 1129.77}
1653436800,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.53},{'peggedUSD': 0},{'peggedUSD': 1130.53}
1653523200,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.27},{'peggedUSD': 0},{'peggedUSD': 1130.27}
1653609600,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1132.1},{'peggedUSD': 0},{'peggedUSD': 1132.1}
1653696000,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1131.38},{'peggedUSD': 0},{'peggedUSD': 1131.38}
1653782400,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1131.12},{'peggedUSD': 0},{'peggedUSD': 1131.12}
1653868800,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1129.84}
1653955200,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1129.95},{'peggedUSD': 0},{'peggedUSD': 1129.95}
1654041600,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.87},{'peggedUSD': 0},{'peggedUSD': 1130.87}
1654128000,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.43},{'peggedUSD': 0},{'peggedUSD': 1130.43}
1654214400,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1129.72},{'peggedUSD': 0},{'peggedUSD': 1129.72}
1654300800,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1131.56},{'peggedUSD': 0},{'peggedUSD': 1131.56}
1654387200,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.15},{'peggedUSD': 0},{'peggedUSD': 1130.15}
1654473600,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.06},{'peggedUSD': 0},{'peggedUSD': 1130.06}
1654560000,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.69},{'peggedUSD': 0},{'peggedUSD': 1130.69}
1654646400,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.07},{'peggedUSD': 0},{'peggedUSD': 1130.07}
1654732800,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1131.29},{'peggedUSD': 0},{'peggedUSD': 1131.29}
1654819200,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1129.84}
1654905600,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1131.42},{'peggedUSD': 0},{'peggedUSD': 1131.42}
1654992000,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1132.1},{'peggedUSD': 0},{'peggedUSD': 1132.1}
1655078400,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1132.1},{'peggedUSD': 0},{'peggedUSD': 1132.1}
1655164800,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1131.53},{'peggedUSD': 0},{'peggedUSD': 1131.53}
1655251200,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.97},{'peggedUSD': 0},{'peggedUSD': 1130.97}
1655337600,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1129.87},{'peggedUSD': 0},{'peggedUSD': 1129.87}
1655424000,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1131.59},{'peggedUSD': 0},{'peggedUSD': 1131.59}
1655510400,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.77},{'peggedUSD': 0},{'peggedUSD': 1130.77}
1655596800,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.1},{'peggedUSD': 0},{'peggedUSD': 1130.1}
1655683200,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.48},{'peggedUSD': 0},{'peggedUSD': 1130.48}
1655769600,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.93},{'peggedUSD': 0},{'peggedUSD': 1130.93}
1655856000,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1130.97},{'peggedUSD': 0},{'peggedUSD': 1130.97}
1655942400,{'peggedUSD': 1129.84},{'peggedUSD': 0},{'peggedUSD': 1129.55},{'peggedUSD': 0},{'peggedUSD': 1129.55}
