date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 411909.36},{'peggedUSD': 0},{'peggedUSD': 411909.36},{'peggedUSD': 0},{'peggedUSD': 411909.36}
1652400000,{'peggedUSD': 355392.63},{'peggedUSD': 0},{'peggedUSD': 355392.63},{'peggedUSD': 0},{'peggedUSD': 355392.63}
1652486400,{'peggedUSD': 370392.63},{'peggedUSD': 0},{'peggedUSD': 370392.63},{'peggedUSD': 0},{'peggedUSD': 370392.63}
1652572800,{'peggedUSD': 370392.63},{'peggedUSD': 0},{'peggedUSD': 371429.73},{'peggedUSD': 0},{'peggedUSD': 371429.73}
1652659200,{'peggedUSD': 370392.63},{'peggedUSD': 0},{'peggedUSD': 370693.88},{'peggedUSD': 0},{'peggedUSD': 370693.88}
1652745600,{'peggedUSD': 370392.63},{'peggedUSD': 0},{'peggedUSD': 370610.83},{'peggedUSD': 0},{'peggedUSD': 370610.83}
1652832000,{'peggedUSD': 370392.63},{'peggedUSD': 0},{'peggedUSD': 370743.97},{'peggedUSD': 0},{'peggedUSD': 370743.97}
1652918400,{'peggedUSD': 370392.63},{'peggedUSD': 0},{'peggedUSD': 370602.79},{'peggedUSD': 0},{'peggedUSD': 370602.79}
1653004800,{'peggedUSD': 370392.63},{'peggedUSD': 0},{'peggedUSD': 370521.11},{'peggedUSD': 0},{'peggedUSD': 370521.11}
1653091200,{'peggedUSD': 370392.63},{'peggedUSD': 0},{'peggedUSD': 370624.78},{'peggedUSD': 0},{'peggedUSD': 370624.78}
1653177600,{'peggedUSD': 370392.63},{'peggedUSD': 0},{'peggedUSD': 370916.26},{'peggedUSD': 0},{'peggedUSD': 370916.26}
1653264000,{'peggedUSD': 370392.63},{'peggedUSD': 0},{'peggedUSD': 370422.69},{'peggedUSD': 0},{'peggedUSD': 370422.69}
1653350400,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382358.49},{'peggedUSD': 0},{'peggedUSD': 382358.49}
1653436800,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382615.85},{'peggedUSD': 0},{'peggedUSD': 382615.85}
1653523200,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382527.34},{'peggedUSD': 0},{'peggedUSD': 382527.34}
1653609600,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 383147.39},{'peggedUSD': 0},{'peggedUSD': 383147.39}
1653696000,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382902.79},{'peggedUSD': 0},{'peggedUSD': 382902.79}
1653782400,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382812.69},{'peggedUSD': 0},{'peggedUSD': 382812.69}
1653868800,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382382.63}
1653955200,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382417.29},{'peggedUSD': 0},{'peggedUSD': 382417.29}
1654041600,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382730.75},{'peggedUSD': 0},{'peggedUSD': 382730.75}
1654128000,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382580.41},{'peggedUSD': 0},{'peggedUSD': 382580.41}
1654214400,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382341.33},{'peggedUSD': 0},{'peggedUSD': 382341.33}
1654300800,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382964.72},{'peggedUSD': 0},{'peggedUSD': 382964.72}
1654387200,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382485.57},{'peggedUSD': 0},{'peggedUSD': 382485.57}
1654473600,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382454.22},{'peggedUSD': 0},{'peggedUSD': 382454.22}
1654560000,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382668.71},{'peggedUSD': 0},{'peggedUSD': 382668.71}
1654646400,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382459.89},{'peggedUSD': 0},{'peggedUSD': 382459.89}
1654732800,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382872.36},{'peggedUSD': 0},{'peggedUSD': 382872.36}
1654819200,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382382.63}
1654905600,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 382917.3},{'peggedUSD': 0},{'peggedUSD': 382917.3}
1654992000,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 383147.39},{'peggedUSD': 0},{'peggedUSD': 383147.39}
1655078400,{'peggedUSD': 382382.63},{'peggedUSD': 0},{'peggedUSD': 383147.39},{'peggedUSD': 0},{'peggedUSD': 383147.39}
1655164800,{'peggedUSD': 345382.63},{'peggedUSD': 0},{'peggedUSD': 345896.61},{'peggedUSD': 0},{'peggedUSD': 345896.61}
1655251200,{'peggedUSD': 338476.3},{'peggedUSD': 0},{'peggedUSD': 338814.78},{'peggedUSD': 0},{'peggedUSD': 338814.78}
