date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 4447029.37},{'peggedUSD': 0},{'peggedUSD': 4447029.37},{'peggedUSD': 0},{'peggedUSD': 4447029.37}
1652400000,{'peggedUSD': 4515332.91},{'peggedUSD': 0},{'peggedUSD': 4515332.91},{'peggedUSD': 0},{'peggedUSD': 4515332.91}
1652486400,{'peggedUSD': 4681274.15},{'peggedUSD': 0},{'peggedUSD': 4681274.15},{'peggedUSD': 0},{'peggedUSD': 4681274.15}
1652572800,{'peggedUSD': 4698629.44},{'peggedUSD': 0},{'peggedUSD': 4711785.6},{'peggedUSD': 0},{'peggedUSD': 4711785.6}
1652659200,{'peggedUSD': 4727257.46},{'peggedUSD': 0},{'peggedUSD': 4731102.33},{'peggedUSD': 0},{'peggedUSD': 4731102.33}
1652745600,{'peggedUSD': 4734194.61},{'peggedUSD': 0},{'peggedUSD': 4736983.62},{'peggedUSD': 0},{'peggedUSD': 4736983.62}
1652832000,{'peggedUSD': 4741653.42},{'peggedUSD': 0},{'peggedUSD': 4746151.12},{'peggedUSD': 0},{'peggedUSD': 4746151.12}
1652918400,{'peggedUSD': 4967601.62},{'peggedUSD': 0},{'peggedUSD': 4970420.28},{'peggedUSD': 0},{'peggedUSD': 4970420.28}
1653004800,{'peggedUSD': 4969340.14},{'peggedUSD': 0},{'peggedUSD': 4971063.95},{'peggedUSD': 0},{'peggedUSD': 4971063.95}
1653091200,{'peggedUSD': 4969393.02},{'peggedUSD': 0},{'peggedUSD': 4972507.63},{'peggedUSD': 0},{'peggedUSD': 4972507.63}
1653177600,{'peggedUSD': 4976009.24},{'peggedUSD': 0},{'peggedUSD': 4983043.97},{'peggedUSD': 0},{'peggedUSD': 4983043.97}
1653264000,{'peggedUSD': 4973179.38},{'peggedUSD': 0},{'peggedUSD': 4973583.06},{'peggedUSD': 0},{'peggedUSD': 4973583.06}
1653350400,{'peggedUSD': 5020368.58},{'peggedUSD': 0},{'peggedUSD': 5020051.64},{'peggedUSD': 0},{'peggedUSD': 5020051.64}
1653436800,{'peggedUSD': 5027923.25},{'peggedUSD': 0},{'peggedUSD': 5030989.83},{'peggedUSD': 0},{'peggedUSD': 5030989.83}
1653523200,{'peggedUSD': 5054350.18},{'peggedUSD': 0},{'peggedUSD': 5056262.95},{'peggedUSD': 0},{'peggedUSD': 5056262.95}
1653609600,{'peggedUSD': 5036364.2},{'peggedUSD': 0},{'peggedUSD': 5046436.93},{'peggedUSD': 0},{'peggedUSD': 5046436.93}
1653696000,{'peggedUSD': 5061057.46},{'peggedUSD': 0},{'peggedUSD': 5067942.12},{'peggedUSD': 0},{'peggedUSD': 5067942.12}
1653782400,{'peggedUSD': 5064426.45},{'peggedUSD': 0},{'peggedUSD': 5070122.41},{'peggedUSD': 0},{'peggedUSD': 5070122.41}
1653868800,{'peggedUSD': 5065132.29},{'peggedUSD': 0},{'peggedUSD': 5065132.29},{'peggedUSD': 0},{'peggedUSD': 5065132.29}
1653955200,{'peggedUSD': 5069916.89},{'peggedUSD': 0},{'peggedUSD': 5070376.43},{'peggedUSD': 0},{'peggedUSD': 5070376.43}
1654041600,{'peggedUSD': 5067588.22},{'peggedUSD': 0},{'peggedUSD': 5072201.71},{'peggedUSD': 0},{'peggedUSD': 5072201.71}
1654128000,{'peggedUSD': 5064571.07},{'peggedUSD': 0},{'peggedUSD': 5067190.62},{'peggedUSD': 0},{'peggedUSD': 5067190.62}
1654214400,{'peggedUSD': 5125449.13},{'peggedUSD': 0},{'peggedUSD': 5124895.58},{'peggedUSD': 0},{'peggedUSD': 5124895.58}
1654300800,{'peggedUSD': 5135787.14},{'peggedUSD': 0},{'peggedUSD': 5143605.19},{'peggedUSD': 0},{'peggedUSD': 5143605.19}
1654387200,{'peggedUSD': 5135933.06},{'peggedUSD': 0},{'peggedUSD': 5137315.76},{'peggedUSD': 0},{'peggedUSD': 5137315.76}
1654473600,{'peggedUSD': 4830421.02},{'peggedUSD': 0},{'peggedUSD': 4831325.42},{'peggedUSD': 0},{'peggedUSD': 4831325.42}
1654560000,{'peggedUSD': 4809402.21},{'peggedUSD': 0},{'peggedUSD': 4813000.36},{'peggedUSD': 0},{'peggedUSD': 4813000.36}
1654646400,{'peggedUSD': 4731009.48},{'peggedUSD': 0},{'peggedUSD': 4731965.43},{'peggedUSD': 0},{'peggedUSD': 4731965.43}
1654732800,{'peggedUSD': 4732854.53},{'peggedUSD': 0},{'peggedUSD': 4738916.09},{'peggedUSD': 0},{'peggedUSD': 4738916.09}
1654819200,{'peggedUSD': 4739623.34},{'peggedUSD': 0},{'peggedUSD': 4739623.34},{'peggedUSD': 0},{'peggedUSD': 4739623.34}
1654905600,{'peggedUSD': 4746357.96},{'peggedUSD': 0},{'peggedUSD': 4752994.65},{'peggedUSD': 0},{'peggedUSD': 4752994.65}
1654992000,{'peggedUSD': 4851300.32},{'peggedUSD': 0},{'peggedUSD': 4861002.92},{'peggedUSD': 0},{'peggedUSD': 4861002.92}
1655078400,{'peggedUSD': 4825474.3},{'peggedUSD': 0},{'peggedUSD': 4835125.25},{'peggedUSD': 0},{'peggedUSD': 4835125.25}
1655164800,{'peggedUSD': 4861346.72},{'peggedUSD': 0},{'peggedUSD': 4868581.08},{'peggedUSD': 0},{'peggedUSD': 4868581.08}
1655251200,{'peggedUSD': 4867317.66},{'peggedUSD': 0},{'peggedUSD': 4872184.98},{'peggedUSD': 0},{'peggedUSD': 4872184.98}
1655337600,{'peggedUSD': 4877951.45},{'peggedUSD': 0},{'peggedUSD': 4878059.21},{'peggedUSD': 0},{'peggedUSD': 4878059.21}
1655424000,{'peggedUSD': 4893276.64},{'peggedUSD': 0},{'peggedUSD': 4900835.28},{'peggedUSD': 0},{'peggedUSD': 4900835.28}
1655510400,{'peggedUSD': 4926588.07},{'peggedUSD': 0},{'peggedUSD': 4930633.29},{'peggedUSD': 0},{'peggedUSD': 4930633.29}
1655596800,{'peggedUSD': 4937089.79},{'peggedUSD': 0},{'peggedUSD': 4938184.44},{'peggedUSD': 0},{'peggedUSD': 4938184.44}
1655683200,{'peggedUSD': 4921561.42},{'peggedUSD': 0},{'peggedUSD': 4924326.06},{'peggedUSD': 0},{'peggedUSD': 4924326.06}
1655769600,{'peggedUSD': 4929183.59},{'peggedUSD': 0},{'peggedUSD': 4933905.6},{'peggedUSD': 0},{'peggedUSD': 4933905.6}
1655856000,{'peggedUSD': 4982063.67},{'peggedUSD': 0},{'peggedUSD': 4987045.73},{'peggedUSD': 0},{'peggedUSD': 4987045.73}
1655942400,{'peggedUSD': 5002713.97},{'peggedUSD': 0},{'peggedUSD': 5001411.46},{'peggedUSD': 0},{'peggedUSD': 5001411.46}
1656028800,{'peggedUSD': 5012770.98},{'peggedUSD': 0},{'peggedUSD': 5012770.98},{'peggedUSD': 0},{'peggedUSD': 5012770.98}
1656115200,{'peggedUSD': 4996117.69},{'peggedUSD': 0},{'peggedUSD': 4999066.79},{'peggedUSD': 0},{'peggedUSD': 4999066.79}
1656201600,{'peggedUSD': 5108775.12},{'peggedUSD': 0},{'peggedUSD': 5111635.93},{'peggedUSD': 0},{'peggedUSD': 5111635.93}
1656288000,{'peggedUSD': 5099202.66},{'peggedUSD': 0},{'peggedUSD': 5104282.48},{'peggedUSD': 0},{'peggedUSD': 5104282.48}
1656374400,{'peggedUSD': 5103212.02},{'peggedUSD': 0},{'peggedUSD': 5106929.46},{'peggedUSD': 0},{'peggedUSD': 5106929.46}
1656460800,{'peggedUSD': 5095086.06},{'peggedUSD': 0},{'peggedUSD': 5095086.06},{'peggedUSD': 0},{'peggedUSD': 5095086.06}
1656547200,{'peggedUSD': 5097562.05},{'peggedUSD': 0},{'peggedUSD': 5100408.74},{'peggedUSD': 0},{'peggedUSD': 5100408.74}
1656633600,{'peggedUSD': 4960438.97},{'peggedUSD': 0},{'peggedUSD': 4961408.68},{'peggedUSD': 0},{'peggedUSD': 4961408.68}
1656720000,{'peggedUSD': 4964025.88},{'peggedUSD': 0},{'peggedUSD': 4967967.91},{'peggedUSD': 0},{'peggedUSD': 4967967.91}
1656806400,{'peggedUSD': 4970201.3},{'peggedUSD': 0},{'peggedUSD': 4975171.5},{'peggedUSD': 0},{'peggedUSD': 4975171.5}
1656892800,{'peggedUSD': 4970034.94},{'peggedUSD': 0},{'peggedUSD': 4970034.94},{'peggedUSD': 0},{'peggedUSD': 4970034.94}
1656979200,{'peggedUSD': 4951916.66},{'peggedUSD': 0},{'peggedUSD': 4954631.15},{'peggedUSD': 0},{'peggedUSD': 4954631.15}
1657065600,{'peggedUSD': 4951471.49},{'peggedUSD': 0},{'peggedUSD': 4950275.96},{'peggedUSD': 0},{'peggedUSD': 4950275.96}
1657152000,{'peggedUSD': 4935585.64},{'peggedUSD': 0},{'peggedUSD': 4940521.23},{'peggedUSD': 0},{'peggedUSD': 4940521.23}
1657238400,{'peggedUSD': 4933674.1},{'peggedUSD': 0},{'peggedUSD': 4940519.82},{'peggedUSD': 0},{'peggedUSD': 4940519.82}
1657324800,{'peggedUSD': 4933244.13},{'peggedUSD': 0},{'peggedUSD': 4935084.08},{'peggedUSD': 0},{'peggedUSD': 4935084.08}
1657411200,{'peggedUSD': 4930682.82},{'peggedUSD': 0},{'peggedUSD': 4930111.65},{'peggedUSD': 0},{'peggedUSD': 4930111.65}
1657497600,{'peggedUSD': 4959348.69},{'peggedUSD': 0},{'peggedUSD': 4964308.04},{'peggedUSD': 0},{'peggedUSD': 4964308.04}
1657584000,{'peggedUSD': 4959634.06},{'peggedUSD': 0},{'peggedUSD': 4964593.69},{'peggedUSD': 0},{'peggedUSD': 4964593.69}
1657670400,{'peggedUSD': 4966681.67},{'peggedUSD': 0},{'peggedUSD': 4971648.35},{'peggedUSD': 0},{'peggedUSD': 4971648.35}
1657756800,{'peggedUSD': 4920149.1},{'peggedUSD': 0},{'peggedUSD': 4922351.65},{'peggedUSD': 0},{'peggedUSD': 4922351.65}
1657843200,{'peggedUSD': 4879946.49},{'peggedUSD': 0},{'peggedUSD': 4881138.03},{'peggedUSD': 0},{'peggedUSD': 4881138.03}
1657929600,{'peggedUSD': 4721768.1},{'peggedUSD': 0},{'peggedUSD': 4722442.18},{'peggedUSD': 0},{'peggedUSD': 4722442.18}
1658016000,{'peggedUSD': 4685367.65},{'peggedUSD': 0},{'peggedUSD': 4686817.86},{'peggedUSD': 0},{'peggedUSD': 4686817.86}
1658102400,{'peggedUSD': 4679692.11},{'peggedUSD': 0},{'peggedUSD': 4679544.09},{'peggedUSD': 0},{'peggedUSD': 4679544.09}
1658188800,{'peggedUSD': 4714070.18},{'peggedUSD': 0},{'peggedUSD': 4712470.09},{'peggedUSD': 0},{'peggedUSD': 4712470.09}
1658275200,{'peggedUSD': 4632993.95},{'peggedUSD': 0},{'peggedUSD': 4631542.34},{'peggedUSD': 0},{'peggedUSD': 4631542.34}
1658361600,{'peggedUSD': 4657598.62},{'peggedUSD': 0},{'peggedUSD': 4661348.83},{'peggedUSD': 0},{'peggedUSD': 4661348.83}
1658448000,{'peggedUSD': 4635118.79},{'peggedUSD': 0},{'peggedUSD': 4634012.39},{'peggedUSD': 0},{'peggedUSD': 4634012.39}
1658534400,{'peggedUSD': 4631120.42},{'peggedUSD': 0},{'peggedUSD': 4630901.93},{'peggedUSD': 0},{'peggedUSD': 4630901.93}
1658620800,{'peggedUSD': 4630945.89},{'peggedUSD': 0},{'peggedUSD': 4631882.83},{'peggedUSD': 0},{'peggedUSD': 4631882.83}
1658707200,{'peggedUSD': 4635905.19},{'peggedUSD': 0},{'peggedUSD': 4635287.23},{'peggedUSD': 0},{'peggedUSD': 4635287.23}
1658793600,{'peggedUSD': 4629512.56},{'peggedUSD': 0},{'peggedUSD': 4632479.43},{'peggedUSD': 0},{'peggedUSD': 4632479.43}
1658880000,{'peggedUSD': 4630498.91},{'peggedUSD': 0},{'peggedUSD': 4630852.31},{'peggedUSD': 0},{'peggedUSD': 4630852.31}
1658966400,{'peggedUSD': 4603017.91},{'peggedUSD': 0},{'peggedUSD': 4601984.63},{'peggedUSD': 0},{'peggedUSD': 4601984.63}
1659052800,{'peggedUSD': 4583134.65},{'peggedUSD': 0},{'peggedUSD': 4583425.22},{'peggedUSD': 0},{'peggedUSD': 4583425.22}
1659139200,{'peggedUSD': 4547978.69},{'peggedUSD': 0},{'peggedUSD': 4547964.18},{'peggedUSD': 0},{'peggedUSD': 4547964.18}
1659225600,{'peggedUSD': 4546480.74},{'peggedUSD': 0},{'peggedUSD': 4546480.74},{'peggedUSD': 0},{'peggedUSD': 4546480.74}
1659312000,{'peggedUSD': 4548749.53},{'peggedUSD': 0},{'peggedUSD': 4551351.23},{'peggedUSD': 0},{'peggedUSD': 4551351.23}
1659398400,{'peggedUSD': 4579279.39},{'peggedUSD': 0},{'peggedUSD': 4578695.62},{'peggedUSD': 0},{'peggedUSD': 4578695.62}
1659484800,{'peggedUSD': 4579279.39},{'peggedUSD': 0},{'peggedUSD': 4579304.66},{'peggedUSD': 0},{'peggedUSD': 4579304.66}
1659571200,{'peggedUSD': 4668043.49},{'peggedUSD': 0},{'peggedUSD': 4668502.82},{'peggedUSD': 0},{'peggedUSD': 4668502.82}
1659657600,{'peggedUSD': 4643906.03},{'peggedUSD': 0},{'peggedUSD': 4644026.54},{'peggedUSD': 0},{'peggedUSD': 4644026.54}
1659744000,{'peggedUSD': 4640345.99},{'peggedUSD': 0},{'peggedUSD': 4639513.61},{'peggedUSD': 0},{'peggedUSD': 4639513.61}
1659830400,{'peggedUSD': 4667534.73},{'peggedUSD': 0},{'peggedUSD': 4669244.97},{'peggedUSD': 0},{'peggedUSD': 4669244.97}
1659916800,{'peggedUSD': 4646571.19},{'peggedUSD': 0},{'peggedUSD': 4646717.78},{'peggedUSD': 0},{'peggedUSD': 4646717.78}
1660003200,{'peggedUSD': 4703371.26},{'peggedUSD': 0},{'peggedUSD': 4703861.64},{'peggedUSD': 0},{'peggedUSD': 4703861.64}
1660089600,{'peggedUSD': 4705463.92},{'peggedUSD': 0},{'peggedUSD': 4707954.76},{'peggedUSD': 0},{'peggedUSD': 4707954.76}
1660176000,{'peggedUSD': 4754726.69},{'peggedUSD': 0},{'peggedUSD': 4755375.38},{'peggedUSD': 0},{'peggedUSD': 4755375.38}
1660262400,{'peggedUSD': 4731593.93},{'peggedUSD': 0},{'peggedUSD': 4732570.67},{'peggedUSD': 0},{'peggedUSD': 4732570.67}
1660348800,{'peggedUSD': 4736878.05},{'peggedUSD': 0},{'peggedUSD': 4735873.45},{'peggedUSD': 0},{'peggedUSD': 4735873.45}
1660435200,{'peggedUSD': 4758314.79},{'peggedUSD': 0},{'peggedUSD': 4758314.79},{'peggedUSD': 0},{'peggedUSD': 4758314.79}
1660521600,{'peggedUSD': 4766214.58},{'peggedUSD': 0},{'peggedUSD': 4765197.27},{'peggedUSD': 0},{'peggedUSD': 4765197.27}
1660608000,{'peggedUSD': 4773835.05},{'peggedUSD': 0},{'peggedUSD': 4771054.82},{'peggedUSD': 0},{'peggedUSD': 4771054.82}
1660694400,{'peggedUSD': 4771937.2},{'peggedUSD': 0},{'peggedUSD': 4771955.96},{'peggedUSD': 0},{'peggedUSD': 4771955.96}
1660780800,{'peggedUSD': 4663256.71},{'peggedUSD': 0},{'peggedUSD': 4662292.91},{'peggedUSD': 0},{'peggedUSD': 4662292.91}
1660867200,{'peggedUSD': 4663393.18},{'peggedUSD': 0},{'peggedUSD': 4666227.35},{'peggedUSD': 0},{'peggedUSD': 4666227.35}
1660953600,{'peggedUSD': 4662952.76},{'peggedUSD': 0},{'peggedUSD': 4667615.71},{'peggedUSD': 0},{'peggedUSD': 4667615.71}
1661040000,{'peggedUSD': 4662479.63},{'peggedUSD': 0},{'peggedUSD': 4664638.64},{'peggedUSD': 0},{'peggedUSD': 4664638.64}
1661126400,{'peggedUSD': 4660931.12},{'peggedUSD': 0},{'peggedUSD': 4665800.72},{'peggedUSD': 0},{'peggedUSD': 4665800.72}
