date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 6440936.99},{'peggedUSD': 0},{'peggedUSD': 6440936.99},{'peggedUSD': 0},{'peggedUSD': 6440936.99}
1652400000,{'peggedUSD': 6533598.56},{'peggedUSD': 0},{'peggedUSD': 6533598.56},{'peggedUSD': 0},{'peggedUSD': 6533598.56}
1652486400,{'peggedUSD': 6604617.06},{'peggedUSD': 0},{'peggedUSD': 6604617.06},{'peggedUSD': 0},{'peggedUSD': 6604617.06}
1652572800,{'peggedUSD': 5947488.29},{'peggedUSD': 0},{'peggedUSD': 5940312.76},{'peggedUSD': 0},{'peggedUSD': 5940312.76}
1652659200,{'peggedUSD': 5967480.29},{'peggedUSD': 0},{'peggedUSD': 5967480.29},{'peggedUSD': 0},{'peggedUSD': 5967480.29}
1652745600,{'peggedUSD': 5947471.29},{'peggedUSD': 0},{'peggedUSD': 5951666.39},{'peggedUSD': 0},{'peggedUSD': 5951666.39}
1652832000,{'peggedUSD': 5947471.29},{'peggedUSD': 0},{'peggedUSD': 5950853.26},{'peggedUSD': 0},{'peggedUSD': 5950853.26}
1652918400,{'peggedUSD': 5947446.22},{'peggedUSD': 0},{'peggedUSD': 5941480.93},{'peggedUSD': 0},{'peggedUSD': 5941480.93}
1653004800,{'peggedUSD': 5955996.04},{'peggedUSD': 0},{'peggedUSD': 5949243.91},{'peggedUSD': 0},{'peggedUSD': 5949243.91}
1653091200,{'peggedUSD': 5970796.02},{'peggedUSD': 0},{'peggedUSD': 5967616.69},{'peggedUSD': 0},{'peggedUSD': 5967616.69}
1653177600,{'peggedUSD': 5970796.02},{'peggedUSD': 0},{'peggedUSD': 5973394.27},{'peggedUSD': 0},{'peggedUSD': 5973394.27}
1653264000,{'peggedUSD': 5983789.66},{'peggedUSD': 0},{'peggedUSD': 6001327.19},{'peggedUSD': 0},{'peggedUSD': 6001327.19}
1653350400,{'peggedUSD': 5986801.75},{'peggedUSD': 0},{'peggedUSD': 5980966.24},{'peggedUSD': 0},{'peggedUSD': 5980966.24}
1653436800,{'peggedUSD': 5973734.75},{'peggedUSD': 0},{'peggedUSD': 5971273.58},{'peggedUSD': 0},{'peggedUSD': 5971273.58}
1653523200,{'peggedUSD': 5976658.35},{'peggedUSD': 0},{'peggedUSD': 5973783.58},{'peggedUSD': 0},{'peggedUSD': 5973783.58}
1653609600,{'peggedUSD': 5976658.35},{'peggedUSD': 0},{'peggedUSD': 5979954.66},{'peggedUSD': 0},{'peggedUSD': 5979954.66}
1653696000,{'peggedUSD': 5976658.35},{'peggedUSD': 0},{'peggedUSD': 5975695.45},{'peggedUSD': 0},{'peggedUSD': 5975695.45}
1653782400,{'peggedUSD': 5976658.35},{'peggedUSD': 0},{'peggedUSD': 5977287.34},{'peggedUSD': 0},{'peggedUSD': 5977287.34}
