date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 54570705.29},{'peggedUSD': 0},{'peggedUSD': 54941979.5},{'peggedUSD': 54941979.5},{'peggedUSD': 0}
1609459200,{'peggedUSD': 59663959.11},{'peggedUSD': 0},{'peggedUSD': 59449351.21},{'peggedUSD': 59449351.21},{'peggedUSD': 0}
1609545600,{'peggedUSD': 72386664.6},{'peggedUSD': 0},{'peggedUSD': 73337326.35},{'peggedUSD': 73337326.35},{'peggedUSD': 0}
1609632000,{'peggedUSD': 77604800.36},{'peggedUSD': 0},{'peggedUSD': 78592127.69},{'peggedUSD': 78592127.69},{'peggedUSD': 0}
1609718400,{'peggedUSD': 74697593.35},{'peggedUSD': 0},{'peggedUSD': 75179629.74},{'peggedUSD': 75179629.74},{'peggedUSD': 0}
1609804800,{'peggedUSD': 76329231.77},{'peggedUSD': 0},{'peggedUSD': 74987681.05},{'peggedUSD': 74987681.05},{'peggedUSD': 0}
1609891200,{'peggedUSD': 77767603.92},{'peggedUSD': 0},{'peggedUSD': 77614369.92},{'peggedUSD': 77614369.92},{'peggedUSD': 0}
1609977600,{'peggedUSD': 77168303.54},{'peggedUSD': 0},{'peggedUSD': 78003077.78},{'peggedUSD': 78003077.78},{'peggedUSD': 0}
1610064000,{'peggedUSD': 75830472.33},{'peggedUSD': 0},{'peggedUSD': 75867295.61},{'peggedUSD': 75867295.61},{'peggedUSD': 0}
1610150400,{'peggedUSD': 79448876.91},{'peggedUSD': 0},{'peggedUSD': 79680054.13},{'peggedUSD': 79680054.13},{'peggedUSD': 0}
1610236800,{'peggedUSD': 86140955.05},{'peggedUSD': 0},{'peggedUSD': 86828909.96},{'peggedUSD': 86828909.96},{'peggedUSD': 0}
1610323200,{'peggedUSD': 90790731.8},{'peggedUSD': 0},{'peggedUSD': 91175766.81},{'peggedUSD': 91175766.81},{'peggedUSD': 0}
1610409600,{'peggedUSD': 93997405.3},{'peggedUSD': 0},{'peggedUSD': 95132354.98},{'peggedUSD': 95132354.98},{'peggedUSD': 0}
1610496000,{'peggedUSD': 97960852.66},{'peggedUSD': 0},{'peggedUSD': 98963162.11},{'peggedUSD': 98963162.11},{'peggedUSD': 0}
1610582400,{'peggedUSD': 101249254.48},{'peggedUSD': 0},{'peggedUSD': 102685236.96},{'peggedUSD': 102685236.96},{'peggedUSD': 0}
1610668800,{'peggedUSD': 107112203.76},{'peggedUSD': 0},{'peggedUSD': 108902230},{'peggedUSD': 108902230},{'peggedUSD': 0}
1610755200,{'peggedUSD': 113946132.98},{'peggedUSD': 0},{'peggedUSD': 114987303.87},{'peggedUSD': 114987303.87},{'peggedUSD': 0}
1610841600,{'peggedUSD': 121288149.02},{'peggedUSD': 0},{'peggedUSD': 121755382.94},{'peggedUSD': 121755382.94},{'peggedUSD': 0}
1610928000,{'peggedUSD': 125364247.2},{'peggedUSD': 0},{'peggedUSD': 124545819.03},{'peggedUSD': 124545819.03},{'peggedUSD': 0}
1611014400,{'peggedUSD': 132883746.59},{'peggedUSD': 0},{'peggedUSD': 134873129.09},{'peggedUSD': 134873129.09},{'peggedUSD': 0}
1611100800,{'peggedUSD': 133922569.49},{'peggedUSD': 0},{'peggedUSD': 132643582.48},{'peggedUSD': 132643582.48},{'peggedUSD': 0}
1611187200,{'peggedUSD': 132323828.16},{'peggedUSD': 0},{'peggedUSD': 134320229.91},{'peggedUSD': 134320229.91},{'peggedUSD': 0}
1611273600,{'peggedUSD': 123667979.85},{'peggedUSD': 0},{'peggedUSD': 123236742.53},{'peggedUSD': 123236742.53},{'peggedUSD': 0}
1611360000,{'peggedUSD': 109907821.5},{'peggedUSD': 0},{'peggedUSD': 109524566.64},{'peggedUSD': 109524566.64},{'peggedUSD': 0}
1611446400,{'peggedUSD': 104709746.37},{'peggedUSD': 0},{'peggedUSD': 103523379.1},{'peggedUSD': 103523379.1},{'peggedUSD': 0}
1611532800,{'peggedUSD': 105576794.04},{'peggedUSD': 0},{'peggedUSD': 106867769.35},{'peggedUSD': 106867769.35},{'peggedUSD': 0}
1611619200,{'peggedUSD': 102765498.72},{'peggedUSD': 0},{'peggedUSD': 102417801.27},{'peggedUSD': 102417801.27},{'peggedUSD': 0}
1611705600,{'peggedUSD': 90511246.66},{'peggedUSD': 0},{'peggedUSD': 89400475.55},{'peggedUSD': 89400475.55},{'peggedUSD': 0}
1611792000,{'peggedUSD': 87574513.46},{'peggedUSD': 0},{'peggedUSD': 87397401.23},{'peggedUSD': 87397401.23},{'peggedUSD': 0}
1611878400,{'peggedUSD': 85785355.37},{'peggedUSD': 0},{'peggedUSD': 84237030.45},{'peggedUSD': 84237030.45},{'peggedUSD': 0}
1611964800,{'peggedUSD': 85099164.56},{'peggedUSD': 0},{'peggedUSD': 84362849.48},{'peggedUSD': 84362849.48},{'peggedUSD': 0}
1612051200,{'peggedUSD': 84973839.48},{'peggedUSD': 0},{'peggedUSD': 83710855.48},{'peggedUSD': 83710855.48},{'peggedUSD': 0}
1612137600,{'peggedUSD': 84289227.26},{'peggedUSD': 0},{'peggedUSD': 84574860.88},{'peggedUSD': 84574860.88},{'peggedUSD': 0}
1612224000,{'peggedUSD': 83451501.01},{'peggedUSD': 0},{'peggedUSD': 82953842.87},{'peggedUSD': 82953842.87},{'peggedUSD': 0}
1612310400,{'peggedUSD': 83085602.07},{'peggedUSD': 0},{'peggedUSD': 82506287.32},{'peggedUSD': 82506287.32},{'peggedUSD': 0}
1612396800,{'peggedUSD': 81662565.68},{'peggedUSD': 0},{'peggedUSD': 81451834.74},{'peggedUSD': 81451834.74},{'peggedUSD': 0}
1612483200,{'peggedUSD': 80393578.28},{'peggedUSD': 0},{'peggedUSD': 78839712.86},{'peggedUSD': 78839712.86},{'peggedUSD': 0}
1612569600,{'peggedUSD': 79229336.44},{'peggedUSD': 0},{'peggedUSD': 79025575.34},{'peggedUSD': 79025575.34},{'peggedUSD': 0}
1612656000,{'peggedUSD': 79716925.35},{'peggedUSD': 0},{'peggedUSD': 79645348.58},{'peggedUSD': 79645348.58},{'peggedUSD': 0}
1612742400,{'peggedUSD': 79662700.2},{'peggedUSD': 0},{'peggedUSD': 79276908.73},{'peggedUSD': 79276908.73},{'peggedUSD': 0}
1612828800,{'peggedUSD': 79824398.83},{'peggedUSD': 0},{'peggedUSD': 80298580.89},{'peggedUSD': 80298580.89},{'peggedUSD': 0}
1612915200,{'peggedUSD': 81219781.12},{'peggedUSD': 0},{'peggedUSD': 81689398.11},{'peggedUSD': 81689398.11},{'peggedUSD': 0}
1613001600,{'peggedUSD': 81261638.08},{'peggedUSD': 0},{'peggedUSD': 81134754.33},{'peggedUSD': 81134754.33},{'peggedUSD': 0}
1613088000,{'peggedUSD': 81261638.08},{'peggedUSD': 0},{'peggedUSD': 81329343.04},{'peggedUSD': 81329343.04},{'peggedUSD': 0}
1613174400,{'peggedUSD': 81265345.38},{'peggedUSD': 0},{'peggedUSD': 81366041.33},{'peggedUSD': 81366041.33},{'peggedUSD': 0}
1613260800,{'peggedUSD': 81736447.98},{'peggedUSD': 0},{'peggedUSD': 81899113.07},{'peggedUSD': 81899113.07},{'peggedUSD': 0}
1613347200,{'peggedUSD': 82168144.32},{'peggedUSD': 0},{'peggedUSD': 81708581.54},{'peggedUSD': 81708581.54},{'peggedUSD': 0}
1613433600,{'peggedUSD': 82573138.84},{'peggedUSD': 0},{'peggedUSD': 81569150.74},{'peggedUSD': 81569150.74},{'peggedUSD': 0}
1613520000,{'peggedUSD': 82743394.7},{'peggedUSD': 0},{'peggedUSD': 82996941.58},{'peggedUSD': 82996941.58},{'peggedUSD': 0}
1613606400,{'peggedUSD': 88800906.17},{'peggedUSD': 0},{'peggedUSD': 88488132.71},{'peggedUSD': 88488132.71},{'peggedUSD': 0}
1613692800,{'peggedUSD': 92672566.35},{'peggedUSD': 0},{'peggedUSD': 93870787.67},{'peggedUSD': 93870787.67},{'peggedUSD': 0}
