date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1565534.31},{'peggedUSD': 0},{'peggedUSD': 1565534.31},{'peggedUSD': 0},{'peggedUSD': 1565534.31}
1652400000,{'peggedUSD': 1565534.31},{'peggedUSD': 0},{'peggedUSD': 1565534.31},{'peggedUSD': 0},{'peggedUSD': 1565534.31}
1652486400,{'peggedUSD': 1515534.31},{'peggedUSD': 0},{'peggedUSD': 1515534.31},{'peggedUSD': 0},{'peggedUSD': 1515534.31}
1652572800,{'peggedUSD': 1515534.31},{'peggedUSD': 0},{'peggedUSD': 1513705.85},{'peggedUSD': 0},{'peggedUSD': 1513705.85}
1652659200,{'peggedUSD': 1480559.25},{'peggedUSD': 0},{'peggedUSD': 1480559.25},{'peggedUSD': 0},{'peggedUSD': 1480559.25}
1652745600,{'peggedUSD': 1480561.01},{'peggedUSD': 0},{'peggedUSD': 1481605.33},{'peggedUSD': 0},{'peggedUSD': 1481605.33}
1652832000,{'peggedUSD': 1480561.01},{'peggedUSD': 0},{'peggedUSD': 1481402.91},{'peggedUSD': 0},{'peggedUSD': 1481402.91}
1652918400,{'peggedUSD': 1480440.77},{'peggedUSD': 0},{'peggedUSD': 1478955.89},{'peggedUSD': 0},{'peggedUSD': 1478955.89}
1653004800,{'peggedUSD': 1442450.66},{'peggedUSD': 0},{'peggedUSD': 1440815.39},{'peggedUSD': 0},{'peggedUSD': 1440815.39}
1653091200,{'peggedUSD': 1442450.66},{'peggedUSD': 0},{'peggedUSD': 1441682.58},{'peggedUSD': 0},{'peggedUSD': 1441682.58}
1653177600,{'peggedUSD': 1442457.24},{'peggedUSD': 0},{'peggedUSD': 1443084.94},{'peggedUSD': 0},{'peggedUSD': 1443084.94}
1653264000,{'peggedUSD': 1442973.55},{'peggedUSD': 0},{'peggedUSD': 1447202.68},{'peggedUSD': 0},{'peggedUSD': 1447202.68}
1653350400,{'peggedUSD': 1443204.84},{'peggedUSD': 0},{'peggedUSD': 1441798.11},{'peggedUSD': 0},{'peggedUSD': 1441798.11}
1653436800,{'peggedUSD': 1443204.84},{'peggedUSD': 0},{'peggedUSD': 1442610.24},{'peggedUSD': 0},{'peggedUSD': 1442610.24}
1653523200,{'peggedUSD': 1443204.84},{'peggedUSD': 0},{'peggedUSD': 1442510.66},{'peggedUSD': 0},{'peggedUSD': 1442510.66}
1653609600,{'peggedUSD': 1443204.84},{'peggedUSD': 0},{'peggedUSD': 1444000.82},{'peggedUSD': 0},{'peggedUSD': 1444000.82}
1653696000,{'peggedUSD': 1443204.84},{'peggedUSD': 0},{'peggedUSD': 1442972.33},{'peggedUSD': 0},{'peggedUSD': 1442972.33}
1653782400,{'peggedUSD': 1443204.84},{'peggedUSD': 0},{'peggedUSD': 1443356.73},{'peggedUSD': 0},{'peggedUSD': 1443356.73}
1653868800,{'peggedUSD': 1443204.84},{'peggedUSD': 0},{'peggedUSD': 1443624.31},{'peggedUSD': 0},{'peggedUSD': 1443624.31}
1653955200,{'peggedUSD': 1442555.04},{'peggedUSD': 0},{'peggedUSD': 1440368.22},{'peggedUSD': 0},{'peggedUSD': 1440368.22}
1654041600,{'peggedUSD': 1442555.04},{'peggedUSD': 0},{'peggedUSD': 1442555.04},{'peggedUSD': 0},{'peggedUSD': 1442555.04}
1654128000,{'peggedUSD': 1442353.24},{'peggedUSD': 0},{'peggedUSD': 1440834.56},{'peggedUSD': 0},{'peggedUSD': 1440834.56}
