date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33509.66}
1652400000,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33509.66}
1652486400,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33509.66}
1652572800,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33469.23},{'peggedUSD': 0},{'peggedUSD': 33469.23}
1652659200,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33509.66}
1652745600,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33533.3},{'peggedUSD': 0},{'peggedUSD': 33533.3}
1652832000,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33528.72},{'peggedUSD': 0},{'peggedUSD': 33528.72}
1652918400,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33476.05},{'peggedUSD': 0},{'peggedUSD': 33476.05}
1653004800,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33471.67},{'peggedUSD': 0},{'peggedUSD': 33471.67}
1653091200,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33491.82},{'peggedUSD': 0},{'peggedUSD': 33491.82}
1653177600,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33524.24},{'peggedUSD': 0},{'peggedUSD': 33524.24}
1653264000,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33607.87},{'peggedUSD': 0},{'peggedUSD': 33607.87}
1653350400,{'peggedUSD': 33509.66},{'peggedUSD': 0},{'peggedUSD': 33477},{'peggedUSD': 0},{'peggedUSD': 33477}
1653436800,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48477.95},{'peggedUSD': 0},{'peggedUSD': 48477.95}
1653523200,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48474.6},{'peggedUSD': 0},{'peggedUSD': 48474.6}
1653609600,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48524.68},{'peggedUSD': 0},{'peggedUSD': 48524.68}
1653696000,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48490.12},{'peggedUSD': 0},{'peggedUSD': 48490.12}
1653782400,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48503.03},{'peggedUSD': 0},{'peggedUSD': 48503.03}
1653868800,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48512.03},{'peggedUSD': 0},{'peggedUSD': 48512.03}
1653955200,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48424.41},{'peggedUSD': 0},{'peggedUSD': 48424.41}
1654041600,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48497.93}
1654128000,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48446.87},{'peggedUSD': 0},{'peggedUSD': 48446.87}
1654214400,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48457.79},{'peggedUSD': 0},{'peggedUSD': 48457.79}
1654300800,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48497.93}
1654387200,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48539.96},{'peggedUSD': 0},{'peggedUSD': 48539.96}
1654473600,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48529.31},{'peggedUSD': 0},{'peggedUSD': 48529.31}
1654560000,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48497.93}
1654646400,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48497.93}
1654732800,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48546.43},{'peggedUSD': 0},{'peggedUSD': 48546.43}
1654819200,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48498.16},{'peggedUSD': 0},{'peggedUSD': 48498.16}
1654905600,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48527.08},{'peggedUSD': 0},{'peggedUSD': 48527.08}
1654992000,{'peggedUSD': 48497.93},{'peggedUSD': 0},{'peggedUSD': 48594.93},{'peggedUSD': 0},{'peggedUSD': 48594.93}
1655078400,{'peggedUSD': 49032.2},{'peggedUSD': 0},{'peggedUSD': 49081.23},{'peggedUSD': 0},{'peggedUSD': 49081.23}
1655164800,{'peggedUSD': 49032.2},{'peggedUSD': 0},{'peggedUSD': 48968.55},{'peggedUSD': 0},{'peggedUSD': 48968.55}
1655251200,{'peggedUSD': 49032.2},{'peggedUSD': 0},{'peggedUSD': 48989.95},{'peggedUSD': 0},{'peggedUSD': 48989.95}
