date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1576928.63},{'peggedUSD': 0},{'peggedUSD': 1576928.63},{'peggedUSD': 0},{'peggedUSD': 1576928.63}
1652400000,{'peggedUSD': 771137.51},{'peggedUSD': 0},{'peggedUSD': 771137.51},{'peggedUSD': 0},{'peggedUSD': 771137.51}
1652486400,{'peggedUSD': 702855.1},{'peggedUSD': 0},{'peggedUSD': 702855.1},{'peggedUSD': 0},{'peggedUSD': 702855.1}
1652572800,{'peggedUSD': 659143.7},{'peggedUSD': 0},{'peggedUSD': 658348.46},{'peggedUSD': 0},{'peggedUSD': 658348.46}
1652659200,{'peggedUSD': 599143.7},{'peggedUSD': 0},{'peggedUSD': 599143.7},{'peggedUSD': 0},{'peggedUSD': 599143.7}
1652745600,{'peggedUSD': 502747.7},{'peggedUSD': 0},{'peggedUSD': 503102.32},{'peggedUSD': 0},{'peggedUSD': 503102.32}
1652832000,{'peggedUSD': 502747.7},{'peggedUSD': 0},{'peggedUSD': 503033.58},{'peggedUSD': 0},{'peggedUSD': 503033.58}
1652918400,{'peggedUSD': 349805.91},{'peggedUSD': 0},{'peggedUSD': 349455.05},{'peggedUSD': 0},{'peggedUSD': 349455.05}
1653004800,{'peggedUSD': 349805.91},{'peggedUSD': 0},{'peggedUSD': 349409.34},{'peggedUSD': 0},{'peggedUSD': 349409.34}
1653091200,{'peggedUSD': 349805.91},{'peggedUSD': 0},{'peggedUSD': 349619.64},{'peggedUSD': 0},{'peggedUSD': 349619.64}
1653177600,{'peggedUSD': 349805.91},{'peggedUSD': 0},{'peggedUSD': 349958.13},{'peggedUSD': 0},{'peggedUSD': 349958.13}
1653264000,{'peggedUSD': 349805.91},{'peggedUSD': 0},{'peggedUSD': 350831.13},{'peggedUSD': 0},{'peggedUSD': 350831.13}
1653350400,{'peggedUSD': 349805.91},{'peggedUSD': 0},{'peggedUSD': 349464.94},{'peggedUSD': 0},{'peggedUSD': 349464.94}
1653436800,{'peggedUSD': 349805.91},{'peggedUSD': 0},{'peggedUSD': 349661.79},{'peggedUSD': 0},{'peggedUSD': 349661.79}
1653523200,{'peggedUSD': 349805.91},{'peggedUSD': 0},{'peggedUSD': 349637.65},{'peggedUSD': 0},{'peggedUSD': 349637.65}
1653609600,{'peggedUSD': 349805.91},{'peggedUSD': 0},{'peggedUSD': 349998.84},{'peggedUSD': 0},{'peggedUSD': 349998.84}
1653696000,{'peggedUSD': 349805.91},{'peggedUSD': 0},{'peggedUSD': 349749.55},{'peggedUSD': 0},{'peggedUSD': 349749.55}
1653782400,{'peggedUSD': 349805.91},{'peggedUSD': 0},{'peggedUSD': 349842.72},{'peggedUSD': 0},{'peggedUSD': 349842.72}
1653868800,{'peggedUSD': 338114.34},{'peggedUSD': 0},{'peggedUSD': 338212.61},{'peggedUSD': 0},{'peggedUSD': 338212.61}
1653955200,{'peggedUSD': 338114.34},{'peggedUSD': 0},{'peggedUSD': 337601.78},{'peggedUSD': 0},{'peggedUSD': 337601.78}
1654041600,{'peggedUSD': 189181.64},{'peggedUSD': 0},{'peggedUSD': 189181.64},{'peggedUSD': 0},{'peggedUSD': 189181.64}
1654128000,{'peggedUSD': 189181.64},{'peggedUSD': 0},{'peggedUSD': 188982.44},{'peggedUSD': 0},{'peggedUSD': 188982.44}
1654214400,{'peggedUSD': 189181.64},{'peggedUSD': 0},{'peggedUSD': 189025.07},{'peggedUSD': 0},{'peggedUSD': 189025.07}
1654300800,{'peggedUSD': 189181.64},{'peggedUSD': 0},{'peggedUSD': 189181.64},{'peggedUSD': 0},{'peggedUSD': 189181.64}
1654387200,{'peggedUSD': 189181.64},{'peggedUSD': 0},{'peggedUSD': 189345.59},{'peggedUSD': 0},{'peggedUSD': 189345.59}
1654473600,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179296.78},{'peggedUSD': 0},{'peggedUSD': 179296.78}
1654560000,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179180.85}
1654646400,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179180.85}
1654732800,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179360.03},{'peggedUSD': 0},{'peggedUSD': 179360.03}
1654819200,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179181.72},{'peggedUSD': 0},{'peggedUSD': 179181.72}
1654905600,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179288.56},{'peggedUSD': 0},{'peggedUSD': 179288.56}
1654992000,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179539.21},{'peggedUSD': 0},{'peggedUSD': 179539.21}
1655078400,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179360.03},{'peggedUSD': 0},{'peggedUSD': 179360.03}
1655164800,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 178948.23},{'peggedUSD': 0},{'peggedUSD': 178948.23}
1655251200,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179026.45},{'peggedUSD': 0},{'peggedUSD': 179026.45}
1655337600,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 179180.85}
1655424000,{'peggedUSD': 179180.85},{'peggedUSD': 0},{'peggedUSD': 178995.72},{'peggedUSD': 0},{'peggedUSD': 178995.72}
1655510400,{'peggedUSD': 172402.13},{'peggedUSD': 0},{'peggedUSD': 172289.66},{'peggedUSD': 0},{'peggedUSD': 172289.66}
1655596800,{'peggedUSD': 129930.67},{'peggedUSD': 0},{'peggedUSD': 130022.05},{'peggedUSD': 0},{'peggedUSD': 130022.05}
