date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 812974.44},{'peggedUSD': 0},{'peggedUSD': 812974.44},{'peggedUSD': 0},{'peggedUSD': 812974.44}
1652400000,{'peggedUSD': 248974.44},{'peggedUSD': 0},{'peggedUSD': 248974.44},{'peggedUSD': 0},{'peggedUSD': 248974.44}
1652486400,{'peggedUSD': 248974.44},{'peggedUSD': 0},{'peggedUSD': 248974.44},{'peggedUSD': 0},{'peggedUSD': 248974.44}
1652572800,{'peggedUSD': 248974.44},{'peggedUSD': 0},{'peggedUSD': 248674.05},{'peggedUSD': 0},{'peggedUSD': 248674.05}
1652659200,{'peggedUSD': 248728.51},{'peggedUSD': 0},{'peggedUSD': 248728.51},{'peggedUSD': 0},{'peggedUSD': 248728.51}
1652745600,{'peggedUSD': 251248.57},{'peggedUSD': 0},{'peggedUSD': 251425.79},{'peggedUSD': 0},{'peggedUSD': 251425.79}
1652832000,{'peggedUSD': 251248.57},{'peggedUSD': 0},{'peggedUSD': 251391.44},{'peggedUSD': 0},{'peggedUSD': 251391.44}
1652918400,{'peggedUSD': 251248.57},{'peggedUSD': 0},{'peggedUSD': 250996.57},{'peggedUSD': 0},{'peggedUSD': 250996.57}
1653004800,{'peggedUSD': 251448.57},{'peggedUSD': 0},{'peggedUSD': 251163.51},{'peggedUSD': 0},{'peggedUSD': 251163.51}
1653091200,{'peggedUSD': 251448.57},{'peggedUSD': 0},{'peggedUSD': 251314.68},{'peggedUSD': 0},{'peggedUSD': 251314.68}
1653177600,{'peggedUSD': 251448.57},{'peggedUSD': 0},{'peggedUSD': 251557.99},{'peggedUSD': 0},{'peggedUSD': 251557.99}
1653264000,{'peggedUSD': 251448.57},{'peggedUSD': 0},{'peggedUSD': 252185.52},{'peggedUSD': 0},{'peggedUSD': 252185.52}
1653350400,{'peggedUSD': 251448.57},{'peggedUSD': 0},{'peggedUSD': 251203.47},{'peggedUSD': 0},{'peggedUSD': 251203.47}
1653436800,{'peggedUSD': 251448.57},{'peggedUSD': 0},{'peggedUSD': 251344.97},{'peggedUSD': 0},{'peggedUSD': 251344.97}
1653523200,{'peggedUSD': 251448.57},{'peggedUSD': 0},{'peggedUSD': 251327.62},{'peggedUSD': 0},{'peggedUSD': 251327.62}
1653609600,{'peggedUSD': 251448.57},{'peggedUSD': 0},{'peggedUSD': 251587.25},{'peggedUSD': 0},{'peggedUSD': 251587.25}
1653696000,{'peggedUSD': 258458.36},{'peggedUSD': 0},{'peggedUSD': 258416.72},{'peggedUSD': 0},{'peggedUSD': 258416.72}
1653782400,{'peggedUSD': 258458.36},{'peggedUSD': 0},{'peggedUSD': 258485.56},{'peggedUSD': 0},{'peggedUSD': 258485.56}
1653868800,{'peggedUSD': 258458.36},{'peggedUSD': 0},{'peggedUSD': 258533.48},{'peggedUSD': 0},{'peggedUSD': 258533.48}
1653955200,{'peggedUSD': 258458.36},{'peggedUSD': 0},{'peggedUSD': 258066.55},{'peggedUSD': 0},{'peggedUSD': 258066.55}
1654041600,{'peggedUSD': 258458.36},{'peggedUSD': 0},{'peggedUSD': 258458.36},{'peggedUSD': 0},{'peggedUSD': 258458.36}
1654128000,{'peggedUSD': 258458.36},{'peggedUSD': 0},{'peggedUSD': 258186.22},{'peggedUSD': 0},{'peggedUSD': 258186.22}
1654214400,{'peggedUSD': 258458.36},{'peggedUSD': 0},{'peggedUSD': 258244.46},{'peggedUSD': 0},{'peggedUSD': 258244.46}
1654300800,{'peggedUSD': 258458.36},{'peggedUSD': 0},{'peggedUSD': 258458.36},{'peggedUSD': 0},{'peggedUSD': 258458.36}
1654387200,{'peggedUSD': 258458.36},{'peggedUSD': 0},{'peggedUSD': 258682.35},{'peggedUSD': 0},{'peggedUSD': 258682.35}
1654473600,{'peggedUSD': 314458.36},{'peggedUSD': 0},{'peggedUSD': 314661.81},{'peggedUSD': 0},{'peggedUSD': 314661.81}
1654560000,{'peggedUSD': 314458.36},{'peggedUSD': 0},{'peggedUSD': 314458.36},{'peggedUSD': 0},{'peggedUSD': 314458.36}
1654646400,{'peggedUSD': 314458.36},{'peggedUSD': 0},{'peggedUSD': 314458.36},{'peggedUSD': 0},{'peggedUSD': 314458.36}
1654732800,{'peggedUSD': 313196.96},{'peggedUSD': 0},{'peggedUSD': 313510.16},{'peggedUSD': 0},{'peggedUSD': 313510.16}
1654819200,{'peggedUSD': 313171.69},{'peggedUSD': 0},{'peggedUSD': 313173.21},{'peggedUSD': 0},{'peggedUSD': 313173.21}
1654905600,{'peggedUSD': 313171.69},{'peggedUSD': 0},{'peggedUSD': 313359.96},{'peggedUSD': 0},{'peggedUSD': 313359.96}
1654992000,{'peggedUSD': 314171.69},{'peggedUSD': 0},{'peggedUSD': 314800.04},{'peggedUSD': 0},{'peggedUSD': 314800.04}
1655078400,{'peggedUSD': 403523.33},{'peggedUSD': 0},{'peggedUSD': 403926.85},{'peggedUSD': 0},{'peggedUSD': 403926.85}
1655164800,{'peggedUSD': 403523.33},{'peggedUSD': 0},{'peggedUSD': 402999.45},{'peggedUSD': 0},{'peggedUSD': 402999.45}
1655251200,{'peggedUSD': 403523.33},{'peggedUSD': 0},{'peggedUSD': 403175.62},{'peggedUSD': 0},{'peggedUSD': 403175.62}
1655337600,{'peggedUSD': 403523.33},{'peggedUSD': 0},{'peggedUSD': 403523.33},{'peggedUSD': 0},{'peggedUSD': 403523.33}
1655424000,{'peggedUSD': 403523.33},{'peggedUSD': 0},{'peggedUSD': 403106.42},{'peggedUSD': 0},{'peggedUSD': 403106.42}
1655510400,{'peggedUSD': 403523.33},{'peggedUSD': 0},{'peggedUSD': 403260.1},{'peggedUSD': 0},{'peggedUSD': 403260.1}
1655596800,{'peggedUSD': 403523.33},{'peggedUSD': 0},{'peggedUSD': 403807.11},{'peggedUSD': 0},{'peggedUSD': 403807.11}
1655683200,{'peggedUSD': 403314.65},{'peggedUSD': 0},{'peggedUSD': 403083.04},{'peggedUSD': 0},{'peggedUSD': 403083.04}
1655769600,{'peggedUSD': 403879.71},{'peggedUSD': 0},{'peggedUSD': 403779.15},{'peggedUSD': 0},{'peggedUSD': 403779.15}
1655856000,{'peggedUSD': 404879.71},{'peggedUSD': 0},{'peggedUSD': 404680.18},{'peggedUSD': 0},{'peggedUSD': 404680.18}
1655942400,{'peggedUSD': 405066.91},{'peggedUSD': 0},{'peggedUSD': 404851.42},{'peggedUSD': 0},{'peggedUSD': 404851.42}
1656028800,{'peggedUSD': 405066.91},{'peggedUSD': 0},{'peggedUSD': 405066.91},{'peggedUSD': 0},{'peggedUSD': 405066.91}
1656115200,{'peggedUSD': 407537.6},{'peggedUSD': 0},{'peggedUSD': 407651.83},{'peggedUSD': 0},{'peggedUSD': 407651.83}
1656201600,{'peggedUSD': 407537.6},{'peggedUSD': 0},{'peggedUSD': 407800.94},{'peggedUSD': 0},{'peggedUSD': 407800.94}
1656288000,{'peggedUSD': 226756.74},{'peggedUSD': 0},{'peggedUSD': 226813.07},{'peggedUSD': 0},{'peggedUSD': 226813.07}
1656374400,{'peggedUSD': 226756.74},{'peggedUSD': 0},{'peggedUSD': 226462.36},{'peggedUSD': 0},{'peggedUSD': 226462.36}
1656460800,{'peggedUSD': 226756.74},{'peggedUSD': 0},{'peggedUSD': 226485.97},{'peggedUSD': 0},{'peggedUSD': 226485.97}
1656547200,{'peggedUSD': 226756.74},{'peggedUSD': 0},{'peggedUSD': 226620.23},{'peggedUSD': 0},{'peggedUSD': 226620.23}
1656633600,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176887.44},{'peggedUSD': 0},{'peggedUSD': 176887.44}
1656720000,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 177020.15},{'peggedUSD': 0},{'peggedUSD': 177020.15}
1656806400,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 177046.25},{'peggedUSD': 0},{'peggedUSD': 177046.25}
1656892800,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176961.7},{'peggedUSD': 0},{'peggedUSD': 176961.7}
1656979200,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176975.49}
1657065600,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176851.48},{'peggedUSD': 0},{'peggedUSD': 176851.48}
1657152000,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176897.69},{'peggedUSD': 0},{'peggedUSD': 176897.69}
1657238400,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176784.36},{'peggedUSD': 0},{'peggedUSD': 176784.36}
1657324800,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 177107.83},{'peggedUSD': 0},{'peggedUSD': 177107.83}
1657411200,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176975.49}
1657497600,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176975.49}
1657584000,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176924.88},{'peggedUSD': 0},{'peggedUSD': 176924.88}
1657670400,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176876.85},{'peggedUSD': 0},{'peggedUSD': 176876.85}
1657756800,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176849.84},{'peggedUSD': 0},{'peggedUSD': 176849.84}
1657843200,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 177003.57},{'peggedUSD': 0},{'peggedUSD': 177003.57}
1657929600,{'peggedUSD': 176975.49},{'peggedUSD': 0},{'peggedUSD': 176947.84},{'peggedUSD': 0},{'peggedUSD': 176947.84}
1658016000,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 177062.11},{'peggedUSD': 0},{'peggedUSD': 177062.11}
1658102400,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 176946.85},{'peggedUSD': 0},{'peggedUSD': 176946.85}
1658188800,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 177007.38},{'peggedUSD': 0},{'peggedUSD': 177007.38}
1658275200,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 176909.13},{'peggedUSD': 0},{'peggedUSD': 176909.13}
1658361600,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 176931.87},{'peggedUSD': 0},{'peggedUSD': 176931.87}
1658448000,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 177020.63},{'peggedUSD': 0},{'peggedUSD': 177020.63}
1658534400,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 176806.6},{'peggedUSD': 0},{'peggedUSD': 176806.6}
1658620800,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 177017.11},{'peggedUSD': 0},{'peggedUSD': 177017.11}
1658707200,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 176908.16},{'peggedUSD': 0},{'peggedUSD': 176908.16}
1658793600,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 176868.06},{'peggedUSD': 0},{'peggedUSD': 176868.06}
1658880000,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 177363.59},{'peggedUSD': 0},{'peggedUSD': 177363.59}
1658966400,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 176958.85}
1659052800,{'peggedUSD': 176958.85},{'peggedUSD': 0},{'peggedUSD': 176767.74},{'peggedUSD': 0},{'peggedUSD': 176767.74}
1659139200,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176821.39},{'peggedUSD': 0},{'peggedUSD': 176821.39}
1659225600,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176922.19},{'peggedUSD': 0},{'peggedUSD': 176922.19}
1659312000,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176862.72},{'peggedUSD': 0},{'peggedUSD': 176862.72}
1659398400,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176962.62},{'peggedUSD': 0},{'peggedUSD': 176962.62}
1659484800,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176898.59},{'peggedUSD': 0},{'peggedUSD': 176898.59}
1659571200,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176907.59},{'peggedUSD': 0},{'peggedUSD': 176907.59}
1659657600,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176940.62},{'peggedUSD': 0},{'peggedUSD': 176940.62}
1659744000,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176903.37},{'peggedUSD': 0},{'peggedUSD': 176903.37}
1659830400,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176904.23},{'peggedUSD': 0},{'peggedUSD': 176904.23}
1659916800,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176852.35},{'peggedUSD': 0},{'peggedUSD': 176852.35}
1660003200,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176928.95},{'peggedUSD': 0},{'peggedUSD': 176928.95}
1660089600,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176782.8},{'peggedUSD': 0},{'peggedUSD': 176782.8}
1660176000,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176956},{'peggedUSD': 0},{'peggedUSD': 176956}
1660262400,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176835.13},{'peggedUSD': 0},{'peggedUSD': 176835.13}
1660348800,{'peggedUSD': 176884.85},{'peggedUSD': 0},{'peggedUSD': 176974.36},{'peggedUSD': 0},{'peggedUSD': 176974.36}
1660435200,{'peggedUSD': 76884.85},{'peggedUSD': 0},{'peggedUSD': 76882.49},{'peggedUSD': 0},{'peggedUSD': 76882.49}
1660521600,{'peggedUSD': 76884.85},{'peggedUSD': 0},{'peggedUSD': 76712.08},{'peggedUSD': 0},{'peggedUSD': 76712.08}
1660608000,{'peggedUSD': 76884.85},{'peggedUSD': 0},{'peggedUSD': 76745.46},{'peggedUSD': 0},{'peggedUSD': 76745.46}
1660694400,{'peggedUSD': 76884.85},{'peggedUSD': 0},{'peggedUSD': 76843.83},{'peggedUSD': 0},{'peggedUSD': 76843.83}
1660780800,{'peggedUSD': 76884.85},{'peggedUSD': 0},{'peggedUSD': 76913.25},{'peggedUSD': 0},{'peggedUSD': 76913.25}
1660867200,{'peggedUSD': 76884.85},{'peggedUSD': 0},{'peggedUSD': 76551.95},{'peggedUSD': 0},{'peggedUSD': 76551.95}
1660953600,{'peggedUSD': 76441.76},{'peggedUSD': 0},{'peggedUSD': 76394.7},{'peggedUSD': 0},{'peggedUSD': 76394.7}
1661040000,{'peggedUSD': 76257.89},{'peggedUSD': 0},{'peggedUSD': 76326.2},{'peggedUSD': 0},{'peggedUSD': 76326.2}
1661126400,{'peggedUSD': 76257.89},{'peggedUSD': 0},{'peggedUSD': 76245.97},{'peggedUSD': 0},{'peggedUSD': 76245.97}
1661212800,{'peggedUSD': 76257.89},{'peggedUSD': 0},{'peggedUSD': 76337.3},{'peggedUSD': 0},{'peggedUSD': 76337.3}
1661299200,{'peggedUSD': 76257.89},{'peggedUSD': 0},{'peggedUSD': 76217.2},{'peggedUSD': 0},{'peggedUSD': 76217.2}
1661385600,{'peggedUSD': 76348.68},{'peggedUSD': 0},{'peggedUSD': 76239.16},{'peggedUSD': 0},{'peggedUSD': 76239.16}
1661472000,{'peggedUSD': 76348.68},{'peggedUSD': 0},{'peggedUSD': 76348.68},{'peggedUSD': 0},{'peggedUSD': 76348.68}
1661558400,{'peggedUSD': 76348.68},{'peggedUSD': 0},{'peggedUSD': 76348.62},{'peggedUSD': 0},{'peggedUSD': 76348.62}
1661644800,{'peggedUSD': 76348.68},{'peggedUSD': 0},{'peggedUSD': 76353},{'peggedUSD': 0},{'peggedUSD': 76353}
1661731200,{'peggedUSD': 76286.56},{'peggedUSD': 0},{'peggedUSD': 76230.62},{'peggedUSD': 0},{'peggedUSD': 76230.62}
1661817600,{'peggedUSD': 75285.74},{'peggedUSD': 0},{'peggedUSD': 75230.49},{'peggedUSD': 0},{'peggedUSD': 75230.49}
1661904000,{'peggedUSD': 75285.74},{'peggedUSD': 0},{'peggedUSD': 75228.7},{'peggedUSD': 0},{'peggedUSD': 75228.7}
1661990400,{'peggedUSD': 75285.74},{'peggedUSD': 0},{'peggedUSD': 75226.49},{'peggedUSD': 0},{'peggedUSD': 75226.49}
1662076800,{'peggedUSD': 75285.74},{'peggedUSD': 0},{'peggedUSD': 75244.13},{'peggedUSD': 0},{'peggedUSD': 75244.13}
1662163200,{'peggedUSD': 75285.74},{'peggedUSD': 0},{'peggedUSD': 75226.83},{'peggedUSD': 0},{'peggedUSD': 75226.83}
1662249600,{'peggedUSD': 75285.74},{'peggedUSD': 0},{'peggedUSD': 75360.85},{'peggedUSD': 0},{'peggedUSD': 75360.85}
1662336000,{'peggedUSD': 75285.74},{'peggedUSD': 0},{'peggedUSD': 75271.85},{'peggedUSD': 0},{'peggedUSD': 75271.85}
1662422400,{'peggedUSD': 75285.74},{'peggedUSD': 0},{'peggedUSD': 75306.79},{'peggedUSD': 0},{'peggedUSD': 75306.79}
1662508800,{'peggedUSD': 75285.74},{'peggedUSD': 0},{'peggedUSD': 75213},{'peggedUSD': 0},{'peggedUSD': 75213}
1662595200,{'peggedUSD': 75285.74},{'peggedUSD': 0},{'peggedUSD': 75245.01},{'peggedUSD': 0},{'peggedUSD': 75245.01}
1662681600,{'peggedUSD': 75850.94},{'peggedUSD': 0},{'peggedUSD': 75826.19},{'peggedUSD': 0},{'peggedUSD': 75826.19}
1662768000,{'peggedUSD': 75850.94},{'peggedUSD': 0},{'peggedUSD': 75869.49},{'peggedUSD': 0},{'peggedUSD': 75869.49}
1662854400,{'peggedUSD': 75850.94},{'peggedUSD': 0},{'peggedUSD': 75842.08},{'peggedUSD': 0},{'peggedUSD': 75842.08}
1662940800,{'peggedUSD': 75850.94},{'peggedUSD': 0},{'peggedUSD': 75741.02},{'peggedUSD': 0},{'peggedUSD': 75741.02}
1663027200,{'peggedUSD': 75850.94},{'peggedUSD': 0},{'peggedUSD': 75768.96},{'peggedUSD': 0},{'peggedUSD': 75768.96}
1663113600,{'peggedUSD': 75850.94},{'peggedUSD': 0},{'peggedUSD': 75613.52},{'peggedUSD': 0},{'peggedUSD': 75613.52}
