date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1617580800,{'peggedUSD': 4415},{'peggedUSD': 0},{'peggedUSD': 4714.47},{'peggedUSD': 4714.47},{'peggedUSD': 0}
1617667200,{'peggedUSD': 202633089.48},{'peggedUSD': 0},{'peggedUSD': 216377518.12},{'peggedUSD': 216377518.12},{'peggedUSD': 0}
1617753600,{'peggedUSD': 239662183.13},{'peggedUSD': 0},{'peggedUSD': 249074490.32},{'peggedUSD': 249074490.32},{'peggedUSD': 0}
1617840000,{'peggedUSD': 252076178.84},{'peggedUSD': 0},{'peggedUSD': 256149644.95},{'peggedUSD': 256149644.95},{'peggedUSD': 0}
1617926400,{'peggedUSD': 261890895.91},{'peggedUSD': 0},{'peggedUSD': 270506761.27},{'peggedUSD': 270506761.27},{'peggedUSD': 0}
1618012800,{'peggedUSD': 263985284.41},{'peggedUSD': 0},{'peggedUSD': 268227756.5},{'peggedUSD': 268227756.5},{'peggedUSD': 0}
1618099200,{'peggedUSD': 267211060.54},{'peggedUSD': 0},{'peggedUSD': 272626256.67},{'peggedUSD': 272626256.67},{'peggedUSD': 0}
1618185600,{'peggedUSD': 295789672.65},{'peggedUSD': 0},{'peggedUSD': 302619109.94},{'peggedUSD': 302619109.94},{'peggedUSD': 0}
1618272000,{'peggedUSD': 335663151.93},{'peggedUSD': 0},{'peggedUSD': 344486390.8},{'peggedUSD': 344486390.8},{'peggedUSD': 0}
1618358400,{'peggedUSD': 412917382.23},{'peggedUSD': 0},{'peggedUSD': 424247705.88},{'peggedUSD': 424247705.88},{'peggedUSD': 0}
1618444800,{'peggedUSD': 478517083.06},{'peggedUSD': 0},{'peggedUSD': 496312739.76},{'peggedUSD': 496312739.76},{'peggedUSD': 0}
1618531200,{'peggedUSD': 535795068.23},{'peggedUSD': 0},{'peggedUSD': 552081509.55},{'peggedUSD': 552081509.55},{'peggedUSD': 0}
1618617600,{'peggedUSD': 548052366.1},{'peggedUSD': 0},{'peggedUSD': 563748500.65},{'peggedUSD': 563748500.65},{'peggedUSD': 0}
1618704000,{'peggedUSD': 982794371.89},{'peggedUSD': 0},{'peggedUSD': 984845208.56},{'peggedUSD': 984845208.56},{'peggedUSD': 0}
1618790400,{'peggedUSD': 1226852696.8},{'peggedUSD': 0},{'peggedUSD': 1240470490.21},{'peggedUSD': 1240470490.21},{'peggedUSD': 0}
1618876800,{'peggedUSD': 1210829254.39},{'peggedUSD': 0},{'peggedUSD': 1222098857.01},{'peggedUSD': 1222098857.01},{'peggedUSD': 0}
1618963200,{'peggedUSD': 1203442923.53},{'peggedUSD': 0},{'peggedUSD': 1209597862.29},{'peggedUSD': 1209597862.29},{'peggedUSD': 0}
1619049600,{'peggedUSD': 1413431733.57},{'peggedUSD': 0},{'peggedUSD': 1429493561.14},{'peggedUSD': 1429493561.14},{'peggedUSD': 0}
1619136000,{'peggedUSD': 1416400644.57},{'peggedUSD': 0},{'peggedUSD': 1444561402.71},{'peggedUSD': 1444561402.71},{'peggedUSD': 0}
1619222400,{'peggedUSD': 1436731156.35},{'peggedUSD': 0},{'peggedUSD': 1470489611.94},{'peggedUSD': 1470489611.94},{'peggedUSD': 0}
1619308800,{'peggedUSD': 1446562492.21},{'peggedUSD': 0},{'peggedUSD': 1452862290.01},{'peggedUSD': 1452862290.01},{'peggedUSD': 0}
1619395200,{'peggedUSD': 1460758904.94},{'peggedUSD': 0},{'peggedUSD': 1480251607.03},{'peggedUSD': 1480251607.03},{'peggedUSD': 0}
1619481600,{'peggedUSD': 1450726200.65},{'peggedUSD': 0},{'peggedUSD': 1459479565.31},{'peggedUSD': 1459479565.31},{'peggedUSD': 0}
1619568000,{'peggedUSD': 1454519250.26},{'peggedUSD': 0},{'peggedUSD': 1462962505.96},{'peggedUSD': 1462962505.96},{'peggedUSD': 0}
1619654400,{'peggedUSD': 1463098153.35},{'peggedUSD': 0},{'peggedUSD': 1468051763.79},{'peggedUSD': 1468051763.79},{'peggedUSD': 0}
1619740800,{'peggedUSD': 1465363667.57},{'peggedUSD': 0},{'peggedUSD': 1482373608.95},{'peggedUSD': 1482387417.35},{'peggedUSD': 0}
1619827200,{'peggedUSD': 1467831298.61},{'peggedUSD': 0},{'peggedUSD': 1490194222.58},{'peggedUSD': 1490208080.49},{'peggedUSD': 0}
