date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1617580800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1617667200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1617753600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1617840000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1617926400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618012800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618099200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618185600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618272000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618358400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618444800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618531200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618617600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618704000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618790400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618876800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1618963200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1619049600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1619136000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1619222400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1619308800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1619395200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1619481600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1619568000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1619654400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1619740800,{'peggedUSD': 13649.95},{'peggedUSD': 0},{'peggedUSD': 13808.4},{'peggedUSD': 0},{'peggedUSD': 13808.4}
1619827200,{'peggedUSD': 13649.95},{'peggedUSD': 0},{'peggedUSD': 13857.92},{'peggedUSD': 0},{'peggedUSD': 13857.92}
1619913600,{'peggedUSD': 13649.95},{'peggedUSD': 0},{'peggedUSD': 13730.95},{'peggedUSD': 0},{'peggedUSD': 13730.95}
1620000000,{'peggedUSD': 13649.95},{'peggedUSD': 0},{'peggedUSD': 13638.61},{'peggedUSD': 0},{'peggedUSD': 13638.61}
1620086400,{'peggedUSD': 13649.95},{'peggedUSD': 0},{'peggedUSD': 13769.91},{'peggedUSD': 0},{'peggedUSD': 13769.91}
1620172800,{'peggedUSD': 13649.95},{'peggedUSD': 0},{'peggedUSD': 13545.17},{'peggedUSD': 0},{'peggedUSD': 13545.17}
1620259200,{'peggedUSD': 13649.95},{'peggedUSD': 0},{'peggedUSD': 13643.61},{'peggedUSD': 0},{'peggedUSD': 13643.61}
1620345600,{'peggedUSD': 17023.42},{'peggedUSD': 0},{'peggedUSD': 16910.58},{'peggedUSD': 0},{'peggedUSD': 16910.58}
1620432000,{'peggedUSD': 17023.42},{'peggedUSD': 0},{'peggedUSD': 17036.48},{'peggedUSD': 0},{'peggedUSD': 17036.48}
1620518400,{'peggedUSD': 17023.42},{'peggedUSD': 0},{'peggedUSD': 16965.86},{'peggedUSD': 0},{'peggedUSD': 16965.86}
1620604800,{'peggedUSD': 17023.42},{'peggedUSD': 0},{'peggedUSD': 16980.11},{'peggedUSD': 0},{'peggedUSD': 16980.11}
1620691200,{'peggedUSD': 17023.42},{'peggedUSD': 0},{'peggedUSD': 16995.81},{'peggedUSD': 0},{'peggedUSD': 16995.81}
1620777600,{'peggedUSD': 17023.42},{'peggedUSD': 0},{'peggedUSD': 17100.82},{'peggedUSD': 0},{'peggedUSD': 17100.82}
1620864000,{'peggedUSD': 17023.42},{'peggedUSD': 0},{'peggedUSD': 16943.2},{'peggedUSD': 0},{'peggedUSD': 16943.2}
1620950400,{'peggedUSD': 17023.42},{'peggedUSD': 0},{'peggedUSD': 17008.6},{'peggedUSD': 0},{'peggedUSD': 17008.6}
1621036800,{'peggedUSD': 17023.42},{'peggedUSD': 0},{'peggedUSD': 16921.62},{'peggedUSD': 0},{'peggedUSD': 16921.62}
1621123200,{'peggedUSD': 20309.77},{'peggedUSD': 0},{'peggedUSD': 20073.68},{'peggedUSD': 0},{'peggedUSD': 20073.68}
1621209600,{'peggedUSD': 18070.06},{'peggedUSD': 0},{'peggedUSD': 18209.99},{'peggedUSD': 0},{'peggedUSD': 18209.99}
1621296000,{'peggedUSD': 18070.06},{'peggedUSD': 0},{'peggedUSD': 17983.15},{'peggedUSD': 0},{'peggedUSD': 17983.15}
1621382400,{'peggedUSD': 18070.06},{'peggedUSD': 0},{'peggedUSD': 17966.36},{'peggedUSD': 0},{'peggedUSD': 17966.36}
1621468800,{'peggedUSD': 14703.72},{'peggedUSD': 0},{'peggedUSD': 14323.14},{'peggedUSD': 0},{'peggedUSD': 14323.14}
1621555200,{'peggedUSD': 14703.72},{'peggedUSD': 0},{'peggedUSD': 14473.72},{'peggedUSD': 0},{'peggedUSD': 14473.72}
1621641600,{'peggedUSD': 14703.72},{'peggedUSD': 0},{'peggedUSD': 14673.94},{'peggedUSD': 0},{'peggedUSD': 14673.94}
1621728000,{'peggedUSD': 14703.72},{'peggedUSD': 0},{'peggedUSD': 14593.4},{'peggedUSD': 0},{'peggedUSD': 14593.4}
1621814400,{'peggedUSD': 15050.08},{'peggedUSD': 0},{'peggedUSD': 15176.75},{'peggedUSD': 0},{'peggedUSD': 15176.75}
1621900800,{'peggedUSD': 50462.06},{'peggedUSD': 0},{'peggedUSD': 50586.23},{'peggedUSD': 0},{'peggedUSD': 50586.23}
1621987200,{'peggedUSD': 15461.93},{'peggedUSD': 0},{'peggedUSD': 15532.05},{'peggedUSD': 0},{'peggedUSD': 15532.05}
1622073600,{'peggedUSD': 16067.28},{'peggedUSD': 0},{'peggedUSD': 16200.18},{'peggedUSD': 0},{'peggedUSD': 16200.18}
1622160000,{'peggedUSD': 16067.28},{'peggedUSD': 0},{'peggedUSD': 16226.68},{'peggedUSD': 0},{'peggedUSD': 16226.68}
1622246400,{'peggedUSD': 16441.71},{'peggedUSD': 0},{'peggedUSD': 16687.73},{'peggedUSD': 0},{'peggedUSD': 16687.73}
1622332800,{'peggedUSD': 16441.71},{'peggedUSD': 0},{'peggedUSD': 16625.47},{'peggedUSD': 0},{'peggedUSD': 16625.47}
1622419200,{'peggedUSD': 16441.71},{'peggedUSD': 0},{'peggedUSD': 16742.44},{'peggedUSD': 0},{'peggedUSD': 16742.44}
