date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1622419200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622505600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622592000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622678400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622764800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622851200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622937600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623024000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623110400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623196800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623283200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623369600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623456000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623542400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623628800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623715200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623801600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623888000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623974400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1624060800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1624147200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1624233600,{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11}
1624320000,{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11}
1624406400,{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11}
1624492800,{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11}
1624579200,{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11}
1624665600,{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11},{'peggedUSD': 0},{'peggedUSD': 11}
1624752000,{'peggedUSD': 30.93},{'peggedUSD': 0},{'peggedUSD': 30.93},{'peggedUSD': 0},{'peggedUSD': 30.93}
1624838400,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.05}
1624924800,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.05}
1625011200,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.05}
1625097600,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.12},{'peggedUSD': 0},{'peggedUSD': 35.12}
1625184000,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.12},{'peggedUSD': 0},{'peggedUSD': 35.12}
1625270400,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.26},{'peggedUSD': 0},{'peggedUSD': 35.26}
1625356800,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.89},{'peggedUSD': 0},{'peggedUSD': 34.89}
1625443200,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35},{'peggedUSD': 0},{'peggedUSD': 35}
1625529600,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.81},{'peggedUSD': 0},{'peggedUSD': 34.81}
1625616000,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.81},{'peggedUSD': 0},{'peggedUSD': 34.81}
1625702400,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.86},{'peggedUSD': 0},{'peggedUSD': 34.86}
1625788800,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.72},{'peggedUSD': 0},{'peggedUSD': 34.72}
1625875200,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.36},{'peggedUSD': 0},{'peggedUSD': 35.36}
1625961600,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.23},{'peggedUSD': 0},{'peggedUSD': 35.23}
1626048000,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35},{'peggedUSD': 0},{'peggedUSD': 35}
1626134400,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.29},{'peggedUSD': 0},{'peggedUSD': 35.29}
1626220800,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.18},{'peggedUSD': 0},{'peggedUSD': 35.18}
1626307200,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.2},{'peggedUSD': 0},{'peggedUSD': 35.2}
1626393600,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.23},{'peggedUSD': 0},{'peggedUSD': 35.23}
1626480000,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.83},{'peggedUSD': 0},{'peggedUSD': 34.83}
1626566400,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.88},{'peggedUSD': 0},{'peggedUSD': 34.88}
1626652800,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.87},{'peggedUSD': 0},{'peggedUSD': 34.87}
1626739200,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.07},{'peggedUSD': 0},{'peggedUSD': 35.07}
1626825600,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35},{'peggedUSD': 0},{'peggedUSD': 35}
1626912000,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.02},{'peggedUSD': 0},{'peggedUSD': 35.02}
1626998400,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.13},{'peggedUSD': 0},{'peggedUSD': 35.13}
1627084800,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.04},{'peggedUSD': 0},{'peggedUSD': 35.04}
1627171200,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.93},{'peggedUSD': 0},{'peggedUSD': 34.93}
1627257600,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 35.25},{'peggedUSD': 0},{'peggedUSD': 35.25}
1627344000,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.58},{'peggedUSD': 0},{'peggedUSD': 34.58}
1627430400,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.84},{'peggedUSD': 0},{'peggedUSD': 34.84}
1627516800,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.64},{'peggedUSD': 0},{'peggedUSD': 34.64}
1627603200,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.91},{'peggedUSD': 0},{'peggedUSD': 34.91}
1627689600,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.76},{'peggedUSD': 0},{'peggedUSD': 34.76}
1627776000,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.69},{'peggedUSD': 0},{'peggedUSD': 34.69}
1627862400,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.22},{'peggedUSD': 0},{'peggedUSD': 34.22}
1627948800,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.41},{'peggedUSD': 0},{'peggedUSD': 34.41}
1628035200,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.57},{'peggedUSD': 0},{'peggedUSD': 34.57}
1628121600,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.21},{'peggedUSD': 0},{'peggedUSD': 34.21}
1628208000,{'peggedUSD': 35.05},{'peggedUSD': 0},{'peggedUSD': 34.37},{'peggedUSD': 0},{'peggedUSD': 34.37}
