date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1622419200,{'peggedUSD': 42402715.58},{'peggedUSD': -42402715.58},{'peggedUSD': 42402715.58},{'peggedUSD': 42402715.58},{'peggedUSD': 0}
1622505600,{'peggedUSD': 42402715.58},{'peggedUSD': -42402715.58},{'peggedUSD': 42402715.58},{'peggedUSD': 42402715.58},{'peggedUSD': 0}
1622592000,{'peggedUSD': 42402715.58},{'peggedUSD': -42402715.58},{'peggedUSD': 42402715.58},{'peggedUSD': 42402715.58},{'peggedUSD': 0}
1622678400,{'peggedUSD': 30.37},{'peggedUSD': 999999969.63},{'peggedUSD': 30.37},{'peggedUSD': 30.37},{'peggedUSD': 0}
1622764800,{'peggedUSD': 118.7},{'peggedUSD': 999999880.3},{'peggedUSD': 118.7},{'peggedUSD': 118.7},{'peggedUSD': 0}
1622851200,{'peggedUSD': 21018583.62},{'peggedUSD': 978981415.38},{'peggedUSD': 21018583.62},{'peggedUSD': 21018583.62},{'peggedUSD': 0}
1622937600,{'peggedUSD': 34168621.6},{'peggedUSD': 965831377.4},{'peggedUSD': 34168621.6},{'peggedUSD': 34168621.6},{'peggedUSD': 0}
1623024000,{'peggedUSD': 42787576.65},{'peggedUSD': 957212422.35},{'peggedUSD': 42787576.65},{'peggedUSD': 42787576.65},{'peggedUSD': 0}
1623110400,{'peggedUSD': 40900177.74},{'peggedUSD': 959099821.26},{'peggedUSD': 40900177.74},{'peggedUSD': 40900177.74},{'peggedUSD': 0}
1623196800,{'peggedUSD': 43176668.36},{'peggedUSD': 956823330.64},{'peggedUSD': 43176668.36},{'peggedUSD': 43176668.36},{'peggedUSD': 0}
1623283200,{'peggedUSD': 48742624.73},{'peggedUSD': 951257374.27},{'peggedUSD': 48742624.73},{'peggedUSD': 48742624.73},{'peggedUSD': 0}
1623369600,{'peggedUSD': 62501655.65},{'peggedUSD': 937498343.35},{'peggedUSD': 62501655.65},{'peggedUSD': 62501655.65},{'peggedUSD': 0}
1623456000,{'peggedUSD': 57455898.91},{'peggedUSD': 942544100.09},{'peggedUSD': 57455898.91},{'peggedUSD': 57455898.91},{'peggedUSD': 0}
1623542400,{'peggedUSD': 59317986.91},{'peggedUSD': 940682012.09},{'peggedUSD': 59317986.91},{'peggedUSD': 59317986.91},{'peggedUSD': 0}
1623628800,{'peggedUSD': 60389184.28},{'peggedUSD': 939610814.72},{'peggedUSD': 60389184.28},{'peggedUSD': 60389184.28},{'peggedUSD': 0}
1623715200,{'peggedUSD': 53272631.46},{'peggedUSD': 946727367.54},{'peggedUSD': 53272631.46},{'peggedUSD': 53272631.46},{'peggedUSD': 0}
1623801600,{'peggedUSD': 57768878.04},{'peggedUSD': 942231120.96},{'peggedUSD': 57768878.04},{'peggedUSD': 57768878.04},{'peggedUSD': 0}
1623888000,{'peggedUSD': 53307938.29},{'peggedUSD': 946692060.71},{'peggedUSD': 53307938.29},{'peggedUSD': 53307938.29},{'peggedUSD': 0}
1623974400,{'peggedUSD': 52847851.7},{'peggedUSD': 947152147.3},{'peggedUSD': 52847851.7},{'peggedUSD': 52847851.7},{'peggedUSD': 0}
1624060800,{'peggedUSD': 52747338.02},{'peggedUSD': 947252660.98},{'peggedUSD': 52747338.02},{'peggedUSD': 52747338.02},{'peggedUSD': 0}
1624147200,{'peggedUSD': 53055880.57},{'peggedUSD': 946944118.43},{'peggedUSD': 53055880.57},{'peggedUSD': 53055880.57},{'peggedUSD': 0}
1624233600,{'peggedUSD': 51233126.7},{'peggedUSD': 948766860.3},{'peggedUSD': 51233126.7},{'peggedUSD': 51233138.7},{'peggedUSD': 0}
1624320000,{'peggedUSD': 41087721.23},{'peggedUSD': 958912265.77},{'peggedUSD': 41087721.23},{'peggedUSD': 41087733.23},{'peggedUSD': 0}
1624406400,{'peggedUSD': 40847497.86},{'peggedUSD': 959152394.14},{'peggedUSD': 40847497.86},{'peggedUSD': 40847604.86},{'peggedUSD': 0}
1624492800,{'peggedUSD': 41509267.75},{'peggedUSD': 958489629.25},{'peggedUSD': 41509267.75},{'peggedUSD': 41510369.75},{'peggedUSD': 0}
1624579200,{'peggedUSD': 43141786.52},{'peggedUSD': 956857110.48},{'peggedUSD': 43141786.52},{'peggedUSD': 43142888.52},{'peggedUSD': 0}
1624665600,{'peggedUSD': 44328773.88},{'peggedUSD': 955660161.69},{'peggedUSD': 44328773.88},{'peggedUSD': 44339837.31},{'peggedUSD': 0}
1624752000,{'peggedUSD': 46188818.64},{'peggedUSD': 953800002},{'peggedUSD': 46188818.64},{'peggedUSD': 46199997},{'peggedUSD': 0}
1624838400,{'peggedUSD': 47063046.22},{'peggedUSD': 952870734.3},{'peggedUSD': 47063046.22},{'peggedUSD': 47129264.7},{'peggedUSD': 0}
1624924800,{'peggedUSD': 46785366.87},{'peggedUSD': 952888700.69},{'peggedUSD': 46785366.87},{'peggedUSD': 47111298.31},{'peggedUSD': 0}
1625011200,{'peggedUSD': 46608938.23},{'peggedUSD': 953018408.16},{'peggedUSD': 46608938.23},{'peggedUSD': 46981590.84},{'peggedUSD': 0}
1625097600,{'peggedUSD': 46492088.21},{'peggedUSD': 953018007.11},{'peggedUSD': 46590524.41},{'peggedUSD': 47081465.35},{'peggedUSD': 0}
1625184000,{'peggedUSD': 46553385.09},{'peggedUSD': 952955241.69},{'peggedUSD': 46651951.08},{'peggedUSD': 47144363.66},{'peggedUSD': 0}
1625270400,{'peggedUSD': 46544614.11},{'peggedUSD': 952951963.03},{'peggedUSD': 46824785.31},{'peggedUSD': 47331237.48},{'peggedUSD': 0}
1625356800,{'peggedUSD': 47487904.62},{'peggedUSD': 952089330.78},{'peggedUSD': 47277832.07},{'peggedUSD': 47698725.49},{'peggedUSD': 0}
1625443200,{'peggedUSD': 47250198.25},{'peggedUSD': 952328848.9},{'peggedUSD': 47183698.34},{'peggedUSD': 47604057.74},{'peggedUSD': 0}
1625529600,{'peggedUSD': 47426058.89},{'peggedUSD': 952139901.87},{'peggedUSD': 47101675.36},{'peggedUSD': 47532744.88},{'peggedUSD': 0}
1625616000,{'peggedUSD': 46921062.93},{'peggedUSD': 952582606.61},{'peggedUSD': 46604659.5},{'peggedUSD': 47097642.05},{'peggedUSD': 0}
1625702400,{'peggedUSD': 46712204.05},{'peggedUSD': 932801960.42},{'peggedUSD': 46471559.82},{'peggedUSD': 47031005.19},{'peggedUSD': 0}
1625788800,{'peggedUSD': 46632118.98},{'peggedUSD': 932846744.16},{'peggedUSD': 46196039.15},{'peggedUSD': 46788093.98},{'peggedUSD': 0}
1625875200,{'peggedUSD': 50034448.9},{'peggedUSD': 929442746.13},{'peggedUSD': 50487205.3},{'peggedUSD': 51091940.2},{'peggedUSD': 0}
1625961600,{'peggedUSD': 55832694.82},{'peggedUSD': 923630548.84},{'peggedUSD': 56120678.76},{'peggedUSD': 56737105.12},{'peggedUSD': 0}
1626048000,{'peggedUSD': 57498468.17},{'peggedUSD': 921938014.17},{'peggedUSD': 57425133.44},{'peggedUSD': 58064341.63},{'peggedUSD': 0}
1626134400,{'peggedUSD': 57101575.55},{'peggedUSD': 922334350.07},{'peggedUSD': 57496855.14},{'peggedUSD': 58141870.71},{'peggedUSD': 0}
1626220800,{'peggedUSD': 55930162.34},{'peggedUSD': 923509045.99},{'peggedUSD': 56141962.9},{'peggedUSD': 56781674.77},{'peggedUSD': 0}
1626307200,{'peggedUSD': 55718389.97},{'peggedUSD': 923724196.44},{'peggedUSD': 55960465.74},{'peggedUSD': 56597140.31},{'peggedUSD': 0}
1626393600,{'peggedUSD': 71466022.7},{'peggedUSD': 907988094.18},{'peggedUSD': 71838940.11},{'peggedUSD': 72464577.76},{'peggedUSD': 0}
1626480000,{'peggedUSD': 68517982.23},{'peggedUSD': 910997405.33},{'peggedUSD': 68098992.1},{'peggedUSD': 68656680.1},{'peggedUSD': 0}
