date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1622419200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622505600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622592000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622678400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622764800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622851200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1622937600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623024000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623110400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623196800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623283200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623369600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623456000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623542400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623628800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623715200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623801600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623888000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1623974400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1624060800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1624147200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1624233600,{'peggedUSD': 1},{'peggedUSD': 0},{'peggedUSD': 1},{'peggedUSD': 0},{'peggedUSD': 1}
1624320000,{'peggedUSD': 1},{'peggedUSD': 0},{'peggedUSD': 1},{'peggedUSD': 0},{'peggedUSD': 1}
1624406400,{'peggedUSD': 96},{'peggedUSD': 0},{'peggedUSD': 96},{'peggedUSD': 0},{'peggedUSD': 96}
1624492800,{'peggedUSD': 1091},{'peggedUSD': 0},{'peggedUSD': 1091},{'peggedUSD': 0},{'peggedUSD': 1091}
1624579200,{'peggedUSD': 1091},{'peggedUSD': 0},{'peggedUSD': 1091},{'peggedUSD': 0},{'peggedUSD': 1091}
1624665600,{'peggedUSD': 11052.43},{'peggedUSD': 0},{'peggedUSD': 11052.43},{'peggedUSD': 0},{'peggedUSD': 11052.43}
1624752000,{'peggedUSD': 11147.43},{'peggedUSD': 0},{'peggedUSD': 11147.43},{'peggedUSD': 0},{'peggedUSD': 11147.43}
1624838400,{'peggedUSD': 66183.43},{'peggedUSD': 0},{'peggedUSD': 66183.43},{'peggedUSD': 0},{'peggedUSD': 66183.43}
1624924800,{'peggedUSD': 325896.4},{'peggedUSD': 0},{'peggedUSD': 325896.4},{'peggedUSD': 0},{'peggedUSD': 325896.4}
1625011200,{'peggedUSD': 372617.57},{'peggedUSD': 0},{'peggedUSD': 372617.57},{'peggedUSD': 0},{'peggedUSD': 372617.57}
1625097600,{'peggedUSD': 489868.64},{'peggedUSD': 0},{'peggedUSD': 490905.82},{'peggedUSD': 0},{'peggedUSD': 490905.82}
1625184000,{'peggedUSD': 491337.18},{'peggedUSD': 0},{'peggedUSD': 492377.47},{'peggedUSD': 0},{'peggedUSD': 492377.47}
1625270400,{'peggedUSD': 503386.82},{'peggedUSD': 0},{'peggedUSD': 506416.91},{'peggedUSD': 0},{'peggedUSD': 506416.91}
1625356800,{'peggedUSD': 422728.56},{'peggedUSD': 0},{'peggedUSD': 420858.53},{'peggedUSD': 0},{'peggedUSD': 420858.53}
1625443200,{'peggedUSD': 420916.81},{'peggedUSD': 0},{'peggedUSD': 420324.41},{'peggedUSD': 0},{'peggedUSD': 420324.41}
1625529600,{'peggedUSD': 434003.2},{'peggedUSD': 0},{'peggedUSD': 431034.71},{'peggedUSD': 0},{'peggedUSD': 431034.71}
1625616000,{'peggedUSD': 496294.41},{'peggedUSD': 0},{'peggedUSD': 492947.74},{'peggedUSD': 0},{'peggedUSD': 492947.74}
1625702400,{'peggedUSD': 562307.31},{'peggedUSD': 0},{'peggedUSD': 559410.51},{'peggedUSD': 0},{'peggedUSD': 559410.51}
1625788800,{'peggedUSD': 597608.64},{'peggedUSD': 0},{'peggedUSD': 592020.11},{'peggedUSD': 0},{'peggedUSD': 592020.11}
1625875200,{'peggedUSD': 599276.75},{'peggedUSD': 0},{'peggedUSD': 604699.54},{'peggedUSD': 0},{'peggedUSD': 604699.54}
1625961600,{'peggedUSD': 613228.12},{'peggedUSD': 0},{'peggedUSD': 616391.13},{'peggedUSD': 0},{'peggedUSD': 616391.13}
1626048000,{'peggedUSD': 639989.44},{'peggedUSD': 0},{'peggedUSD': 639173.18},{'peggedUSD': 0},{'peggedUSD': 639173.18}
1626134400,{'peggedUSD': 640546.17},{'peggedUSD': 0},{'peggedUSD': 644980.28},{'peggedUSD': 0},{'peggedUSD': 644980.28}
1626220800,{'peggedUSD': 637263.45},{'peggedUSD': 0},{'peggedUSD': 639676.68},{'peggedUSD': 0},{'peggedUSD': 639676.68}
1626307200,{'peggedUSD': 633885.38},{'peggedUSD': 0},{'peggedUSD': 636639.38},{'peggedUSD': 0},{'peggedUSD': 636639.38}
1626393600,{'peggedUSD': 622354.9},{'peggedUSD': 0},{'peggedUSD': 625602.42},{'peggedUSD': 0},{'peggedUSD': 625602.42}
1626480000,{'peggedUSD': 561084.23},{'peggedUSD': 0},{'peggedUSD': 557653.17},{'peggedUSD': 0},{'peggedUSD': 557653.17}
1626566400,{'peggedUSD': 596648.61},{'peggedUSD': 0},{'peggedUSD': 593879.77},{'peggedUSD': 0},{'peggedUSD': 593879.77}
1626652800,{'peggedUSD': 549499.85},{'peggedUSD': 0},{'peggedUSD': 546738.15},{'peggedUSD': 0},{'peggedUSD': 546738.15}
1626739200,{'peggedUSD': 552617.69},{'peggedUSD': 0},{'peggedUSD': 553045.16},{'peggedUSD': 0},{'peggedUSD': 553045.16}
1626825600,{'peggedUSD': 522943.58},{'peggedUSD': 0},{'peggedUSD': 522305.62},{'peggedUSD': 0},{'peggedUSD': 522305.62}
1626912000,{'peggedUSD': 531418.73},{'peggedUSD': 0},{'peggedUSD': 531022.69},{'peggedUSD': 0},{'peggedUSD': 531022.69}
1626998400,{'peggedUSD': 530443.26},{'peggedUSD': 0},{'peggedUSD': 531791.3},{'peggedUSD': 0},{'peggedUSD': 531791.3}
1627084800,{'peggedUSD': 541857.48},{'peggedUSD': 0},{'peggedUSD': 541821.98},{'peggedUSD': 0},{'peggedUSD': 541821.98}
1627171200,{'peggedUSD': 556323.41},{'peggedUSD': 0},{'peggedUSD': 554548.85},{'peggedUSD': 0},{'peggedUSD': 554548.85}
1627257600,{'peggedUSD': 583758.61},{'peggedUSD': 0},{'peggedUSD': 587214.05},{'peggedUSD': 0},{'peggedUSD': 587214.05}
1627344000,{'peggedUSD': 603861.28},{'peggedUSD': 0},{'peggedUSD': 595808.85},{'peggedUSD': 0},{'peggedUSD': 595808.85}
1627430400,{'peggedUSD': 603295.34},{'peggedUSD': 0},{'peggedUSD': 599837.99},{'peggedUSD': 0},{'peggedUSD': 599837.99}
1627516800,{'peggedUSD': 607739.14},{'peggedUSD': 0},{'peggedUSD': 600697.74},{'peggedUSD': 0},{'peggedUSD': 600697.74}
1627603200,{'peggedUSD': 608064.07},{'peggedUSD': 0},{'peggedUSD': 605736.36},{'peggedUSD': 0},{'peggedUSD': 605736.36}
1627689600,{'peggedUSD': 593390.31},{'peggedUSD': 0},{'peggedUSD': 588639.12},{'peggedUSD': 0},{'peggedUSD': 588639.12}
1627776000,{'peggedUSD': 594305.09},{'peggedUSD': 0},{'peggedUSD': 588328.99},{'peggedUSD': 0},{'peggedUSD': 588328.99}
1627862400,{'peggedUSD': 603435.74},{'peggedUSD': 0},{'peggedUSD': 589296.97},{'peggedUSD': 0},{'peggedUSD': 589296.97}
1627948800,{'peggedUSD': 612324.1},{'peggedUSD': 0},{'peggedUSD': 601243.63},{'peggedUSD': 0},{'peggedUSD': 601243.63}
1628035200,{'peggedUSD': 575419.28},{'peggedUSD': 0},{'peggedUSD': 567540.06},{'peggedUSD': 0},{'peggedUSD': 567540.06}
