date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 276053982.99},{'peggedUSD': 0},{'peggedUSD': 276230932.27},{'peggedUSD': 276230932.27},{'peggedUSD': 0}
1609459200,{'peggedUSD': 281163418.97},{'peggedUSD': 0},{'peggedUSD': 281321864.8},{'peggedUSD': 281321864.8},{'peggedUSD': 0}
1609545600,{'peggedUSD': 290046334.76},{'peggedUSD': 0},{'peggedUSD': 289655894.27},{'peggedUSD': 289655894.27},{'peggedUSD': 0}
1609632000,{'peggedUSD': 284124435.19},{'peggedUSD': 0},{'peggedUSD': 284645270.92},{'peggedUSD': 284645270.92},{'peggedUSD': 0}
1609718400,{'peggedUSD': 297806830.05},{'peggedUSD': 0},{'peggedUSD': 295132478.64},{'peggedUSD': 295132478.64},{'peggedUSD': 0}
1609804800,{'peggedUSD': 298438785.08},{'peggedUSD': 0},{'peggedUSD': 292224144.21},{'peggedUSD': 292224144.21},{'peggedUSD': 0}
1609891200,{'peggedUSD': 302764636.22},{'peggedUSD': 0},{'peggedUSD': 303812927.89},{'peggedUSD': 303812927.89},{'peggedUSD': 0}
1609977600,{'peggedUSD': 300740248.13},{'peggedUSD': 0},{'peggedUSD': 301280937.64},{'peggedUSD': 301280937.64},{'peggedUSD': 0}
1610064000,{'peggedUSD': 299183381.57},{'peggedUSD': 0},{'peggedUSD': 300782067.09},{'peggedUSD': 300782067.09},{'peggedUSD': 0}
1610150400,{'peggedUSD': 303525153.55},{'peggedUSD': 0},{'peggedUSD': 303794401.32},{'peggedUSD': 303794401.32},{'peggedUSD': 0}
1610236800,{'peggedUSD': 312356884.27},{'peggedUSD': 0},{'peggedUSD': 311405918.81},{'peggedUSD': 311405918.81},{'peggedUSD': 0}
1610323200,{'peggedUSD': 315795312.25},{'peggedUSD': 0},{'peggedUSD': 316376373.19},{'peggedUSD': 316376373.19},{'peggedUSD': 0}
1610409600,{'peggedUSD': 299536222.51},{'peggedUSD': 0},{'peggedUSD': 300030459.37},{'peggedUSD': 300030459.37},{'peggedUSD': 0}
1610496000,{'peggedUSD': 301933483.73},{'peggedUSD': 0},{'peggedUSD': 303036269.35},{'peggedUSD': 303036269.35},{'peggedUSD': 0}
1610582400,{'peggedUSD': 379611433.84},{'peggedUSD': 0},{'peggedUSD': 381049424.76},{'peggedUSD': 381049424.76},{'peggedUSD': 0}
1610668800,{'peggedUSD': 378144363.68},{'peggedUSD': 0},{'peggedUSD': 379069983.81},{'peggedUSD': 379069983.81},{'peggedUSD': 0}
1610755200,{'peggedUSD': 378070065.75},{'peggedUSD': 0},{'peggedUSD': 378251102.34},{'peggedUSD': 378251102.34},{'peggedUSD': 0}
1610841600,{'peggedUSD': 377069274.65},{'peggedUSD': 0},{'peggedUSD': 377090093.4},{'peggedUSD': 377090093.4},{'peggedUSD': 0}
1610928000,{'peggedUSD': 416823981.52},{'peggedUSD': 0},{'peggedUSD': 414580181.58},{'peggedUSD': 414580181.58},{'peggedUSD': 0}
1611014400,{'peggedUSD': 415783170.73},{'peggedUSD': 0},{'peggedUSD': 415211708.83},{'peggedUSD': 415211708.83},{'peggedUSD': 0}
1611100800,{'peggedUSD': 415849240.55},{'peggedUSD': 0},{'peggedUSD': 417159871.99},{'peggedUSD': 417159871.99},{'peggedUSD': 0}
1611187200,{'peggedUSD': 415971157.52},{'peggedUSD': 0},{'peggedUSD': 417226240.56},{'peggedUSD': 417226240.56},{'peggedUSD': 0}
1611273600,{'peggedUSD': 414281351.06},{'peggedUSD': 0},{'peggedUSD': 415708006.46},{'peggedUSD': 415708006.46},{'peggedUSD': 0}
1611360000,{'peggedUSD': 414262973.03},{'peggedUSD': 0},{'peggedUSD': 415689565.14},{'peggedUSD': 415689565.14},{'peggedUSD': 0}
1611446400,{'peggedUSD': 413157421.04},{'peggedUSD': 0},{'peggedUSD': 412900938.57},{'peggedUSD': 412900938.57},{'peggedUSD': 0}
1611532800,{'peggedUSD': 410955993.99},{'peggedUSD': 0},{'peggedUSD': 411149720.56},{'peggedUSD': 411149720.56},{'peggedUSD': 0}
1611619200,{'peggedUSD': 397880197.22},{'peggedUSD': 0},{'peggedUSD': 396214687.61},{'peggedUSD': 396214687.61},{'peggedUSD': 0}
1611705600,{'peggedUSD': 393008575.32},{'peggedUSD': 0},{'peggedUSD': 392887425.04},{'peggedUSD': 392887425.04},{'peggedUSD': 0}
1611792000,{'peggedUSD': 396224822.15},{'peggedUSD': 0},{'peggedUSD': 397408257.21},{'peggedUSD': 397408257.21},{'peggedUSD': 0}
1611878400,{'peggedUSD': 399474501.12},{'peggedUSD': 0},{'peggedUSD': 396680371.7},{'peggedUSD': 396680371.7},{'peggedUSD': 0}
1611964800,{'peggedUSD': 400069787.22},{'peggedUSD': 0},{'peggedUSD': 398760176.77},{'peggedUSD': 398760176.77},{'peggedUSD': 0}
1612051200,{'peggedUSD': 399375675.19},{'peggedUSD': 0},{'peggedUSD': 397366906.25},{'peggedUSD': 397366906.25},{'peggedUSD': 0}
1612137600,{'peggedUSD': 404183058.41},{'peggedUSD': 0},{'peggedUSD': 403297181.42},{'peggedUSD': 403297181.42},{'peggedUSD': 0}
1612224000,{'peggedUSD': 382637006.66},{'peggedUSD': 0},{'peggedUSD': 381933122.93},{'peggedUSD': 381933122.93},{'peggedUSD': 0}
1612310400,{'peggedUSD': 379812043.61},{'peggedUSD': 0},{'peggedUSD': 378944715.75},{'peggedUSD': 378944715.75},{'peggedUSD': 0}
1612396800,{'peggedUSD': 373782405.6},{'peggedUSD': 0},{'peggedUSD': 374115492.61},{'peggedUSD': 374115492.61},{'peggedUSD': 0}
1612483200,{'peggedUSD': 375797849.31},{'peggedUSD': 0},{'peggedUSD': 374002956.66},{'peggedUSD': 374002956.66},{'peggedUSD': 0}
1612569600,{'peggedUSD': 374373503.69},{'peggedUSD': 0},{'peggedUSD': 374578689.17},{'peggedUSD': 374578689.17},{'peggedUSD': 0}
1612656000,{'peggedUSD': 374363268.23},{'peggedUSD': 0},{'peggedUSD': 374253158.72},{'peggedUSD': 374253158.72},{'peggedUSD': 0}
1612742400,{'peggedUSD': 374916234.29},{'peggedUSD': 0},{'peggedUSD': 373428175.65},{'peggedUSD': 373428175.65},{'peggedUSD': 0}
1612828800,{'peggedUSD': 379399260.67},{'peggedUSD': 0},{'peggedUSD': 380199278.32},{'peggedUSD': 380199278.32},{'peggedUSD': 0}
1612915200,{'peggedUSD': 376166409.58},{'peggedUSD': 0},{'peggedUSD': 376870041.89},{'peggedUSD': 376870041.89},{'peggedUSD': 0}
1613001600,{'peggedUSD': 375497319.1},{'peggedUSD': 0},{'peggedUSD': 374865994.25},{'peggedUSD': 374865994.25},{'peggedUSD': 0}
1613088000,{'peggedUSD': 356583580.7},{'peggedUSD': 0},{'peggedUSD': 355509294},{'peggedUSD': 355509294},{'peggedUSD': 0}
1613174400,{'peggedUSD': 364315276.75},{'peggedUSD': 0},{'peggedUSD': 363455540.87},{'peggedUSD': 363455540.87},{'peggedUSD': 0}
1613260800,{'peggedUSD': 321917018.76},{'peggedUSD': 0},{'peggedUSD': 320708229.68},{'peggedUSD': 320708229.68},{'peggedUSD': 0}
1613347200,{'peggedUSD': 317223281.45},{'peggedUSD': 0},{'peggedUSD': 316922578.17},{'peggedUSD': 316922578.17},{'peggedUSD': 0}
1613433600,{'peggedUSD': 321526868.63},{'peggedUSD': 0},{'peggedUSD': 320680956.21},{'peggedUSD': 320680956.21},{'peggedUSD': 0}
1613520000,{'peggedUSD': 319018310.74},{'peggedUSD': 0},{'peggedUSD': 319327719.89},{'peggedUSD': 319327719.89},{'peggedUSD': 0}
1613606400,{'peggedUSD': 320623333.02},{'peggedUSD': 0},{'peggedUSD': 321036668.47},{'peggedUSD': 321036668.47},{'peggedUSD': 0}
1613692800,{'peggedUSD': 321716340.41},{'peggedUSD': 0},{'peggedUSD': 322108991.59},{'peggedUSD': 322108991.59},{'peggedUSD': 0}
1613779200,{'peggedUSD': 309613043.27},{'peggedUSD': 0},{'peggedUSD': 310774895.68},{'peggedUSD': 310774895.68},{'peggedUSD': 0}
1613865600,{'peggedUSD': 309869923.68},{'peggedUSD': 0},{'peggedUSD': 312049223.12},{'peggedUSD': 312049223.12},{'peggedUSD': 0}
1613952000,{'peggedUSD': 307676338.72},{'peggedUSD': 0},{'peggedUSD': 308568946.61},{'peggedUSD': 308568946.61},{'peggedUSD': 0}
1614038400,{'peggedUSD': 348430924.83},{'peggedUSD': 0},{'peggedUSD': 351429899.65},{'peggedUSD': 351429899.65},{'peggedUSD': 0}
1614124800,{'peggedUSD': 346742522.56},{'peggedUSD': 0},{'peggedUSD': 348446482.73},{'peggedUSD': 348446482.73},{'peggedUSD': 0}
1614211200,{'peggedUSD': 344685596.72},{'peggedUSD': 0},{'peggedUSD': 346340448.35},{'peggedUSD': 346340448.35},{'peggedUSD': 0}
1614297600,{'peggedUSD': 349488112.29},{'peggedUSD': 0},{'peggedUSD': 349146995.1},{'peggedUSD': 349146995.1},{'peggedUSD': 0}
1614384000,{'peggedUSD': 346841170.04},{'peggedUSD': 0},{'peggedUSD': 348448275.74},{'peggedUSD': 348448275.74},{'peggedUSD': 0}
1614470400,{'peggedUSD': 304861420.14},{'peggedUSD': 0},{'peggedUSD': 308485887.51},{'peggedUSD': 308485887.51},{'peggedUSD': 0}
1614556800,{'peggedUSD': 309358594.39},{'peggedUSD': 0},{'peggedUSD': 308552490.08},{'peggedUSD': 308552490.08},{'peggedUSD': 0}
1614643200,{'peggedUSD': 294951815.92},{'peggedUSD': 0},{'peggedUSD': 296038418.46},{'peggedUSD': 296038418.46},{'peggedUSD': 0}
1614729600,{'peggedUSD': 297204392.36},{'peggedUSD': 0},{'peggedUSD': 298337052.14},{'peggedUSD': 298337052.14},{'peggedUSD': 0}
1614816000,{'peggedUSD': 296421809.14},{'peggedUSD': 0},{'peggedUSD': 296143392.69},{'peggedUSD': 296143392.69},{'peggedUSD': 0}
1614902400,{'peggedUSD': 291148563},{'peggedUSD': 0},{'peggedUSD': 292312412.52},{'peggedUSD': 292312412.52},{'peggedUSD': 0}
1614988800,{'peggedUSD': 292574083.46},{'peggedUSD': 0},{'peggedUSD': 293939440.91},{'peggedUSD': 293939440.91},{'peggedUSD': 0}
1615075200,{'peggedUSD': 293797281.44},{'peggedUSD': 0},{'peggedUSD': 294252525.41},{'peggedUSD': 294252525.41},{'peggedUSD': 0}
1615161600,{'peggedUSD': 291575081.03},{'peggedUSD': 0},{'peggedUSD': 293487980.21},{'peggedUSD': 293487980.21},{'peggedUSD': 0}
1615248000,{'peggedUSD': 291979806.2},{'peggedUSD': 0},{'peggedUSD': 293726723.21},{'peggedUSD': 293726723.21},{'peggedUSD': 0}
1615334400,{'peggedUSD': 285724970.52},{'peggedUSD': 0},{'peggedUSD': 286289085.58},{'peggedUSD': 286289085.58},{'peggedUSD': 0}
