date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 238515326.43},{'peggedUSD': 0},{'peggedUSD': 238515326.43},{'peggedUSD': 238515326.43},{'peggedUSD': 0}
1652400000,{'peggedUSD': 278009399.77},{'peggedUSD': 0},{'peggedUSD': 278009399.77},{'peggedUSD': 278009399.77},{'peggedUSD': 0}
1652486400,{'peggedUSD': 378011199.77},{'peggedUSD': 0},{'peggedUSD': 378011199.77},{'peggedUSD': 378011199.77},{'peggedUSD': 0}
1652572800,{'peggedUSD': 378011199.77},{'peggedUSD': 0},{'peggedUSD': 378540415.45},{'peggedUSD': 378540415.45},{'peggedUSD': 0}
1652659200,{'peggedUSD': 378011199.77},{'peggedUSD': 0},{'peggedUSD': 378356486.54},{'peggedUSD': 378356486.54},{'peggedUSD': 0}
1652745600,{'peggedUSD': 378011746.77},{'peggedUSD': 0},{'peggedUSD': 378357034.04},{'peggedUSD': 378357034.04},{'peggedUSD': 0}
1652832000,{'peggedUSD': 378031546.77},{'peggedUSD': 0},{'peggedUSD': 378320506.52},{'peggedUSD': 378320506.52},{'peggedUSD': 0}
1652918400,{'peggedUSD': 378051546.77},{'peggedUSD': 0},{'peggedUSD': 378399127.36},{'peggedUSD': 378399127.36},{'peggedUSD': 0}
1653004800,{'peggedUSD': 377756162.54},{'peggedUSD': 0},{'peggedUSD': 377906641.71},{'peggedUSD': 377906641.71},{'peggedUSD': 0}
1653091200,{'peggedUSD': 377756162.54},{'peggedUSD': 0},{'peggedUSD': 377906641.71},{'peggedUSD': 377906641.71},{'peggedUSD': 0}
1653177600,{'peggedUSD': 377756162.54},{'peggedUSD': 0},{'peggedUSD': 377948210},{'peggedUSD': 377948210},{'peggedUSD': 0}
1653264000,{'peggedUSD': 377756162.54},{'peggedUSD': 0},{'peggedUSD': 377989872.72},{'peggedUSD': 377989872.72},{'peggedUSD': 0}
1653350400,{'peggedUSD': 369761162.54},{'peggedUSD': 0},{'peggedUSD': 370002923.48},{'peggedUSD': 370002923.48},{'peggedUSD': 0}
1653436800,{'peggedUSD': 384361162.54},{'peggedUSD': 0},{'peggedUSD': 384612469.4},{'peggedUSD': 384612469.4},{'peggedUSD': 0}
1653523200,{'peggedUSD': 384361162.54},{'peggedUSD': 0},{'peggedUSD': 384605427.9},{'peggedUSD': 384605427.9},{'peggedUSD': 0}
1653609600,{'peggedUSD': 384361162.54},{'peggedUSD': 0},{'peggedUSD': 384476574.67},{'peggedUSD': 384476574.67},{'peggedUSD': 0}
