date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 218931143.74},{'peggedUSD': 0},{'peggedUSD': 218931143.74},{'peggedUSD': 218931143.74},{'peggedUSD': 0}
1652400000,{'peggedUSD': 218931143.74},{'peggedUSD': 0},{'peggedUSD': 218931143.74},{'peggedUSD': 218931143.74},{'peggedUSD': 0}
1652486400,{'peggedUSD': 241714495.95},{'peggedUSD': 0},{'peggedUSD': 241714495.95},{'peggedUSD': 241714495.95},{'peggedUSD': 0}
1652572800,{'peggedUSD': 239142723.98},{'peggedUSD': 0},{'peggedUSD': 239190552.53},{'peggedUSD': 239190552.53},{'peggedUSD': 0}
1652659200,{'peggedUSD': 239142723.98},{'peggedUSD': 0},{'peggedUSD': 239208863.69},{'peggedUSD': 239208863.69},{'peggedUSD': 0}
1652745600,{'peggedUSD': 250314054.8},{'peggedUSD': 0},{'peggedUSD': 250383284.16},{'peggedUSD': 250383284.16},{'peggedUSD': 0}
1652832000,{'peggedUSD': 252570990.17},{'peggedUSD': 0},{'peggedUSD': 252621201.29},{'peggedUSD': 252621201.29},{'peggedUSD': 0}
1652918400,{'peggedUSD': 241447683.6},{'peggedUSD': 0},{'peggedUSD': 241555352.37},{'peggedUSD': 241555352.37},{'peggedUSD': 0}
1653004800,{'peggedUSD': 245814733.02},{'peggedUSD': 0},{'peggedUSD': 245937935.36},{'peggedUSD': 245937935.36},{'peggedUSD': 0}
1653091200,{'peggedUSD': 266630373.18},{'peggedUSD': 0},{'peggedUSD': 266764008.32},{'peggedUSD': 266764008.32},{'peggedUSD': 0}
1653177600,{'peggedUSD': 266506823.77},{'peggedUSD': 0},{'peggedUSD': 266531830.11},{'peggedUSD': 266531830.11},{'peggedUSD': 0}
1653264000,{'peggedUSD': 266436451.02},{'peggedUSD': 0},{'peggedUSD': 266552870.43},{'peggedUSD': 266552870.43},{'peggedUSD': 0}
1653350400,{'peggedUSD': 271780183.75},{'peggedUSD': 0},{'peggedUSD': 271821594.9},{'peggedUSD': 271821594.9},{'peggedUSD': 0}
1653436800,{'peggedUSD': 269468805.07},{'peggedUSD': 0},{'peggedUSD': 269509864.04},{'peggedUSD': 269509864.04},{'peggedUSD': 0}
1653523200,{'peggedUSD': 269229797.53},{'peggedUSD': 0},{'peggedUSD': 269263914.33},{'peggedUSD': 269263914.33},{'peggedUSD': 0}
1653609600,{'peggedUSD': 259990078.15},{'peggedUSD': 0},{'peggedUSD': 260009621.61},{'peggedUSD': 260009621.61},{'peggedUSD': 0}
1653696000,{'peggedUSD': 259099716.04},{'peggedUSD': 0},{'peggedUSD': 259180042.14},{'peggedUSD': 259180042.14},{'peggedUSD': 0}
1653782400,{'peggedUSD': 258717207.61},{'peggedUSD': 0},{'peggedUSD': 258751399.67},{'peggedUSD': 258751399.67},{'peggedUSD': 0}
1653868800,{'peggedUSD': 258715022.24},{'peggedUSD': 0},{'peggedUSD': 258818353.02},{'peggedUSD': 258818353.02},{'peggedUSD': 0}
1653955200,{'peggedUSD': 255632468.37},{'peggedUSD': 0},{'peggedUSD': 255723258.8},{'peggedUSD': 255723258.8},{'peggedUSD': 0}
1654041600,{'peggedUSD': 257711567.73},{'peggedUSD': 0},{'peggedUSD': 257803096.58},{'peggedUSD': 257803096.58},{'peggedUSD': 0}
1654128000,{'peggedUSD': 255281361.4},{'peggedUSD': 0},{'peggedUSD': 255342330.25},{'peggedUSD': 255342330.25},{'peggedUSD': 0}
1654214400,{'peggedUSD': 255094176.44},{'peggedUSD': 0},{'peggedUSD': 255268069.04},{'peggedUSD': 255268069.04},{'peggedUSD': 0}
1654300800,{'peggedUSD': 258983274.9},{'peggedUSD': 0},{'peggedUSD': 259060788.6},{'peggedUSD': 259060788.6},{'peggedUSD': 0}
1654387200,{'peggedUSD': 257775171.89},{'peggedUSD': 0},{'peggedUSD': 257830995.68},{'peggedUSD': 257830995.68},{'peggedUSD': 0}
1654473600,{'peggedUSD': 255368975.97},{'peggedUSD': 0},{'peggedUSD': 255470970.34},{'peggedUSD': 255470970.34},{'peggedUSD': 0}
1654560000,{'peggedUSD': 256645260.36},{'peggedUSD': 0},{'peggedUSD': 256729388.68},{'peggedUSD': 256729388.68},{'peggedUSD': 0}
1654646400,{'peggedUSD': 255516215.15},{'peggedUSD': 0},{'peggedUSD': 255599973.37},{'peggedUSD': 255599973.37},{'peggedUSD': 0}
1654732800,{'peggedUSD': 260648211.91},{'peggedUSD': 0},{'peggedUSD': 260804175.98},{'peggedUSD': 260804175.98},{'peggedUSD': 0}
1654819200,{'peggedUSD': 259309047.47},{'peggedUSD': 0},{'peggedUSD': 259556962.48},{'peggedUSD': 259556962.48},{'peggedUSD': 0}
1654905600,{'peggedUSD': 260388843.26},{'peggedUSD': 0},{'peggedUSD': 260519037.68},{'peggedUSD': 260519037.68},{'peggedUSD': 0}
1654992000,{'peggedUSD': 260388843.26},{'peggedUSD': 0},{'peggedUSD': 260499237.72},{'peggedUSD': 260499237.72},{'peggedUSD': 0}
1655078400,{'peggedUSD': 260340010.91},{'peggedUSD': 0},{'peggedUSD': 260526539.32},{'peggedUSD': 260526539.32},{'peggedUSD': 0}
1655164800,{'peggedUSD': 258231658.11},{'peggedUSD': 0},{'peggedUSD': 258322555.65},{'peggedUSD': 258322555.65},{'peggedUSD': 0}
1655251200,{'peggedUSD': 256091630.34},{'peggedUSD': 0},{'peggedUSD': 256190960.6},{'peggedUSD': 256190960.6},{'peggedUSD': 0}
1655337600,{'peggedUSD': 255663294.23},{'peggedUSD': 0},{'peggedUSD': 255794193.84},{'peggedUSD': 255794193.84},{'peggedUSD': 0}
1655424000,{'peggedUSD': 257508030.88},{'peggedUSD': 0},{'peggedUSD': 257763865.11},{'peggedUSD': 257763865.11},{'peggedUSD': 0}
1655510400,{'peggedUSD': 256377913.22},{'peggedUSD': 0},{'peggedUSD': 256485622.71},{'peggedUSD': 256485622.71},{'peggedUSD': 0}
1655596800,{'peggedUSD': 253017697.73},{'peggedUSD': 0},{'peggedUSD': 253083259.68},{'peggedUSD': 253083259.68},{'peggedUSD': 0}
1655683200,{'peggedUSD': 254139518.93},{'peggedUSD': 0},{'peggedUSD': 254291291.05},{'peggedUSD': 254291291.05},{'peggedUSD': 0}
1655769600,{'peggedUSD': 251574733.57},{'peggedUSD': 0},{'peggedUSD': 251589591.58},{'peggedUSD': 251589591.58},{'peggedUSD': 0}
1655856000,{'peggedUSD': 249996115.8},{'peggedUSD': 0},{'peggedUSD': 250033150.23},{'peggedUSD': 250033150.23},{'peggedUSD': 0}
1655942400,{'peggedUSD': 249058579.91},{'peggedUSD': 0},{'peggedUSD': 249248855.69},{'peggedUSD': 249248855.69},{'peggedUSD': 0}
1656028800,{'peggedUSD': 251941473.33},{'peggedUSD': 0},{'peggedUSD': 251944244.69},{'peggedUSD': 251944244.69},{'peggedUSD': 0}
1656115200,{'peggedUSD': 256907336.37},{'peggedUSD': 0},{'peggedUSD': 256905471.22},{'peggedUSD': 256905471.22},{'peggedUSD': 0}
1656201600,{'peggedUSD': 256907336.37},{'peggedUSD': 0},{'peggedUSD': 256984228.74},{'peggedUSD': 256984228.74},{'peggedUSD': 0}
1656288000,{'peggedUSD': 256902169.47},{'peggedUSD': 0},{'peggedUSD': 256953280.16},{'peggedUSD': 256953280.16},{'peggedUSD': 0}
1656374400,{'peggedUSD': 248388026.41},{'peggedUSD': 0},{'peggedUSD': 248448777.16},{'peggedUSD': 248448777.16},{'peggedUSD': 0}
1656460800,{'peggedUSD': 237972158.06},{'peggedUSD': 0},{'peggedUSD': 238059643.77},{'peggedUSD': 238059643.77},{'peggedUSD': 0}
1656547200,{'peggedUSD': 237652601.8},{'peggedUSD': 0},{'peggedUSD': 237687068.56},{'peggedUSD': 237687068.56},{'peggedUSD': 0}
1656633600,{'peggedUSD': 236909800.31},{'peggedUSD': 0},{'peggedUSD': 237140557.57},{'peggedUSD': 237140557.57},{'peggedUSD': 0}
1656720000,{'peggedUSD': 236358187.57},{'peggedUSD': 0},{'peggedUSD': 236524406.47},{'peggedUSD': 236524406.47},{'peggedUSD': 0}
1656806400,{'peggedUSD': 238941392.72},{'peggedUSD': 0},{'peggedUSD': 239050443.18},{'peggedUSD': 239050443.18},{'peggedUSD': 0}
1656892800,{'peggedUSD': 238941392.72},{'peggedUSD': 0},{'peggedUSD': 238986392.55},{'peggedUSD': 238986392.55},{'peggedUSD': 0}
1656979200,{'peggedUSD': 235204113.43},{'peggedUSD': 0},{'peggedUSD': 235204113.43},{'peggedUSD': 235204113.43},{'peggedUSD': 0}
1657065600,{'peggedUSD': 245342977.3},{'peggedUSD': 0},{'peggedUSD': 245473435.98},{'peggedUSD': 245473435.98},{'peggedUSD': 0}
1657152000,{'peggedUSD': 241076046.72},{'peggedUSD': 0},{'peggedUSD': 241250981.15},{'peggedUSD': 241250981.15},{'peggedUSD': 0}
1657238400,{'peggedUSD': 242905842.38},{'peggedUSD': 0},{'peggedUSD': 242974351.55},{'peggedUSD': 242974351.55},{'peggedUSD': 0}
1657324800,{'peggedUSD': 241022209.72},{'peggedUSD': 0},{'peggedUSD': 241062207.36},{'peggedUSD': 241062207.36},{'peggedUSD': 0}
1657411200,{'peggedUSD': 241415980.35},{'peggedUSD': 0},{'peggedUSD': 241415980.35},{'peggedUSD': 241415980.35},{'peggedUSD': 0}
1657497600,{'peggedUSD': 241415980.35},{'peggedUSD': 0},{'peggedUSD': 241512401.9},{'peggedUSD': 241512401.9},{'peggedUSD': 0}
1657584000,{'peggedUSD': 248308782.58},{'peggedUSD': 0},{'peggedUSD': 248407957.11},{'peggedUSD': 248407957.11},{'peggedUSD': 0}
1657670400,{'peggedUSD': 243127751.02},{'peggedUSD': 0},{'peggedUSD': 243286124.44},{'peggedUSD': 243286124.44},{'peggedUSD': 0}
