date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 56829240.99},{'peggedUSD': 0},{'peggedUSD': 56829240.99},{'peggedUSD': 0},{'peggedUSD': 56829240.99}
1652400000,{'peggedUSD': 56829240.99},{'peggedUSD': 0},{'peggedUSD': 56829240.99},{'peggedUSD': 0},{'peggedUSD': 56829240.99}
1652486400,{'peggedUSD': 50458303.28},{'peggedUSD': 0},{'peggedUSD': 50458303.28},{'peggedUSD': 0},{'peggedUSD': 50458303.28}
1652572800,{'peggedUSD': 49963271.44},{'peggedUSD': 0},{'peggedUSD': 49973264.09},{'peggedUSD': 0},{'peggedUSD': 49973264.09}
1652659200,{'peggedUSD': 50185593.9},{'peggedUSD': 0},{'peggedUSD': 50199473.73},{'peggedUSD': 0},{'peggedUSD': 50199473.73}
1652745600,{'peggedUSD': 49204618.9},{'peggedUSD': 0},{'peggedUSD': 49218227.42},{'peggedUSD': 0},{'peggedUSD': 49218227.42}
1652832000,{'peggedUSD': 49226854.11},{'peggedUSD': 0},{'peggedUSD': 49236640.41},{'peggedUSD': 0},{'peggedUSD': 49236640.41}
1652918400,{'peggedUSD': 48365633.15},{'peggedUSD': 0},{'peggedUSD': 48387200.84},{'peggedUSD': 0},{'peggedUSD': 48387200.84}
1653004800,{'peggedUSD': 46331514.59},{'peggedUSD': 0},{'peggedUSD': 46354735.94},{'peggedUSD': 0},{'peggedUSD': 46354735.94}
1653091200,{'peggedUSD': 48391932.86},{'peggedUSD': 0},{'peggedUSD': 48416186.89},{'peggedUSD': 0},{'peggedUSD': 48416186.89}
1653177600,{'peggedUSD': 48101468.01},{'peggedUSD': 0},{'peggedUSD': 48105981.37},{'peggedUSD': 0},{'peggedUSD': 48105981.37}
1653264000,{'peggedUSD': 47791533.83},{'peggedUSD': 0},{'peggedUSD': 47812416.34},{'peggedUSD': 0},{'peggedUSD': 47812416.34}
1653350400,{'peggedUSD': 47238588.97},{'peggedUSD': 0},{'peggedUSD': 47245786.71},{'peggedUSD': 0},{'peggedUSD': 47245786.71}
1653436800,{'peggedUSD': 47913578.2},{'peggedUSD': 0},{'peggedUSD': 47920878.79},{'peggedUSD': 0},{'peggedUSD': 47920878.79}
1653523200,{'peggedUSD': 47843704.85},{'peggedUSD': 0},{'peggedUSD': 47849767.6},{'peggedUSD': 0},{'peggedUSD': 47849767.6}
1653609600,{'peggedUSD': 47611769.06},{'peggedUSD': 0},{'peggedUSD': 47615348.03},{'peggedUSD': 0},{'peggedUSD': 47615348.03}
1653696000,{'peggedUSD': 46971561.33},{'peggedUSD': 0},{'peggedUSD': 46986123.45},{'peggedUSD': 0},{'peggedUSD': 46986123.45}
1653782400,{'peggedUSD': 45781534.77},{'peggedUSD': 0},{'peggedUSD': 45787585.26},{'peggedUSD': 0},{'peggedUSD': 45787585.26}
1653868800,{'peggedUSD': 42777494.63},{'peggedUSD': 0},{'peggedUSD': 42794579.96},{'peggedUSD': 0},{'peggedUSD': 42794579.96}
1653955200,{'peggedUSD': 38383468.97},{'peggedUSD': 0},{'peggedUSD': 38397101.25},{'peggedUSD': 0},{'peggedUSD': 38397101.25}
1654041600,{'peggedUSD': 38107576.26},{'peggedUSD': 0},{'peggedUSD': 38121110.55},{'peggedUSD': 0},{'peggedUSD': 38121110.55}
1654128000,{'peggedUSD': 37800153.11},{'peggedUSD': 0},{'peggedUSD': 37809180.92},{'peggedUSD': 0},{'peggedUSD': 37809180.92}
1654214400,{'peggedUSD': 37146994.63},{'peggedUSD': 0},{'peggedUSD': 37172316.99},{'peggedUSD': 0},{'peggedUSD': 37172316.99}
1654300800,{'peggedUSD': 37421083.3},{'peggedUSD': 0},{'peggedUSD': 37432283.43},{'peggedUSD': 0},{'peggedUSD': 37432283.43}
1654387200,{'peggedUSD': 37755009.12},{'peggedUSD': 0},{'peggedUSD': 37763185.34},{'peggedUSD': 0},{'peggedUSD': 37763185.34}
1654473600,{'peggedUSD': 37806832.19},{'peggedUSD': 0},{'peggedUSD': 37821932.24},{'peggedUSD': 0},{'peggedUSD': 37821932.24}
1654560000,{'peggedUSD': 36922010.22},{'peggedUSD': 0},{'peggedUSD': 36934113.26},{'peggedUSD': 0},{'peggedUSD': 36934113.26}
1654646400,{'peggedUSD': 36408118.22},{'peggedUSD': 0},{'peggedUSD': 36420052.8},{'peggedUSD': 0},{'peggedUSD': 36420052.8}
1654732800,{'peggedUSD': 36674577.54},{'peggedUSD': 0},{'peggedUSD': 36696522.51},{'peggedUSD': 0},{'peggedUSD': 36696522.51}
1654819200,{'peggedUSD': 35489390.21},{'peggedUSD': 0},{'peggedUSD': 35523320.2},{'peggedUSD': 0},{'peggedUSD': 35523320.2}
1654905600,{'peggedUSD': 35686173.72},{'peggedUSD': 0},{'peggedUSD': 35704016.8},{'peggedUSD': 0},{'peggedUSD': 35704016.8}
1654992000,{'peggedUSD': 35331005.57},{'peggedUSD': 0},{'peggedUSD': 35345984.51},{'peggedUSD': 0},{'peggedUSD': 35345984.51}
1655078400,{'peggedUSD': 36076463.95},{'peggedUSD': 0},{'peggedUSD': 36102312.02},{'peggedUSD': 0},{'peggedUSD': 36102312.02}
1655164800,{'peggedUSD': 33789916.49},{'peggedUSD': 0},{'peggedUSD': 33801810.54},{'peggedUSD': 0},{'peggedUSD': 33801810.54}
1655251200,{'peggedUSD': 33568122.98},{'peggedUSD': 0},{'peggedUSD': 33581143.05},{'peggedUSD': 0},{'peggedUSD': 33581143.05}
1655337600,{'peggedUSD': 32265181.41},{'peggedUSD': 0},{'peggedUSD': 32281701.18},{'peggedUSD': 0},{'peggedUSD': 32281701.18}
1655424000,{'peggedUSD': 32414527.57},{'peggedUSD': 0},{'peggedUSD': 32446731.4},{'peggedUSD': 0},{'peggedUSD': 32446731.4}
1655510400,{'peggedUSD': 33379736.01},{'peggedUSD': 0},{'peggedUSD': 33393759.5},{'peggedUSD': 0},{'peggedUSD': 33393759.5}
1655596800,{'peggedUSD': 33559978.36},{'peggedUSD': 0},{'peggedUSD': 33568674.42},{'peggedUSD': 0},{'peggedUSD': 33568674.42}
1655683200,{'peggedUSD': 29349966.18},{'peggedUSD': 0},{'peggedUSD': 29367493.98},{'peggedUSD': 0},{'peggedUSD': 29367493.98}
1655769600,{'peggedUSD': 29327667.36},{'peggedUSD': 0},{'peggedUSD': 29329399.45},{'peggedUSD': 0},{'peggedUSD': 29329399.45}
1655856000,{'peggedUSD': 28963071.25},{'peggedUSD': 0},{'peggedUSD': 28967361.84},{'peggedUSD': 0},{'peggedUSD': 28967361.84}
1655942400,{'peggedUSD': 28970873.53},{'peggedUSD': 0},{'peggedUSD': 28993006.7},{'peggedUSD': 0},{'peggedUSD': 28993006.7}
1656028800,{'peggedUSD': 28655933.52},{'peggedUSD': 0},{'peggedUSD': 28656248.74},{'peggedUSD': 0},{'peggedUSD': 28656248.74}
1656115200,{'peggedUSD': 28044011.04},{'peggedUSD': 0},{'peggedUSD': 28043807.45},{'peggedUSD': 0},{'peggedUSD': 28043807.45}
1656201600,{'peggedUSD': 28894396.69},{'peggedUSD': 0},{'peggedUSD': 28903044.78},{'peggedUSD': 0},{'peggedUSD': 28903044.78}
1656288000,{'peggedUSD': 29165703.99},{'peggedUSD': 0},{'peggedUSD': 29171506.5},{'peggedUSD': 0},{'peggedUSD': 29171506.5}
1656374400,{'peggedUSD': 30084295.26},{'peggedUSD': 0},{'peggedUSD': 30091653.27},{'peggedUSD': 0},{'peggedUSD': 30091653.27}
1656460800,{'peggedUSD': 23890596.58},{'peggedUSD': 0},{'peggedUSD': 23899379.48},{'peggedUSD': 0},{'peggedUSD': 23899379.48}
1656547200,{'peggedUSD': 22805505.78},{'peggedUSD': 0},{'peggedUSD': 22808813.27},{'peggedUSD': 0},{'peggedUSD': 22808813.27}
1656633600,{'peggedUSD': 19578217.91},{'peggedUSD': 0},{'peggedUSD': 19597287.68},{'peggedUSD': 0},{'peggedUSD': 19597287.68}
1656720000,{'peggedUSD': 18892104.47},{'peggedUSD': 0},{'peggedUSD': 18905390.34},{'peggedUSD': 0},{'peggedUSD': 18905390.34}
1656806400,{'peggedUSD': 18980573.56},{'peggedUSD': 0},{'peggedUSD': 18989236.1},{'peggedUSD': 0},{'peggedUSD': 18989236.1}
1656892800,{'peggedUSD': 18978442.37},{'peggedUSD': 0},{'peggedUSD': 18982016.58},{'peggedUSD': 0},{'peggedUSD': 18982016.58}
1656979200,{'peggedUSD': 18060634.69},{'peggedUSD': 0},{'peggedUSD': 18060634.69},{'peggedUSD': 0},{'peggedUSD': 18060634.69}
1657065600,{'peggedUSD': 18142285.11},{'peggedUSD': 0},{'peggedUSD': 18151932.09},{'peggedUSD': 0},{'peggedUSD': 18151932.09}
1657152000,{'peggedUSD': 15914187.37},{'peggedUSD': 0},{'peggedUSD': 15925735.34},{'peggedUSD': 0},{'peggedUSD': 15925735.34}
1657238400,{'peggedUSD': 15868796.85},{'peggedUSD': 0},{'peggedUSD': 15873272.48},{'peggedUSD': 0},{'peggedUSD': 15873272.48}
1657324800,{'peggedUSD': 13264012.86},{'peggedUSD': 0},{'peggedUSD': 13266214.02},{'peggedUSD': 0},{'peggedUSD': 13266214.02}
1657411200,{'peggedUSD': 13311378.03},{'peggedUSD': 0},{'peggedUSD': 13311378.03},{'peggedUSD': 0},{'peggedUSD': 13311378.03}
1657497600,{'peggedUSD': 13215195.29},{'peggedUSD': 0},{'peggedUSD': 13220473.44},{'peggedUSD': 0},{'peggedUSD': 13220473.44}
1657584000,{'peggedUSD': 13696568},{'peggedUSD': 0},{'peggedUSD': 13702038.41},{'peggedUSD': 0},{'peggedUSD': 13702038.41}
1657670400,{'peggedUSD': 13745557.34},{'peggedUSD': 0},{'peggedUSD': 13754511.19},{'peggedUSD': 0},{'peggedUSD': 13754511.19}
1657756800,{'peggedUSD': 13146176.99},{'peggedUSD': 0},{'peggedUSD': 13144862.63},{'peggedUSD': 0},{'peggedUSD': 13144862.63}
1657843200,{'peggedUSD': 13145714.88},{'peggedUSD': 0},{'peggedUSD': 13145988.18},{'peggedUSD': 0},{'peggedUSD': 13145988.18}
1657929600,{'peggedUSD': 13165374.1},{'peggedUSD': 0},{'peggedUSD': 13165647.81},{'peggedUSD': 0},{'peggedUSD': 13165647.81}
1658016000,{'peggedUSD': 13150877.53},{'peggedUSD': 0},{'peggedUSD': 13151243.25},{'peggedUSD': 0},{'peggedUSD': 13151243.25}
1658102400,{'peggedUSD': 12662938.41},{'peggedUSD': 0},{'peggedUSD': 12661019.85},{'peggedUSD': 0},{'peggedUSD': 12661019.85}
1658188800,{'peggedUSD': 12639090.72},{'peggedUSD': 0},{'peggedUSD': 12636217.47},{'peggedUSD': 0},{'peggedUSD': 12636217.47}
1658275200,{'peggedUSD': 12707500.78},{'peggedUSD': 0},{'peggedUSD': 12706230.03},{'peggedUSD': 0},{'peggedUSD': 12706230.03}
1658361600,{'peggedUSD': 12710051.96},{'peggedUSD': 0},{'peggedUSD': 12713167.07},{'peggedUSD': 0},{'peggedUSD': 12713167.07}
1658448000,{'peggedUSD': 13880797.27},{'peggedUSD': 0},{'peggedUSD': 13884215},{'peggedUSD': 0},{'peggedUSD': 13884215}
1658534400,{'peggedUSD': 13879784.48},{'peggedUSD': 0},{'peggedUSD': 13881088.2},{'peggedUSD': 0},{'peggedUSD': 13881088.2}
1658620800,{'peggedUSD': 14176490.13},{'peggedUSD': 0},{'peggedUSD': 14177709.45},{'peggedUSD': 0},{'peggedUSD': 14177709.45}
1658707200,{'peggedUSD': 14158575.14},{'peggedUSD': 0},{'peggedUSD': 14159868.81},{'peggedUSD': 0},{'peggedUSD': 14159868.81}
1658793600,{'peggedUSD': 14106403.73},{'peggedUSD': 0},{'peggedUSD': 14106403.73},{'peggedUSD': 0},{'peggedUSD': 14106403.73}
1658880000,{'peggedUSD': 14518134.59},{'peggedUSD': 0},{'peggedUSD': 14523532.14},{'peggedUSD': 0},{'peggedUSD': 14523532.14}
1658966400,{'peggedUSD': 14508646.38},{'peggedUSD': 0},{'peggedUSD': 14508932.64},{'peggedUSD': 0},{'peggedUSD': 14508932.64}
1659052800,{'peggedUSD': 14530145.27},{'peggedUSD': 0},{'peggedUSD': 14530844.17},{'peggedUSD': 0},{'peggedUSD': 14530844.17}
1659139200,{'peggedUSD': 14408442.32},{'peggedUSD': 0},{'peggedUSD': 14408534.24},{'peggedUSD': 0},{'peggedUSD': 14408534.24}
1659225600,{'peggedUSD': 14058899.39},{'peggedUSD': 0},{'peggedUSD': 14058899.39},{'peggedUSD': 0},{'peggedUSD': 14058899.39}
1659312000,{'peggedUSD': 14067745.87},{'peggedUSD': 0},{'peggedUSD': 14068040.17},{'peggedUSD': 0},{'peggedUSD': 14068040.17}
1659398400,{'peggedUSD': 14420877.54},{'peggedUSD': 0},{'peggedUSD': 14419298.31},{'peggedUSD': 0},{'peggedUSD': 14419298.31}
1659484800,{'peggedUSD': 14310091.31},{'peggedUSD': 0},{'peggedUSD': 14311338.43},{'peggedUSD': 0},{'peggedUSD': 14311338.43}
1659571200,{'peggedUSD': 14310113.45},{'peggedUSD': 0},{'peggedUSD': 14318842.9},{'peggedUSD': 0},{'peggedUSD': 14318842.9}
1659657600,{'peggedUSD': 13295822.07},{'peggedUSD': 0},{'peggedUSD': 13296212.97},{'peggedUSD': 0},{'peggedUSD': 13296212.97}
1659744000,{'peggedUSD': 13256767.57},{'peggedUSD': 0},{'peggedUSD': 13256975.97},{'peggedUSD': 0},{'peggedUSD': 13256975.97}
1659830400,{'peggedUSD': 13266046.44},{'peggedUSD': 0},{'peggedUSD': 13266254.98},{'peggedUSD': 0},{'peggedUSD': 13266254.98}
1659916800,{'peggedUSD': 12824610.74},{'peggedUSD': 0},{'peggedUSD': 12825173.23},{'peggedUSD': 0},{'peggedUSD': 12825173.23}
1660003200,{'peggedUSD': 12974640.7},{'peggedUSD': 0},{'peggedUSD': 12973879.74},{'peggedUSD': 0},{'peggedUSD': 12973879.74}
1660089600,{'peggedUSD': 12723107.5},{'peggedUSD': 0},{'peggedUSD': 12722471.35},{'peggedUSD': 0},{'peggedUSD': 12722471.35}
1660176000,{'peggedUSD': 12764623.93},{'peggedUSD': 0},{'peggedUSD': 12763347.47},{'peggedUSD': 0},{'peggedUSD': 12763347.47}
1660262400,{'peggedUSD': 12742056.87},{'peggedUSD': 0},{'peggedUSD': 12741669.64},{'peggedUSD': 0},{'peggedUSD': 12741669.64}
1660348800,{'peggedUSD': 12709036.35},{'peggedUSD': 0},{'peggedUSD': 12709038.51},{'peggedUSD': 0},{'peggedUSD': 12709038.51}
1660435200,{'peggedUSD': 12144012.85},{'peggedUSD': 0},{'peggedUSD': 12144012.85},{'peggedUSD': 0},{'peggedUSD': 12144012.85}
1660521600,{'peggedUSD': 11671816.84},{'peggedUSD': 0},{'peggedUSD': 11670111.24},{'peggedUSD': 0},{'peggedUSD': 11670111.24}
1660608000,{'peggedUSD': 11649547.31},{'peggedUSD': 0},{'peggedUSD': 11648315.25},{'peggedUSD': 0},{'peggedUSD': 11648315.25}
1660694400,{'peggedUSD': 11651500.89},{'peggedUSD': 0},{'peggedUSD': 11653590.35},{'peggedUSD': 0},{'peggedUSD': 11653590.35}
1660780800,{'peggedUSD': 11690811.59},{'peggedUSD': 0},{'peggedUSD': 11691653.79},{'peggedUSD': 0},{'peggedUSD': 11691653.79}
1660867200,{'peggedUSD': 11418617.79},{'peggedUSD': 0},{'peggedUSD': 11418617.79},{'peggedUSD': 0},{'peggedUSD': 11418617.79}
1660953600,{'peggedUSD': 11298555.14},{'peggedUSD': 0},{'peggedUSD': 11298824.95},{'peggedUSD': 0},{'peggedUSD': 11298824.95}
1661040000,{'peggedUSD': 11288920.05},{'peggedUSD': 0},{'peggedUSD': 11288982.59},{'peggedUSD': 0},{'peggedUSD': 11288982.59}
1661126400,{'peggedUSD': 11288535.61},{'peggedUSD': 0},{'peggedUSD': 11287495.38},{'peggedUSD': 0},{'peggedUSD': 11287495.38}
1661212800,{'peggedUSD': 11221118.66},{'peggedUSD': 0},{'peggedUSD': 11221764.32},{'peggedUSD': 0},{'peggedUSD': 11221764.32}
1661299200,{'peggedUSD': 11209070.88},{'peggedUSD': 0},{'peggedUSD': 11209070.88},{'peggedUSD': 0},{'peggedUSD': 11209070.88}
1661385600,{'peggedUSD': 11161961.84},{'peggedUSD': 0},{'peggedUSD': 11163409.55},{'peggedUSD': 0},{'peggedUSD': 11163409.55}
1661472000,{'peggedUSD': 11156587.6},{'peggedUSD': 0},{'peggedUSD': 11156403.85},{'peggedUSD': 0},{'peggedUSD': 11156403.85}
1661558400,{'peggedUSD': 11155542.03},{'peggedUSD': 0},{'peggedUSD': 11155081.86},{'peggedUSD': 0},{'peggedUSD': 11155081.86}
1661644800,{'peggedUSD': 11159541.36},{'peggedUSD': 0},{'peggedUSD': 11160567.93},{'peggedUSD': 0},{'peggedUSD': 11160567.93}
1661731200,{'peggedUSD': 11125583.9},{'peggedUSD': 0},{'peggedUSD': 11125852.81},{'peggedUSD': 0},{'peggedUSD': 11125852.81}
1661817600,{'peggedUSD': 11593314.38},{'peggedUSD': 0},{'peggedUSD': 11593221.17},{'peggedUSD': 0},{'peggedUSD': 11593221.17}
1661904000,{'peggedUSD': 11596240.75},{'peggedUSD': 0},{'peggedUSD': 11596794.82},{'peggedUSD': 0},{'peggedUSD': 11596794.82}
1661990400,{'peggedUSD': 11595018.94},{'peggedUSD': 0},{'peggedUSD': 11595058.71},{'peggedUSD': 0},{'peggedUSD': 11595058.71}
1662076800,{'peggedUSD': 11678817.28},{'peggedUSD': 0},{'peggedUSD': 11678817.28},{'peggedUSD': 0},{'peggedUSD': 11678817.28}
1662163200,{'peggedUSD': 11715674.09},{'peggedUSD': 0},{'peggedUSD': 11715674.09},{'peggedUSD': 0},{'peggedUSD': 11715674.09}
1662249600,{'peggedUSD': 11559549.41},{'peggedUSD': 0},{'peggedUSD': 11559549.41},{'peggedUSD': 0},{'peggedUSD': 11559549.41}
1662336000,{'peggedUSD': 11547516.9},{'peggedUSD': 0},{'peggedUSD': 11551758.3},{'peggedUSD': 0},{'peggedUSD': 11551758.3}
1662422400,{'peggedUSD': 11552114.94},{'peggedUSD': 0},{'peggedUSD': 11551098.59},{'peggedUSD': 0},{'peggedUSD': 11551098.59}
1662508800,{'peggedUSD': 11504351.91},{'peggedUSD': 0},{'peggedUSD': 11504040.95},{'peggedUSD': 0},{'peggedUSD': 11504040.95}
1662595200,{'peggedUSD': 11358608.55},{'peggedUSD': 0},{'peggedUSD': 11358574.48},{'peggedUSD': 0},{'peggedUSD': 11358574.48}
1662681600,{'peggedUSD': 11356334.55},{'peggedUSD': 0},{'peggedUSD': 11356334.55},{'peggedUSD': 0},{'peggedUSD': 11356334.55}
