date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 493846898.25},{'peggedUSD': 0},{'peggedUSD': 493846898.25},{'peggedUSD': 0},{'peggedUSD': 493846898.25}
1652400000,{'peggedUSD': 493846898.25},{'peggedUSD': 0},{'peggedUSD': 493846898.25},{'peggedUSD': 0},{'peggedUSD': 493846898.25}
1652486400,{'peggedUSD': 474275010.22},{'peggedUSD': 0},{'peggedUSD': 474275010.22},{'peggedUSD': 0},{'peggedUSD': 474275010.22}
1652572800,{'peggedUSD': 469087940.2},{'peggedUSD': 0},{'peggedUSD': 469181757.78},{'peggedUSD': 0},{'peggedUSD': 469181757.78}
1652659200,{'peggedUSD': 454487742.51},{'peggedUSD': 0},{'peggedUSD': 454613440.19},{'peggedUSD': 0},{'peggedUSD': 454613440.19}
1652745600,{'peggedUSD': 241227897.99},{'peggedUSD': 0},{'peggedUSD': 241294614.39},{'peggedUSD': 0},{'peggedUSD': 241294614.39}
1652832000,{'peggedUSD': 244108609.33},{'peggedUSD': 0},{'peggedUSD': 244157138.12},{'peggedUSD': 0},{'peggedUSD': 244157138.12}
1652918400,{'peggedUSD': 231841894.48},{'peggedUSD': 0},{'peggedUSD': 231945279.74},{'peggedUSD': 0},{'peggedUSD': 231945279.74}
1653004800,{'peggedUSD': 230866553.18},{'peggedUSD': 0},{'peggedUSD': 230982263.5},{'peggedUSD': 0},{'peggedUSD': 230982263.5}
1653091200,{'peggedUSD': 221475614.64},{'peggedUSD': 0},{'peggedUSD': 221586618.22},{'peggedUSD': 0},{'peggedUSD': 221586618.22}
1653177600,{'peggedUSD': 219131310.99},{'peggedUSD': 0},{'peggedUSD': 219151872.08},{'peggedUSD': 0},{'peggedUSD': 219151872.08}
1653264000,{'peggedUSD': 218617997.19},{'peggedUSD': 0},{'peggedUSD': 218713522.32},{'peggedUSD': 0},{'peggedUSD': 218713522.32}
1653350400,{'peggedUSD': 220058553.71},{'peggedUSD': 0},{'peggedUSD': 220092084.04},{'peggedUSD': 0},{'peggedUSD': 220092084.04}
1653436800,{'peggedUSD': 219338855.8},{'peggedUSD': 0},{'peggedUSD': 219372276.47},{'peggedUSD': 0},{'peggedUSD': 219372276.47}
1653523200,{'peggedUSD': 236679114.32},{'peggedUSD': 0},{'peggedUSD': 236709106.3},{'peggedUSD': 0},{'peggedUSD': 236709106.3}
1653609600,{'peggedUSD': 236929325.98},{'peggedUSD': 0},{'peggedUSD': 236947135.95},{'peggedUSD': 0},{'peggedUSD': 236947135.95}
1653696000,{'peggedUSD': 226905618.46},{'peggedUSD': 0},{'peggedUSD': 226975963.74},{'peggedUSD': 0},{'peggedUSD': 226975963.74}
1653782400,{'peggedUSD': 227068187.22},{'peggedUSD': 0},{'peggedUSD': 227098196.55},{'peggedUSD': 0},{'peggedUSD': 227098196.55}
1653868800,{'peggedUSD': 226868744.46},{'peggedUSD': 0},{'peggedUSD': 226959355.84},{'peggedUSD': 0},{'peggedUSD': 226959355.84}
1653955200,{'peggedUSD': 226430153.47},{'peggedUSD': 0},{'peggedUSD': 226510572.4},{'peggedUSD': 0},{'peggedUSD': 226510572.4}
1654041600,{'peggedUSD': 224923787.77},{'peggedUSD': 0},{'peggedUSD': 225003671.7},{'peggedUSD': 0},{'peggedUSD': 225003671.7}
1654128000,{'peggedUSD': 223744567.35},{'peggedUSD': 0},{'peggedUSD': 223798004.27},{'peggedUSD': 0},{'peggedUSD': 223798004.27}
1654214400,{'peggedUSD': 222725471.16},{'peggedUSD': 0},{'peggedUSD': 222877298.66},{'peggedUSD': 0},{'peggedUSD': 222877298.66}
1654300800,{'peggedUSD': 222879087.09},{'peggedUSD': 0},{'peggedUSD': 222945794.8},{'peggedUSD': 0},{'peggedUSD': 222945794.8}
1654387200,{'peggedUSD': 221022377.24},{'peggedUSD': 0},{'peggedUSD': 221070241.85},{'peggedUSD': 0},{'peggedUSD': 221070241.85}
1654473600,{'peggedUSD': 221660928.05},{'peggedUSD': 0},{'peggedUSD': 221749459.42},{'peggedUSD': 0},{'peggedUSD': 221749459.42}
1654560000,{'peggedUSD': 205143585.76},{'peggedUSD': 0},{'peggedUSD': 205210831.82},{'peggedUSD': 0},{'peggedUSD': 205210831.82}
1654646400,{'peggedUSD': 205099377.95},{'peggedUSD': 0},{'peggedUSD': 205166609.52},{'peggedUSD': 0},{'peggedUSD': 205166609.52}
