date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24015673.97},{'peggedUSD': 0},{'peggedUSD': 24015673.97}
1609459200,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24035774.6},{'peggedUSD': 0},{'peggedUSD': 24035774.6}
1609545600,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23987586.7},{'peggedUSD': 0},{'peggedUSD': 23987586.7}
1609632000,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24062430.23},{'peggedUSD': 0},{'peggedUSD': 24062430.23}
1609718400,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23917533.8},{'peggedUSD': 0},{'peggedUSD': 23917533.8}
1609804800,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23541463.66},{'peggedUSD': 0},{'peggedUSD': 23541463.66}
1609891200,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23999215.49},{'peggedUSD': 0},{'peggedUSD': 23999215.49}
1609977600,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24006185.27},{'peggedUSD': 0},{'peggedUSD': 24006185.27}
1610064000,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24091933.18},{'peggedUSD': 0},{'peggedUSD': 24091933.18}
1610150400,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24033471.5},{'peggedUSD': 0},{'peggedUSD': 24033471.5}
1610236800,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23967635.87},{'peggedUSD': 0},{'peggedUSD': 23967635.87}
1610323200,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24042596.52},{'peggedUSD': 0},{'peggedUSD': 24042596.52}
1610409600,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24089653.77},{'peggedUSD': 0},{'peggedUSD': 24089653.77}
1610496000,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24073503.02},{'peggedUSD': 0},{'peggedUSD': 24073503.02}
1610582400,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24055969.93},{'peggedUSD': 0},{'peggedUSD': 24055969.93}
1610668800,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24089365.41},{'peggedUSD': 0},{'peggedUSD': 24089365.41}
1610755200,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24040809.61},{'peggedUSD': 0},{'peggedUSD': 24040809.61}
1610841600,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24010694.27},{'peggedUSD': 0},{'peggedUSD': 24010694.27}
1610928000,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23945193.76},{'peggedUSD': 0},{'peggedUSD': 23945193.76}
1611014400,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23989705.83},{'peggedUSD': 0},{'peggedUSD': 23989705.83}
1611100800,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23866357.48},{'peggedUSD': 0},{'peggedUSD': 23866357.48}
1611187200,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24036536.26},{'peggedUSD': 0},{'peggedUSD': 24036536.26}
1611273600,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24033345.53},{'peggedUSD': 0},{'peggedUSD': 24033345.53}
1611360000,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24033345.53},{'peggedUSD': 0},{'peggedUSD': 24033345.53}
1611446400,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23992034.92},{'peggedUSD': 0},{'peggedUSD': 23992034.92}
1611532800,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24019361.44},{'peggedUSD': 0},{'peggedUSD': 24019361.44}
1611619200,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23976959.48},{'peggedUSD': 0},{'peggedUSD': 23976959.48}
1611705600,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23996816.01},{'peggedUSD': 0},{'peggedUSD': 23996816.01}
1611792000,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 24013208.94},{'peggedUSD': 0},{'peggedUSD': 24013208.94}
1611878400,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23825868.5},{'peggedUSD': 0},{'peggedUSD': 23825868.5}
1611964800,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23947111.1},{'peggedUSD': 0},{'peggedUSD': 23947111.1}
1612051200,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23916114.47},{'peggedUSD': 0},{'peggedUSD': 23916114.47}
1612137600,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23934646.52},{'peggedUSD': 0},{'peggedUSD': 23934646.52}
1612224000,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23956268.43},{'peggedUSD': 0},{'peggedUSD': 23956268.43}
1612310400,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23975381.72},{'peggedUSD': 0},{'peggedUSD': 23975381.72}
1612396800,{'peggedUSD': 24000000},{'peggedUSD': 0},{'peggedUSD': 23992216.7},{'peggedUSD': 0},{'peggedUSD': 23992216.7}
1612483200,{'peggedUSD': 29000000},{'peggedUSD': 0},{'peggedUSD': 28858458.07},{'peggedUSD': 0},{'peggedUSD': 28858458.07}
1612569600,{'peggedUSD': 29000000},{'peggedUSD': 0},{'peggedUSD': 29028105.56},{'peggedUSD': 0},{'peggedUSD': 29028105.56}
1612656000,{'peggedUSD': 29000000},{'peggedUSD': 0},{'peggedUSD': 29016956.13},{'peggedUSD': 0},{'peggedUSD': 29016956.13}
1612742400,{'peggedUSD': 34000000},{'peggedUSD': 0},{'peggedUSD': 33853402.31},{'peggedUSD': 0},{'peggedUSD': 33853402.31}
1612828800,{'peggedUSD': 34000000},{'peggedUSD': 0},{'peggedUSD': 34076534.26},{'peggedUSD': 0},{'peggedUSD': 34076534.26}
1612915200,{'peggedUSD': 49000000},{'peggedUSD': 0},{'peggedUSD': 49076071.86},{'peggedUSD': 0},{'peggedUSD': 49076071.86}
1613001600,{'peggedUSD': 49000000},{'peggedUSD': 0},{'peggedUSD': 48842151.08},{'peggedUSD': 0},{'peggedUSD': 48842151.08}
1613088000,{'peggedUSD': 54000000},{'peggedUSD': 0},{'peggedUSD': 53831695.09},{'peggedUSD': 0},{'peggedUSD': 53831695.09}
1613174400,{'peggedUSD': 54000000},{'peggedUSD': 0},{'peggedUSD': 53951205.75},{'peggedUSD': 0},{'peggedUSD': 53951205.75}
1613260800,{'peggedUSD': 59000000},{'peggedUSD': 0},{'peggedUSD': 58962016.38},{'peggedUSD': 0},{'peggedUSD': 58962016.38}
1613347200,{'peggedUSD': 69000000},{'peggedUSD': 0},{'peggedUSD': 68749433.25},{'peggedUSD': 0},{'peggedUSD': 68749433.25}
1613433600,{'peggedUSD': 69000000},{'peggedUSD': 0},{'peggedUSD': 68954759.65},{'peggedUSD': 0},{'peggedUSD': 68954759.65}
1613520000,{'peggedUSD': 79000000},{'peggedUSD': 0},{'peggedUSD': 79117286.91},{'peggedUSD': 0},{'peggedUSD': 79117286.91}
1613606400,{'peggedUSD': 89000000},{'peggedUSD': 0},{'peggedUSD': 88917884.35},{'peggedUSD': 0},{'peggedUSD': 88917884.35}
1613692800,{'peggedUSD': 109000000},{'peggedUSD': 0},{'peggedUSD': 109223017.8},{'peggedUSD': 0},{'peggedUSD': 109223017.8}
1613779200,{'peggedUSD': 119000000},{'peggedUSD': 0},{'peggedUSD': 119600505.56},{'peggedUSD': 0},{'peggedUSD': 119600505.56}
1613865600,{'peggedUSD': 129000000},{'peggedUSD': 0},{'peggedUSD': 130130647.39},{'peggedUSD': 0},{'peggedUSD': 130130647.39}
1613952000,{'peggedUSD': 139000000},{'peggedUSD': 0},{'peggedUSD': 139361958.98},{'peggedUSD': 0},{'peggedUSD': 139361958.98}
1614038400,{'peggedUSD': 139000000},{'peggedUSD': 0},{'peggedUSD': 139774785.96},{'peggedUSD': 0},{'peggedUSD': 139774785.96}
1614124800,{'peggedUSD': 139000000},{'peggedUSD': 0},{'peggedUSD': 139833650.79},{'peggedUSD': 0},{'peggedUSD': 139833650.79}
1614211200,{'peggedUSD': 159000000},{'peggedUSD': 0},{'peggedUSD': 159789564.62},{'peggedUSD': 0},{'peggedUSD': 159789564.62}
1614297600,{'peggedUSD': 159000000},{'peggedUSD': 0},{'peggedUSD': 157835289.57},{'peggedUSD': 0},{'peggedUSD': 157835289.57}
1614384000,{'peggedUSD': 159000000},{'peggedUSD': 0},{'peggedUSD': 160114289.58},{'peggedUSD': 0},{'peggedUSD': 160114289.58}
1614470400,{'peggedUSD': 179000000},{'peggedUSD': 0},{'peggedUSD': 180626113.45},{'peggedUSD': 0},{'peggedUSD': 180626113.45}
1614556800,{'peggedUSD': 179000000},{'peggedUSD': 0},{'peggedUSD': 178505108.25},{'peggedUSD': 0},{'peggedUSD': 178505108.25}
1614643200,{'peggedUSD': 179000000},{'peggedUSD': 0},{'peggedUSD': 179466093.22},{'peggedUSD': 0},{'peggedUSD': 179466093.22}
1614729600,{'peggedUSD': 209000000},{'peggedUSD': 0},{'peggedUSD': 210287997.54},{'peggedUSD': 0},{'peggedUSD': 210287997.54}
1614816000,{'peggedUSD': 209000000},{'peggedUSD': 0},{'peggedUSD': 208352736.84},{'peggedUSD': 0},{'peggedUSD': 208352736.84}
1614902400,{'peggedUSD': 209000000},{'peggedUSD': 0},{'peggedUSD': 210991673.96},{'peggedUSD': 0},{'peggedUSD': 210991673.96}
1614988800,{'peggedUSD': 209000000},{'peggedUSD': 0},{'peggedUSD': 209936341.27},{'peggedUSD': 0},{'peggedUSD': 209936341.27}
1615075200,{'peggedUSD': 209000000},{'peggedUSD': 0},{'peggedUSD': 209009394.96},{'peggedUSD': 0},{'peggedUSD': 209009394.96}
1615161600,{'peggedUSD': 209000000},{'peggedUSD': 0},{'peggedUSD': 209507252.91},{'peggedUSD': 0},{'peggedUSD': 209507252.91}
1615248000,{'peggedUSD': 209000000},{'peggedUSD': 0},{'peggedUSD': 209764907.64},{'peggedUSD': 0},{'peggedUSD': 209764907.64}
1615334400,{'peggedUSD': 209000000},{'peggedUSD': 0},{'peggedUSD': 209374023.56},{'peggedUSD': 0},{'peggedUSD': 209374023.56}
1615420800,{'peggedUSD': 219000000},{'peggedUSD': 0},{'peggedUSD': 218538752.39},{'peggedUSD': 0},{'peggedUSD': 218538752.39}
1615507200,{'peggedUSD': 279000000},{'peggedUSD': 0},{'peggedUSD': 278758929.12},{'peggedUSD': 0},{'peggedUSD': 278758929.12}
1615593600,{'peggedUSD': 279000000},{'peggedUSD': 0},{'peggedUSD': 279362837.79},{'peggedUSD': 0},{'peggedUSD': 279362837.79}
1615680000,{'peggedUSD': 329000000},{'peggedUSD': 0},{'peggedUSD': 329064049.52},{'peggedUSD': 0},{'peggedUSD': 329064049.52}
1615766400,{'peggedUSD': 329000000},{'peggedUSD': 0},{'peggedUSD': 327064742.94},{'peggedUSD': 0},{'peggedUSD': 327064742.94}
1615852800,{'peggedUSD': 329000000},{'peggedUSD': 0},{'peggedUSD': 328846260.26},{'peggedUSD': 0},{'peggedUSD': 328846260.26}
1615939200,{'peggedUSD': 329000000},{'peggedUSD': 0},{'peggedUSD': 331014704.85},{'peggedUSD': 0},{'peggedUSD': 331014704.85}
1616025600,{'peggedUSD': 329000000},{'peggedUSD': 0},{'peggedUSD': 330309413.83},{'peggedUSD': 0},{'peggedUSD': 330309413.83}
1616112000,{'peggedUSD': 329000000},{'peggedUSD': 0},{'peggedUSD': 330229829.02},{'peggedUSD': 0},{'peggedUSD': 330229829.02}
1616198400,{'peggedUSD': 329000000},{'peggedUSD': 0},{'peggedUSD': 329307665.06},{'peggedUSD': 0},{'peggedUSD': 329307665.06}
1616284800,{'peggedUSD': 429000000},{'peggedUSD': 0},{'peggedUSD': 429300588.05},{'peggedUSD': 0},{'peggedUSD': 429300588.05}
1616371200,{'peggedUSD': 429000000},{'peggedUSD': 0},{'peggedUSD': 430617966.26},{'peggedUSD': 0},{'peggedUSD': 430617966.26}
1616457600,{'peggedUSD': 429000000},{'peggedUSD': 0},{'peggedUSD': 429597484.04},{'peggedUSD': 0},{'peggedUSD': 429597484.04}
1616544000,{'peggedUSD': 529000000},{'peggedUSD': 0},{'peggedUSD': 528647663.86},{'peggedUSD': 0},{'peggedUSD': 528647663.86}
1616630400,{'peggedUSD': 529000000},{'peggedUSD': 0},{'peggedUSD': 529164955.49},{'peggedUSD': 0},{'peggedUSD': 529164955.49}
1616716800,{'peggedUSD': 529000000},{'peggedUSD': 0},{'peggedUSD': 528974653.72},{'peggedUSD': 0},{'peggedUSD': 528974653.72}
1616803200,{'peggedUSD': 579000000},{'peggedUSD': 0},{'peggedUSD': 580763635.79},{'peggedUSD': 0},{'peggedUSD': 580763635.79}
1616889600,{'peggedUSD': 1079000000},{'peggedUSD': 0},{'peggedUSD': 1079062762.67},{'peggedUSD': 0},{'peggedUSD': 1079062762.67}
1616976000,{'peggedUSD': 1279000000},{'peggedUSD': 0},{'peggedUSD': 1280717132.41},{'peggedUSD': 0},{'peggedUSD': 1280717132.41}
1617062400,{'peggedUSD': 1279000000},{'peggedUSD': 0},{'peggedUSD': 1283496693.66},{'peggedUSD': 0},{'peggedUSD': 1283496693.66}
1617148800,{'peggedUSD': 1279000000},{'peggedUSD': 0},{'peggedUSD': 1279886282.46},{'peggedUSD': 0},{'peggedUSD': 1279886282.46}
1617235200,{'peggedUSD': 1279000000},{'peggedUSD': 0},{'peggedUSD': 1277761459.17},{'peggedUSD': 0},{'peggedUSD': 1277761459.17}
1617321600,{'peggedUSD': 1279000000},{'peggedUSD': 0},{'peggedUSD': 1278638619.76},{'peggedUSD': 0},{'peggedUSD': 1278638619.76}
1617408000,{'peggedUSD': 1279000000},{'peggedUSD': 0},{'peggedUSD': 1277565313.26},{'peggedUSD': 0},{'peggedUSD': 1277565313.26}
1617494400,{'peggedUSD': 1279000000},{'peggedUSD': 0},{'peggedUSD': 1273204089.66},{'peggedUSD': 0},{'peggedUSD': 1273204089.66}
1617580800,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1379576664.14},{'peggedUSD': 0},{'peggedUSD': 1379576664.14}
1617667200,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1378352654.1},{'peggedUSD': 0},{'peggedUSD': 1378352654.1}
1617753600,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1378802389.97},{'peggedUSD': 0},{'peggedUSD': 1378802389.97}
1617840000,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1376980967.29},{'peggedUSD': 0},{'peggedUSD': 1376980967.29}
1617926400,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1380853899.72},{'peggedUSD': 0},{'peggedUSD': 1380853899.72}
1618012800,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1380705322.52},{'peggedUSD': 0},{'peggedUSD': 1380705322.52}
1618099200,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1381089986.84},{'peggedUSD': 0},{'peggedUSD': 1381089986.84}
1618185600,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1381409960.91},{'peggedUSD': 0},{'peggedUSD': 1381409960.91}
1618272000,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1379216245.29},{'peggedUSD': 0},{'peggedUSD': 1379216245.29}
1618358400,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1380844559.98},{'peggedUSD': 0},{'peggedUSD': 1380844559.98}
1618444800,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1378901039.77},{'peggedUSD': 0},{'peggedUSD': 1378901039.77}
1618531200,{'peggedUSD': 1379000000},{'peggedUSD': 0},{'peggedUSD': 1378853593.08},{'peggedUSD': 0},{'peggedUSD': 1378853593.08}
1618617600,{'peggedUSD': 1479000000},{'peggedUSD': 0},{'peggedUSD': 1476920033.54},{'peggedUSD': 0},{'peggedUSD': 1476920033.54}
1618704000,{'peggedUSD': 1679000000},{'peggedUSD': 0},{'peggedUSD': 1679409070.47},{'peggedUSD': 0},{'peggedUSD': 1679409070.47}
1618790400,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1778643346.26},{'peggedUSD': 0},{'peggedUSD': 1778643346.26}
1618876800,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1778149496.14},{'peggedUSD': 0},{'peggedUSD': 1778149496.14}
1618963200,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1776357273.91},{'peggedUSD': 0},{'peggedUSD': 1776357273.91}
1619049600,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1778147587.37},{'peggedUSD': 0},{'peggedUSD': 1778147587.37}
1619136000,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1783624420.43},{'peggedUSD': 0},{'peggedUSD': 1783624420.43}
1619222400,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1781104637.17},{'peggedUSD': 0},{'peggedUSD': 1781104637.17}
1619308800,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1775990617.06},{'peggedUSD': 0},{'peggedUSD': 1775990617.06}
1619395200,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1778269445.24},{'peggedUSD': 0},{'peggedUSD': 1778269445.24}
1619481600,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1780416718.35},{'peggedUSD': 0},{'peggedUSD': 1780416718.35}
1619568000,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1776475542.15},{'peggedUSD': 0},{'peggedUSD': 1776475542.15}
1619654400,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1780070339.39},{'peggedUSD': 0},{'peggedUSD': 1780070339.39}
1619740800,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1781616686.88},{'peggedUSD': 0},{'peggedUSD': 1781616686.88}
1619827200,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1780114635.09},{'peggedUSD': 0},{'peggedUSD': 1780114635.09}
1619913600,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1778714344.34},{'peggedUSD': 0},{'peggedUSD': 1778714344.34}
1620000000,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1778240140.51},{'peggedUSD': 0},{'peggedUSD': 1778240140.51}
1620086400,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1778951429.37},{'peggedUSD': 0},{'peggedUSD': 1778951429.37}
1620172800,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1765806684.89},{'peggedUSD': 0},{'peggedUSD': 1765806684.89}
1620259200,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1779799684.92},{'peggedUSD': 0},{'peggedUSD': 1779799684.92}
1620345600,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1773840294.86},{'peggedUSD': 0},{'peggedUSD': 1773840294.86}
1620432000,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1783401479.2},{'peggedUSD': 0},{'peggedUSD': 1783401479.2}
1620518400,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1781272488.2},{'peggedUSD': 0},{'peggedUSD': 1781272488.2}
1620604800,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1777629498.01},{'peggedUSD': 0},{'peggedUSD': 1777629498.01}
1620691200,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1777270354.51},{'peggedUSD': 0},{'peggedUSD': 1777270354.51}
1620777600,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1782203738.55},{'peggedUSD': 0},{'peggedUSD': 1782203738.55}
1620864000,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1765330971.66},{'peggedUSD': 0},{'peggedUSD': 1765330971.66}
1620950400,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1789464137.04},{'peggedUSD': 0},{'peggedUSD': 1789464137.04}
1621036800,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1779142367.96},{'peggedUSD': 0},{'peggedUSD': 1779142367.96}
1621123200,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1787465922.86},{'peggedUSD': 0},{'peggedUSD': 1787465922.86}
1621209600,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1798548952.95},{'peggedUSD': 0},{'peggedUSD': 1798548952.95}
1621296000,{'peggedUSD': 1779000000},{'peggedUSD': 0},{'peggedUSD': 1781825213.39},{'peggedUSD': 0},{'peggedUSD': 1781825213.39}
