date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89857.01}
1652400000,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89857.01}
1652486400,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89857.01}
1652572800,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89874.98},{'peggedUSD': 0},{'peggedUSD': 89874.98}
1652659200,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89881.86},{'peggedUSD': 0},{'peggedUSD': 89881.86}
1652745600,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89881.86},{'peggedUSD': 0},{'peggedUSD': 89881.86}
1652832000,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89874.87},{'peggedUSD': 0},{'peggedUSD': 89874.87}
1652918400,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89897.08},{'peggedUSD': 0},{'peggedUSD': 89897.08}
1653004800,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89902.04},{'peggedUSD': 0},{'peggedUSD': 89902.04}
1653091200,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89902.04},{'peggedUSD': 0},{'peggedUSD': 89902.04}
1653177600,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89865.44},{'peggedUSD': 0},{'peggedUSD': 89865.44}
1653264000,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89896.27},{'peggedUSD': 0},{'peggedUSD': 89896.27}
1653350400,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89870.7},{'peggedUSD': 0},{'peggedUSD': 89870.7}
1653436800,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89870.7},{'peggedUSD': 0},{'peggedUSD': 89870.7}
1653523200,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89868.39},{'peggedUSD': 0},{'peggedUSD': 89868.39}
1653609600,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89863.76},{'peggedUSD': 0},{'peggedUSD': 89863.76}
1653696000,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89884.86},{'peggedUSD': 0},{'peggedUSD': 89884.86}
1653782400,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89868.88},{'peggedUSD': 0},{'peggedUSD': 89868.88}
1653868800,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89892.9},{'peggedUSD': 0},{'peggedUSD': 89892.9}
1653955200,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89888.92},{'peggedUSD': 0},{'peggedUSD': 89888.92}
1654041600,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89888.92},{'peggedUSD': 0},{'peggedUSD': 89888.92}
1654128000,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89878.47},{'peggedUSD': 0},{'peggedUSD': 89878.47}
1654214400,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89918.26},{'peggedUSD': 0},{'peggedUSD': 89918.26}
1654300800,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89883.9},{'peggedUSD': 0},{'peggedUSD': 89883.9}
1654387200,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89876.47},{'peggedUSD': 0},{'peggedUSD': 89876.47}
1654473600,{'peggedUSD': 89857.01},{'peggedUSD': 0},{'peggedUSD': 89892.9},{'peggedUSD': 0},{'peggedUSD': 89892.9}
1654560000,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81439.9},{'peggedUSD': 0},{'peggedUSD': 81439.9}
1654646400,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81439.9},{'peggedUSD': 0},{'peggedUSD': 81439.9}
1654732800,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81461.93},{'peggedUSD': 0},{'peggedUSD': 81461.93}
1654819200,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81491.05},{'peggedUSD': 0},{'peggedUSD': 81491.05}
1654905600,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81453.92},{'peggedUSD': 0},{'peggedUSD': 81453.92}
1654992000,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81447.73},{'peggedUSD': 0},{'peggedUSD': 81447.73}
1655078400,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81471.54},{'peggedUSD': 0},{'peggedUSD': 81471.54}
1655164800,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81441.87},{'peggedUSD': 0},{'peggedUSD': 81441.87}
1655251200,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81444.79},{'peggedUSD': 0},{'peggedUSD': 81444.79}
1655337600,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81454.89},{'peggedUSD': 0},{'peggedUSD': 81454.89}
1655424000,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81494.1},{'peggedUSD': 0},{'peggedUSD': 81494.1}
1655510400,{'peggedUSD': 81413.21},{'peggedUSD': 0},{'peggedUSD': 81447.41},{'peggedUSD': 0},{'peggedUSD': 81447.41}
1655596800,{'peggedUSD': 77584.64},{'peggedUSD': 0},{'peggedUSD': 77604.74},{'peggedUSD': 0},{'peggedUSD': 77604.74}
1655683200,{'peggedUSD': 77584.64},{'peggedUSD': 0},{'peggedUSD': 77630.97},{'peggedUSD': 0},{'peggedUSD': 77630.97}
1655769600,{'peggedUSD': 77584.64},{'peggedUSD': 0},{'peggedUSD': 77589.22},{'peggedUSD': 0},{'peggedUSD': 77589.22}
1655856000,{'peggedUSD': 77584.64},{'peggedUSD': 0},{'peggedUSD': 77596.13},{'peggedUSD': 0},{'peggedUSD': 77596.13}
1655942400,{'peggedUSD': 76044.69},{'peggedUSD': 0},{'peggedUSD': 76102.78},{'peggedUSD': 0},{'peggedUSD': 76102.78}
1656028800,{'peggedUSD': 76044.69},{'peggedUSD': 0},{'peggedUSD': 76045.52},{'peggedUSD': 0},{'peggedUSD': 76045.52}
1656115200,{'peggedUSD': 76044.69},{'peggedUSD': 0},{'peggedUSD': 76044.14},{'peggedUSD': 0},{'peggedUSD': 76044.14}
1656201600,{'peggedUSD': 76044.69},{'peggedUSD': 0},{'peggedUSD': 76067.45},{'peggedUSD': 0},{'peggedUSD': 76067.45}
1656288000,{'peggedUSD': 76044.69},{'peggedUSD': 0},{'peggedUSD': 76059.82},{'peggedUSD': 0},{'peggedUSD': 76059.82}
