date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 1529526.64},{'peggedUSD': 0},{'peggedUSD': 1529526.64},{'peggedUSD': 0},{'peggedUSD': 1529526.64}
1652400000,{'peggedUSD': 1529526.64},{'peggedUSD': 0},{'peggedUSD': 1529526.64},{'peggedUSD': 0},{'peggedUSD': 1529526.64}
1652486400,{'peggedUSD': 1518539.3},{'peggedUSD': 0},{'peggedUSD': 1518539.3},{'peggedUSD': 0},{'peggedUSD': 1518539.3}
1652572800,{'peggedUSD': 1498347.97},{'peggedUSD': 0},{'peggedUSD': 1498647.63},{'peggedUSD': 0},{'peggedUSD': 1498647.63}
1652659200,{'peggedUSD': 1487493.61},{'peggedUSD': 0},{'peggedUSD': 1487905},{'peggedUSD': 0},{'peggedUSD': 1487905}
1652745600,{'peggedUSD': 1487493.61},{'peggedUSD': 0},{'peggedUSD': 1487905},{'peggedUSD': 0},{'peggedUSD': 1487905}
1652832000,{'peggedUSD': 1450652.29},{'peggedUSD': 0},{'peggedUSD': 1450940.68},{'peggedUSD': 0},{'peggedUSD': 1450940.68}
1652918400,{'peggedUSD': 1383262.51},{'peggedUSD': 0},{'peggedUSD': 1383879.35},{'peggedUSD': 0},{'peggedUSD': 1383879.35}
1653004800,{'peggedUSD': 1383262.51},{'peggedUSD': 0},{'peggedUSD': 1383955.8},{'peggedUSD': 0},{'peggedUSD': 1383955.8}
1653091200,{'peggedUSD': 1383262.51},{'peggedUSD': 0},{'peggedUSD': 1383955.8},{'peggedUSD': 0},{'peggedUSD': 1383955.8}
1653177600,{'peggedUSD': 1372313.11},{'peggedUSD': 0},{'peggedUSD': 1372441.87},{'peggedUSD': 0},{'peggedUSD': 1372441.87}
1653264000,{'peggedUSD': 1372313.11},{'peggedUSD': 0},{'peggedUSD': 1372912.74},{'peggedUSD': 0},{'peggedUSD': 1372912.74}
1653350400,{'peggedUSD': 1372313.11},{'peggedUSD': 0},{'peggedUSD': 1372522.21},{'peggedUSD': 0},{'peggedUSD': 1372522.21}
1653436800,{'peggedUSD': 1372313.11},{'peggedUSD': 0},{'peggedUSD': 1372522.21},{'peggedUSD': 0},{'peggedUSD': 1372522.21}
1653523200,{'peggedUSD': 1372313.11},{'peggedUSD': 0},{'peggedUSD': 1372487.01},{'peggedUSD': 0},{'peggedUSD': 1372487.01}
1653609600,{'peggedUSD': 1362941.77},{'peggedUSD': 0},{'peggedUSD': 1363044.22},{'peggedUSD': 0},{'peggedUSD': 1363044.22}
1653696000,{'peggedUSD': 1362941.77},{'peggedUSD': 0},{'peggedUSD': 1363364.31},{'peggedUSD': 0},{'peggedUSD': 1363364.31}
1653782400,{'peggedUSD': 1362941.77},{'peggedUSD': 0},{'peggedUSD': 1363121.89},{'peggedUSD': 0},{'peggedUSD': 1363121.89}
1653868800,{'peggedUSD': 1362941.77},{'peggedUSD': 0},{'peggedUSD': 1363486.13},{'peggedUSD': 0},{'peggedUSD': 1363486.13}
1653955200,{'peggedUSD': 1312946.77},{'peggedUSD': 0},{'peggedUSD': 1313413.07},{'peggedUSD': 0},{'peggedUSD': 1313413.07}
1654041600,{'peggedUSD': 1312946.77},{'peggedUSD': 0},{'peggedUSD': 1313413.07},{'peggedUSD': 0},{'peggedUSD': 1313413.07}
1654128000,{'peggedUSD': 1337544.36},{'peggedUSD': 0},{'peggedUSD': 1337863.81},{'peggedUSD': 0},{'peggedUSD': 1337863.81}
1654214400,{'peggedUSD': 1337544.36},{'peggedUSD': 0},{'peggedUSD': 1338456.14},{'peggedUSD': 0},{'peggedUSD': 1338456.14}
1654300800,{'peggedUSD': 1319192.72},{'peggedUSD': 0},{'peggedUSD': 1319587.56},{'peggedUSD': 0},{'peggedUSD': 1319587.56}
1654387200,{'peggedUSD': 1300907.41},{'peggedUSD': 0},{'peggedUSD': 1301189.14},{'peggedUSD': 0},{'peggedUSD': 1301189.14}
1654473600,{'peggedUSD': 1300907.41},{'peggedUSD': 0},{'peggedUSD': 1301427},{'peggedUSD': 0},{'peggedUSD': 1301427}
1654560000,{'peggedUSD': 1300907.41},{'peggedUSD': 0},{'peggedUSD': 1301333.85},{'peggedUSD': 0},{'peggedUSD': 1301333.85}
1654646400,{'peggedUSD': 1291007.41},{'peggedUSD': 0},{'peggedUSD': 1291430.61},{'peggedUSD': 0},{'peggedUSD': 1291430.61}
1654732800,{'peggedUSD': 1280480.74},{'peggedUSD': 0},{'peggedUSD': 1281246.95},{'peggedUSD': 0},{'peggedUSD': 1281246.95}
1654819200,{'peggedUSD': 1280480.74},{'peggedUSD': 0},{'peggedUSD': 1281704.96},{'peggedUSD': 0},{'peggedUSD': 1281704.96}
1654905600,{'peggedUSD': 1280480.74},{'peggedUSD': 0},{'peggedUSD': 1281120.99},{'peggedUSD': 0},{'peggedUSD': 1281120.99}
1654992000,{'peggedUSD': 1249790.74},{'peggedUSD': 0},{'peggedUSD': 1250320.61},{'peggedUSD': 0},{'peggedUSD': 1250320.61}
1655078400,{'peggedUSD': 1249790.74},{'peggedUSD': 0},{'peggedUSD': 1250686.19},{'peggedUSD': 0},{'peggedUSD': 1250686.19}
1655164800,{'peggedUSD': 1249790.74},{'peggedUSD': 0},{'peggedUSD': 1250230.67},{'peggedUSD': 0},{'peggedUSD': 1250230.67}
1655251200,{'peggedUSD': 1230010.41},{'peggedUSD': 0},{'peggedUSD': 1230487.49},{'peggedUSD': 0},{'peggedUSD': 1230487.49}
1655337600,{'peggedUSD': 1206060.52},{'peggedUSD': 0},{'peggedUSD': 1206678.03},{'peggedUSD': 0},{'peggedUSD': 1206678.03}
1655424000,{'peggedUSD': 1201048.5},{'peggedUSD': 0},{'peggedUSD': 1202241.74},{'peggedUSD': 0},{'peggedUSD': 1202241.74}
1655510400,{'peggedUSD': 1176066.31},{'peggedUSD': 0},{'peggedUSD': 1176560.39},{'peggedUSD': 0},{'peggedUSD': 1176560.39}
1655596800,{'peggedUSD': 1171116.31},{'peggedUSD': 0},{'peggedUSD': 1171419.77},{'peggedUSD': 0},{'peggedUSD': 1171419.77}
1655683200,{'peggedUSD': 1171116.31},{'peggedUSD': 0},{'peggedUSD': 1171815.7},{'peggedUSD': 0},{'peggedUSD': 1171815.7}
1655769600,{'peggedUSD': 1142317.81},{'peggedUSD': 0},{'peggedUSD': 1142385.27},{'peggedUSD': 0},{'peggedUSD': 1142385.27}
1655856000,{'peggedUSD': 1134397.81},{'peggedUSD': 0},{'peggedUSD': 1134565.86},{'peggedUSD': 0},{'peggedUSD': 1134565.86}
1655942400,{'peggedUSD': 1134397.81},{'peggedUSD': 0},{'peggedUSD': 1135264.47},{'peggedUSD': 0},{'peggedUSD': 1135264.47}
1656028800,{'peggedUSD': 1127760.31},{'peggedUSD': 0},{'peggedUSD': 1127772.72},{'peggedUSD': 0},{'peggedUSD': 1127772.72}
1656115200,{'peggedUSD': 1103010.31},{'peggedUSD': 0},{'peggedUSD': 1103002.3},{'peggedUSD': 0},{'peggedUSD': 1103002.3}
1656201600,{'peggedUSD': 1103010.31},{'peggedUSD': 0},{'peggedUSD': 1103340.44},{'peggedUSD': 0},{'peggedUSD': 1103340.44}
1656288000,{'peggedUSD': 1094099.57},{'peggedUSD': 0},{'peggedUSD': 1094317.24},{'peggedUSD': 0},{'peggedUSD': 1094317.24}
1656374400,{'peggedUSD': 1094099.57},{'peggedUSD': 0},{'peggedUSD': 1094367.17},{'peggedUSD': 0},{'peggedUSD': 1094367.17}
1656460800,{'peggedUSD': 1094099.57},{'peggedUSD': 0},{'peggedUSD': 1094501.8},{'peggedUSD': 0},{'peggedUSD': 1094501.8}
1656547200,{'peggedUSD': 1094099.57},{'peggedUSD': 0},{'peggedUSD': 1094258.25},{'peggedUSD': 0},{'peggedUSD': 1094258.25}
1656633600,{'peggedUSD': 1063337.93},{'peggedUSD': 0},{'peggedUSD': 1064373.66},{'peggedUSD': 0},{'peggedUSD': 1064373.66}
1656720000,{'peggedUSD': 976996.45},{'peggedUSD': 0},{'peggedUSD': 977683.52},{'peggedUSD': 0},{'peggedUSD': 977683.52}
1656806400,{'peggedUSD': 970066.45},{'peggedUSD': 0},{'peggedUSD': 970509.18},{'peggedUSD': 0},{'peggedUSD': 970509.18}
1656892800,{'peggedUSD': 832126.52},{'peggedUSD': 0},{'peggedUSD': 832283.23},{'peggedUSD': 0},{'peggedUSD': 832283.23}
1656979200,{'peggedUSD': 827154.04},{'peggedUSD': 0},{'peggedUSD': 827154.04},{'peggedUSD': 0},{'peggedUSD': 827154.04}
1657065600,{'peggedUSD': 827154.04},{'peggedUSD': 0},{'peggedUSD': 827593.87},{'peggedUSD': 0},{'peggedUSD': 827593.87}
1657152000,{'peggedUSD': 822132.29},{'peggedUSD': 0},{'peggedUSD': 822728.86},{'peggedUSD': 0},{'peggedUSD': 822728.86}
