date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 3723974310.96},{'peggedUSD': 25101779.92},{'peggedUSD': 3726406372.6},{'peggedUSD': 3781750789.99},{'peggedUSD': 0}
1609459200,{'peggedUSD': 3887615676.5},{'peggedUSD': 86623752.92},{'peggedUSD': 3893410589.34},{'peggedUSD': 3949847707.95},{'peggedUSD': 0}
1609545600,{'peggedUSD': 4032332328.73},{'peggedUSD': 19067347.26},{'peggedUSD': 4030246722.22},{'peggedUSD': 4086880172.31},{'peggedUSD': 0}
1609632000,{'peggedUSD': 4101275668.4},{'peggedUSD': 19020797.11},{'peggedUSD': 4111944150.29},{'peggedUSD': 4168909221.81},{'peggedUSD': 0}
1609718400,{'peggedUSD': 4201727881.57},{'peggedUSD': 58791525.15},{'peggedUSD': 4187290358.96},{'peggedUSD': 4244912116.61},{'peggedUSD': 0}
1609804800,{'peggedUSD': 4243468812.77},{'peggedUSD': 55957702.28},{'peggedUSD': 4162394452.88},{'peggedUSD': 4219868755.29},{'peggedUSD': 0}
1609891200,{'peggedUSD': 4204574509.72},{'peggedUSD': 14243629.54},{'peggedUSD': 4204437071.31},{'peggedUSD': 4264367184.99},{'peggedUSD': 0}
1609977600,{'peggedUSD': 4372802579.77},{'peggedUSD': 15144849.02},{'peggedUSD': 4373929536.16},{'peggedUSD': 4435902565.9},{'peggedUSD': 0}
1610064000,{'peggedUSD': 4465396757.48},{'peggedUSD': 50219487.8},{'peggedUSD': 4482501678.82},{'peggedUSD': 4545034613.44},{'peggedUSD': 0}
1610150400,{'peggedUSD': 4515478958.98},{'peggedUSD': 83200615.47},{'peggedUSD': 4521776452.58},{'peggedUSD': 4584623145.01},{'peggedUSD': 0}
1610236800,{'peggedUSD': 4621879049.97},{'peggedUSD': 112533606.38},{'peggedUSD': 4615646420.95},{'peggedUSD': 4678808405.98},{'peggedUSD': 0}
1610323200,{'peggedUSD': 4585058420.97},{'peggedUSD': 90843002.89},{'peggedUSD': 4593196234.14},{'peggedUSD': 4656835178.28},{'peggedUSD': 0}
1610409600,{'peggedUSD': 4607700007.23},{'peggedUSD': 91021614.61},{'peggedUSD': 4624912409.74},{'peggedUSD': 4689658432.76},{'peggedUSD': 0}
1610496000,{'peggedUSD': 4597408443.37},{'peggedUSD': 90791018.66},{'peggedUSD': 4611488585.59},{'peggedUSD': 4676511115.93},{'peggedUSD': 0}
1610582400,{'peggedUSD': 4624801304.98},{'peggedUSD': 93564924.7},{'peggedUSD': 4635586712.67},{'peggedUSD': 4700821160},{'peggedUSD': 0}
1610668800,{'peggedUSD': 4679244191.07},{'peggedUSD': 84633993.86},{'peggedUSD': 4696667631.31},{'peggedUSD': 4762865058.39},{'peggedUSD': 0}
1610755200,{'peggedUSD': 4833442138.86},{'peggedUSD': 86302631.52},{'peggedUSD': 4841660925.35},{'peggedUSD': 4909077454.2},{'peggedUSD': 0}
