date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 11463042.25},{'peggedUSD': 0},{'peggedUSD': 11463042.25},{'peggedUSD': 0},{'peggedUSD': 11463042.25}
1652400000,{'peggedUSD': 11463042.25},{'peggedUSD': 0},{'peggedUSD': 11463042.25},{'peggedUSD': 0},{'peggedUSD': 11463042.25}
1652486400,{'peggedUSD': 10890845.17},{'peggedUSD': 0},{'peggedUSD': 10890845.17},{'peggedUSD': 0},{'peggedUSD': 10890845.17}
1652572800,{'peggedUSD': 10697363.49},{'peggedUSD': 0},{'peggedUSD': 10699502.97},{'peggedUSD': 0},{'peggedUSD': 10699502.97}
1652659200,{'peggedUSD': 10693326.11},{'peggedUSD': 0},{'peggedUSD': 10696283.56},{'peggedUSD': 0},{'peggedUSD': 10696283.56}
1652745600,{'peggedUSD': 10644033.18},{'peggedUSD': 0},{'peggedUSD': 10646977},{'peggedUSD': 0},{'peggedUSD': 10646977}
1652832000,{'peggedUSD': 10113438.52},{'peggedUSD': 0},{'peggedUSD': 10115449.07},{'peggedUSD': 0},{'peggedUSD': 10115449.07}
1652918400,{'peggedUSD': 10238150.03},{'peggedUSD': 0},{'peggedUSD': 10242715.53},{'peggedUSD': 0},{'peggedUSD': 10242715.53}
1653004800,{'peggedUSD': 10100806.96},{'peggedUSD': 0},{'peggedUSD': 10105869.49},{'peggedUSD': 0},{'peggedUSD': 10105869.49}
1653091200,{'peggedUSD': 10197291.56},{'peggedUSD': 0},{'peggedUSD': 10202402.44},{'peggedUSD': 0},{'peggedUSD': 10202402.44}
1653177600,{'peggedUSD': 10247063.41},{'peggedUSD': 0},{'peggedUSD': 10248024.89},{'peggedUSD': 0},{'peggedUSD': 10248024.89}
1653264000,{'peggedUSD': 10150917.15},{'peggedUSD': 0},{'peggedUSD': 10155352.59},{'peggedUSD': 0},{'peggedUSD': 10155352.59}
1653350400,{'peggedUSD': 10210443.34},{'peggedUSD': 0},{'peggedUSD': 10211999.11},{'peggedUSD': 0},{'peggedUSD': 10211999.11}
1653436800,{'peggedUSD': 10292327.44},{'peggedUSD': 0},{'peggedUSD': 10293895.68},{'peggedUSD': 0},{'peggedUSD': 10293895.68}
1653523200,{'peggedUSD': 10295921.51},{'peggedUSD': 0},{'peggedUSD': 10297226.21},{'peggedUSD': 0},{'peggedUSD': 10297226.21}
1653609600,{'peggedUSD': 10146138.95},{'peggedUSD': 0},{'peggedUSD': 10146901.64},{'peggedUSD': 0},{'peggedUSD': 10146901.64}
1653696000,{'peggedUSD': 10096138.61},{'peggedUSD': 0},{'peggedUSD': 10099268.61},{'peggedUSD': 0},{'peggedUSD': 10099268.61}
1653782400,{'peggedUSD': 9761165.33},{'peggedUSD': 0},{'peggedUSD': 9762455.37},{'peggedUSD': 0},{'peggedUSD': 9762455.37}
1653868800,{'peggedUSD': 9727845.78},{'peggedUSD': 0},{'peggedUSD': 9731731.08},{'peggedUSD': 0},{'peggedUSD': 9731731.08}
1653955200,{'peggedUSD': 9824024.12},{'peggedUSD': 0},{'peggedUSD': 9827513.22},{'peggedUSD': 0},{'peggedUSD': 9827513.22}
1654041600,{'peggedUSD': 9805109.33},{'peggedUSD': 0},{'peggedUSD': 9808591.71},{'peggedUSD': 0},{'peggedUSD': 9808591.71}
1654128000,{'peggedUSD': 9776802.38},{'peggedUSD': 0},{'peggedUSD': 9779137.37},{'peggedUSD': 0},{'peggedUSD': 9779137.37}
1654214400,{'peggedUSD': 9678025.95},{'peggedUSD': 0},{'peggedUSD': 9684623.27},{'peggedUSD': 0},{'peggedUSD': 9684623.27}
1654300800,{'peggedUSD': 9796915.92},{'peggedUSD': 0},{'peggedUSD': 9799848.14},{'peggedUSD': 0},{'peggedUSD': 9799848.14}
1654387200,{'peggedUSD': 9873576.35},{'peggedUSD': 0},{'peggedUSD': 9875714.57},{'peggedUSD': 0},{'peggedUSD': 9875714.57}
1654473600,{'peggedUSD': 9846027.82},{'peggedUSD': 0},{'peggedUSD': 9849960.32},{'peggedUSD': 0},{'peggedUSD': 9849960.32}
1654560000,{'peggedUSD': 10457390.01},{'peggedUSD': 0},{'peggedUSD': 10460817.94},{'peggedUSD': 0},{'peggedUSD': 10460817.94}
1654646400,{'peggedUSD': 10813794.67},{'peggedUSD': 0},{'peggedUSD': 10817339.43},{'peggedUSD': 0},{'peggedUSD': 10817339.43}
1654732800,{'peggedUSD': 10729602.48},{'peggedUSD': 0},{'peggedUSD': 10736022.76},{'peggedUSD': 0},{'peggedUSD': 10736022.76}
1654819200,{'peggedUSD': 11158477.03},{'peggedUSD': 0},{'peggedUSD': 11169145.21},{'peggedUSD': 0},{'peggedUSD': 11169145.21}
1654905600,{'peggedUSD': 11114033.41},{'peggedUSD': 0},{'peggedUSD': 11119590.42},{'peggedUSD': 0},{'peggedUSD': 11119590.42}
1654992000,{'peggedUSD': 11073700.01},{'peggedUSD': 0},{'peggedUSD': 11078394.81},{'peggedUSD': 0},{'peggedUSD': 11078394.81}
1655078400,{'peggedUSD': 10375964.61},{'peggedUSD': 0},{'peggedUSD': 10383398.78},{'peggedUSD': 0},{'peggedUSD': 10383398.78}
1655164800,{'peggedUSD': 9573383.31},{'peggedUSD': 0},{'peggedUSD': 9576753.14},{'peggedUSD': 0},{'peggedUSD': 9576753.14}
1655251200,{'peggedUSD': 9491819.16},{'peggedUSD': 0},{'peggedUSD': 9495500.75},{'peggedUSD': 0},{'peggedUSD': 9495500.75}
1655337600,{'peggedUSD': 9697980.53},{'peggedUSD': 0},{'peggedUSD': 9702945.9},{'peggedUSD': 0},{'peggedUSD': 9702945.9}
1655424000,{'peggedUSD': 9711999.98},{'peggedUSD': 0},{'peggedUSD': 9721648.85},{'peggedUSD': 0},{'peggedUSD': 9721648.85}
1655510400,{'peggedUSD': 10617787.12},{'peggedUSD': 0},{'peggedUSD': 10622247.87},{'peggedUSD': 0},{'peggedUSD': 10622247.87}
1655596800,{'peggedUSD': 10555051.02},{'peggedUSD': 0},{'peggedUSD': 10557786.05},{'peggedUSD': 0},{'peggedUSD': 10557786.05}
1655683200,{'peggedUSD': 10487763.14},{'peggedUSD': 0},{'peggedUSD': 10494026.43},{'peggedUSD': 0},{'peggedUSD': 10494026.43}
1655769600,{'peggedUSD': 8948568.35},{'peggedUSD': 0},{'peggedUSD': 8949096.85},{'peggedUSD': 0},{'peggedUSD': 8949096.85}
1655856000,{'peggedUSD': 8983070.73},{'peggedUSD': 0},{'peggedUSD': 8984401.48},{'peggedUSD': 0},{'peggedUSD': 8984401.48}
1655942400,{'peggedUSD': 8969916.09},{'peggedUSD': 0},{'peggedUSD': 8976768.93},{'peggedUSD': 0},{'peggedUSD': 8976768.93}
1656028800,{'peggedUSD': 8997299.43},{'peggedUSD': 0},{'peggedUSD': 8997398.4},{'peggedUSD': 0},{'peggedUSD': 8997398.4}
1656115200,{'peggedUSD': 8783350.25},{'peggedUSD': 0},{'peggedUSD': 8783286.48},{'peggedUSD': 0},{'peggedUSD': 8783286.48}
1656201600,{'peggedUSD': 8804597.32},{'peggedUSD': 0},{'peggedUSD': 8807232.54},{'peggedUSD': 0},{'peggedUSD': 8807232.54}
1656288000,{'peggedUSD': 8835912.96},{'peggedUSD': 0},{'peggedUSD': 8837670.86},{'peggedUSD': 0},{'peggedUSD': 8837670.86}
1656374400,{'peggedUSD': 8942848.85},{'peggedUSD': 0},{'peggedUSD': 8945036.09},{'peggedUSD': 0},{'peggedUSD': 8945036.09}
1656460800,{'peggedUSD': 8886634.43},{'peggedUSD': 0},{'peggedUSD': 8889901.42},{'peggedUSD': 0},{'peggedUSD': 8889901.42}
1656547200,{'peggedUSD': 8908861.14},{'peggedUSD': 0},{'peggedUSD': 8910153.2},{'peggedUSD': 0},{'peggedUSD': 8910153.2}
1656633600,{'peggedUSD': 8897353.14},{'peggedUSD': 0},{'peggedUSD': 8906019.43},{'peggedUSD': 0},{'peggedUSD': 8906019.43}
1656720000,{'peggedUSD': 8575932.42},{'peggedUSD': 0},{'peggedUSD': 8581963.44},{'peggedUSD': 0},{'peggedUSD': 8581963.44}
1656806400,{'peggedUSD': 8590648.83},{'peggedUSD': 0},{'peggedUSD': 8594569.52},{'peggedUSD': 0},{'peggedUSD': 8594569.52}
1656892800,{'peggedUSD': 8611688.95},{'peggedUSD': 0},{'peggedUSD': 8613310.79},{'peggedUSD': 0},{'peggedUSD': 8613310.79}
1656979200,{'peggedUSD': 8613165.41},{'peggedUSD': 0},{'peggedUSD': 8613165.41},{'peggedUSD': 0},{'peggedUSD': 8613165.41}
1657065600,{'peggedUSD': 8489654.59},{'peggedUSD': 0},{'peggedUSD': 8494168.88},{'peggedUSD': 0},{'peggedUSD': 8494168.88}
1657152000,{'peggedUSD': 8366870.37},{'peggedUSD': 0},{'peggedUSD': 8372941.71},{'peggedUSD': 0},{'peggedUSD': 8372941.71}
1657238400,{'peggedUSD': 8527787.99},{'peggedUSD': 0},{'peggedUSD': 8530193.17},{'peggedUSD': 0},{'peggedUSD': 8530193.17}
1657324800,{'peggedUSD': 8516503.41},{'peggedUSD': 0},{'peggedUSD': 8517916.72},{'peggedUSD': 0},{'peggedUSD': 8517916.72}
1657411200,{'peggedUSD': 8570597.94},{'peggedUSD': 0},{'peggedUSD': 8570597.94},{'peggedUSD': 0},{'peggedUSD': 8570597.94}
1657497600,{'peggedUSD': 8651585.02},{'peggedUSD': 0},{'peggedUSD': 8655040.46},{'peggedUSD': 0},{'peggedUSD': 8655040.46}
1657584000,{'peggedUSD': 8703619},{'peggedUSD': 0},{'peggedUSD': 8707095.23},{'peggedUSD': 0},{'peggedUSD': 8707095.23}
1657670400,{'peggedUSD': 8378052.23},{'peggedUSD': 0},{'peggedUSD': 8383509.69},{'peggedUSD': 0},{'peggedUSD': 8383509.69}
1657756800,{'peggedUSD': 8627322.16},{'peggedUSD': 0},{'peggedUSD': 8626459.6},{'peggedUSD': 0},{'peggedUSD': 8626459.6}
1657843200,{'peggedUSD': 8456935.83},{'peggedUSD': 0},{'peggedUSD': 8457111.65},{'peggedUSD': 0},{'peggedUSD': 8457111.65}
1657929600,{'peggedUSD': 8486762.41},{'peggedUSD': 0},{'peggedUSD': 8486938.85},{'peggedUSD': 0},{'peggedUSD': 8486938.85}
1658016000,{'peggedUSD': 8498045.94},{'peggedUSD': 0},{'peggedUSD': 8498282.27},{'peggedUSD': 0},{'peggedUSD': 8498282.27}
1658102400,{'peggedUSD': 8494360.06},{'peggedUSD': 0},{'peggedUSD': 8493073.08},{'peggedUSD': 0},{'peggedUSD': 8493073.08}
1658188800,{'peggedUSD': 8512853.99},{'peggedUSD': 0},{'peggedUSD': 8510918.77},{'peggedUSD': 0},{'peggedUSD': 8510918.77}
1658275200,{'peggedUSD': 8548281.98},{'peggedUSD': 0},{'peggedUSD': 8547427.15},{'peggedUSD': 0},{'peggedUSD': 8547427.15}
1658361600,{'peggedUSD': 8526171.29},{'peggedUSD': 0},{'peggedUSD': 8528260.97},{'peggedUSD': 0},{'peggedUSD': 8528260.97}
1658448000,{'peggedUSD': 8561683.95},{'peggedUSD': 0},{'peggedUSD': 8563792.01},{'peggedUSD': 0},{'peggedUSD': 8563792.01}
1658534400,{'peggedUSD': 8561280.55},{'peggedUSD': 0},{'peggedUSD': 8562084.71},{'peggedUSD': 0},{'peggedUSD': 8562084.71}
1658620800,{'peggedUSD': 8610042.82},{'peggedUSD': 0},{'peggedUSD': 8610783.37},{'peggedUSD': 0},{'peggedUSD': 8610783.37}
1658707200,{'peggedUSD': 8585773.11},{'peggedUSD': 0},{'peggedUSD': 8586557.59},{'peggedUSD': 0},{'peggedUSD': 8586557.59}
1658793600,{'peggedUSD': 8575799.71},{'peggedUSD': 0},{'peggedUSD': 8575799.71},{'peggedUSD': 0},{'peggedUSD': 8575799.71}
1658880000,{'peggedUSD': 8147895.22},{'peggedUSD': 0},{'peggedUSD': 8150924.44},{'peggedUSD': 0},{'peggedUSD': 8150924.44}
1658966400,{'peggedUSD': 8185900.4},{'peggedUSD': 0},{'peggedUSD': 8186061.91},{'peggedUSD': 0},{'peggedUSD': 8186061.91}
1659052800,{'peggedUSD': 8205986.88},{'peggedUSD': 0},{'peggedUSD': 8206381.59},{'peggedUSD': 0},{'peggedUSD': 8206381.59}
1659139200,{'peggedUSD': 8148792.59},{'peggedUSD': 0},{'peggedUSD': 8148844.58},{'peggedUSD': 0},{'peggedUSD': 8148844.58}
1659225600,{'peggedUSD': 8106557.94},{'peggedUSD': 0},{'peggedUSD': 8106557.94},{'peggedUSD': 0},{'peggedUSD': 8106557.94}
1659312000,{'peggedUSD': 8097890.21},{'peggedUSD': 0},{'peggedUSD': 8098059.62},{'peggedUSD': 0},{'peggedUSD': 8098059.62}
1659398400,{'peggedUSD': 6337096.83},{'peggedUSD': 0},{'peggedUSD': 6336402.85},{'peggedUSD': 0},{'peggedUSD': 6336402.85}
1659484800,{'peggedUSD': 6341201.01},{'peggedUSD': 0},{'peggedUSD': 6341753.65},{'peggedUSD': 0},{'peggedUSD': 6341753.65}
