date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 13790337},{'peggedUSD': 0},{'peggedUSD': 13790337},{'peggedUSD': 13790337},{'peggedUSD': 0}
1652400000,{'peggedUSD': 13790337},{'peggedUSD': 0},{'peggedUSD': 13790337},{'peggedUSD': 13790337},{'peggedUSD': 0}
1652486400,{'peggedUSD': 12944391},{'peggedUSD': 0},{'peggedUSD': 12944391},{'peggedUSD': 12944391},{'peggedUSD': 0}
1652572800,{'peggedUSD': 12944391},{'peggedUSD': 0},{'peggedUSD': 12946979.88},{'peggedUSD': 12946979.88},{'peggedUSD': 0}
1652659200,{'peggedUSD': 12944391},{'peggedUSD': 0},{'peggedUSD': 12947971.03},{'peggedUSD': 12947971.03},{'peggedUSD': 0}
1652745600,{'peggedUSD': 15539597},{'peggedUSD': 0},{'peggedUSD': 15543894.79},{'peggedUSD': 15543894.79},{'peggedUSD': 0}
1652832000,{'peggedUSD': 15278930},{'peggedUSD': 0},{'peggedUSD': 15281967.45},{'peggedUSD': 15281967.45},{'peggedUSD': 0}
1652918400,{'peggedUSD': 13330113},{'peggedUSD': 0},{'peggedUSD': 13336057.3},{'peggedUSD': 13336057.3},{'peggedUSD': 0}
1653004800,{'peggedUSD': 14620275},{'peggedUSD': 0},{'peggedUSD': 14627602.68},{'peggedUSD': 14627602.68},{'peggedUSD': 0}
1653091200,{'peggedUSD': 13607498},{'peggedUSD': 0},{'peggedUSD': 13614318.08},{'peggedUSD': 13614318.08},{'peggedUSD': 0}
1653177600,{'peggedUSD': 14070506},{'peggedUSD': 0},{'peggedUSD': 14071826.24},{'peggedUSD': 14071826.24},{'peggedUSD': 0}
1653264000,{'peggedUSD': 14070506},{'peggedUSD': 0},{'peggedUSD': 14076654.11},{'peggedUSD': 14076654.11},{'peggedUSD': 0}
1653350400,{'peggedUSD': 14415387},{'peggedUSD': 0},{'peggedUSD': 14417583.47},{'peggedUSD': 14417583.47},{'peggedUSD': 0}
1653436800,{'peggedUSD': 14338065},{'peggedUSD': 0},{'peggedUSD': 14340249.69},{'peggedUSD': 14340249.69},{'peggedUSD': 0}
