date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 3042792.71},{'peggedUSD': 0},{'peggedUSD': 3042792.71},{'peggedUSD': 0},{'peggedUSD': 3042792.71}
1652400000,{'peggedUSD': 3042792.71},{'peggedUSD': 0},{'peggedUSD': 3042792.71},{'peggedUSD': 0},{'peggedUSD': 3042792.71}
1652486400,{'peggedUSD': 3028516.16},{'peggedUSD': 0},{'peggedUSD': 3028516.16},{'peggedUSD': 0},{'peggedUSD': 3028516.16}
1652572800,{'peggedUSD': 3019418.67},{'peggedUSD': 0},{'peggedUSD': 3020022.56},{'peggedUSD': 0},{'peggedUSD': 3020022.56}
1652659200,{'peggedUSD': 3005907.59},{'peggedUSD': 0},{'peggedUSD': 3006738.94},{'peggedUSD': 0},{'peggedUSD': 3006738.94}
1652745600,{'peggedUSD': 3003905.59},{'peggedUSD': 0},{'peggedUSD': 3004736.38},{'peggedUSD': 0},{'peggedUSD': 3004736.38}
1652832000,{'peggedUSD': 3023895.59},{'peggedUSD': 0},{'peggedUSD': 3024496.74},{'peggedUSD': 0},{'peggedUSD': 3024496.74}
1652918400,{'peggedUSD': 3048845.59},{'peggedUSD': 0},{'peggedUSD': 3050205.17},{'peggedUSD': 0},{'peggedUSD': 3050205.17}
1653004800,{'peggedUSD': 3062772.37},{'peggedUSD': 0},{'peggedUSD': 3064307.43},{'peggedUSD': 0},{'peggedUSD': 3064307.43}
1653091200,{'peggedUSD': 3048504.77},{'peggedUSD': 0},{'peggedUSD': 3050032.69},{'peggedUSD': 0},{'peggedUSD': 3050032.69}
1653177600,{'peggedUSD': 3003527.27},{'peggedUSD': 0},{'peggedUSD': 3003809.1},{'peggedUSD': 0},{'peggedUSD': 3003809.1}
1653264000,{'peggedUSD': 3003527.27},{'peggedUSD': 0},{'peggedUSD': 3004839.67},{'peggedUSD': 0},{'peggedUSD': 3004839.67}
1653350400,{'peggedUSD': 2997563.31},{'peggedUSD': 0},{'peggedUSD': 2998020.05},{'peggedUSD': 0},{'peggedUSD': 2998020.05}
1653436800,{'peggedUSD': 2997563.31},{'peggedUSD': 0},{'peggedUSD': 2998020.05},{'peggedUSD': 0},{'peggedUSD': 2998020.05}
1653523200,{'peggedUSD': 2967114.89},{'peggedUSD': 0},{'peggedUSD': 2967490.88},{'peggedUSD': 0},{'peggedUSD': 2967490.88}
1653609600,{'peggedUSD': 2964872.08},{'peggedUSD': 0},{'peggedUSD': 2965094.95},{'peggedUSD': 0},{'peggedUSD': 2965094.95}
1653696000,{'peggedUSD': 2964872.08},{'peggedUSD': 0},{'peggedUSD': 2965791.25},{'peggedUSD': 0},{'peggedUSD': 2965791.25}
1653782400,{'peggedUSD': 2965070.1},{'peggedUSD': 0},{'peggedUSD': 2965461.96},{'peggedUSD': 0},{'peggedUSD': 2965461.96}
1653868800,{'peggedUSD': 2965070.1},{'peggedUSD': 0},{'peggedUSD': 2966254.35},{'peggedUSD': 0},{'peggedUSD': 2966254.35}
1653955200,{'peggedUSD': 2959748.12},{'peggedUSD': 0},{'peggedUSD': 2960799.3},{'peggedUSD': 0},{'peggedUSD': 2960799.3}
1654041600,{'peggedUSD': 2959748.12},{'peggedUSD': 0},{'peggedUSD': 2960799.3},{'peggedUSD': 0},{'peggedUSD': 2960799.3}
1654128000,{'peggedUSD': 2957114.82},{'peggedUSD': 0},{'peggedUSD': 2957821.07},{'peggedUSD': 0},{'peggedUSD': 2957821.07}
1654214400,{'peggedUSD': 2280937.51},{'peggedUSD': 0},{'peggedUSD': 2282492.38},{'peggedUSD': 0},{'peggedUSD': 2282492.38}
