date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 75128966.37},{'peggedUSD': 0},{'peggedUSD': 75128966.37},{'peggedUSD': 0},{'peggedUSD': 75128966.37}
1652400000,{'peggedUSD': 75128966.37},{'peggedUSD': 0},{'peggedUSD': 75128966.37},{'peggedUSD': 0},{'peggedUSD': 75128966.37}
1652486400,{'peggedUSD': 71498538.9},{'peggedUSD': 0},{'peggedUSD': 71498538.9},{'peggedUSD': 0},{'peggedUSD': 71498538.9}
1652572800,{'peggedUSD': 64055333.54},{'peggedUSD': 0},{'peggedUSD': 64068144.61},{'peggedUSD': 0},{'peggedUSD': 64068144.61}
1652659200,{'peggedUSD': 61855938.52},{'peggedUSD': 0},{'peggedUSD': 61873046.02},{'peggedUSD': 0},{'peggedUSD': 61873046.02}
1652745600,{'peggedUSD': 57604438.06},{'peggedUSD': 0},{'peggedUSD': 57620369.72},{'peggedUSD': 0},{'peggedUSD': 57620369.72}
1652832000,{'peggedUSD': 56226840.74},{'peggedUSD': 0},{'peggedUSD': 56238018.63},{'peggedUSD': 0},{'peggedUSD': 56238018.63}
1652918400,{'peggedUSD': 47225095.03},{'peggedUSD': 0},{'peggedUSD': 47246154.12},{'peggedUSD': 0},{'peggedUSD': 47246154.12}
1653004800,{'peggedUSD': 45031888.16},{'peggedUSD': 0},{'peggedUSD': 45054458.14},{'peggedUSD': 0},{'peggedUSD': 45054458.14}
1653091200,{'peggedUSD': 44973412.04},{'peggedUSD': 0},{'peggedUSD': 44995952.71},{'peggedUSD': 0},{'peggedUSD': 44995952.71}
1653177600,{'peggedUSD': 44542905.11},{'peggedUSD': 0},{'peggedUSD': 44547084.57},{'peggedUSD': 0},{'peggedUSD': 44547084.57}
1653264000,{'peggedUSD': 43657562.92},{'peggedUSD': 0},{'peggedUSD': 43676639.09},{'peggedUSD': 0},{'peggedUSD': 43676639.09}
1653350400,{'peggedUSD': 42488447.15},{'peggedUSD': 0},{'peggedUSD': 42494921.11},{'peggedUSD': 0},{'peggedUSD': 42494921.11}
1653436800,{'peggedUSD': 41798138.13},{'peggedUSD': 0},{'peggedUSD': 41804506.92},{'peggedUSD': 0},{'peggedUSD': 41804506.92}
1653523200,{'peggedUSD': 42996306.23},{'peggedUSD': 0},{'peggedUSD': 43001754.72},{'peggedUSD': 0},{'peggedUSD': 43001754.72}
1653609600,{'peggedUSD': 43391363.96},{'peggedUSD': 0},{'peggedUSD': 43394625.69},{'peggedUSD': 0},{'peggedUSD': 43394625.69}
1653696000,{'peggedUSD': 43601470.8},{'peggedUSD': 0},{'peggedUSD': 43614988.13},{'peggedUSD': 0},{'peggedUSD': 43614988.13}
1653782400,{'peggedUSD': 44586386.33},{'peggedUSD': 0},{'peggedUSD': 44592278.86},{'peggedUSD': 0},{'peggedUSD': 44592278.86}
1653868800,{'peggedUSD': 44691270.74},{'peggedUSD': 0},{'peggedUSD': 44709120.44},{'peggedUSD': 0},{'peggedUSD': 44709120.44}
1653955200,{'peggedUSD': 47119928.38},{'peggedUSD': 0},{'peggedUSD': 47136663.5},{'peggedUSD': 0},{'peggedUSD': 47136663.5}
1654041600,{'peggedUSD': 47445699.54},{'peggedUSD': 0},{'peggedUSD': 47462550.35},{'peggedUSD': 0},{'peggedUSD': 47462550.35}
1654128000,{'peggedUSD': 49217110.83},{'peggedUSD': 0},{'peggedUSD': 49228865.35},{'peggedUSD': 0},{'peggedUSD': 49228865.35}
1654214400,{'peggedUSD': 48879970.6},{'peggedUSD': 0},{'peggedUSD': 48913291.1},{'peggedUSD': 0},{'peggedUSD': 48913291.1}
1654300800,{'peggedUSD': 48375424.45},{'peggedUSD': 0},{'peggedUSD': 48389903.22},{'peggedUSD': 0},{'peggedUSD': 48389903.22}
1654387200,{'peggedUSD': 50461673.42},{'peggedUSD': 0},{'peggedUSD': 50472601.4},{'peggedUSD': 0},{'peggedUSD': 50472601.4}
1654473600,{'peggedUSD': 50718856.13},{'peggedUSD': 0},{'peggedUSD': 50739113.24},{'peggedUSD': 0},{'peggedUSD': 50739113.24}
1654560000,{'peggedUSD': 51071318.53},{'peggedUSD': 0},{'peggedUSD': 51088059.71},{'peggedUSD': 0},{'peggedUSD': 51088059.71}
1654646400,{'peggedUSD': 50534935.31},{'peggedUSD': 0},{'peggedUSD': 50551500.66},{'peggedUSD': 0},{'peggedUSD': 50551500.66}
1654732800,{'peggedUSD': 51468122.13},{'peggedUSD': 0},{'peggedUSD': 51498919.11},{'peggedUSD': 0},{'peggedUSD': 51498919.11}
1654819200,{'peggedUSD': 50576140.15},{'peggedUSD': 0},{'peggedUSD': 50624493.97},{'peggedUSD': 0},{'peggedUSD': 50624493.97}
1654905600,{'peggedUSD': 49298739.85},{'peggedUSD': 0},{'peggedUSD': 49323389.22},{'peggedUSD': 0},{'peggedUSD': 49323389.22}
1654992000,{'peggedUSD': 45987255.34},{'peggedUSD': 0},{'peggedUSD': 46006752.1},{'peggedUSD': 0},{'peggedUSD': 46006752.1}
