date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 19530104},{'peggedUSD': 0},{'peggedUSD': 19530104},{'peggedUSD': 19530104},{'peggedUSD': 0}
1652400000,{'peggedUSD': 19530104},{'peggedUSD': 0},{'peggedUSD': 19530104},{'peggedUSD': 19530104},{'peggedUSD': 0}
1652486400,{'peggedUSD': 20113917},{'peggedUSD': 0},{'peggedUSD': 20113917},{'peggedUSD': 20113917},{'peggedUSD': 0}
1652572800,{'peggedUSD': 20113917},{'peggedUSD': 0},{'peggedUSD': 20117939.78},{'peggedUSD': 20117939.78},{'peggedUSD': 0}
1652659200,{'peggedUSD': 20113917},{'peggedUSD': 0},{'peggedUSD': 20119479.91},{'peggedUSD': 20119479.91},{'peggedUSD': 0}
1652745600,{'peggedUSD': 20113917},{'peggedUSD': 0},{'peggedUSD': 20119479.91},{'peggedUSD': 20119479.91},{'peggedUSD': 0}
1652832000,{'peggedUSD': 20113917},{'peggedUSD': 0},{'peggedUSD': 20117915.65},{'peggedUSD': 20117915.65},{'peggedUSD': 0}
1652918400,{'peggedUSD': 9964576},{'peggedUSD': 0},{'peggedUSD': 9969019.5},{'peggedUSD': 9969019.5},{'peggedUSD': 0}
1653004800,{'peggedUSD': 11251803},{'peggedUSD': 0},{'peggedUSD': 11257442.4},{'peggedUSD': 11257442.4},{'peggedUSD': 0}
1653091200,{'peggedUSD': 10235749},{'peggedUSD': 0},{'peggedUSD': 10240879.16},{'peggedUSD': 10240879.16},{'peggedUSD': 0}
1653177600,{'peggedUSD': 10290794},{'peggedUSD': 0},{'peggedUSD': 10291759.59},{'peggedUSD': 10291759.59},{'peggedUSD': 0}
1653264000,{'peggedUSD': 10290794},{'peggedUSD': 0},{'peggedUSD': 10295290.56},{'peggedUSD': 10295290.56},{'peggedUSD': 0}
1653350400,{'peggedUSD': 11025659},{'peggedUSD': 0},{'peggedUSD': 11027338.98},{'peggedUSD': 11027338.98},{'peggedUSD': 0}
1653436800,{'peggedUSD': 10943408},{'peggedUSD': 0},{'peggedUSD': 10945075.45},{'peggedUSD': 10945075.45},{'peggedUSD': 0}
1653523200,{'peggedUSD': 11074780},{'peggedUSD': 0},{'peggedUSD': 11076183.4},{'peggedUSD': 11076183.4},{'peggedUSD': 0}
1653609600,{'peggedUSD': 11051606},{'peggedUSD': 0},{'peggedUSD': 11052436.75},{'peggedUSD': 11052436.75},{'peggedUSD': 0}
1653696000,{'peggedUSD': 11862025},{'peggedUSD': 0},{'peggedUSD': 11865702.46},{'peggedUSD': 11865702.46},{'peggedUSD': 0}
1653782400,{'peggedUSD': 11862025},{'peggedUSD': 0},{'peggedUSD': 11863592.69},{'peggedUSD': 11863592.69},{'peggedUSD': 0}
1653868800,{'peggedUSD': 11862025},{'peggedUSD': 0},{'peggedUSD': 11866762.69},{'peggedUSD': 11866762.69},{'peggedUSD': 0}
1653955200,{'peggedUSD': 10180836},{'peggedUSD': 0},{'peggedUSD': 10184451.83},{'peggedUSD': 10184451.83},{'peggedUSD': 0}
1654041600,{'peggedUSD': 11070837},{'peggedUSD': 0},{'peggedUSD': 11074768.92},{'peggedUSD': 11074768.92},{'peggedUSD': 0}
1654128000,{'peggedUSD': 10593017},{'peggedUSD': 0},{'peggedUSD': 10595546.93},{'peggedUSD': 10595546.93},{'peggedUSD': 0}
1654214400,{'peggedUSD': 10549461},{'peggedUSD': 0},{'peggedUSD': 10556652.36},{'peggedUSD': 10556652.36},{'peggedUSD': 0}
1654300800,{'peggedUSD': 10836966},{'peggedUSD': 0},{'peggedUSD': 10840209.5},{'peggedUSD': 10840209.5},{'peggedUSD': 0}
1654387200,{'peggedUSD': 10836966},{'peggedUSD': 0},{'peggedUSD': 10839312.85},{'peggedUSD': 10839312.85},{'peggedUSD': 0}
1654473600,{'peggedUSD': 9949346},{'peggedUSD': 0},{'peggedUSD': 9953319.77},{'peggedUSD': 9953319.77},{'peggedUSD': 0}
1654560000,{'peggedUSD': 10097266},{'peggedUSD': 0},{'peggedUSD': 10100575.88},{'peggedUSD': 10100575.88},{'peggedUSD': 0}
1654646400,{'peggedUSD': 10233293},{'peggedUSD': 0},{'peggedUSD': 10236647.47},{'peggedUSD': 10236647.47},{'peggedUSD': 0}
1654732800,{'peggedUSD': 10530456},{'peggedUSD': 0},{'peggedUSD': 10536757.11},{'peggedUSD': 10536757.11},{'peggedUSD': 0}
1654819200,{'peggedUSD': 10478624},{'peggedUSD': 0},{'peggedUSD': 10488642.19},{'peggedUSD': 10488642.19},{'peggedUSD': 0}
1654905600,{'peggedUSD': 11203672},{'peggedUSD': 0},{'peggedUSD': 11209273.84},{'peggedUSD': 11209273.84},{'peggedUSD': 0}
1654992000,{'peggedUSD': 11203672},{'peggedUSD': 0},{'peggedUSD': 11208421.91},{'peggedUSD': 11208421.91},{'peggedUSD': 0}
1655078400,{'peggedUSD': 11203672},{'peggedUSD': 0},{'peggedUSD': 11211699.21},{'peggedUSD': 11211699.21},{'peggedUSD': 0}
1655164800,{'peggedUSD': 11031507},{'peggedUSD': 0},{'peggedUSD': 11035390.09},{'peggedUSD': 11035390.09},{'peggedUSD': 0}
1655251200,{'peggedUSD': 11180098},{'peggedUSD': 0},{'peggedUSD': 11184434.42},{'peggedUSD': 11184434.42},{'peggedUSD': 0}
1655337600,{'peggedUSD': 9934733},{'peggedUSD': 0},{'peggedUSD': 9939819.58},{'peggedUSD': 9939819.58},{'peggedUSD': 0}
1655424000,{'peggedUSD': 10119276},{'peggedUSD': 0},{'peggedUSD': 10129329.5},{'peggedUSD': 10129329.5},{'peggedUSD': 0}
1655510400,{'peggedUSD': 10302576},{'peggedUSD': 0},{'peggedUSD': 10306904.32},{'peggedUSD': 10306904.32},{'peggedUSD': 0}
1655596800,{'peggedUSD': 9898131},{'peggedUSD': 0},{'peggedUSD': 9900695.8},{'peggedUSD': 9900695.8},{'peggedUSD': 0}
1655683200,{'peggedUSD': 10152113},{'peggedUSD': 0},{'peggedUSD': 10158175.84},{'peggedUSD': 10158175.84},{'peggedUSD': 0}
1655769600,{'peggedUSD': 9006756},{'peggedUSD': 0},{'peggedUSD': 9007287.94},{'peggedUSD': 9007287.94},{'peggedUSD': 0}
1655856000,{'peggedUSD': 9780134},{'peggedUSD': 0},{'peggedUSD': 9781582.83},{'peggedUSD': 9781582.83},{'peggedUSD': 0}
1655942400,{'peggedUSD': 9784223},{'peggedUSD': 0},{'peggedUSD': 9791697.95},{'peggedUSD': 9791697.95},{'peggedUSD': 0}
1656028800,{'peggedUSD': 10499992},{'peggedUSD': 0},{'peggedUSD': 10500107.5},{'peggedUSD': 10500107.5},{'peggedUSD': 0}
1656115200,{'peggedUSD': 12051729},{'peggedUSD': 0},{'peggedUSD': 12051641.5},{'peggedUSD': 12051641.5},{'peggedUSD': 0}
1656201600,{'peggedUSD': 12051729},{'peggedUSD': 0},{'peggedUSD': 12055336.08},{'peggedUSD': 12055336.08},{'peggedUSD': 0}
