date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 581475.37},{'peggedUSD': 0},{'peggedUSD': 581475.37},{'peggedUSD': 0},{'peggedUSD': 581475.37}
1652400000,{'peggedUSD': 581475.37},{'peggedUSD': 0},{'peggedUSD': 581475.37},{'peggedUSD': 0},{'peggedUSD': 581475.37}
1652486400,{'peggedUSD': 579026.38},{'peggedUSD': 0},{'peggedUSD': 579026.38},{'peggedUSD': 0},{'peggedUSD': 579026.38}
1652572800,{'peggedUSD': 579026.38},{'peggedUSD': 0},{'peggedUSD': 579142.19},{'peggedUSD': 0},{'peggedUSD': 579142.19}
1652659200,{'peggedUSD': 579026.38},{'peggedUSD': 0},{'peggedUSD': 579186.52},{'peggedUSD': 0},{'peggedUSD': 579186.52}
1652745600,{'peggedUSD': 579026.38},{'peggedUSD': 0},{'peggedUSD': 579186.52},{'peggedUSD': 0},{'peggedUSD': 579186.52}
1652832000,{'peggedUSD': 570725.67},{'peggedUSD': 0},{'peggedUSD': 570839.13},{'peggedUSD': 0},{'peggedUSD': 570839.13}
1652918400,{'peggedUSD': 574925.41},{'peggedUSD': 0},{'peggedUSD': 575181.78},{'peggedUSD': 0},{'peggedUSD': 575181.78}
1653004800,{'peggedUSD': 573822.88},{'peggedUSD': 0},{'peggedUSD': 574110.48},{'peggedUSD': 0},{'peggedUSD': 574110.48}
1653091200,{'peggedUSD': 573822.88},{'peggedUSD': 0},{'peggedUSD': 574110.48},{'peggedUSD': 0},{'peggedUSD': 574110.48}
1653177600,{'peggedUSD': 572838.75},{'peggedUSD': 0},{'peggedUSD': 572892.5},{'peggedUSD': 0},{'peggedUSD': 572892.5}
1653264000,{'peggedUSD': 572838.75},{'peggedUSD': 0},{'peggedUSD': 573089.05},{'peggedUSD': 0},{'peggedUSD': 573089.05}
1653350400,{'peggedUSD': 572838.75},{'peggedUSD': 0},{'peggedUSD': 572926.03},{'peggedUSD': 0},{'peggedUSD': 572926.03}
1653436800,{'peggedUSD': 572838.75},{'peggedUSD': 0},{'peggedUSD': 572926.03},{'peggedUSD': 0},{'peggedUSD': 572926.03}
1653523200,{'peggedUSD': 572838.75},{'peggedUSD': 0},{'peggedUSD': 572911.34},{'peggedUSD': 0},{'peggedUSD': 572911.34}
1653609600,{'peggedUSD': 571642.28},{'peggedUSD': 0},{'peggedUSD': 571685.25},{'peggedUSD': 0},{'peggedUSD': 571685.25}
1653696000,{'peggedUSD': 571642.28},{'peggedUSD': 0},{'peggedUSD': 571819.5},{'peggedUSD': 0},{'peggedUSD': 571819.5}
1653782400,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571360.96},{'peggedUSD': 0},{'peggedUSD': 571360.96}
1653868800,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571513.63},{'peggedUSD': 0},{'peggedUSD': 571513.63}
1653955200,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571488.36},{'peggedUSD': 0},{'peggedUSD': 571488.36}
1654041600,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571488.36},{'peggedUSD': 0},{'peggedUSD': 571488.36}
1654128000,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571421.9},{'peggedUSD': 0},{'peggedUSD': 571421.9}
1654214400,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571674.9},{'peggedUSD': 0},{'peggedUSD': 571674.9}
1654300800,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571456.45},{'peggedUSD': 0},{'peggedUSD': 571456.45}
1654387200,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571409.18},{'peggedUSD': 0},{'peggedUSD': 571409.18}
1654473600,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571513.63},{'peggedUSD': 0},{'peggedUSD': 571513.63}
1654560000,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571472.73},{'peggedUSD': 0},{'peggedUSD': 571472.73}
1654646400,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571472.73},{'peggedUSD': 0},{'peggedUSD': 571472.73}
1654732800,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571627.3},{'peggedUSD': 0},{'peggedUSD': 571627.3}
1654819200,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571831.65},{'peggedUSD': 0},{'peggedUSD': 571831.65}
1654905600,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571571.11},{'peggedUSD': 0},{'peggedUSD': 571571.11}
1654992000,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571527.67},{'peggedUSD': 0},{'peggedUSD': 571527.67}
1655078400,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571694.78},{'peggedUSD': 0},{'peggedUSD': 571694.78}
1655164800,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571486.56},{'peggedUSD': 0},{'peggedUSD': 571486.56}
1655251200,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571507.05},{'peggedUSD': 0},{'peggedUSD': 571507.05}
1655337600,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571577.96},{'peggedUSD': 0},{'peggedUSD': 571577.96}
1655424000,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571853.03},{'peggedUSD': 0},{'peggedUSD': 571853.03}
1655510400,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571525.47},{'peggedUSD': 0},{'peggedUSD': 571525.47}
1655596800,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571433.49},{'peggedUSD': 0},{'peggedUSD': 571433.49}
1655683200,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571626.63},{'peggedUSD': 0},{'peggedUSD': 571626.63}
1655769600,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571319.2},{'peggedUSD': 0},{'peggedUSD': 571319.2}
1655856000,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571370.09},{'peggedUSD': 0},{'peggedUSD': 571370.09}
1655942400,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571721.91},{'peggedUSD': 0},{'peggedUSD': 571721.91}
1656028800,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571291.75},{'peggedUSD': 0},{'peggedUSD': 571291.75}
1656115200,{'peggedUSD': 571285.46},{'peggedUSD': 0},{'peggedUSD': 571281.32},{'peggedUSD': 0},{'peggedUSD': 571281.32}
1656201600,{'peggedUSD': 571310.46},{'peggedUSD': 0},{'peggedUSD': 571481.46},{'peggedUSD': 0},{'peggedUSD': 571481.46}
1656288000,{'peggedUSD': 571310.46},{'peggedUSD': 0},{'peggedUSD': 571424.13},{'peggedUSD': 0},{'peggedUSD': 571424.13}
1656374400,{'peggedUSD': 571310.46},{'peggedUSD': 0},{'peggedUSD': 571450.19},{'peggedUSD': 0},{'peggedUSD': 571450.19}
1656460800,{'peggedUSD': 571310.46},{'peggedUSD': 0},{'peggedUSD': 571520.49},{'peggedUSD': 0},{'peggedUSD': 571520.49}
1656547200,{'peggedUSD': 571310.46},{'peggedUSD': 0},{'peggedUSD': 571393.32},{'peggedUSD': 0},{'peggedUSD': 571393.32}
1656633600,{'peggedUSD': 572713.06},{'peggedUSD': 0},{'peggedUSD': 573270.9},{'peggedUSD': 0},{'peggedUSD': 573270.9}
1656720000,{'peggedUSD': 572713.06},{'peggedUSD': 0},{'peggedUSD': 573115.82},{'peggedUSD': 0},{'peggedUSD': 573115.82}
1656806400,{'peggedUSD': 572713.06},{'peggedUSD': 0},{'peggedUSD': 572974.44},{'peggedUSD': 0},{'peggedUSD': 572974.44}
1656892800,{'peggedUSD': 572713.56},{'peggedUSD': 0},{'peggedUSD': 572821.42},{'peggedUSD': 0},{'peggedUSD': 572821.42}
1656979200,{'peggedUSD': 572713.56},{'peggedUSD': 0},{'peggedUSD': 572713.56},{'peggedUSD': 0},{'peggedUSD': 572713.56}
1657065600,{'peggedUSD': 572713.56},{'peggedUSD': 0},{'peggedUSD': 573018.09},{'peggedUSD': 0},{'peggedUSD': 573018.09}
1657152000,{'peggedUSD': 572963.56},{'peggedUSD': 0},{'peggedUSD': 573379.33},{'peggedUSD': 0},{'peggedUSD': 573379.33}
1657238400,{'peggedUSD': 572963.56},{'peggedUSD': 0},{'peggedUSD': 573125.16},{'peggedUSD': 0},{'peggedUSD': 573125.16}
1657324800,{'peggedUSD': 572963.56},{'peggedUSD': 0},{'peggedUSD': 573058.64},{'peggedUSD': 0},{'peggedUSD': 573058.64}
1657411200,{'peggedUSD': 572963.56},{'peggedUSD': 0},{'peggedUSD': 572963.56},{'peggedUSD': 0},{'peggedUSD': 572963.56}
1657497600,{'peggedUSD': 572963.56},{'peggedUSD': 0},{'peggedUSD': 573192.4},{'peggedUSD': 0},{'peggedUSD': 573192.4}
1657584000,{'peggedUSD': 572963.56},{'peggedUSD': 0},{'peggedUSD': 573192.4},{'peggedUSD': 0},{'peggedUSD': 573192.4}
1657670400,{'peggedUSD': 572963.56},{'peggedUSD': 0},{'peggedUSD': 573336.79},{'peggedUSD': 0},{'peggedUSD': 573336.79}
1657756800,{'peggedUSD': 572963.56},{'peggedUSD': 0},{'peggedUSD': 572906.28},{'peggedUSD': 0},{'peggedUSD': 572906.28}
1657843200,{'peggedUSD': 565463.56},{'peggedUSD': 0},{'peggedUSD': 565475.32},{'peggedUSD': 0},{'peggedUSD': 565475.32}
1657929600,{'peggedUSD': 565463.56},{'peggedUSD': 0},{'peggedUSD': 565475.32},{'peggedUSD': 0},{'peggedUSD': 565475.32}
1658016000,{'peggedUSD': 565463.56},{'peggedUSD': 0},{'peggedUSD': 565479.29},{'peggedUSD': 0},{'peggedUSD': 565479.29}
1658102400,{'peggedUSD': 565463.56},{'peggedUSD': 0},{'peggedUSD': 565377.89},{'peggedUSD': 0},{'peggedUSD': 565377.89}
1658188800,{'peggedUSD': 565463.56},{'peggedUSD': 0},{'peggedUSD': 565335.01},{'peggedUSD': 0},{'peggedUSD': 565335.01}
1658275200,{'peggedUSD': 565463.56},{'peggedUSD': 0},{'peggedUSD': 565407.01},{'peggedUSD': 0},{'peggedUSD': 565407.01}
1658361600,{'peggedUSD': 565463.56},{'peggedUSD': 0},{'peggedUSD': 565602.15},{'peggedUSD': 0},{'peggedUSD': 565602.15}
1658448000,{'peggedUSD': 565463.56},{'peggedUSD': 0},{'peggedUSD': 565602.79},{'peggedUSD': 0},{'peggedUSD': 565602.79}
1658534400,{'peggedUSD': 565463.56},{'peggedUSD': 0},{'peggedUSD': 565516.67},{'peggedUSD': 0},{'peggedUSD': 565516.67}
1658620800,{'peggedUSD': 564519.42},{'peggedUSD': 0},{'peggedUSD': 564567.97},{'peggedUSD': 0},{'peggedUSD': 564567.97}
1658707200,{'peggedUSD': 564519.42},{'peggedUSD': 0},{'peggedUSD': 564571},{'peggedUSD': 0},{'peggedUSD': 564571}
1658793600,{'peggedUSD': 563311.75},{'peggedUSD': 0},{'peggedUSD': 563311.75},{'peggedUSD': 0},{'peggedUSD': 563311.75}
1658880000,{'peggedUSD': 563810.02},{'peggedUSD': 0},{'peggedUSD': 564019.64},{'peggedUSD': 0},{'peggedUSD': 564019.64}
1658966400,{'peggedUSD': 563810.02},{'peggedUSD': 0},{'peggedUSD': 563821.15},{'peggedUSD': 0},{'peggedUSD': 563821.15}
1659052800,{'peggedUSD': 563810.02},{'peggedUSD': 0},{'peggedUSD': 563837.14},{'peggedUSD': 0},{'peggedUSD': 563837.14}
1659139200,{'peggedUSD': 568810.02},{'peggedUSD': 0},{'peggedUSD': 568813.65},{'peggedUSD': 0},{'peggedUSD': 568813.65}
1659225600,{'peggedUSD': 571307.68},{'peggedUSD': 0},{'peggedUSD': 571307.68},{'peggedUSD': 0},{'peggedUSD': 571307.68}
1659312000,{'peggedUSD': 571307.68},{'peggedUSD': 0},{'peggedUSD': 571319.63},{'peggedUSD': 0},{'peggedUSD': 571319.63}
1659398400,{'peggedUSD': 571307.68},{'peggedUSD': 0},{'peggedUSD': 571245.11},{'peggedUSD': 0},{'peggedUSD': 571245.11}
1659484800,{'peggedUSD': 571307.68},{'peggedUSD': 0},{'peggedUSD': 571357.47},{'peggedUSD': 0},{'peggedUSD': 571357.47}
1659571200,{'peggedUSD': 571307.68},{'peggedUSD': 0},{'peggedUSD': 571656.18},{'peggedUSD': 0},{'peggedUSD': 571656.18}
1659657600,{'peggedUSD': 571307.68},{'peggedUSD': 0},{'peggedUSD': 571324.47},{'peggedUSD': 0},{'peggedUSD': 571324.47}
1659744000,{'peggedUSD': 570380.43},{'peggedUSD': 0},{'peggedUSD': 570389.39},{'peggedUSD': 0},{'peggedUSD': 570389.39}
1659830400,{'peggedUSD': 570380.43},{'peggedUSD': 0},{'peggedUSD': 570389.39},{'peggedUSD': 0},{'peggedUSD': 570389.39}
1659916800,{'peggedUSD': 570380.43},{'peggedUSD': 0},{'peggedUSD': 570405.44},{'peggedUSD': 0},{'peggedUSD': 570405.44}
1660003200,{'peggedUSD': 571378.64},{'peggedUSD': 0},{'peggedUSD': 571345.13},{'peggedUSD': 0},{'peggedUSD': 571345.13}
1660089600,{'peggedUSD': 571378.64},{'peggedUSD': 0},{'peggedUSD': 571350.07},{'peggedUSD': 0},{'peggedUSD': 571350.07}
