date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 15731243.23},{'peggedUSD': 0},{'peggedUSD': 15731243.23},{'peggedUSD': 0},{'peggedUSD': 15731243.23}
1652400000,{'peggedUSD': 15731243.23},{'peggedUSD': 0},{'peggedUSD': 15731243.23},{'peggedUSD': 0},{'peggedUSD': 15731243.23}
1652486400,{'peggedUSD': 14429240.88},{'peggedUSD': 0},{'peggedUSD': 14429240.88},{'peggedUSD': 0},{'peggedUSD': 14429240.88}
1652572800,{'peggedUSD': 13808213.79},{'peggedUSD': 0},{'peggedUSD': 13810975.44},{'peggedUSD': 0},{'peggedUSD': 13810975.44}
1652659200,{'peggedUSD': 13843543.42},{'peggedUSD': 0},{'peggedUSD': 13847372.13},{'peggedUSD': 0},{'peggedUSD': 13847372.13}
1652745600,{'peggedUSD': 13920956.56},{'peggedUSD': 0},{'peggedUSD': 13924806.68},{'peggedUSD': 0},{'peggedUSD': 13924806.68}
1652832000,{'peggedUSD': 13948202.65},{'peggedUSD': 0},{'peggedUSD': 13950975.55},{'peggedUSD': 0},{'peggedUSD': 13950975.55}
1652918400,{'peggedUSD': 13815292.01},{'peggedUSD': 0},{'peggedUSD': 13821452.67},{'peggedUSD': 0},{'peggedUSD': 13821452.67}
1653004800,{'peggedUSD': 13664913.3},{'peggedUSD': 0},{'peggedUSD': 13671762.16},{'peggedUSD': 0},{'peggedUSD': 13671762.16}
1653091200,{'peggedUSD': 13770613.36},{'peggedUSD': 0},{'peggedUSD': 13777515.19},{'peggedUSD': 0},{'peggedUSD': 13777515.19}
1653177600,{'peggedUSD': 13778064.46},{'peggedUSD': 0},{'peggedUSD': 13779357.25},{'peggedUSD': 0},{'peggedUSD': 13779357.25}
1653264000,{'peggedUSD': 13873850.17},{'peggedUSD': 0},{'peggedUSD': 13879912.35},{'peggedUSD': 0},{'peggedUSD': 13879912.35}
1653350400,{'peggedUSD': 13883314.8},{'peggedUSD': 0},{'peggedUSD': 13885430.2},{'peggedUSD': 0},{'peggedUSD': 13885430.2}
1653436800,{'peggedUSD': 13918464.34},{'peggedUSD': 0},{'peggedUSD': 13920585.09},{'peggedUSD': 0},{'peggedUSD': 13920585.09}
1653523200,{'peggedUSD': 13966892.04},{'peggedUSD': 0},{'peggedUSD': 13968661.92},{'peggedUSD': 0},{'peggedUSD': 13968661.92}
1653609600,{'peggedUSD': 14011466.46},{'peggedUSD': 0},{'peggedUSD': 14012519.7},{'peggedUSD': 0},{'peggedUSD': 14012519.7}
1653696000,{'peggedUSD': 13923606.35},{'peggedUSD': 0},{'peggedUSD': 13927922.94},{'peggedUSD': 0},{'peggedUSD': 13927922.94}
1653782400,{'peggedUSD': 13917853.82},{'peggedUSD': 0},{'peggedUSD': 13919693.2},{'peggedUSD': 0},{'peggedUSD': 13919693.2}
1653868800,{'peggedUSD': 13934981.17},{'peggedUSD': 0},{'peggedUSD': 13940546.8},{'peggedUSD': 0},{'peggedUSD': 13940546.8}
1653955200,{'peggedUSD': 14272301.21},{'peggedUSD': 0},{'peggedUSD': 14277370.16},{'peggedUSD': 0},{'peggedUSD': 14277370.16}
1654041600,{'peggedUSD': 14898592.11},{'peggedUSD': 0},{'peggedUSD': 14903883.49},{'peggedUSD': 0},{'peggedUSD': 14903883.49}
1654128000,{'peggedUSD': 15114221.58},{'peggedUSD': 0},{'peggedUSD': 15117831.31},{'peggedUSD': 0},{'peggedUSD': 15117831.31}
1654214400,{'peggedUSD': 15111639.43},{'peggedUSD': 0},{'peggedUSD': 15121940.74},{'peggedUSD': 0},{'peggedUSD': 15121940.74}
1654300800,{'peggedUSD': 15099651.91},{'peggedUSD': 0},{'peggedUSD': 15104171.23},{'peggedUSD': 0},{'peggedUSD': 15104171.23}
1654387200,{'peggedUSD': 14938929.36},{'peggedUSD': 0},{'peggedUSD': 14942164.54},{'peggedUSD': 0},{'peggedUSD': 14942164.54}
1654473600,{'peggedUSD': 14994713.13},{'peggedUSD': 0},{'peggedUSD': 15000702.02},{'peggedUSD': 0},{'peggedUSD': 15000702.02}
1654560000,{'peggedUSD': 15128279.25},{'peggedUSD': 0},{'peggedUSD': 15133238.3},{'peggedUSD': 0},{'peggedUSD': 15133238.3}
1654646400,{'peggedUSD': 14921938.42},{'peggedUSD': 0},{'peggedUSD': 14926829.83},{'peggedUSD': 0},{'peggedUSD': 14926829.83}
1654732800,{'peggedUSD': 15050556.98},{'peggedUSD': 0},{'peggedUSD': 15059562.78},{'peggedUSD': 0},{'peggedUSD': 15059562.78}
1654819200,{'peggedUSD': 15012154.43},{'peggedUSD': 0},{'peggedUSD': 15026506.95},{'peggedUSD': 0},{'peggedUSD': 15026506.95}
1654905600,{'peggedUSD': 14848692.46},{'peggedUSD': 0},{'peggedUSD': 14856116.81},{'peggedUSD': 0},{'peggedUSD': 14856116.81}
1654992000,{'peggedUSD': 14733806.15},{'peggedUSD': 0},{'peggedUSD': 14740052.69},{'peggedUSD': 0},{'peggedUSD': 14740052.69}
1655078400,{'peggedUSD': 13218664.15},{'peggedUSD': 0},{'peggedUSD': 13228135.06},{'peggedUSD': 0},{'peggedUSD': 13228135.06}
1655164800,{'peggedUSD': 13019165.05},{'peggedUSD': 0},{'peggedUSD': 13023747.8},{'peggedUSD': 0},{'peggedUSD': 13023747.8}
1655251200,{'peggedUSD': 12635231.09},{'peggedUSD': 0},{'peggedUSD': 12640131.92},{'peggedUSD': 0},{'peggedUSD': 12640131.92}
1655337600,{'peggedUSD': 12565452.72},{'peggedUSD': 0},{'peggedUSD': 12571886.23},{'peggedUSD': 0},{'peggedUSD': 12571886.23}
1655424000,{'peggedUSD': 12553266.34},{'peggedUSD': 0},{'peggedUSD': 12565738.01},{'peggedUSD': 0},{'peggedUSD': 12565738.01}
1655510400,{'peggedUSD': 20290167.51},{'peggedUSD': 0},{'peggedUSD': 20298691.81},{'peggedUSD': 0},{'peggedUSD': 20298691.81}
1655596800,{'peggedUSD': 20835491.12},{'peggedUSD': 0},{'peggedUSD': 20840890.01},{'peggedUSD': 0},{'peggedUSD': 20840890.01}
1655683200,{'peggedUSD': 20695404.41},{'peggedUSD': 0},{'peggedUSD': 20707763.71},{'peggedUSD': 0},{'peggedUSD': 20707763.71}
1655769600,{'peggedUSD': 20695970.22},{'peggedUSD': 0},{'peggedUSD': 20697192.53},{'peggedUSD': 0},{'peggedUSD': 20697192.53}
1655856000,{'peggedUSD': 20746603.44},{'peggedUSD': 0},{'peggedUSD': 20749676.84},{'peggedUSD': 0},{'peggedUSD': 20749676.84}
1655942400,{'peggedUSD': 20718056.63},{'peggedUSD': 0},{'peggedUSD': 20733884.81},{'peggedUSD': 0},{'peggedUSD': 20733884.81}
1656028800,{'peggedUSD': 20734516.78},{'peggedUSD': 0},{'peggedUSD': 20734744.86},{'peggedUSD': 0},{'peggedUSD': 20734744.86}
1656115200,{'peggedUSD': 20691780.12},{'peggedUSD': 0},{'peggedUSD': 20691629.9},{'peggedUSD': 0},{'peggedUSD': 20691629.9}
1656201600,{'peggedUSD': 20740903.46},{'peggedUSD': 0},{'peggedUSD': 20747111.21},{'peggedUSD': 0},{'peggedUSD': 20747111.21}
1656288000,{'peggedUSD': 20823571.46},{'peggedUSD': 0},{'peggedUSD': 20827714.31},{'peggedUSD': 0},{'peggedUSD': 20827714.31}
1656374400,{'peggedUSD': 20822925.96},{'peggedUSD': 0},{'peggedUSD': 20828018.83},{'peggedUSD': 0},{'peggedUSD': 20828018.83}
1656460800,{'peggedUSD': 20869279.1},{'peggedUSD': 0},{'peggedUSD': 20876951.27},{'peggedUSD': 0},{'peggedUSD': 20876951.27}
