date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609459200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609545600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609632000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609718400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609804800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609891200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1609977600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610064000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610150400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610236800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610323200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610409600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610496000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610582400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610668800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610755200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610841600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1610928000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611014400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611100800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611187200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1611273600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2002778.79},{'peggedUSD': 0},{'peggedUSD': 2002778.79}
1611360000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2002778.79},{'peggedUSD': 0},{'peggedUSD': 2002778.79}
1611446400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999336.24},{'peggedUSD': 0},{'peggedUSD': 1999336.24}
1611532800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2001613.45},{'peggedUSD': 0},{'peggedUSD': 2001613.45}
1611619200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1998079.96},{'peggedUSD': 0},{'peggedUSD': 1998079.96}
1611705600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999734.67},{'peggedUSD': 0},{'peggedUSD': 1999734.67}
1611792000,{'peggedUSD': 2000003},{'peggedUSD': 0},{'peggedUSD': 2001103.75},{'peggedUSD': 0},{'peggedUSD': 2001103.75}
1611878400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1985489.04},{'peggedUSD': 0},{'peggedUSD': 1985489.04}
1611964800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1995592.59},{'peggedUSD': 0},{'peggedUSD': 1995592.59}
1612051200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1993009.54},{'peggedUSD': 0},{'peggedUSD': 1993009.54}
1612137600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1994553.88},{'peggedUSD': 0},{'peggedUSD': 1994553.88}
1612224000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1996355.7},{'peggedUSD': 0},{'peggedUSD': 1996355.7}
1612310400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1997948.48},{'peggedUSD': 0},{'peggedUSD': 1997948.48}
1612396800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999351.39},{'peggedUSD': 0},{'peggedUSD': 1999351.39}
1612483200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1990238.49},{'peggedUSD': 0},{'peggedUSD': 1990238.49}
1612569600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2001938.31},{'peggedUSD': 0},{'peggedUSD': 2001938.31}
1612656000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2001169.39},{'peggedUSD': 0},{'peggedUSD': 2001169.39}
1612742400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1991376.61},{'peggedUSD': 0},{'peggedUSD': 1991376.61}
1612828800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2004502.02},{'peggedUSD': 0},{'peggedUSD': 2004502.02}
1612915200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2003104.97},{'peggedUSD': 0},{'peggedUSD': 2003104.97}
1613001600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1993557.19},{'peggedUSD': 0},{'peggedUSD': 1993557.19}
1613088000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1993766.48},{'peggedUSD': 0},{'peggedUSD': 1993766.48}
1613174400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1998192.81},{'peggedUSD': 0},{'peggedUSD': 1998192.81}
1613260800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1998712.42},{'peggedUSD': 0},{'peggedUSD': 1998712.42}
1613347200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1992737.2},{'peggedUSD': 0},{'peggedUSD': 1992737.2}
1613433600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1998688.69},{'peggedUSD': 0},{'peggedUSD': 1998688.69}
1613520000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2002969.29},{'peggedUSD': 0},{'peggedUSD': 2002969.29}
1613606400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1998154.7},{'peggedUSD': 0},{'peggedUSD': 1998154.7}
1613692800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2004092.07},{'peggedUSD': 0},{'peggedUSD': 2004092.07}
1613779200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2010092.53},{'peggedUSD': 0},{'peggedUSD': 2010092.53}
1613865600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2017529.42},{'peggedUSD': 0},{'peggedUSD': 2017529.42}
1613952000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2005208.04},{'peggedUSD': 0},{'peggedUSD': 2005208.04}
1614038400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2011148},{'peggedUSD': 0},{'peggedUSD': 2011148}
1614124800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2011994.98},{'peggedUSD': 0},{'peggedUSD': 2011994.98}
1614211200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2009931.63},{'peggedUSD': 0},{'peggedUSD': 2009931.63}
1614297600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1985349.55},{'peggedUSD': 0},{'peggedUSD': 1985349.55}
1614384000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2014016.22},{'peggedUSD': 0},{'peggedUSD': 2014016.22}
1614470400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2018168.87},{'peggedUSD': 0},{'peggedUSD': 2018168.87}
1614556800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1994470.48},{'peggedUSD': 0},{'peggedUSD': 1994470.48}
1614643200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2005207.75},{'peggedUSD': 0},{'peggedUSD': 2005207.75}
1614729600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2012325.34},{'peggedUSD': 0},{'peggedUSD': 2012325.34}
1614816000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1993806.09},{'peggedUSD': 0},{'peggedUSD': 1993806.09}
1614902400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2019059.08},{'peggedUSD': 0},{'peggedUSD': 2019059.08}
1614988800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2008960.2},{'peggedUSD': 0},{'peggedUSD': 2008960.2}
1615075200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2000089.9},{'peggedUSD': 0},{'peggedUSD': 2000089.9}
1615161600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2004854.09},{'peggedUSD': 0},{'peggedUSD': 2004854.09}
1615248000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2007319.69},{'peggedUSD': 0},{'peggedUSD': 2007319.69}
1615334400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2003579.17},{'peggedUSD': 0},{'peggedUSD': 2003579.17}
1615420800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1995787.69},{'peggedUSD': 0},{'peggedUSD': 1995787.69}
1615507200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1998271.89},{'peggedUSD': 0},{'peggedUSD': 1998271.89}
1615593600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2002600.99},{'peggedUSD': 0},{'peggedUSD': 2002600.99}
1615680000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2000389.36},{'peggedUSD': 0},{'peggedUSD': 2000389.36}
1615766400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1988235.52},{'peggedUSD': 0},{'peggedUSD': 1988235.52}
1615852800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999065.41},{'peggedUSD': 0},{'peggedUSD': 1999065.41}
1615939200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2012247.45},{'peggedUSD': 0},{'peggedUSD': 2012247.45}
1616025600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2007959.96},{'peggedUSD': 0},{'peggedUSD': 2007959.96}
1616112000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2007476.16},{'peggedUSD': 0},{'peggedUSD': 2007476.16}
1616198400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2001870.3},{'peggedUSD': 0},{'peggedUSD': 2001870.3}
1616284800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2001401.34},{'peggedUSD': 0},{'peggedUSD': 2001401.34}
1616371200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2007542.97},{'peggedUSD': 0},{'peggedUSD': 2007542.97}
1616457600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2002785.47},{'peggedUSD': 0},{'peggedUSD': 2002785.47}
1616544000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1998667.92},{'peggedUSD': 0},{'peggedUSD': 1998667.92}
1616630400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2000623.65},{'peggedUSD': 0},{'peggedUSD': 2000623.65}
1616716800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999904.17},{'peggedUSD': 0},{'peggedUSD': 1999904.17}
1616803200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2006092.01},{'peggedUSD': 0},{'peggedUSD': 2006092.01}
1616889600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2000116.33},{'peggedUSD': 0},{'peggedUSD': 2000116.33}
1616976000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2002685.12},{'peggedUSD': 0},{'peggedUSD': 2002685.12}
1617062400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2007031.58},{'peggedUSD': 0},{'peggedUSD': 2007031.58}
1617148800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2001385.9},{'peggedUSD': 0},{'peggedUSD': 2001385.9}
1617235200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1998063.27},{'peggedUSD': 0},{'peggedUSD': 1998063.27}
1617321600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999434.9},{'peggedUSD': 0},{'peggedUSD': 1999434.9}
1617408000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1997756.55},{'peggedUSD': 0},{'peggedUSD': 1997756.55}
1617494400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1990936.81},{'peggedUSD': 0},{'peggedUSD': 1990936.81}
1617580800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2000836.35},{'peggedUSD': 0},{'peggedUSD': 2000836.35}
1617667200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999061.14},{'peggedUSD': 0},{'peggedUSD': 1999061.14}
1617753600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999713.4},{'peggedUSD': 0},{'peggedUSD': 1999713.4}
1617840000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1997071.74},{'peggedUSD': 0},{'peggedUSD': 1997071.74}
1617926400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2002688.76},{'peggedUSD': 0},{'peggedUSD': 2002688.76}
1618012800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2002473.27},{'peggedUSD': 0},{'peggedUSD': 2002473.27}
1618099200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2003031.16},{'peggedUSD': 0},{'peggedUSD': 2003031.16}
1618185600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2003495.23},{'peggedUSD': 0},{'peggedUSD': 2003495.23}
1618272000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2000313.63},{'peggedUSD': 0},{'peggedUSD': 2000313.63}
1618358400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2002675.21},{'peggedUSD': 0},{'peggedUSD': 2002675.21}
1618444800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999856.48},{'peggedUSD': 0},{'peggedUSD': 1999856.48}
1618531200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999787.66},{'peggedUSD': 0},{'peggedUSD': 1999787.66}
1618617600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1997187.33},{'peggedUSD': 0},{'peggedUSD': 1997187.33}
1618704000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2000487.28},{'peggedUSD': 0},{'peggedUSD': 2000487.28}
1618790400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999599.04},{'peggedUSD': 0},{'peggedUSD': 1999599.04}
1618876800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999043.84},{'peggedUSD': 0},{'peggedUSD': 1999043.84}
1618963200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1997028.98},{'peggedUSD': 0},{'peggedUSD': 1997028.98}
1619049600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999041.69},{'peggedUSD': 0},{'peggedUSD': 1999041.69}
1619136000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2005198.9},{'peggedUSD': 0},{'peggedUSD': 2005198.9}
1619222400,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2002366.09},{'peggedUSD': 0},{'peggedUSD': 2002366.09}
1619308800,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1996616.77},{'peggedUSD': 0},{'peggedUSD': 1996616.77}
1619395200,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1999178.69},{'peggedUSD': 0},{'peggedUSD': 1999178.69}
1619481600,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 2001592.71},{'peggedUSD': 0},{'peggedUSD': 2001592.71}
1619568000,{'peggedUSD': 2000000},{'peggedUSD': 0},{'peggedUSD': 1997161.94},{'peggedUSD': 0},{'peggedUSD': 1997161.94}
1619654400,{'peggedUSD': 2000001},{'peggedUSD': 0},{'peggedUSD': 2001204.31},{'peggedUSD': 0},{'peggedUSD': 2001204.31}
1619740800,{'peggedUSD': 2000001},{'peggedUSD': 0},{'peggedUSD': 2002942.75},{'peggedUSD': 0},{'peggedUSD': 2002942.75}
1619827200,{'peggedUSD': 2000001},{'peggedUSD': 0},{'peggedUSD': 2001254.1},{'peggedUSD': 0},{'peggedUSD': 2001254.1}
1619913600,{'peggedUSD': 2000001},{'peggedUSD': 0},{'peggedUSD': 1999679.86},{'peggedUSD': 0},{'peggedUSD': 1999679.86}
1620000000,{'peggedUSD': 2000001},{'peggedUSD': 0},{'peggedUSD': 1999146.74},{'peggedUSD': 0},{'peggedUSD': 1999146.74}
1620086400,{'peggedUSD': 2000001},{'peggedUSD': 0},{'peggedUSD': 1999946.4},{'peggedUSD': 0},{'peggedUSD': 1999946.4}
