date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 2380931.88},{'peggedUSD': 0},{'peggedUSD': 2380931.88},{'peggedUSD': 0},{'peggedUSD': 2380931.88}
1652400000,{'peggedUSD': 2380931.88},{'peggedUSD': 0},{'peggedUSD': 2380931.88},{'peggedUSD': 0},{'peggedUSD': 2380931.88}
1652486400,{'peggedUSD': 2381011.87},{'peggedUSD': 0},{'peggedUSD': 2381011.87},{'peggedUSD': 0},{'peggedUSD': 2381011.87}
1652572800,{'peggedUSD': 2369388.23},{'peggedUSD': 0},{'peggedUSD': 2369862.1},{'peggedUSD': 0},{'peggedUSD': 2369862.1}
1652659200,{'peggedUSD': 2382206.73},{'peggedUSD': 0},{'peggedUSD': 2382865.58},{'peggedUSD': 0},{'peggedUSD': 2382865.58}
1652745600,{'peggedUSD': 1829102.46},{'peggedUSD': 0},{'peggedUSD': 1829608.33},{'peggedUSD': 0},{'peggedUSD': 1829608.33}
1652832000,{'peggedUSD': 1802201.8},{'peggedUSD': 0},{'peggedUSD': 1802560.07},{'peggedUSD': 0},{'peggedUSD': 1802560.07}
1652918400,{'peggedUSD': 3227211.44},{'peggedUSD': 0},{'peggedUSD': 3228650.55},{'peggedUSD': 0},{'peggedUSD': 3228650.55}
1653004800,{'peggedUSD': 3228221.96},{'peggedUSD': 0},{'peggedUSD': 3229839.95},{'peggedUSD': 0},{'peggedUSD': 3229839.95}
1653091200,{'peggedUSD': 3238034.44},{'peggedUSD': 0},{'peggedUSD': 3239657.35},{'peggedUSD': 0},{'peggedUSD': 3239657.35}
1653177600,{'peggedUSD': 3245913.98},{'peggedUSD': 0},{'peggedUSD': 3246218.54},{'peggedUSD': 0},{'peggedUSD': 3246218.54}
1653264000,{'peggedUSD': 3705462.63},{'peggedUSD': 0},{'peggedUSD': 3707081.73},{'peggedUSD': 0},{'peggedUSD': 3707081.73}
1653350400,{'peggedUSD': 3545617},{'peggedUSD': 0},{'peggedUSD': 3546157.24},{'peggedUSD': 0},{'peggedUSD': 3546157.24}
