date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1609372800,{'peggedUSD': 23916025.19},{'peggedUSD': 0},{'peggedUSD': 23931644.33},{'peggedUSD': 0},{'peggedUSD': 23931644.33}
1609459200,{'peggedUSD': 24979926.06},{'peggedUSD': 0},{'peggedUSD': 25017161.35},{'peggedUSD': 0},{'peggedUSD': 25017161.35}
1609545600,{'peggedUSD': 25288791.89},{'peggedUSD': 0},{'peggedUSD': 25275712},{'peggedUSD': 0},{'peggedUSD': 25275712}
1609632000,{'peggedUSD': 25222568.4},{'peggedUSD': 0},{'peggedUSD': 25288178.85},{'peggedUSD': 0},{'peggedUSD': 25288178.85}
1609718400,{'peggedUSD': 26004893.64},{'peggedUSD': 0},{'peggedUSD': 25915538.44},{'peggedUSD': 0},{'peggedUSD': 25915538.44}
1609804800,{'peggedUSD': 26654109.42},{'peggedUSD': 0},{'peggedUSD': 26144864.52},{'peggedUSD': 0},{'peggedUSD': 26144864.52}
1609891200,{'peggedUSD': 27696697.98},{'peggedUSD': 0},{'peggedUSD': 27695792.63},{'peggedUSD': 0},{'peggedUSD': 27695792.63}
1609977600,{'peggedUSD': 29587826.93},{'peggedUSD': 0},{'peggedUSD': 29595452.29},{'peggedUSD': 0},{'peggedUSD': 29595452.29}
1610064000,{'peggedUSD': 29743722.7},{'peggedUSD': 0},{'peggedUSD': 29857657.49},{'peggedUSD': 0},{'peggedUSD': 29857657.49}
1610150400,{'peggedUSD': 30043740.71},{'peggedUSD': 0},{'peggedUSD': 30085641.08},{'peggedUSD': 0},{'peggedUSD': 30085641.08}
1610236800,{'peggedUSD': 30507099.93},{'peggedUSD': 0},{'peggedUSD': 30465960.94},{'peggedUSD': 0},{'peggedUSD': 30465960.94}
1610323200,{'peggedUSD': 30742377.43},{'peggedUSD': 0},{'peggedUSD': 30796940.68},{'peggedUSD': 0},{'peggedUSD': 30796940.68}
1610409600,{'peggedUSD': 31176647.39},{'peggedUSD': 0},{'peggedUSD': 31293110.05},{'peggedUSD': 0},{'peggedUSD': 31293110.05}
1610496000,{'peggedUSD': 31519309.32},{'peggedUSD': 0},{'peggedUSD': 31615841.17},{'peggedUSD': 0},{'peggedUSD': 31615841.17}
1610582400,{'peggedUSD': 31693588.59},{'peggedUSD': 0},{'peggedUSD': 31767500.58},{'peggedUSD': 0},{'peggedUSD': 31767500.58}
1610668800,{'peggedUSD': 32481100.48},{'peggedUSD': 0},{'peggedUSD': 32602045.77},{'peggedUSD': 0},{'peggedUSD': 32602045.77}
1610755200,{'peggedUSD': 33831833.95},{'peggedUSD': 0},{'peggedUSD': 33889361.61},{'peggedUSD': 0},{'peggedUSD': 33889361.61}
1610841600,{'peggedUSD': 34539593.75},{'peggedUSD': 0},{'peggedUSD': 34554984.41},{'peggedUSD': 0},{'peggedUSD': 34554984.41}
1610928000,{'peggedUSD': 34944431.61},{'peggedUSD': 0},{'peggedUSD': 34864632.74},{'peggedUSD': 0},{'peggedUSD': 34864632.74}
1611014400,{'peggedUSD': 36098132.37},{'peggedUSD': 0},{'peggedUSD': 36082649.02},{'peggedUSD': 0},{'peggedUSD': 36082649.02}
1611100800,{'peggedUSD': 37530158.11},{'peggedUSD': 0},{'peggedUSD': 37321173.73},{'peggedUSD': 0},{'peggedUSD': 37321173.73}
1611187200,{'peggedUSD': 23627856.34},{'peggedUSD': 0},{'peggedUSD': 23663826.07},{'peggedUSD': 0},{'peggedUSD': 23663826.07}
1611273600,{'peggedUSD': 21566368.27},{'peggedUSD': 0},{'peggedUSD': 21596332.52},{'peggedUSD': 0},{'peggedUSD': 21596332.52}
1611360000,{'peggedUSD': 21409682.23},{'peggedUSD': 0},{'peggedUSD': 21439428.78},{'peggedUSD': 0},{'peggedUSD': 21439428.78}
1611446400,{'peggedUSD': 21018424.18},{'peggedUSD': 0},{'peggedUSD': 21011448.62},{'peggedUSD': 0},{'peggedUSD': 21011448.62}
1611532800,{'peggedUSD': 19663992.21},{'peggedUSD': 0},{'peggedUSD': 19679855.67},{'peggedUSD': 0},{'peggedUSD': 19679855.67}
