date,totalCirculating,totalUnreleased,totalCirculatingUSD,totalMintedUSD,totalBridgedToUSD
1652313600,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25}
1652400000,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25}
1652486400,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25}
1652572800,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25}
1652659200,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1652745600,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1652832000,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25}
1652918400,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1653004800,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1653091200,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1653177600,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25}
1653264000,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1653350400,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25}
1653436800,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25}
1653523200,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25}
1653609600,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25}
1653696000,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1653782400,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25}
1653868800,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1653955200,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1654041600,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1654128000,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1654214400,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.02},{'peggedUSD': 0},{'peggedUSD': 25.02}
1654300800,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1654387200,{'peggedUSD': 25},{'peggedUSD': 0},{'peggedUSD': 25.01},{'peggedUSD': 0},{'peggedUSD': 25.01}
1654473600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1654560000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1654646400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1654732800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1654819200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1654905600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1654992000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655078400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655164800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655251200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655337600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655424000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655510400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655596800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655683200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655769600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655856000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1655942400,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1656028800,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1656115200,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1656201600,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
1656288000,{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0},{'peggedUSD': 0}
